Model,Scenario,Region,Product,Flow,Unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
PD22,baseline,Afghanistan,BIOGASES,ELAUTOE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Afghanistan,BIOGASES,ELMAINE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Albania,BIOGASES,ELAUTOE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Albania,BIOGASES,ELMAINE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Algeria,BIOGASES,ELAUTOE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Algeria,BIOGASES,ELMAINE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,American Samoa,BIOGASES,ELAUTOE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,American Samoa,BIOGASES,ELMAINE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Andorra,BIOGASES,ELAUTOE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Andorra,BIOGASES,ELMAINE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Angola,BIOGASES,ELAUTOE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Angola,BIOGASES,ELMAINE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Anguilla,BIOGASES,ELAUTOE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Anguilla,BIOGASES,ELMAINE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Antigua and Barbuda,BIOGASES,ELAUTOE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Antigua and Barbuda,BIOGASES,ELMAINE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Argentina,BIOGASES,ELAUTOE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Argentina,BIOGASES,ELMAINE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.013,119.696,119.696,119.696,119.776,119.776,145.307,254.678
PD22,baseline,Armenia,BIOGASES,ELAUTOE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Armenia,BIOGASES,ELMAINE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Aruba,BIOGASES,ELAUTOE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Aruba,BIOGASES,ELMAINE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Australia,BIOGASES,ELAUTOE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Australia,BIOGASES,ELMAINE,TJ,0,0,0,0,0,0,0,0,0,0,449,712,854,757,741,593,643,637,859,1031,1016,1025,1624,1601,1635,1491,1271,1193,1254,1332
PD22,baseline,Austria,BIOGASES,ELAUTOE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Austria,BIOGASES,ELMAINE,TJ,0,0,0,0,0,0,0,0,0,0,61,67,44,48,59,310.98,411.691,601.994,601.945,608.603,646.155,625.115,641.672,622.787,613.294,633.524,665.712,670.346,628.313,611.865
PD22,baseline,Azerbaijan,BIOGASES,ELAUTOE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Azerbaijan,BIOGASES,ELMAINE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0
PD22,baseline,Bahamas,BIOGASES,ELAUTOE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Bahamas,BIOGASES,ELMAINE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Bahrain,BIOGASES,ELAUTOE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Bahrain,BIOGASES,ELMAINE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Bangladesh,BIOGASES,ELAUTOE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285,0.591,0.876,1.169,1.454,1.751,1.806,1.976,1.976,1.976,1.976
PD22,baseline,Bangladesh,BIOGASES,ELMAINE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Barbados,BIOGASES,ELAUTOE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Barbados,BIOGASES,ELMAINE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Belarus,BIOGASES,ELAUTOE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Belarus,BIOGASES,ELMAINE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12,5.016,5.952,11.253,12.729,33.707,33.898,35.775,34.889,46,43,41
PD22,baseline,Belgium,BIOGASES,ELAUTOE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Belgium,BIOGASES,ELMAINE,TJ,0,0,0,0,0,0,0,0,0,0,98,127,137,174,233,223,274,289,333,469,570,564,663.5,773.6,871.5,952.7,993.3,938.2,944.7,946.9
PD22,baseline,Belize,BIOGASES,ELAUTOE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Belize,BIOGASES,ELMAINE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Benin,BIOGASES,ELAUTOE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Benin,BIOGASES,ELMAINE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Bhutan,BIOGASES,ELAUTOE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Bhutan,BIOGASES,ELMAINE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Bolivia (Plurinational State of),BIOGASES,ELAUTOE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Bolivia (Plurinational State of),BIOGASES,ELMAINE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0
PD22,baseline,"Bonaire, Sint Eustatius and Saba",BIOGASES,ELAUTOE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,"Bonaire, Sint Eustatius and Saba",BIOGASES,ELMAINE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Bosnia and Herzegovina,BIOGASES,ELAUTOE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Bosnia and Herzegovina,BIOGASES,ELMAINE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,5,7,7
PD22,baseline,Botswana,BIOGASES,ELAUTOE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Botswana,BIOGASES,ELMAINE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Brazil,BIOGASES,ELAUTOE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Brazil,BIOGASES,ELMAINE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.124,58.362,84.826,82.422,220.438,103.723,178.809,188.149,232.116,396.801,512.573,689.665,766.485,728.148,884.914
PD22,baseline,British Virgin Islands,BIOGASES,ELAUTOE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,British Virgin Islands,BIOGASES,ELMAINE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Brunei Darussalam,BIOGASES,ELAUTOE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Brunei Darussalam,BIOGASES,ELMAINE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Bulgaria,BIOGASES,ELAUTOE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Bulgaria,BIOGASES,ELMAINE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,19,1,16.351,62,120,190,215.771,212.293,230.717
PD22,baseline,Burkina Faso,BIOGASES,ELAUTOE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Burkina Faso,BIOGASES,ELMAINE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
PD22,baseline,Burundi,BIOGASES,ELAUTOE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Burundi,BIOGASES,ELMAINE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Cabo Verde,BIOGASES,ELAUTOE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Cabo Verde,BIOGASES,ELMAINE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Cambodia,BIOGASES,ELAUTOE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.84,5.84,5.84,5.84,5.84
PD22,baseline,Cambodia,BIOGASES,ELMAINE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Cameroon,BIOGASES,ELAUTOE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Cameroon,BIOGASES,ELMAINE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Canada,BIOGASES,ELAUTOE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
