iso,Subvector,Metric,Model,Scenario,Region,Country,Unit,Value 1,Duration 1 (Years),Value 2,Duration 2 (Years),Value 3,Duration 3 (Years)
AFG,Biochar,Avg mitigation potential flux,PD22,Pathway,PAK,Afghanistan,tCO2e/ha/yr,0.6241,30,0.0000,70,NA,NA
AFG,Improved Forest Mgmt,Max extent,PD22,Pathway,PAK,Afghanistan,m3,NA,NA,NA,NA,NA,NA
ALB,Biochar,Avg mitigation potential flux,PD22,Pathway,EEU,Albania,tCO2e/ha/yr,2.2930,30,0.0000,70,NA,NA
ALB,Improved Forest Mgmt,Max extent,PD22,Pathway,EEU,Albania,m3,NA,NA,NA,NA,NA,NA
DZA,Biochar,Avg mitigation potential flux,PD22,Pathway,NAF,Algeria,tCO2e/ha/yr,0.4873,30,0.0000,70,NA,NA
ARG,Improved Forest Mgmt,Max extent,PD22,Pathway,LAM-M,Argentina,m3,NA,NA,NA,NA,NA,NA
AGO,Biochar,Avg mitigation potential flux,PD22,Pathway,SSA-M,Angola,tCO2e/ha/yr,0.4623,30,0.0000,70,NA,NA
ARM,Improved Forest Mgmt,Max extent,PD22,Pathway,CAS,Armenia,m3,NA,NA,NA,NA,NA,NA
ARG,Biochar,Avg mitigation potential flux,PD22,Pathway,LAM-M,Argentina,tCO2e/ha/yr,2.7381,30,0.0000,70,NA,NA
AUS,Improved Forest Mgmt,Max extent,PD22,Pathway,ANUZ,Australia,m3,NA,NA,NA,NA,NA,NA
ARM,Biochar,Avg mitigation potential flux,PD22,Pathway,CAS,Armenia,tCO2e/ha/yr,1.0307,30,0.0000,70,NA,NA
AUT,Improved Forest Mgmt,Max extent,PD22,Pathway,EU15,Austria,m3,NA,NA,NA,NA,NA,NA
AUS,Biochar,Avg mitigation potential flux,PD22,Pathway,ANUZ,Australia,tCO2e/ha/yr,1.5384,30,0.0000,70,NA,NA
AZE,Improved Forest Mgmt,Max extent,PD22,Pathway,CAS,Azerbaijan,m3,NA,NA,NA,NA,NA,NA
AUT,Biochar,Avg mitigation potential flux,PD22,Pathway,EU15,Austria,tCO2e/ha/yr,2.3622,30,0.0000,70,NA,NA
BLR,Improved Forest Mgmt,Max extent,PD22,Pathway,EEU-FSU,Belarus,m3,NA,NA,NA,NA,NA,NA
AZE,Biochar,Avg mitigation potential flux,PD22,Pathway,CAS,Azerbaijan,tCO2e/ha/yr,1.0931,30,0.0000,70,NA,NA
BEL,Improved Forest Mgmt,Max extent,PD22,Pathway,EU15,Belgium,m3,NA,NA,NA,NA,NA,NA
BHS,Biochar,Avg mitigation potential flux,PD22,Pathway,LAM-M,Bahamas,tCO2e/ha/yr,4.9189,30,0.0000,70,NA,NA
BIH,Improved Forest Mgmt,Max extent,PD22,Pathway,EEU,Bosnia and Herzegovina,m3,NA,NA,NA,NA,NA,NA
BGD,Biochar,Avg mitigation potential flux,PD22,Pathway,OAS-L,Bangladesh,tCO2e/ha/yr,3.6696,30,0.0000,70,NA,NA
BGR,Improved Forest Mgmt,Max extent,PD22,Pathway,EU12-M,Bulgaria,m3,NA,NA,NA,NA,NA,NA
BLR,Biochar,Avg mitigation potential flux,PD22,Pathway,EEU-FSU,Belarus,tCO2e/ha/yr,1.1328,30,0.0000,70,NA,NA
CAN,Improved Forest Mgmt,Max extent,PD22,Pathway,CAN,Canada,m3,NA,NA,NA,NA,NA,NA
BEL,Biochar,Avg mitigation potential flux,PD22,Pathway,EU15,Belgium,tCO2e/ha/yr,1.7694,30,0.0000,70,NA,NA
CPV,Improved Forest Mgmt,Max extent,PD22,Pathway,SSA-L,Cape Verde,m3,NA,NA,NA,NA,NA,NA
BLZ,Biochar,Avg mitigation potential flux,PD22,Pathway,LAM-L,Belize,tCO2e/ha/yr,5.3736,30,0.0000,70,NA,NA
CHL,Improved Forest Mgmt,Max extent,PD22,Pathway,LAM-M,Chile,m3,NA,NA,NA,NA,NA,NA
BEN,Biochar,Avg mitigation potential flux,PD22,Pathway,SSA-L,Benin,tCO2e/ha/yr,0.8656,30,0.0000,70,NA,NA
CHN,Improved Forest Mgmt,Max extent,PD22,Pathway,CHN,China,m3,NA,NA,NA,NA,NA,NA
BTN,Biochar,Avg mitigation potential flux,PD22,Pathway,OAS-M,Bhutan,tCO2e/ha/yr,2.0065,30,0.0000,70,NA,NA
COM,Improved Forest Mgmt,Max extent,PD22,Pathway,SSA-L,Comoros,m3,NA,NA,NA,NA,NA,NA
BOL,Biochar,Avg mitigation potential flux,PD22,Pathway,LAM-M,Bolivia,tCO2e/ha/yr,2.4046,30,0.0000,70,NA,NA
