Region,Sector,Metric,Unit,Scenario,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
World ,All,CO2 emissions,Gt CO2,Baseline,4.738148212,4.813110828,4.881361961,5.073858261,5.104264259,5.269526482,5.372303963,5.679089069,5.564490795,5.672819138,5.814213276,5.834766388,5.935081482,6.132726192,5.828303337,5.785171986,5.996294975,6.159573078,6.231664181,5.813951015,6.336697102,5.976829529,6.147166252,6.572300911,6.55014801,6.588681698,6.501133919,6.796327114,6.760264874,7.004027843,6.695548534,6.350884438,6.086251736,6.306379795,6.612778664,6.815836906,7.192079067,7.466983318,7.198751926,7.448287487,7.767603397,7.919269085,8.006432533,8.002334595,7.95973444,7.001465321,7.084111691,7.334189415,7.383971691,6.933794022,7.543261051,7.657123566,7.581068993,7.709533215,7.716176033,8.211163521,8.606566429,8.889088631,9.217507362,12.4565115,13.03483391,13.16278744,13.5202179,13.90463638,14.23564911,14.52214336,14.82389069,15.13346291,15.84986496,16.83775902,18.04921341,18.60317802,19.1812191,19.9832077,19.77095795,19.68682098,20.53410721,20.95612526,21.44449425,21.82722473,21.63700485,21.05757904,20.88355064,21.27612877,21.98238564,22.75473022,23.2215786,24.132761,24.96843719,25.44001389,25.6978817,26.19820786,26.69831657,27.13410187,27.37978745,27.89500046,28.54061127,30.45827484,28.38934708,28.68786621,29.15336418,29.28826332,30.13557243,31.11282539,32.51311874,33.3972702,34.75130463,34.73479843,35.63898849,35.59674835,36.97865295,38.10829544,38.61976242,38.51588821,38.99566269,39.8639679,39.97326279,40.78352356,41.35635757,43.45196915,43.71921921,44.54859543,45.07046509,45.59143066,46.11131668,46.62995148,47.27639008,47.92123413,48.56431198,49.20546722,49.84455109,50.32437897,50.80186081,51.27684784,51.74920273,52.21879196,52.68548584,53.14915085,53.60968018,54.06694794,54.52084351,55.34744644,56.17074585,56.9905777,57.80679321,58.61923218,59.42775345,60.2322197,61.03248978,61.82843399,62.61993027,63.10481262,63.58502579,64.06049347,64.53114319,64.99689484,65.45771027,65.91350555,66.36424255,66.80986023,67.25030518,67.75153351,68.24745178,68.73802185,69.22319031,69.70290375,70.17713928,70.64583588,71.10897827,71.56652069,72.01844788,72.54627991,73.06861115,73.58542633,74.09671783,74.6024704,75.10267639,75.59735107,76.08647156,76.57003784,77.04806519,77.40907288,77.76463318,78.11479187,78.45957947,78.79901886,79.13314056,79.46199036,79.78560638,80.10402679,80.41726685,80.79901886,81.17566681,81.54724121,81.91378021,82.27529907,82.63182831,82.9834137,83.3300705,83.67185211,84.00876617
World ,All,CO2 equivalent emissions,Gt CO2e,Baseline,7.079923153,7.17997551,7.281056404,7.503371716,7.569910049,7.769600868,7.908563137,8.248418808,8.166187286,8.305801392,8.477026939,8.52840519,8.662081718,8.900918007,8.638886452,8.639324188,8.894386292,9.100819588,9.212024689,8.83125782,9.384943008,9.054403305,9.257281303,9.715118408,9.727570534,9.801722527,9.746626854,10.07540894,10.07263374,10.34405136,10.06271553,9.741688728,9.502813339,9.750048637,10.08401012,10.31774521,10.72434521,11.02995014,10.79069901,11.07311821,11.42487717,11.62505817,11.79863548,11.90398502,11.99198055,11.17577744,11.40393639,11.79169559,11.97513103,11.63548374,12.32712364,12.52356625,12.55570221,12.81130695,12.96006584,13.61004162,14.16372108,14.60751438,15.09479046,18.47698402,19.18671989,19.4780426,19.9985981,20.52447319,21.03697586,21.51341629,22.02410126,22.53979492,23.45358276,24.61735153,26.04077721,26.43736267,27.39169884,28.30364227,28.08645821,28.17848206,29.27970505,29.92313004,30.49349976,31.14804268,31.04022026,30.35144043,30.7770462,31.00510979,31.55720139,32.4055481,33.13614655,34.44851685,35.07859039,35.78134155,36.02862549,36.48579407,36.89340973,37.24466705,37.50518799,38.20327377,38.98492813,41.10193253,39.0446701,39.3176918,39.83290863,39.942276,41.06328583,42.27656174,44.11392212,45.15869522,46.91889191,46.97571564,48.04297256,48.11516953,49.66679764,50.96694183,51.61966705,51.54880524,52.24637985,53.33626556,53.53081131,54.43344116,55.13908386,59.17212296,59.60325241,60.59335709,61.27583694,61.95726013,62.63742065,63.31612015,64.14459991,64.97121429,65.79576111,66.61805725,67.43791962,68.08835602,68.73603821,69.38079834,70.0224762,70.66091156,71.29595184,71.92744446,72.5552597,73.17926025,73.79930878,74.8161087,75.83875275,76.8567276,77.86985779,78.87795258,79.88085938,80.87840271,81.87042999,82.85678101,83.83731079,84.4830246,85.12267303,85.75614166,86.38336182,87.00424194,87.61872864,88.22672272,88.82818604,89.4230423,90.0112381,90.6660614,91.31406403,91.95518494,92.58937836,93.21657562,93.83673859,94.44980621,95.05576324,95.65455627,96.24615479,96.90493011,97.55665588,98.20131683,98.83889008,99.46936798,100.0927505,100.7090378,101.3182068,101.9202652,102.5152283,102.970932,103.4196625,103.8614426,104.2963257,104.7243423,105.1455154,105.5599136,105.9675674,106.3685226,106.7628021,107.2368774,107.7043686,108.1653137,108.6197433,109.067688,109.5091782,109.9442749,110.3729858,110.7953796,111.2114639
World ,All,Atmospheric concentration,ppm,Baseline,293.7234497,294.0298462,294.3356628,294.5861206,294.7326965,294.9137878,295.1748047,295.490509,295.8251953,296.153656,296.5013428,296.8582153,297.2113342,297.5358276,297.8267212,298.1076355,298.4215393,298.7713013,299.1388245,299.4884644,299.8235168,300.1558228,300.4563904,300.7922668,301.1570129,301.5115356,301.8595276,302.2128601,302.5834351,302.9454651,303.2890015,303.5886536,303.852478,304.1016541,304.3807983,304.6964417,305.0464478,305.4388428,305.833313,306.2087402,306.6108704,307.0358582,307.4671936,307.8893738,308.2956238,308.6494141,308.9419556,309.2605591,309.6026611,309.9288635,310.2480774,310.6121521,310.9709473,311.3203125,311.6712341,312.0401611,312.4623413,312.9268494,313.426178,314.0920105,314.9884033,315.8713379,316.7176208,317.5447388,318.2896423,318.953064,319.6578979,320.4513855,321.3289795,322.2755432,323.3104858,324.4602356,325.6801147,326.9649963,328.2588196,329.4789429,330.6649475,331.9201355,333.2320862,334.5823364,335.9298401,337.2235718,338.4379272,339.5225525,340.5666199,341.7373047,343.0348206,344.412323,345.8897095,347.4428101,349.0313721,350.6255798,352.1139221,353.4576416,354.8875427,356.4535828,358.1312866,359.9541321,361.8087769,363.5160828,365.2721558,367.0622864,368.8852844,370.7889099,372.7834778,374.8812866,377.0551147,379.2839966,381.5177612,383.7834778,386.0761108,388.4950867,390.9875488,393.4688721,395.9058533,398.3812866,400.8922119,403.4781799,406.0420532,408.6821594,411.513855,414.364502,417.2680969,420.2018433,423.167511,426.1662292,429.2048645,432.2932434,435.4311218,438.6185913,441.8556519,445.1350403,448.4454041,451.7878418,455.1630554,458.5716858,462.0143127,465.4913025,469.0029602,472.5497437,476.1319275,479.7674255,483.4833679,487.2776184,491.1488953,495.0962524,499.1188354,503.2159119,507.3869324,511.6313171,515.9486084,520.3242188,524.7354126,529.1833496,533.6687012,538.1920166,542.7539063,547.3548584,551.9952393,556.6754761,561.395813,566.1596069,570.9718628,575.8324585,580.741394,585.6984863,590.7037354,595.7571411,600.8585815,606.0079346,611.2052002,616.4541016,621.760498,627.1240234,632.5441284,638.0205078,643.5529175,649.1409302,654.7843628,660.4829102,666.2363281,672.0391235,677.8826904,683.7672119,689.6928101,695.6593628,701.6668701,707.715271,713.8045044,719.9344482,726.1049805,732.319519,738.583374,744.8961182,751.2575684,757.6673584,764.1251831,770.6307373,777.1838379,783.7841187,790.4312744
World ,All,Equivalent CO2,ppm,Baseline,277.2876282,278.4424744,278.9838867,277.3972168,275.0654297,275.0050964,275.8320618,276.8496399,277.7572632,278.7723694,279.9445496,281.1038208,281.8200684,281.6816101,281.7440186,282.5708008,283.7764893,285.117218,286.5005188,287.7980347,288.7623901,289.3731995,290.1021423,291.0535889,292.0246277,292.9081726,293.8565979,294.8734131,295.8241272,296.3954773,296.8319702,297.3997498,297.8306274,298.0813904,298.5073242,299.1404724,299.930603,300.8842163,301.7454529,302.4792175,303.275116,304.1348267,304.9452209,305.5794983,306.2119141,306.9292908,307.6907349,308.5252686,309.4552002,310.3623047,311.1128235,311.8528442,312.4967651,313.0374451,313.5563965,314.1685181,315.0885315,316.2881775,317.6282043,319.0782471,320.5314636,321.5559387,322.0389099,321.2861633,318.142395,314.9909668,314.3602295,315.1376343,316.0697937,316.3570251,317.0600281,319.1397705,321.7042236,324.322052,326.4811096,327.7666321,328.804718,331.0853271,333.8679504,336.6907043,339.7063293,342.8217773,344.0860596,342.0718384,340.675354,342.1323242,344.3662109,346.9728699,350.0263672,353.4509888,356.9290771,358.519165,354.9688416,350.8375244,351.3750305,353.6403198,356.5281677,359.6725464,363.0393982,366.5906677,370.3529663,374.207428,377.9827271,381.480896,384.8115234,388.2158813,391.436615,394.9705811,398.6220093,402.3316345,406.1135864,410.2406616,414.5985718,418.1734009,421.4711609,424.9021606,428.4428406,432.1384888,435.8141174,439.663269,444.0808716,448.5485535,453.09552,457.6954956,462.3520813,467.0679321,471.8344727,476.6891174,481.6322021,486.6642761,491.7858887,496.9407043,502.1528931,507.4246216,512.7576294,518.1533813,523.4746704,528.8583374,534.3052368,539.8164063,545.3925781,550.9196777,556.5678101,562.3361206,568.2227783,574.2263184,580.3338623,586.5556641,592.8907471,599.3383789,605.8978882,612.5963745,619.3267822,626.0912476,632.8914185,639.7287598,646.6824341,653.6776123,660.7154541,667.7970581,674.9234619,682.1774292,689.4918213,696.8665161,704.3016357,711.7972412,719.4185181,727.1019287,734.8476563,742.6557617,750.5263062,758.5170288,766.5720215,774.6913452,782.8753052,791.1241455,799.4818726,807.9058228,816.3961182,824.9530029,833.5765991,842.2947998,851.048645,859.8396606,868.6691284,877.538147,886.4755859,895.454895,904.4767456,913.541748,922.6504517,931.8391113,941.0956421,950.4191284,959.8088989,969.2641602,978.8067017,988.4139404,998.0853271,1007.820251,1017.618164
World ,All,Temperature change from preindustrial,Degrees C,Baseline,0.001934742,0.025948906,0.023440395,-0.054010741,-0.137362897,-0.124583438,-0.085569113,-0.049536802,-0.024624767,0.000487239,0.026657194,0.048355337,0.050784405,0.02492453,0.01409539,0.03368004,0.062592104,0.090687826,0.115765266,0.135332122,0.141555935,0.136685759,0.139880881,0.150656164,0.160640463,0.167903975,0.177933574,0.189989164,0.198376238,0.194242731,0.188943431,0.191882223,0.191910192,0.18767117,0.190341622,0.199258998,0.21160911,0.226825342,0.237245739,0.243594483,0.251343757,0.26003927,0.266438752,0.26733169,0.269658625,0.276929796,0.286523879,0.296665221,0.308246672,0.318363339,0.323033482,0.325767666,0.326273203,0.324639112,0.32333985,0.325404972,0.334595859,0.350453585,0.3676171,0.381015182,0.386485219,0.377291083,0.356367856,0.301433206,0.184777364,0.092881791,0.090061024,0.127906814,0.158632189,0.160370663,0.173153475,0.217861176,0.269042611,0.310406685,0.332326978,0.327915192,0.318900138,0.349073291,0.389034569,0.424228907,0.461311847,0.500002682,0.481995583,0.377936691,0.318142921,0.350324541,0.397657156,0.43937242,0.484964281,0.534623682,0.583183527,0.569308221,0.426456302,0.306838006,0.345420122,0.42265141,0.49929443,0.567026854,0.630473435,0.692964375,0.752096772,0.805149555,0.849070728,0.879186451,0.899843395,0.91957742,0.933734298,0.955725849,0.981620133,1.007840276,1.035250664,1.067553997,1.102205276,1.116208315,1.127939463,1.144060731,1.163594842,1.185771704,1.210009694,1.235806704,1.263131499,1.291748524,1.321071625,1.350974679,1.381350875,1.412121892,1.443223357,1.474620104,1.506305695,1.53827405,1.570519447,1.602968693,1.635512114,1.668158293,1.700914502,1.733786106,1.766725302,1.799666643,1.832639217,1.86566484,1.898759127,1.931851745,1.964877725,1.997932434,2.031084538,2.064382553,2.09785676,2.131524801,2.165403843,2.199504375,2.233832359,2.268236399,2.302489758,2.336633921,2.370700121,2.404711723,2.438710213,2.472740412,2.506799221,2.54088521,2.57499671,2.609138012,2.643321753,2.677552938,2.711833954,2.746165514,2.780565739,2.815056324,2.849626541,2.884267569,2.918971777,2.953711033,2.988454819,3.023213148,3.05799222,3.092796326,3.127638578,3.162534237,3.197477579,3.232463837,3.267488718,3.302541494,3.337599993,3.372650146,3.407680988,3.44268465,3.477661371,3.512614965,3.54753828,3.58242631,3.617274761,3.652094364,3.686907053,3.721712828,3.756510496,3.791297913,3.826077461,3.860853195,3.895619631,3.930372477,3.965107679
World ,All,Sea level rise from 2000,mm,Baseline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.614060402,5.94092226,10.05171108,15.00913906,19.99220848,25.50526237,30.76154327,35.91507721,41.15364838,46.5471344,51.85676575,57.21731186,63.40219498,70.14868164,76.74073792,83.25259399,89.74211121,96.25159454,102.8197708,109.4625626,116.1898727,123.0408936,130.0274353,137.1581116,144.4395599,151.8770905,159.474762,167.2346344,175.1586151,183.2485504,191.5078735,199.9440308,208.5577087,217.3491211,226.3186035,235.467865,244.8014069,254.3182678,264.0175171,273.8986511,283.963501,294.2172852,304.6557007,315.2753601,326.0743103,337.0517273,348.2077332,359.542572,371.0568237,382.7514343,394.6311951,406.7099304,418.9860229,431.4573364,444.1222229,456.9789124,470.0247192,483.2597046,496.6841125,510.2982178,524.1020508,538.0952148,552.2775879,566.649353,581.2107544,595.9616089,610.9008179,626.0293579,641.3480835,656.8577271,672.5595093,688.4555664,704.5456543,720.8294067,737.3068237,753.9776611,770.8410645,787.897644,805.1478271,822.592041,840.230896,858.0655518,876.0968018,894.3250732,912.7507324,931.3737793,950.1937256,969.2106934,988.4249268,1007.836304,1027.444458,1047.248047,1067.246948,1087.44104,1107.830566,1128.415283,1149.194946,1170.169678,1191.339722,1212.7052
World ,All,Cumulative CO2,Gt CO2,Baseline,110.6253586,115.3916168,120.2303238,125.183876,130.2691345,135.4353638,140.7434387,146.2307892,151.8668976,157.4720154,163.1978607,169.0197754,174.8921661,180.9013672,186.9199219,192.7320557,198.596405,204.6539307,210.8405304,216.9155579,222.9255371,229.1272888,235.167984,241.4745789,248.0385742,254.6031647,261.1590271,267.7708435,274.5536499,281.4053345,288.2936707,294.8599854,301.1116333,307.280426,313.7017212,320.390625,327.3475647,334.6427307,342.0091248,349.3014526,356.8694763,364.6939697,372.6459045,380.6508179,388.6371765,396.2375488,403.2700195,410.4479065,417.8007507,425.0159302,432.1782532,439.7642212,447.3928223,455.0220642,462.7341003,470.6358948,478.9953308,487.7078552,496.7200928,507.1522217,519.8256226,532.9084473,546.2052612,559.8696289,573.8983765,588.2414551,602.87677,617.8167725,633.2188721,649.439209,666.7312622,684.9881592,703.8081055,723.2901001,743.1937256,762.9331055,782.9376831,803.6300049,824.7692871,846.3572998,868.1132202,889.532959,910.5252686,931.5560303,953.0969849,975.3690186,998.2988281,1021.862061,1046.308228,1071.453491,1096.990234,1122.875732,1149.261475,1176.123169,1203.349487,1230.922363,1259.05957,1288.319214,1318.001709,1346.50293,1375.365356,1404.569336,1434.175415,1464.677368,1496.315308,1529.160034,1563.065063,1597.810181,1632.884033,1668.507202,1704.622192,1742.024414,1780.324463,1818.905273,1857.601074,1896.922363,1936.827393,1977.600586,2018.463501,2060.169434,2103.72168,2147.751953,2192.496338,2237.761963,2283.54834,2329.854248,2376.726563,2424.244873,2472.407227,2521.211914,2570.656982,2620.681641,2671.185059,2722.165039,2773.618896,2825.544189,2877.937988,2930.797363,2984.119385,3037.900391,3092.137695,3146.968506,3202.624512,3259.102783,3316.399414,3374.510986,3433.43335,3493.162842,3553.695068,3615.026123,3677.151367,3739.953125,3803.238037,3867.001221,3931.238281,3995.944092,4061.11377,4126.742188,4192.824707,4259.356445,4326.331055,4393.769531,4461.707031,4530.138672,4599.058594,4668.461426,4738.342285,4808.695313,4879.514648,4950.79541,5022.53125,5094.747559,5167.489746,5240.751953,5314.529297,5388.815918,5463.605957,5538.894043,5614.674805,5690.942383,5767.691895,5844.875488,5922.41748,6000.313477,6078.557617,6157.144531,6236.068848,6315.325195,6394.908691,6474.813477,6555.035156,6635.595703,6716.535645,6797.851074,6879.535645,6961.584961,7043.994141,7126.757813,7209.871094,7293.329102,7377.127441
World ,All,Cumulative C,Gt CO2,Baseline,30.22550774,31.52776337,32.84981537,34.20324326,35.592659,37.00419998,38.45449066,39.95376587,41.49368668,43.02513885,44.58957672,46.18026733,47.78474426,49.42660141,51.07101822,52.65903091,54.26131058,55.91637039,57.6067009,59.26654434,60.90861511,62.60308075,64.25354767,65.97666168,67.77010345,69.56370544,71.35491943,73.16143036,75.01465607,76.88670349,78.76876068,80.56283569,82.27093506,83.95639801,85.71084595,87.53842163,89.43922424,91.43243408,93.44511414,95.43755341,97.50531769,99.64315796,101.8158188,104.0029526,106.1850204,108.2616272,110.1830597,112.1442337,114.1532135,116.1245651,118.0814896,120.1541595,122.238472,124.3229675,126.4300766,128.589035,130.8730316,133.2535095,135.7158661,138.5661774,142.0288544,145.6033936,149.2364044,152.9698334,156.8028259,160.7217102,164.7204285,168.8023834,173.0106201,177.4423981,182.1670074,187.1552429,192.2973022,197.6202393,203.0583801,208.4516602,213.9173889,219.5710449,225.3468018,231.245163,237.1893921,243.0417786,248.7773895,254.5234985,260.4089966,266.4942627,272.7592163,279.1972961,285.8765564,292.7468567,299.7240906,306.7966309,314.0058594,321.3451233,328.7839966,336.3175964,344.0053406,351.9997864,360.1097412,367.8969727,375.7828979,383.7621155,391.8511963,400.1850891,408.8293152,417.8032837,427.0669556,436.5601501,446.143158,455.8762817,465.7437439,475.9629517,486.4274597,496.9686584,507.5412903,518.28479,529.1878052,540.3280029,551.4927368,562.8878174,574.7873535,586.8174438,599.0426636,611.4104004,623.9203491,636.5722046,649.3788452,662.3619385,675.5210571,688.8557129,702.3652954,716.0332031,729.8319702,743.7609253,757.819397,772.0065918,786.3218384,800.7642822,815.3331299,830.0274048,844.8463135,859.8273926,875.0339966,890.46521,906.1200562,921.9974976,938.0964966,954.4160156,970.954895,987.7119751,1004.686096,1021.845093,1039.135986,1056.557739,1074.108765,1091.787964,1109.593872,1127.525269,1145.580566,1163.758545,1182.057739,1200.483398,1219.045654,1237.742676,1256.573364,1275.535889,1294.629028,1313.851074,1333.200684,1352.67627,1372.276245,1392.007568,1411.882446,1431.899414,1452.057129,1472.354004,1492.788452,1513.359009,1534.064087,1554.902344,1575.87207,1596.960449,1618.146851,1639.429932,1660.808105,1682.279907,1703.843872,1725.498657,1747.242798,1769.074707,1790.993164,1813.004272,1835.119019,1857.336304,1879.654541,1902.072388,1924.588501,1947.201538,1969.910034,1992.712891,2015.608521
World ,All,Budget of C remaining,Gt C,Baseline,762.1242065,760.8219604,759.4998779,758.1464844,756.7570801,755.34552,753.8952026,752.3959351,750.8560181,749.324585,747.7601318,746.1694336,744.5649414,742.9230957,741.2786865,739.6906738,738.0883789,736.4333496,734.742981,733.0831909,731.4411011,729.7466431,728.0961914,726.3730469,724.5795898,722.7860107,720.994812,719.1882935,717.335022,715.4630127,713.5809326,711.7868652,710.0787964,708.3933105,706.638855,704.8112793,702.9104614,700.9172974,698.9046021,696.9121704,694.8443604,692.706543,690.5338745,688.3467407,686.1646729,684.0880737,682.166626,680.2054443,678.1964722,676.2251587,674.2681885,672.1955566,670.1112061,668.0267334,665.9196167,663.7606812,661.4766846,659.0961914,656.6338501,653.7835083,650.3208618,646.7463379,643.1132813,639.3798828,635.546875,631.6279907,627.6292725,623.5473022,619.3391113,614.9072876,610.1826782,605.194458,600.0524292,594.7294922,589.2913208,583.8980713,578.432312,572.7786865,567.0029297,561.1045532,555.1603394,549.3079224,543.5723267,537.8262329,531.9406738,525.8554688,519.5904541,513.1524048,506.4731445,499.6028442,492.6256104,485.5530701,478.3438416,471.0045776,463.5657043,456.0321045,448.3443909,440.3499146,432.2399597,424.4527283,416.5668335,408.5875854,400.4985352,392.1646423,383.5203857,374.5464478,365.2827759,355.7895508,346.206543,336.4734497,326.605957,316.3867493,305.9222717,295.3810425,284.8084412,274.0649109,263.1619263,252.0216827,240.8569489,229.4618835,217.5623779,205.5322571,193.3070374,180.9393311,168.4293823,155.7775269,142.970871,129.9877472,116.8286285,103.4940033,89.98440552,76.31651306,62.51776123,48.58880234,34.53033829,20.34309959,6.027853489,-8.41459465,-22.98340607,-37.67771149,-52.49660492,-67.47770691,-82.68431091,-98.11550903,-113.7703323,-129.6477814,-145.7467957,-162.0663147,-178.6052094,-195.3623047,-212.3364105,-229.4953613,-246.7863159,-264.2079773,-281.7590637,-299.4382629,-317.2441711,-335.1755066,-353.230835,-371.4088135,-389.7079773,-408.1337585,-426.6958923,-445.3930054,-464.2236023,-483.1861877,-502.2792969,-521.5014038,-540.8510132,-560.3265381,-579.9265747,-599.6577759,-619.5327148,-639.5497437,-659.7074585,-680.0042725,-700.4387207,-721.0092773,-741.7143555,-762.5526123,-783.5223389,-804.6107178,-825.7971802,-847.0802002,-868.458374,-889.9301758,-911.4942017,-933.1489868,-954.8930664,-976.7250366,-998.6434937,-1020.654541,-1042.769287,-1064.986572,-1087.30481,-1109.722656,-1132.23877,-1154.851807,-1177.560303,-1200.363159,-1223.258789
World ,All,CH4 anthropogenic emissions,Mt,Baseline,72.65496063,73.41893768,74.45872498,75.37734985,76.51223755,77.583992,78.71746826,79.73487091,80.73509216,81.70046234,82.62269592,83.54866028,84.51626587,85.7070694,86.90578461,88.14054871,89.36040497,90.57707214,91.66030884,92.69498444,93.56350708,94.39494324,95.32149506,96.25112152,97.22439575,98.2525177,99.17126465,100.1317291,101.1124878,101.9165268,102.7333908,103.4537277,104.2664948,105.1319885,106.0051498,107.0137024,107.9845505,108.9463043,109.8232422,110.8314743,111.7799759,112.8155975,114.3988876,116.1959534,118.3123779,120.6231995,122.9873123,125.233284,127.6813354,129.7880859,131.644165,133.8826141,137.0487976,140.8713837,145.1656799,149.9150238,154.7128143,159.5637665,164.2870178,168.3554535,171.9309845,174.9071045,178.9338074,182.2454987,186.8984833,191.3353577,196.2725677,201.4581604,206.7061005,211.5014648,215.9142761,211.0669861,220.5471344,222.5793762,222.3186493,226.8222809,233.221817,238.7147064,239.8369904,246.594574,248.7019653,245.9537354,264.3574829,258.0561523,253.2888184,256.303009,263.9225769,274.3400574,269.0310669,274.87854,278.4408264,277.1970825,274.053833,273.3678894,271.0559692,275.1913452,277.7992249,279.4667053,281.335144,281.8035278,284.9577332,284.0502319,291.4911194,297.8835754,307.9067078,312.092926,318.7919312,319.0174255,323.2047119,324.7382813,327.40271,331.6672668,335.2521057,335.4406433,341.0398254,345.8879089,348.0575256,350.3942261,353.8220825,369.6966553,373.3760071,377.0520935,380.7237549,384.3898926,388.0493774,391.7011414,396.1379089,400.5648499,404.980957,409.3852539,413.776825,418.0954895,422.3997498,426.6886902,430.9614563,435.2172241,439.4552307,443.6746521,447.8747559,452.0548706,456.2142639,461.7215881,467.4230347,473.0981445,478.7459717,484.3656311,489.9561462,495.5166931,501.0464478,506.5445862,512.010376,516.4920044,520.9399414,525.3536377,529.7327271,534.0767212,538.3853149,542.65802,546.8946533,551.0947266,555.2581177,559.815918,564.3361206,568.8184204,573.2625122,577.6680908,582.0349121,586.3627319,590.6513062,594.9005127,599.1101685,603.0276489,606.9063721,610.7460938,614.546875,618.3085327,622.031189,625.7147217,629.3591309,632.9644165,636.5306396,639.3970337,642.2250366,645.0147705,647.7664185,650.4802246,653.1563721,655.795105,658.3965454,660.9610596,663.4887695,666.4437866,669.3624268,672.244873,675.0912476,677.9018555,680.6767578,683.4161987,686.1204224,688.7895508,691.4238281
