model,scenario,region,sector,product_long,flow_category,flow_long,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,pathway,albania,Agriculture,Biochar,Emissions,CO2,MtCO2e,0,7.2579378824065E-11,1.4515875764813E-10,1.4515875764813E-10,1.4515875764813E-10,1.4515875764813E-10,1.4515875764813E-10,1.4515875764813E-10,1.82565052888225E-10,2.1997134812832E-10,2.57377643368415E-10,2.9478393860851E-10,3.32190233848605E-10,3.88243846417345E-10,4.44297458986084E-10,5.00351071554824E-10,5.56404684123563E-10,6.12458296692303E-10,8.84463476408337E-10,1.15646865612437E-09,1.42847383584041E-09,1.70047901555644E-09,1.97248419527247E-09,2.24242365420659E-09,2.51236311314071E-09,2.9240184617531E-09,3.33567381036549E-09,3.74732915897788E-09,4.02759722182158E-09,4.60562683881529E-09,5.18365645580899E-09,5.7616860728027E-09,5.85380605361786E-09,5.94592603443302E-09,7.02065914394321E-09,8.09539225345341E-09,8.3131303899256E-09,8.5308685263978E-09,8.74860666286999E-09,9.41019561599705E-09,1.00717845691241E-08,1.01240141085227E-08,1.10291884091029E-08,1.20010713909723E-08,1.3042021248363E-08,1.41540193910639E-08,1.53385844704899E-08,1.65966838414398E-08,1.79286451826404E-08,1.93340715788601E-08,2.0811763872041E-08,2.23596544574006E-08,2.39747568683578E-08,2.56531354006976E-08,2.73898986232911E-08,2.91792198834357E-08,3.10143868434678E-08,3.28878807223573E-08,3.4791484340692E-08,3.67164163938389E-08,3.86534877453027E-08
PD22,pathway,albania,Agriculture,Cropland Soil Health,Emissions,CO2,MtCO2e,0,1.85318389827492E-15,3.51129580725774E-15,3.31622381796564E-15,3.12115182867354E-15,2.92607983938145E-15,2.73100785008935E-15,2.53593586079725E-15,2.94408648454687E-15,3.25170000612287E-15,3.45877642552525E-15,3.56531574275401E-15,3.57131795780915E-15,3.65219780567718E-15,3.58242205566116E-15,3.36199070776109E-15,2.99090376197697E-15,2.4691612183088E-15,2.37717727258876E-15,1.55412353315249E-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,pathway,albania,Agriculture,Silvopasture,Emissions,CO2,MtCO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,pathway,albania,Agriculture,Trees in Croplands,Emissions,CO2,MtCO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,pathway,albania,Forests & Wetlands,Improved Forest Mgmt,Emissions,CH4,MtCO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,pathway,albania,Forests & Wetlands,Natural Regeneration,Emissions,CH4,MtCO2e,0,2.87408824242409E-15,5.69966387878785E-15,8.47672690909073E-15,1.12052773333333E-14,1.38853151515149E-14,1.65168403636363E-14,1.90998529696967E-14,2.16343529696969E-14,2.41203403636361E-14,2.6557815151515E-14,8.65370140187999E-14,1.07002006556865E-13,1.26065115966885E-13,1.48734400703669E-13,1.69965370681305E-13,1.92717727897384E-13,2.0435471935527E-13,2.25311506811607E-13,2.40122567539022E-13,2.57412136654746E-13,2.73376447455584E-13,2.88043617863235E-13,3.03263913091462E-13,3.17206928446914E-13,3.30790141879316E-13,3.42252534037632E-13,3.52521800389428E-13,3.65943206710696E-13,3.78988074074666E-13,3.90811331087747E-13,4.07669557889772E-13,4.19456476645497E-13,4.36313786890853E-13,4.44722644389494E-13,4.56510479701887E-13,4.70832594202428E-13,4.76708089069589E-13,4.92719600821339E-13,5.04508352690401E-13,5.12072511563437E-13,5.2386034687583E-13,5.32269204374471E-13,5.37299084059359E-13,5.46915999851721E-13,5.71479402959259E-13,5.96716586622388E-13,6.22608256014926E-13,6.49131682029433E-13,6.7626068007075E-13,7.03965623760626E-13,7.32213495708767E-13,7.60967976930117E-13,7.90189575825294E-13,8.19835796904481E-13,8.49861348642858E-13,8.80218389029458E-13,9.10856806536021E-13,9.4172453341476E-13,9.72767887461836E-13,1.00393193768413E-12
PD22,pathway,albania,Agriculture,Nitrogen Fertilizer Management,Emissions,N2O,MtCO2e,0,2.28045052631578E-15,4.56090105263157E-15,6.84135157894737E-15,9.12180210526316E-15,1.14022526315789E-14,1.36827031578947E-14,1.59631536842105E-14,1.82436042105263E-14,2.05240547368421E-14,2.28045052631579E-14,2.50849557894737E-14,2.73654063157895E-14,2.96458568421053E-14,3.1926307368421E-14,3.42067578947368E-14,3.64872084210526E-14,3.87676589473684E-14,4.10481094736842E-14,4.332856E-14,4.33285600000251E-14,4.56090105263422E-14,4.78894610526593E-14,5.01699115789764E-14,5.24503621052935E-14,5.47308126316106E-14,5.70112631579277E-14,5.92917136842448E-14,6.15721642105619E-14,6.38526147368791E-14,6.61330652631962E-14,6.84135157895133E-14,7.06939663158304E-14,7.29744168421475E-14,7.52548673684646E-14,7.75353178947817E-14,7.98157684210988E-14,8.20962189474159E-14,8.4376669473733E-14,8.66571200000501E-14,8.89375705263673E-14,9.12180210526844E-14,9.34984715790015E-14,9.57789221053186E-14,9.80593726316357E-14,1.00339823157953E-13,1.0262027368427E-13,1.04900724210587E-13,1.07181174736904E-13,1.09461625263221E-13,1.11742075789538E-13,1.14022526315855E-13,1.16302976842173E-13,1.1858342736849E-13,1.20863877894807E-13,1.22628E-13,1.22628E-13,1.22628E-13,1.22628E-13,1.22628E-13,1.22628E-13
PD21,pathway,albania,Forests & Wetlands,Avoided Coastal Impacts,Emissions,CH4,MtCO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD21,pathway,albania,Forests & Wetlands,Avoided Forest Conversion,Emissions,CH4,MtCO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD21,pathway,albania,Forests & Wetlands,Avoided Peat Impacts,Emissions,CH4,MtCO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,pathway,algeria,Agriculture,Biochar,Emissions,CO2,MtCO2e,0,5.62072529614498E-10,1.124145059229E-09,1.124145059229E-09,1.124145059229E-09,1.124145059229E-09,1.124145059229E-09,1.124145059229E-09,1.41382859372262E-09,1.70351212821625E-09,1.99319566270988E-09,2.2828791972035E-09,2.57256273169713E-09,3.00665566995325E-09,3.44074860820937E-09,3.87484154646549E-09,4.30893448472161E-09,4.74302742297773E-09,6.84950231857914E-09,8.95597721418055E-09,1.1062452109782E-08,1.31689270053834E-08,1.52754019009848E-08,1.73658793476664E-08,1.9456356794348E-08,2.26443168853923E-08,2.58322769764366E-08,2.90202370674809E-08,3.11907017587615E-08,3.56671050330759E-08,4.01435083073904E-08,4.46199115817048E-08,4.53333113308309E-08,4.6046711079957E-08,5.43697081530948E-08,6.26927052262325E-08,6.4378922815076E-08,6.60651404039195E-08,6.7751357992763E-08,7.28748652819413E-08,7.79983725711196E-08,7.84028509478434E-08,8.54127429738201E-08,9.29392434063021E-08,1.01000614680417E-07,1.09612201320055E-07,1.18785764134638E-07,1.28528794557237E-07,1.38843830212366E-07,1.49727797291019E-07,1.61171409218773E-07,1.73158653956545E-07,1.85666403573881E-07,1.98664179011029E-07,2.12114099824362E-07,2.25971042984765E-07,2.40183026501331E-07,2.54691823087719E-07,2.69433796889042E-07,2.843409433262E-07,2.99342099470017E-07
PD22,pathway,algeria,Agriculture,Cropland Soil Health,Emissions,CO2,MtCO2e,0,2.53992E-16,1.15249982477199E-14,1.08847205672911E-14,1.02444428868622E-14,9.60416520643329E-15,8.9638875260044E-15,8.32360984557551E-15,9.6632677615498E-15,1.06729364114569E-14,1.13526157952968E-14,1.17023059130695E-14,1.1722006764775E-14,1.19874757415067E-14,1.17584533404302E-14,1.10349395615455E-14,9.81693440485273E-15,8.10443787035178E-15,7.80252231796493E-15,5.10104302784767E-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,pathway,algeria,Agriculture,Improved Rice,Emissions,CH4,MtCO2e,0,8.66050250254526E-20,1.73210050050905E-19,1.73210050050905E-19,1.73210050050905E-19,1.73210050050905E-19,1.73210050050905E-19,1.73210050050905E-19,2.17844947564023E-19,2.62479845077141E-19,3.07114742590259E-19,3.51749640103377E-19,3.96384537616495E-19,4.63270264636152E-19,5.30155991655809E-19,5.97041718675467E-19,6.63927445695124E-19,7.30813172714781E-19,1.05538215881017E-18,1.37995114490556E-18,1.70452013100095E-18,2.02908911709634E-18,2.35365810319172E-18,2.67576217703639E-18,2.99786625088105E-18,3.48907218769208E-18,3.98027812450311E-18,4.47148406131414E-18,4.80591269641243E-18,5.4956439982818E-18,6.18537530015117E-18,6.87510660202055E-18,6.98502836455285E-18,7.09495012708516E-18,8.37737068996205E-18,9.65979125283895E-18,9.9196063279153E-18,1.01794214029917E-17,1.0439236478068E-17,1.12286745908E-17,1.2018112703532E-17,1.20804353720361E-17,1.31605306308309E-17,1.43202257306008E-17,1.55623345762565E-17,1.68892214763264E-17,1.83026985549419E-17,1.98039201039681E-17,2.13932771246066E-17,2.30702959995006E-17,2.4833545838564E-17,2.66805594814706E-17,2.86077733400885E-17,3.06104911526482E-17,3.26828762404374E-17,3.48179759757084E-17,3.70077808910236E-17,3.92433192339401E-17,4.15147858912127E-17,4.3811702609654E-17,4.61231044924982E-17
PD22,pathway,algeria,Agriculture,Optimal Intensity,Emissions,CO2,MtCO2e,0,2.257675E-15,4.2777E-15,6.060075E-15,7.6048E-15,8.911875E-15,9.9813E-15,1.08130749999999E-14,1.14072E-14,1.1763675E-14,1.18825E-14,1.1763675E-14,1.14072E-14,1.0813075E-14,9.98129999999997E-15,8.911875E-15,7.6048E-15,6.060075E-15,4.2777E-15,2.257675E-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
