IEA Region,Sector,Metric,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
World ,TPED,Total primary demand,30420.218,31054.839718543095,31610.394588931023,32086.88261116378,32484.30378524137,32802.65811116378,33041.94558893102,33202.16621854309,33283.32,33291.656,33264.66861873273,33532.136879473604,33802.49180810119,34075.73340461549,34351.861669016485,34630.87660130419,34912.77820147861,35197.56646953974,35485.24140548756,35775.80300932211,36069.251281043355,36365.58622065132,36664.807828145975,36966.91610352735,37271.91104679543,37579.79265795022,37890.560936991715,38204.21588391991,38520.75749873483,38840.18578143645,39162.500732024775,39487.702350499814,39815.79063686156,40146.76559111001,40480.62721324517,40817.37550326704,41157.01046117561,41499.53208697089,41844.940380652886,42193.23534222159,42544.41697167699,42898.48526901912,43255.44023424794,43615.28186736346,43978.010168365705,44343.625137254654,44712.1267740303,45083.51507869267,45457.79005124174,45834.951691677525,46215.0,46597.9349762092,46983.7566203051,47372.46493228771,47764.059912157034,48158.54155991306,48555.90987555579,48956.164859085235,49359.306510501396,49765.33482980425,50174.249816993804,50586.05147207009,51000.73979503306,51418.31478588276,51838.77644461916,52262.12477124226,52688.35976575208,53117.4814281486,53549.48975843183,53984.384756601765,54422.16642265841,54862.83475660178,55306.389758431826,55752.83142814861,56202.159765752076,56654.37477124226,57109.476444619155,57567.46478588276,58028.33979503307,58492.10147207009,58958.749816993804,59428.28482980425,59900.706510501375,60376.01485908524,60854.20987555579,61335.29155991306,61819.259912157024,62306.11493228771,62795.8566203051,63288.484976209205,63784.0
World ,TPED,Coal,13828.291,14227.46977125356,14546.079965006104,14784.12158125763,14941.594620008142,15018.49908125763,15014.834965006103,14930.60227125356,14765.801,14534.608,14322.084363781043,14351.897789002936,14383.969391952192,14418.29917262881,14454.887131032792,14493.733267164138,14534.837581022843,14578.200072608915,14623.82074192235,14671.699588963149,14721.83661373131,14774.231816226835,14828.88519644972,14885.796754399971,14944.966490077586,15006.39440348256,15070.080494614902,15136.024763474605,15204.227210061668,15274.687834376098,15347.40663641789,15422.383616187048,15499.618773683565,15579.112108907448,15660.863621858693,15744.8733125373,15831.141180943272,15919.667227076607,16010.451450937304,16103.493852525366,16198.794431840786,16296.353188883575,16396.170123653726,16498.245236151237,16602.578526376117,16709.169994328353,16818.01964000796,16929.12746341492,17042.49346454925,17158.117643410944,17276.0,17396.140534316422,17518.5392463602,17643.196136131344,17770.11120362985,17899.284448855724,18030.71587180896,18164.405472489554,18300.35325089752,18438.559207032842,18579.023340895525,18721.74565248558,18866.72614180299,19013.964808847766,19163.46165361991,19315.21667611941,19469.229876346275,19625.501254300507,19784.030809982098,19944.81854339105,20107.86445452737,20273.168543391053,20440.730809982095,20610.551254300506,20782.629876346276,20956.96667611941,21133.56165361991,21312.414808847767,21493.52614180299,21676.895652485582,21862.523340895525,22050.40920703284,22240.553250897516,22432.95547248956,22627.615871808957,22824.534448855724,23023.711203629853,23225.146136131345,23428.839246360203,23634.79053431642,23843.0
World ,TPED,Oil,10553.972,10679.260575010712,10799.546771446936,10914.83058930867,11025.112028595917,11130.391089308672,11230.667771446937,11325.942075010713,11416.214,11497.398,11544.98079652193,11639.31119815127,11734.625962778438,11830.92509040343,11928.20858102625,12026.476434646895,12125.728651265366,12225.965230881666,12327.18617349579,12429.39147910774,12532.581147717516,12636.755179325122,12741.91357393055,12848.056331533806,12955.183452134888,13063.294935733793,13172.390782330527,13282.470991925089,13393.535564517473,13505.584500107687,13618.617798695726,13732.635460281592,13847.637484865283,13963.623872446802,14080.594623026143,14198.549736603312,14317.489213178309,14437.41305275113,14558.32125532178,14680.213820890254,14803.090749456554,14926.95204102068,15051.797695582634,15177.627713142414,15304.44209370002,15432.24083725545,15561.023943808708,15690.791413359791,15821.543245908704,15953.279441455441,16086.000000000002,16219.704921542394,16354.394206082607,16490.067853620647,16626.725864156517,16764.368237690207,16902.99497422173,17042.606073751074,17183.20153627825,17324.781361803245,17467.34555032607,17610.894101846723,17755.4270163652,17900.944293881505,18047.445934395633,18194.93193790759,18343.402304417374,18492.85703392498,18643.296126430414,18794.719581933674,18947.127400434758,19100.519581933673,19254.896126430413,19410.25703392498,19566.60230441737,19723.93193790759,19882.245934395633,20041.544293881503,20201.8270163652,20363.094101846724,20525.34555032607,20688.581361803248,20852.801536278246,21018.006073751076,21184.19497422173,21351.368237690207,21519.525864156512,21688.667853620645,21858.794206082606,22029.90492154239,22202.0
World ,TPED,Natural gas,6037.955,6148.0568349772875,6264.677788532494,6387.8178606656165,6517.477051376659,6653.655360665618,6796.352788532493,6945.569334977288,7101.305,7259.719,7397.766633373508,7541.147186694931,7684.171344162212,7826.8391057753515,7969.150471534349,8111.1054414392065,8252.70401548992,8393.946193686494,8534.831976028925,8675.361362517217,8815.534353151364,8955.350947931373,9094.811146857237,9233.914949928962,9372.662357146544,9511.053368509985,9649.087984019287,9786.766203674442,9924.088027475458,10061.053455422334,10197.662487515066,10333.915123753657,10469.81136413811,10605.351208668419,10740.534657344584,10875.36171016661,11009.832367134493,11143.946628248235,11277.704493507836,11411.105962913294,11544.151036464613,11676.839714161788,11809.171996004825,11941.147881993715,12072.767372128466,12204.030466409076,12334.937164835543,12465.487467407871,12595.681374126056,12725.518884990102,12855.000000000002,12984.124719155763,13112.893042457381,13241.304969904857,13369.360501498195,13497.059637237388,13624.402377122442,13751.388721153351,13878.018669330122,14004.29222165275,14130.209378121235,14255.770138735581,14380.974503495783,14505.822472401844,14630.314045453768,14754.449222651545,14878.22800399518,15001.65038948468,15124.71637912003,15247.425972901241,15369.779170828313,15491.775972901243,15613.41637912003,15734.700389484678,15855.628003995182,15976.199222651543,16096.414045453765,16216.272472401844,16335.774503495784,16454.920138735582,16573.709378121235,16692.14222165275,16810.21866933012,16927.938721153354,17045.30237712244,17162.309637237388,17278.96050149819,17395.254969904854,17511.19304245738,17626.77471915576,17742.0
World ,Power sector,Power sector,12393.1,12814.59290450708,13166.741407726426,13449.54550965803,13663.0052103019,13807.120509658032,13881.891407726423,13887.317904507081,13823.4,13699.1,13568.191739275997,13604.314608971672,13642.397598504393,13682.440707874162,13724.443937080978,13768.407286124842,13814.330755005753,13862.214343723714,13912.058052278717,13963.861880670773,14017.625828899872,14073.349896966025,14131.03408486922,14190.678392609463,14252.282820186756,14315.847367601093,14381.372034852478,14448.856821940914,14518.301728866394,14589.706755628924,14663.0719022285,14738.397168665124,14815.682554938796,14894.928061049515,14976.13368699728,15059.299432782094,15144.425298403956,15231.511283862867,15320.557389158823,15411.563614291827,15504.529959261876,15599.456424068976,15696.343008713124,15795.189713194315,15895.996537512556,15998.763481667844,16103.490545660181,16210.177729489564,16318.825033155996,16429.432456659477,16542.0,16656.527663177578,16773.015446192196,16891.463349043865,17011.87137173258,17134.239514258345,17258.56777662116,17384.856158821014,17513.104660857924,17643.313282731877,17775.482024442877,17909.610885990925,18045.699867376024,18183.748968598164,18323.758189657357,18465.727530553595,18609.656991286884,18755.546571857216,18903.396272264596,19053.206092509026,19204.9760325905,19358.706092509026,19514.396272264596,19672.046571857216,19831.65699128688,19993.227530553595,20156.758189657354,20322.248968598164,20489.699867376024,20659.11088599093,20830.482024442877,21003.813282731877,21179.10466085792,21356.356158821014,21535.567776621156,21716.739514258345,21899.87137173258,22084.963349043865,22272.0154461922,22461.027663177574,22652.0
World ,Power sector,Coal,8929.51,9348.161961558031,9689.138005528055,9952.438131910068,10138.062340704073,10246.01063191007,10276.283005528054,10228.87946155803,10103.8,9914.45,9741.261736434299,9745.449190610649,9751.30618337227,9758.832714719163,9768.028784651326,9778.89439316876,9791.429540271467,9805.634225959446,9821.508450232695,9839.052213091216,9858.265514535007,9879.148354564073,9901.700733178406,9925.922650378014,9951.814106162894,9979.375100533041,10008.605633488463,10039.505705029156,10072.075315155118,10106.314463866356,10142.223151162862,10179.801377044641,10219.04914151169,10259.966444564012,10302.553286201604,10346.809666424468,10392.735585232604,10440.33104262601,10489.596038604688,10540.530573168639,10593.134646317858,10647.40825805235,10703.351408372117,10760.96409727715,10820.246324767459,10881.198090843036,10943.819395503886,11008.110238750007,11074.0706205814,11141.700540998065,11211.0,11281.968997587208,11354.607533759685,11428.915608517435,11504.893221860457,11582.54037378875,11661.857064302314,11742.843293401147,11825.499061085256,11909.824367354635,11995.819212209284,12083.483595649206,12172.817517674397,12263.820978284863,12356.493977480599,12450.836515261606,12546.848591627884,12644.530206579435,12743.881360116256,12844.902052238347,12947.592282945712,13051.95205223835,13157.981360116255,13265.680206579436,13375.048591627885,13486.086515261606,13598.793977480598,13713.170978284863,13829.217517674399,13946.933595649207,14066.319212209284,14187.374367354636,14310.099061085255,14434.49329340115,14560.557064302313,14688.29037378875,14817.693221860456,14948.765608517435,15081.507533759686,15215.918997587209,15352.0
World ,Power sector,Oil,843.902,798.3340607861412,758.771532776242,725.2144159703025,697.6627103683228,676.1164159703027,660.5755327762421,651.0400607861411,647.51,648.225,642.6229582792313,634.9279170182225,627.439515106138,620.1577525429781,613.0826293287428,606.2141454634319,599.5523009470456,593.0970957795838,586.8485299610464,580.8066034914339,574.9713163707455,569.342668598982,563.9206601761426,558.7052911022279,553.6965613772379,548.8944710011722,544.2990199740311,539.9102082958145,535.7280359665224,531.7525029861549,527.9836093547117,524.4213550721933,521.0657401385993,517.9167645539299,514.9744283181849,512.2387314313644,509.70967389346845,507.387255704497,505.2714768644501,503.3623373733278,501.6598372311299,500.1639764378566,498.87475499350785,497.7921728980835,496.91623015158376,496.2469267540085,495.7842627053578,495.52823800563147,495.4788526548299,495.6361066529528,496.0,496.5705326959719,497.3477047408683,498.3315161346892,499.5219668774347,500.91905696910453,502.52278640969905,504.333155199218,506.35016333766157,508.57381082502957,511.0040976613221,513.6410238465392,516.4845893806807,519.5347942637468,522.7916384957375,526.2551220766527,529.9252450064923,533.8020072852564,537.8854089129452,542.1754498895584,546.6721302150961,551.3754498895585,556.2854089129451,561.4020072852566,566.7252450064923,572.2551220766526,577.9916384957376,583.9347942637469,590.0845893806808,596.4410238465392,603.004097661322,609.7738108250296,616.7501633376614,623.933155199218,631.3227864096989,638.9190569691045,646.7219668774345,654.7315161346892,662.9477047408683,671.3705326959719,680.0
World ,Power sector,Natural gas,2619.64,2668.1446474389872,2718.951895609692,2772.0617445121156,2827.474194146257,2885.189244512116,2945.2068956096923,3007.527147438987,3072.15,3136.4,3184.224427682608,3223.7713942781616,3263.4041261410157,3303.122623271172,3342.9268856686303,3382.8169133333895,3422.7927062654508,3462.8542644648137,3503.001587931478,3543.2346766654446,3583.5535306667116,3623.9581499352817,3664.4485344711525,3705.0246842743245,3745.6865993447987,3786.4342796825745,3827.267725287652,3868.1869361600316,3909.1919122997115,3950.2826537066944,3991.4591603809786,4032.721432322564,4074.0694695314514,4115.503272007641,4157.022839751131,4198.6281727619225,4240.319271040016,4282.096134585412,4323.958763398109,4365.907157478107,4407.941316825408,4450.061241440009,4492.266931321914,4534.558386471119,4576.935606887626,4619.398592571433,4661.947343522544,4704.581859740955,4747.302141226669,4790.108187979684,4833.0,4875.977577287619,4919.040919842539,4962.190027664759,5005.424900754283,5048.745539111107,5092.151942735234,5135.6441116266615,5179.222045785393,5222.885745211423,5266.635209904756,5310.47043986539,5354.391435093326,5398.398195588565,5442.490721351104,5486.669012380945,5530.933068678088,5575.282890242532,5619.718477074277,5664.239829173325,5708.846946539674,5753.539829173325,5798.318477074277,5843.182890242532,5888.1330686780875,5933.169012380944,5978.2907213511035,6023.498195588565,6068.791435093326,6114.170439865391,6159.635209904755,6205.185745211424,6250.822045785391,6296.544111626663,6342.351942735234,6388.245539111107,6434.224900754282,6480.29002766476,6526.440919842538,6572.677577287619,6619.0
World ,TFC,Total final consumption,16384.9,16578.199113130475,16768.512729652244,16955.840849565306,17140.183472869663,17321.54059956531,17499.912229652244,17675.298363130478,17847.699,18010.5,18124.016521565587,18223.94934466987,18323.77405310013,18423.49064685636,18523.099125938577,18622.599490346773,18721.991740080946,18821.2758751411,18920.451895527225,19019.519801239338,19118.47959227742,19217.331268641487,19316.07483033153,19414.71027734755,19513.23760968955,19611.65682735753,19709.967930351486,19808.170918671425,19906.265792317336,20004.25255128923,20102.1311955871,20199.90172521095,20297.56414016078,20395.11844043659,20492.564626038373,20589.902696966135,20687.13265321988,20784.2544947996,20881.268221705297,20978.173833936977,21074.97133149463,21171.660714378264,21268.24198258788,21364.715136123472,21461.080174985043,21557.33709917259,21653.485908686114,21749.52660352562,21845.459183691106,21941.283649182566,22037.000000000007,22132.60823614343,22228.108357612826,22323.500364408203,22418.784256529558,22513.960033976888,22609.027696750203,22703.987244849493,22798.838678274762,22893.58199702601,22988.217201103234,23082.744290506438,23177.16326523562,23271.474125290784,23365.676870671923,23459.771501379044,23553.75801741214,23647.636418771217,23741.40670545627,23835.068877467296,23928.622934804305,24022.068877467296,24115.406705456262,24208.63641877121,24301.758017412132,24394.771501379037,24487.67687067192,24580.47412529078,24673.163265235617,24765.744290506438,24858.21720110323,24950.581997026005,25042.838678274755,25134.987244849486,25227.027696750196,25318.960033976884,25410.78425652955,25502.500364408195,25594.108357612822,25685.60823614342,25777.0
World ,TFC,Coal,4473.65,4459.5759851004905,4444.2527601722695,4427.680325215337,4409.858680229693,4390.787825215337,4370.467760172269,4348.898485100491,4326.08,4301.82,4274.964655875704,4267.482845235326,4260.434762504871,4253.820407684338,4247.639780773728,4241.892881773038,4236.579710682272,4231.70026750143,4227.254552230507,4223.242564869509,4219.6643054184315,4216.519773877277,4213.808970246045,4211.5318945247345,4209.688546713347,4208.278926811881,4207.303034820338,4206.760870738718,4206.652434567019,4206.977726305244,4207.736745953389,4208.9294935114585,4210.555968979449,4212.616172357362,4215.110103645198,4218.037762842956,4221.399149950636,4225.194264968239,4229.423107895763,4234.08567873321,4239.181977480579,4244.712004137871,4250.675758705085,4257.073241182222,4263.90445156928,4271.169389866262,4278.868056073165,4287.000450189989,4295.566572216738,4304.566422153409,4314.000000000001,4323.867305756516,4334.168339422953,4344.903100999312,4356.071590485594,4367.673807881798,4379.709753187924,4392.179426403974,4405.082827529945,4418.419956565838,4432.190813511654,4446.395398367392,4461.033711133052,4476.1057518086345,4491.61152039414,4507.551016889567,4523.924241294917,4540.731193610189,4557.971873835382,4575.646281970499,4593.754418015537,4612.296281970499,4631.2718738353815,4650.6811936101885,4670.524241294916,4690.801016889566,4711.511520394139,4732.655751808635,4754.233711133052,4776.245398367392,4798.690813511653,4821.569956565838,4844.882827529944,4868.629426403973,4892.809753187924,4917.423807881798,4942.471590485593,4967.953100999312,4993.868339422953,5020.217305756515,5047.0
