Region,Variable,Unit,IEA Sector,IEA Metric,GCAM Metric,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,EIA Metric,BNEF Metric,WWS Metric
ASIA ,Primary Energy,EJ/yr,TPED,Total primary demand,Primary Energy,1.0194805194805194,1.019019529056515,1.018563857271718,1.0181135041261282,1.0176684696197458,1.0172287537525706,1.016794356524603,1.0163652779358427,1.0159415179862896,1.0155230766759442,1.0151099540048059,1.0147021499728752,1.0142996645801516,1.0139024978266356,1.0135106497123267,1.0131241202372254,1.0127429094013314,1.0123670172046446,1.0119964436471653,1.0116311887288936,1.011271252449829,1.0109166348099718,1.0105673358093221,1.0102233554478794,1.0098846937256443,1.0095513506426166,1.0092233261987964,1.0089006203941835,1.0085832332287779,1.0082711647025795,1.0079644148155886,1.0076629835678053,1.007366870959229,1.0070760769898601,1.0067906016596986,1.0065104449687445,1.006235606916998,1.0059660875044587,1.0057018867311265,1.0054430045970022,1.005189441102085,1.004941196246375,1.0046982700298723,1.0044606624525774,1.0042283735144895,1.004001403215609,1.0037797515559364,1.0035634185354707,1.0033524041542123,1.0031467084121612,1.0029463313093179,1.0027512728456816,1.0025615330212527,1.0023771118360312,1.0021980092900173,1.0020242253832103,1.001855760115611,1.001692613487219,1.0015347854980343,1.001382276148057,Generation,Generation,
LAM ,Primary Energy,EJ/yr,TPED,Total primary demand,Primary Energy,1.0166666666666666,1.0168063402471785,1.016937314659008,1.0170595899021544,1.0171731659766179,1.017278042882399,1.0173742206194973,1.0174616991879128,1.0175404785876456,1.0176105588186954,1.0176719398810627,1.0177246217747473,1.0177686044997492,1.017803888056068,1.0178304724437044,1.0178483576626578,1.0178575437129287,1.0178580305945166,1.017849818307422,1.0178329068516445,1.0178072962271845,1.0177729864340415,1.0177299774722157,1.0176782693417072,1.017617862042516,1.017548755574642,1.0174709499380854,1.017384445132846,1.0172892411589238,1.017185338016319,1.0170727357050313,1.016951434225061,1.0168214335764076,1.0166827337590716,1.016535334773053,1.0163792366183517,1.0162144392949675,1.0160409428029005,1.015858747142151,1.0156678523127185,1.0154682583146033,1.0152599651478056,1.0150429728123247,1.0148172813081615,1.0145828906353151,1.0143398007937865,1.014088011783575,1.0138275236046805,1.0135583362571037,1.0132804497408436,1.0129938640559009,1.0126985792022756,1.0123945951799675,1.0120819119889768,1.011760529629303,1.0114304481009468,1.0110916674039077,1.010744187538186,1.0103880085037813,1.010023130300694,Generation,Generation,
MAF ,Primary Energy,EJ/yr,TPED,Total primary demand,Primary Energy,1.0201754385964912,1.019989797919291,1.0198042911738263,1.0196189183600972,1.0194336794781034,1.0192485745278457,1.019063603509323,1.018878766422536,1.0186940632674846,1.0185094940441688,1.0183250587525885,1.018140757392744,1.0179565899646348,1.0177725564682611,1.017588656903623,1.0174048912707205,1.0172212595695538,1.017037761800122,1.0168543979624265,1.0166711680564662,1.0164880720822416,1.0163051100397522,1.0161222819289986,1.0159395877499806,1.015757027502698,1.0155746011871511,1.0153923088033396,1.0152101503512638,1.0150281258309237,1.0148462352423189,1.0146644785854497,1.014482855860316,1.014301367066918,1.0141200122052556,1.0139387912753286,1.013757704277137,1.0135767512106815,1.013395932075961,1.0132152468729763,1.013034695601727,1.0128542782622136,1.0126739948544354,1.0124938453783927,1.012313829834086,1.0121339482215146,1.0119542005406785,1.0117745867915784,1.0115951069742137,1.0114157610885846,1.0112365491346909,1.0110574711125326,1.0108785270221103,1.010699716863423,1.010521040636472,1.0103424983412561,1.0101640899777755,1.009985815546031,1.0098076750460219,1.009629668477748,1.00945179584121,Generation,Generation,
OECD90 ,Primary Energy,EJ/yr,TPED,Total primary demand,Primary Energy,1.0047413793103448,1.004489627664201,1.0042451698612835,1.0040080059015923,1.0037781357851272,1.0035555595118886,1.0033402770818758,1.0031322884950893,1.002931593751529,1.002738192851195,1.002552085794087,1.0023732725802055,1.0022017532095502,1.002037527682121,1.0018805959979178,1.001730958156941,1.0015886141591903,1.001453564004666,1.0013258076933678,1.0012053452252958,1.0010921766004501,1.0009863018188305,1.0008877208804372,1.0007964337852702,1.0007124405333292,1.0006357411246145,1.0005663355591259,1.0005042238368638,1.0004494059578277,1.0004018819220177,1.0003616517294343,1.0003287153800766,1.0003030728739455,1.0002847242110402,1.0002736693913614,1.000269908414909,1.0002734412816825,1.0002842679916824,1.0003023885449083,1.0003278029413605,1.000360511181039,1.0004005132639435,1.0004478091900741,1.0005023989594315,1.0005642825720145,1.000633460027824,1.00070993132686,1.0007936964691218,1.0008847554546099,1.000983108283324,1.0010887549552645,1.0012016954704313,1.001321929828824,1.0014494580304434,1.0015842800752888,1.00172639596336,1.001875805694658,1.002032509269182,1.002196506686932,1.0023677979479084,Generation,Generation,
World ,Primary Energy,EJ/yr,TPED,Total primary demand,Primary Energy,1.0142691415313225,1.013995394347362,1.01372522410297,1.0134586307981455,1.013195614432889,1.0129361750072015,1.0126803125210813,1.0124280269745294,1.0121793183675456,1.0119341867001297,1.011692631972282,1.0114546541840024,1.011220253335291,1.0109894294261474,1.010762182456572,1.0105385124265647,1.0103184193361257,1.0101019031852543,1.0098889639739512,1.0096796017022163,1.0094738163700494,1.0092716079774506,1.0090729765244197,1.0088779220109574,1.0086864444370627,1.008498543802736,1.0083142201079778,1.0081334733527876,1.0079563035371655,1.007782710661111,1.007612694724625,1.007446255727707,1.0072833936703571,1.0071241085525753,1.0069684003743615,1.0068162691357159,1.0066677148366383,1.0065227374771288,1.0063813370571872,1.006243513576814,1.0061092670360088,1.0059785974347715,1.0058515047731023,1.0057279890510014,1.0056080502684686,1.0054916884255034,1.0053789035221068,1.0052696955582783,1.0051640645340174,1.0050620104493249,1.0049635333042004,1.004868633098644,1.0047773098326558,1.0046895635062356,1.0046053941193835,1.0045248016720993,1.0044477861643835,1.0043743475962357,1.0043044859676555,1.004238201278644,Generation,Generation,
World ,Primary Energy | Coal,EJ/yr,TPED,Coal,Primary Energy | Coal,1.0230529595015576,1.0225655387092003,1.02208270654588,1.0216044630115968,1.0211308081063504,1.0206617418301414,1.020197264182969,1.019737375164834,1.0192820747757358,1.0188313630156747,1.0183852398846507,1.0179437053826639,1.0175067595097138,1.017074402265801,1.0166466336509248,1.016223453665086,1.0158048623082843,1.0153908595805192,1.0149814454817914,1.0145766200121007,1.014176383171447,1.0137807349598302,1.0133896753772507,1.013003204423708,1.0126213220992024,1.0122440284037337,1.0118713233373022,1.0115032068999077,1.0111396790915503,1.0107807399122297,1.010426389361946,1.0100766274407,1.0097314541484905,1.0093908694853182,1.0090548734511828,1.0087234660460846,1.0083966472700236,1.0080744171229992,1.007756775605012,1.007443722716062,1.0071352584561488,1.0068313828252728,1.0065320958234336,1.0062373974506316,1.0059472877068667,1.0056617665921388,1.0053808341064479,1.005104490249794,1.0048327350221773,1.0045655684235972,1.0043029904540546,1.0040450011135487,1.0037916004020802,1.0035427883196484,1.0032985648662538,1.003058930041896,1.0028238838465755,1.0025934262802918,1.0023675573430453,1.0021462770348357,Nuclear,Nuclear,
OECD90 ,Primary Energy | Coal,EJ/yr,TPED,Coal,Primary Energy | Coal,1.0230529595015576,1.0225655387092003,1.02208270654588,1.0216044630115968,1.0211308081063504,1.0206617418301414,1.020197264182969,1.019737375164834,1.0192820747757358,1.0188313630156747,1.0183852398846507,1.0179437053826639,1.0175067595097138,1.017074402265801,1.0166466336509248,1.016223453665086,1.0158048623082843,1.0153908595805192,1.0149814454817914,1.0145766200121007,1.014176383171447,1.0137807349598302,1.0133896753772507,1.013003204423708,1.0126213220992024,1.0122440284037337,1.0118713233373022,1.0115032068999077,1.0111396790915503,1.0107807399122297,1.010426389361946,1.0100766274407,1.0097314541484905,1.0093908694853182,1.0090548734511828,1.0087234660460846,1.0083966472700236,1.0080744171229992,1.007756775605012,1.007443722716062,1.0071352584561488,1.0068313828252728,1.0065320958234336,1.0062373974506316,1.0059472877068667,1.0056617665921388,1.0053808341064479,1.005104490249794,1.0048327350221773,1.0045655684235972,1.0043029904540546,1.0040450011135487,1.0037916004020802,1.0035427883196484,1.0032985648662538,1.003058930041896,1.0028238838465755,1.0025934262802918,1.0023675573430453,1.0021462770348357,Nuclear,Nuclear,
LAM ,Primary Energy | Coal,EJ/yr,TPED,Coal,Primary Energy | Coal,1.0230529595015576,1.0225655387092003,1.02208270654588,1.0216044630115968,1.0211308081063504,1.0206617418301414,1.020197264182969,1.019737375164834,1.0192820747757358,1.0188313630156747,1.0183852398846507,1.0179437053826639,1.0175067595097138,1.017074402265801,1.0166466336509248,1.016223453665086,1.0158048623082843,1.0153908595805192,1.0149814454817914,1.0145766200121007,1.014176383171447,1.0137807349598302,1.0133896753772507,1.013003204423708,1.0126213220992024,1.0122440284037337,1.0118713233373022,1.0115032068999077,1.0111396790915503,1.0107807399122297,1.010426389361946,1.0100766274407,1.0097314541484905,1.0093908694853182,1.0090548734511828,1.0087234660460846,1.0083966472700236,1.0080744171229992,1.007756775605012,1.007443722716062,1.0071352584561488,1.0068313828252728,1.0065320958234336,1.0062373974506316,1.0059472877068667,1.0056617665921388,1.0053808341064479,1.005104490249794,1.0048327350221773,1.0045655684235972,1.0043029904540546,1.0040450011135487,1.0037916004020802,1.0035427883196484,1.0032985648662538,1.003058930041896,1.0028238838465755,1.0025934262802918,1.0023675573430453,1.0021462770348357,Nuclear,Nuclear,
MAF ,Primary Energy | Coal,EJ/yr,TPED,Coal,Primary Energy | Coal,1.0230529595015576,1.0225655387092003,1.02208270654588,1.0216044630115968,1.0211308081063504,1.0206617418301414,1.020197264182969,1.019737375164834,1.0192820747757358,1.0188313630156747,1.0183852398846507,1.0179437053826639,1.0175067595097138,1.017074402265801,1.0166466336509248,1.016223453665086,1.0158048623082843,1.0153908595805192,1.0149814454817914,1.0145766200121007,1.014176383171447,1.0137807349598302,1.0133896753772507,1.013003204423708,1.0126213220992024,1.0122440284037337,1.0118713233373022,1.0115032068999077,1.0111396790915503,1.0107807399122297,1.010426389361946,1.0100766274407,1.0097314541484905,1.0093908694853182,1.0090548734511828,1.0087234660460846,1.0083966472700236,1.0080744171229992,1.007756775605012,1.007443722716062,1.0071352584561488,1.0068313828252728,1.0065320958234336,1.0062373974506316,1.0059472877068667,1.0056617665921388,1.0053808341064479,1.005104490249794,1.0048327350221773,1.0045655684235972,1.0043029904540546,1.0040450011135487,1.0037916004020802,1.0035427883196484,1.0032985648662538,1.003058930041896,1.0028238838465755,1.0025934262802918,1.0023675573430453,1.0021462770348357,Nuclear,Nuclear,
ASIA ,Primary Energy | Coal,EJ/yr,TPED,Coal,Primary Energy | Coal,1.0230529595015576,1.0225655387092003,1.02208270654588,1.0216044630115968,1.0211308081063504,1.0206617418301414,1.020197264182969,1.019737375164834,1.0192820747757358,1.0188313630156747,1.0183852398846507,1.0179437053826639,1.0175067595097138,1.017074402265801,1.0166466336509248,1.016223453665086,1.0158048623082843,1.0153908595805192,1.0149814454817914,1.0145766200121007,1.014176383171447,1.0137807349598302,1.0133896753772507,1.013003204423708,1.0126213220992024,1.0122440284037337,1.0118713233373022,1.0115032068999077,1.0111396790915503,1.0107807399122297,1.010426389361946,1.0100766274407,1.0097314541484905,1.0093908694853182,1.0090548734511828,1.0087234660460846,1.0083966472700236,1.0080744171229992,1.007756775605012,1.007443722716062,1.0071352584561488,1.0068313828252728,1.0065320958234336,1.0062373974506316,1.0059472877068667,1.0056617665921388,1.0053808341064479,1.005104490249794,1.0048327350221773,1.0045655684235972,1.0043029904540546,1.0040450011135487,1.0037916004020802,1.0035427883196484,1.0032985648662538,1.003058930041896,1.0028238838465755,1.0025934262802918,1.0023675573430453,1.0021462770348357,Nuclear,Nuclear,
