model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
PD22,baseline,angola,Agriculture,AFOLU,Cropland Soil Health,Cropland Soil Health,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3930931594047823e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,angola,Forests & Wetlands,AFOLU,Coastal Restoration,Coastal Restoration,Emissions,CO2,CO2,Mha,0.00013002250413507563,0.00019412259265257447,0.0002725668120268224,0.0003684843855738505,0.0004856470083197308,0.0006,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005
PD22,baseline,angola,Forests & Wetlands,AFOLU,Natural Regeneration,Natural Regeneration,Emissions,CO2,CO2,Mha,0.05175239832754328,0.057896116160486684,0.0638,0.0697038838395133,0.0756077676790266,0.08151165151853991,0.08741553535805321,0.09331941919756652,0.09922330303707982,0.10512718687659313,0.11103107071610643,0.11693495455561974,0.12283883839513306,0.12874272223464636,0.13464660607415965,0.14055048991367297,0.14645437375318626,0.15235825759269958,0.1582621414322129,0.1641660252717262,0.1700699091112395,0.1759737929507528,0.18187767679026612,0.1877815606297794,0.19368544446929273,0.19958932830880602,0.20549321214831934,0.21139709598783266,0.21730097982734595,0.22320486366685924,0.2291087475063725,0.2350126313458858,0.24091651518539908,0.24682039902491237,0.25272428286442566,0.25862816670393896,0.2645320505434522,0.2704359343829655,0.2763398182224788,0.28224370206199206,0.28814758590150535,0.29405146974101865,0.29995535358053194,0.30585923742004517,0.31176312125955846,0.31766700509907175,0.32357088893858504,0.32947477277809833,0.3353786566176116,0.3412825404571249,0.34718642429663815,0.35309030813615144,0.35899419197566473,0.364898075815178,0.3708019596546913,0.3767058434942046,0.3826097273337179,0.3885136111732312,0.3944174950127444,0.4003213788522577,0.406225262691771
PD22,baseline,angola,Agriculture,AFOLU,Nitrogen Fertilizer Management,Nitrogen Fertilizer Management,Emissions,N2O,N2O,Percent adoption,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,angola,Forests & Wetlands,AFOLU,Avoided Coastal Impacts,Avoided Coastal Impacts,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,angola,Forests & Wetlands,AFOLU,Avoided Forest Conversion,Avoided Forest Conversion,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,angola,Forests & Wetlands,AFOLU,Avoided Peat Impacts,Avoided Peat Impacts,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,angola,Agriculture,AFOLU,Biochar,Biochar,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.635650617390896e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,angola,Forests & Wetlands,AFOLU,Peat Restoration,Peat Restoration,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,angola,Agriculture,AFOLU,Agroforestry,Agroforestry,Emissions,CO2,CO2,Mha,11.089646900843903,12.046509613422964,13.051907170521275,14.102809782783877,15.1332,16.16359021721612,17.193980434432245,18.224370651648368,19.25476086886449,20.285151086080614,21.315541303296737,22.345931520512863,23.376321737728986,24.40671195494511,25.437102172161232,26.467492389377355,27.49788260659348,28.5282728238096,29.558663041025724,30.589053258241847,31.61944347545797,32.64983369267409,33.680223909890216,34.71061412710634,35.74100434432246,36.771394561538585,37.80178477875471,38.83217499597083,39.862565213186954,40.89295543040308,41.9233456476192,42.9093,42.9093,42.9093,42.9093,42.9093,42.9093,42.9093,42.9093,42.9093,42.9093,42.9093,42.9093,42.9093,42.9093,42.9093,42.9093,42.9093,42.9093,42.9093,42.9093,42.9093,42.9093,42.9093,42.9093,42.9093,42.9093,42.9093,42.9093,42.9093,42.9093
PD22,baseline,angola,Agriculture,AFOLU,Improved Rice,Improved Rice,Emissions,CH4,CH4,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0002369401489226e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,angola,Agriculture,AFOLU,Optimal Intensity,Optimal Intensity,Emissions,CO2,CO2,Mha,0.18307820397777552,0.20607752235258045,0.2316661942454853,0.2601168396088847,0.29172621074333427,0.32681621074307554,0.36573465410129646,0.40885567408703133,0.4565796639284645,0.5093326205338892,0.516,0.5226673794661109,0.5293347589322217,0.5360021383983326,0.5426695178644435,0.5493368973305544,0.5560042767966653,0.5626716562627763,0.5693390357288872,0.5760064151949981,0.582673794661109,0.58934117412722,0.5960085535933308,0.6026759330594418,0.6093433125255527,0.6160106919916637,0.6226780714577745,0.6293454509238855,0.6360128303899965,0.6426802098561073,0.6493475893222183,0.6560149687883292,0.6626823482544402,0.669349727720551,0.676017107186662,0.6826844866527729,0.6893518661188838,0.6960192455849947,0.7026866250511057,0.7093540045172166,0.7160213839833275,0.7226887634494384,0.7293561429155494,0.7360235223816602,0.7426909018477712,0.7493582813138822,0.7560256607799931,0.762693040246104,0.7693604197122149,0.7760277991783259,0.7826951786444368,0.7893625581105477,0.7960299375766586,0.8026973170427696,0.8093646965088804,0.8160320759749914,0.8226994554411023,0.8293668349072133,0.8360342143733241,0.8427015938394351,0.8493689733055461
PD22,baseline,angola,Forests & Wetlands,AFOLU,Improved Forest Management,Improved Forest Management,Emissions,CO2,CO2,m3,31936.22735955684,36611.16822175672,41773.89397016037,47469.828860646696,53747.39030005222,57550.0,61352.60969994779,65155.21939989558,68957.82909984337,70335.0908397981,71458.84526642301,72329.09237971804,72945.83217968325,73309.06466631858,73418.78983962406,73275.0076995997,72877.71824624548,72226.92147956141,71322.61739954748,70164.80600620371,68753.48729953007,67088.6612795266,65170.32794619327,62998.487299530076,60573.13933953704,57894.28406621415,54961.9214795614,51776.05157957881,48336.674366266365,44643.789839624056,40697.397999651905,36497.49884634991,32044.09237971804,27337.17859975634,22376.757506464783,17162.829099843373,11695.393379892113,5974.450346610984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,angola,Forests & Wetlands,AFOLU,Avoided Coastal Impacts,Avoided Coastal Impacts,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.432066256704e-05,7.6256134865955e-05,0.0001276398928027575,0.000190565372368365,0.0002675721322252837,0.00036173205390103123,0.00047674771759135875,0.0006170622927038849,0.000787978682028225,0.0009957831864759823,0.0012478653237509886,0.0015528203446034626,0.0019205142316112023,0.0023620825691591024,0.0028898251835149423,0.0035169493102026033,0.004257108047666738,0.005123682514188525,0.006128771585992575,0.0072818890483941365,0.008588428962211613,0.010048043893407224,0.01165317338345955,0.013388033037486976,0.015228388908697536,0.01714236272347946,0.01909233245823559,0.02103774538409486,0.022938423979217363,0.024757807800573375,0.026465592572845874,0.028039393817495848,0.02946530938017986,0.030737493371402587,0.031857013815650065,0.03283032265557787,0.033667635922994175,0.034381441323150526,0.03498525774446276,0.0354926917173927,0.035916780569008044,0.03626958115231147,0.0365619512318562,0.0368034711386475,0.03700246033468444,0.03716605293574841,0.03730030557483465,0.03741031904477839,0.03750036153677925,0.0375
PD22,pathway,angola,Forests & Wetlands,AFOLU,Avoided Forest Conversion,Avoided Forest Conversion,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02319478,0.04638956,0.06958434000000001,0.09277912,0.1159739,0.13916868000000002,0.16236346000000001,0.18555824000000004,0.20875302000000004,0.23194780000000007,0.25514258000000006,0.2783373600000001,0.3015321400000001,0.3247269200000001,0.3479217000000001,0.37111648000000014,0.3943112600000001,0.41750604000000013,0.44070082000000016,0.46389560000000013,0.48709038000000004,0.51028516,0.53347994,0.55667472,0.5798694999999999,0.6030642799999999,0.6262590599999999,0.6494538399999998,0.6726486199999998,0.6958433999999997,0.7190381799999996,0.7422329599999996,0.7654277399999996,0.7886225199999995,0.8118172999999995,0.8350120799999995,0.8582068599999995,0.8814016399999994,0.9045964199999994,0.9277911999999994,0.9509859799999995,0.9741807599999995,0.9973755399999996,1.0205703199999996,1.0437650999999997,1.0669598799999997,1.0901546599999998,1.11334944,1.13654422,1.159739
