model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
PD22,baseline,eqguinea,Agriculture,AFOLU,Cropland Soil Health,Cropland Soil Health,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.80987614107625e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,eqguinea,Forests & Wetlands,AFOLU,Avoided Coastal Impacts,Avoided Coastal Impacts,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,eqguinea,Forests & Wetlands,AFOLU,Avoided Forest Conversion,Avoided Forest Conversion,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,eqguinea,Forests & Wetlands,AFOLU,Avoided Peat Impacts,Avoided Peat Impacts,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,eqguinea,Agriculture,AFOLU,Biochar,Biochar,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2897792122972949e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,eqguinea,Forests & Wetlands,AFOLU,Peat Restoration,Peat Restoration,Emissions,CO2,CO2,Mha,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008
PD22,baseline,eqguinea,Agriculture,AFOLU,Improved Rice,Improved Rice,Emissions,CH4,CH4,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,eqguinea,Forests & Wetlands,AFOLU,Coastal Restoration,Coastal Restoration,Emissions,CO2,CO2,Mha,0.0,7.246252375950944e-08,2.352109407927808e-05,5.226087109480116e-05,8.747587320082314e-05,0.0001,0.0002,0.00030000000000000003,0.0004,0.0005,0.0006000000000000001,0.0007,0.0008,0.0009000000000000001,0.001,0.0011,0.0012000000000000001,0.0013000000000000002,0.0014,0.0015,0.0016,0.0017000000000000001,0.0018000000000000002,0.0019,0.002,0.0021,0.0022,0.0023,0.0024000000000000002,0.0025,0.0026000000000000003,0.0027,0.0028,0.0029000000000000002,0.003,0.0031000000000000003,0.0032,0.0033,0.0033999999999999994,0.003499999999999999,0.0035999999999999986,0.0036999999999999984,0.003799999999999998,0.0038999999999999977,0.0039999999999999975,0.004099999999999997,0.004199999999999996,0.0042999999999999965,0.004399999999999996,0.004499999999999995,0.004599999999999996,0.004699999999999995,0.004799999999999994,0.004899999999999994,0.004999999999999994,0.005099999999999993,0.005199999999999993,0.005299999999999993,0.0053999999999999925,0.005499999999999992,0.005599999999999991
PD22,baseline,eqguinea,Forests & Wetlands,AFOLU,Natural Regeneration,Natural Regeneration,Emissions,CO2,CO2,Mha,0.004930199964731925,0.005274546560949042,0.0056,0.005925453439050958,0.006250906878101915,0.006576360317152872,0.006901813756203829,0.007227267195254786,0.007552720634305743,0.007878174073356699,0.008203627512407656,0.008529080951458613,0.00885453439050957,0.009179987829560527,0.009505441268611484,0.00983089470766244,0.010156348146713397,0.010481801585764354,0.010807255024815311,0.011132708463866268,0.011458161902917225,0.011783615341968182,0.012109068781019139,0.012434522220070094,0.012759975659121051,0.013085429098172008,0.013410882537222965,0.0135,0.0135,0.0135,0.0135,0.0135,0.0135,0.0135,0.0135,0.0135,0.0135,0.0135,0.0135,0.0135,0.0135,0.0135,0.0135,0.0135,0.0135,0.0135,0.0135,0.0135,0.0135,0.0135,0.0135,0.0135,0.0135,0.0135,0.0135,0.0135,0.0135,0.0135,0.0135,0.0135,0.0135
PD22,baseline,eqguinea,Agriculture,AFOLU,Nitrogen Fertilizer Management,Nitrogen Fertilizer Management,Emissions,N2O,N2O,Percent adoption,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,eqguinea,Forests & Wetlands,AFOLU,Improved Forest Management,Improved Forest Management,Emissions,CO2,CO2,m3,20809.87881813,23856.104401665976,27220.174176907276,30931.686920490898,35022.19176806183,37500.0,39977.80823193818,42455.61646387635,44933.42469581453,45830.85849682761,46563.105082378155,47130.164452466146,47532.0366070916,47768.7215462545,47840.21926995486,47746.52977819268,47487.65307096795,47063.58914828067,46474.33801013085,45719.899656518486,44800.27408744358,43715.46130290612,42465.46130290612,41050.27408744358,39469.899656518486,37724.33801013085,35813.58914828067,33737.65307096794,31496.52977819267,29090.219269954858,26518.7215462545,23782.03660709159,20880.164452466142,17813.105082378148,14580.858496827608,11183.424695814525,7620.803679338895,3892.9954474007195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,eqguinea,Agriculture,AFOLU,Agroforestry,Agroforestry,Emissions,CO2,CO2,Mha,0.002663117225635706,0.002852450609242885,0.003045858690159026,0.0032422194328763122,0.0033,0.0033577805671236877,0.0034155611342473755,0.0034733417013710632,0.003531122268494751,0.0035889028356184387,0.003646683402742127,0.003704463969865815,0.0037622445369895033,0.003820025104113191,0.0038778056712368792,0.003935586238360568,0.003993366805484256,0.004051147372607944,0.004108927939731632,0.004166708506855321,0.004224489073979008,0.004282269641102697,0.004340050208226385,0.004397830775350073,0.004455611342473761,0.00451339190959745,0.0045711724767211375,0.004628953043844826,0.004686733610968514,0.0047445141780922025,0.00480229474521589,0.004860075312339579,0.004917855879463267,0.004975636446586955,0.005033417013710643,0.005091197580834332,0.005148978147958019,0.005206758715081707,0.005264539282205396,0.0053223198493290835,0.005380100416452772,0.00543788098357646,0.0054956615507001485,0.005553442117823836,0.005611222684947525,0.005669003252071213,0.005726783819194901,0.005784564386318589,0.005842344953442278,0.005900125520565965,0.005957906087689654,0.006015686654813342,0.00607346722193703,0.006131247789060718,0.006189028356184407,0.0062468089233080944,0.006304589490431783,0.006362370057555471,0.006420150624679159,0.006477931191802847,0.006535711758926536
PD22,baseline,eqguinea,Agriculture,AFOLU,Optimal Intensity,Optimal Intensity,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.974151855557084e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,eqguinea,Forests & Wetlands,AFOLU,Avoided Coastal Impacts,Avoided Coastal Impacts,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.297196347820544e-05,5.104077293694588e-05,8.543363491597902e-05,0.00012755175590522565,0.00017909494716945659,0.00024211932141109027,0.0003191031389744828,0.00041302036124980036,0.0005274203978375586,0.0006665108794812576,0.0008352378566973285,0.001039354417321251,0.0012854641923584315,0.001581020599623826,0.0019342563228326682,0.002354011404962276,0.0028494243199049364,0.0034294514961635196,0.0041021911148910305,0.0048740110697251425,0.00574852178537364,0.0067254907126539035,0.007799857384662259,0.00896105677975795,0.010192868309554886,0.011473954782915586,0.01277913452537902,0.014081264243754162,0.015353451783422822,0.01657122602118378,0.017714303295424838,0.018767700928510555,0.01972211374513372,0.02057362889659213,0.02132296124727511,0.02197442929746679,0.022534870977790767,0.02301264472562875,0.023416799183627077,0.023756441656174847,0.024040298460856053,0.02427643965128048,0.024472132691189086,0.02463379001546806,0.024766980117348784,0.024876478098327603,0.024966337864755994,0.025039973547305003,0.025100241988617576,0.0251
PD22,pathway,eqguinea,Forests & Wetlands,AFOLU,Avoided Forest Conversion,Avoided Forest Conversion,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00051898,0.00103796,0.0015569400000000001,0.00207592,0.0025949000000000002,0.0031138800000000003,0.0036328600000000003,0.00415184,0.004670820000000001,0.005189800000000001,0.005708780000000002,0.0062277600000000015,0.006746740000000002,0.007265720000000002,0.007784700000000002,0.008303680000000003,0.008822660000000003,0.009341640000000003,0.009860620000000004,0.010379600000000003,0.010898580000000001,0.01141756,0.011936539999999999,0.01245552,0.012974499999999998,0.013493479999999997,0.014012459999999996,0.014531439999999994,0.015050419999999995,0.015569399999999994,0.016088379999999992,0.01660735999999999,0.01712633999999999,0.01764531999999999,0.018164299999999987,0.01868327999999999,0.01920225999999999,0.019721239999999987,0.020240219999999986,0.020759199999999988,0.021278179999999987,0.02179715999999999,0.02231613999999999,0.022835119999999993,0.023354099999999992,0.023873079999999994,0.024392059999999997,0.02491104,0.025430019999999998,0.025949
PD22,pathway,eqguinea,Forests & Wetlands,AFOLU,Avoided Peat Impacts,Avoided Peat Impacts,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.066552333582e-06,2.2422835411729e-06,3.5489363219579e-06,5.000682930965501e-06,6.6131335518697e-06,8.4034593308784e-06,1.0390520359847199e-05,1.25949972743965e-05,1.5039524625988e-05,1.7748823571776e-05,2.07498306892314e-05,2.40718188520645e-05,2.774650509084e-05,3.18081392022213e-05,3.62935655692097e-05,4.12422492273212e-05,4.6696255690749106e-05,5.2700172492583795e-05,5.9300958876022106e-05,6.654770871521009e-05,7.44913107008378e-05,8.31839892963661e-05,9.26787102007578e-05,0.000103028435328151,0.00011428521494874001,0.000126499108949482,0.000139716935461452,0.000153980853578503,0.000169326797635254,0.000185782793383336,0.00020336720097675402,0.000222086945169544,0.000241935808370438,0.00026289287564108,0.000284921230521692,0.000307967004747453,0.000331958881628593,0.00035680814069532303,0.00038240930952319104,0.000408641457902275,0.000435370131402044,0.000462449878873151,0.000489727285491341,0.000517044384105534,0.0005442422873288329,0.000571164864650936,0.0005976622851050331,0.0006235942571623691,0.000648832822160018,0.000673264592678541
PD22,pathway,eqguinea,Agriculture,AFOLU,Biochar,Biochar,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2897792122972949e-08,0.0,8.27523171528032e-06,1.751641144015112e-05,2.785211565682728e-05,3.941129919722912e-05,5.2337939134799363e-05,6.679274178951415e-05,8.2955032865208e-05,0.00010102484759762304,0.00012122523861093238,0.00014380481981891366,0.00016904056507621303,0.0001972408802823256,0.0002287489671259436,0.0002639464954634525,0.00030325759924557945,0.00034715320767970975,0.0003961557186381793,0.00045084401481896837,0.0005118588143976036,0.0005799083363610555,0.0006557742457974663,0.0007403178254599842,0.0008344862961975791,0.0009393191795701391,0.0010559545603449987,0.0011856350638560344,0.0013297133127683053,0.001489656569240888,0.0016670502018314697,0.0018635995423555108,0.0020811296177946545,0.0023215821589200655,0.002587009204797154,0.002879562546951587,0.003201478197205763,0.003555055030152731,0.003942626758757473,0.004366526465997483,0.004829043054935876,0.005332369212788637,0.005878540828310902,0.006469368268297474,0.007106360511458353,0.007790643846275713,0.00852287763543925,0.009303170482946335,0.010131000937164692,0.01100514752853531,0.01192363336350008,0.012883690563237526
