model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
PD22,baseline,ghana,Agriculture,AFOLU,Agroforestry,Agroforestry,Emissions,CO2,CO2,Mha,4.570827514115196,4.938857604432916,5.321455330544073,5.716951792803965,6.0039,6.290848207196035,6.57779641439207,6.864744621588105,7.151692828784141,7.438641035980176,7.72558924317621,8.012537450372244,8.29948565756828,8.586433864764313,8.873382071960348,9.160330279156382,9.447278486352417,9.73422669354845,10.021174900744485,10.30812310794052,10.595071315136554,10.88201952233259,11.168967729528623,11.455915936724658,11.742864143920691,12.029812351116727,12.31676055831276,12.603708765508795,12.89065697270483,13.177605179900864,13.464553387096899,13.751501594292932,14.038449801488968,14.325398008685001,14.612346215881036,14.89929442307707,15.027,15.027,15.027,15.027,15.027,15.027,15.027,15.027,15.027,15.027,15.027,15.027,15.027,15.027,15.027,15.027,15.027,15.027,15.027,15.027,15.027,15.027,15.027,15.027,15.027
PD22,baseline,ghana,Agriculture,AFOLU,Nitrogen Fertilizer Management,Nitrogen Fertilizer Management,Emissions,N2O,N2O,Percent adoption,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,ghana,Forests & Wetlands,AFOLU,Coastal Restoration,Coastal Restoration,Emissions,CO2,CO2,Mha,1.9036527503851518e-05,4.229673613898304e-05,7.079759387459615e-05,0.00010570025987365311,0.0001484133426742907,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
PD22,baseline,ghana,Forests & Wetlands,AFOLU,Natural Regeneration,Natural Regeneration,Emissions,CO2,CO2,Mha,0.11448866926040745,0.12874464090901952,0.1345,0.1402553590909805,0.14601071818196099,0.1517660772729415,0.157521436363922,0.16327679545490248,0.169032154545883,0.17478751363686348,0.180542872727844,0.1862982318188245,0.19205359090980498,0.1978089500007855,0.20356430909176598,0.2093196681827465,0.215075027273727,0.22083038636470748,0.226585745455688,0.23234110454666848,0.23809646363764897,0.24385182272862949,0.24960718181960997,0.25536254091059046,0.261117900001571,0.2668732590925515,0.27262861818353196,0.2783839772745125,0.284139336365493,0.2898946954564735,0.29565005454745397,0.3014054136384345,0.307160772729415,0.31291613182039546,0.318671490911376,0.3244268500023565,0.33018220909333695,0.33593756818431747,0.341692927275298,0.3474482863662785,0.35320364545725896,0.3589590045482395,0.36471436363922,0.37046972273020046,0.376225081821181,0.3819804409121615,0.38773580000314195,0.39349115909412247,0.399246518185103,0.40500187727608344,0.41075723636706396,0.4165125954580445,0.422267954549025,0.42802331364000545,0.43377867273098597,0.4395340318219665,0.44528939091294695,0.45104475000392746,0.456800109094908,0.46255546818588844,0.46831082727686896
PD22,baseline,ghana,Agriculture,AFOLU,Optimal Intensity,Optimal Intensity,Emissions,CO2,CO2,Mha,0.05869078363818178,0.06606385148150189,0.07426700823650922,0.0833876497717114,0.09352090824750556,0.1047699786070696,0.1172463624094225,0.1310699984253608,0.14636924378213936,0.16328066357506688,0.1654,0.16751933642493314,0.16963867284986625,0.1717580092747994,0.17387734569973248,0.17599668212466563,0.17811601854959874,0.1802353549745319,0.182354691399465,0.18447402782439815,0.18659336424933126,0.1887127006742644,0.19083203709919752,0.19295137352413066,0.19507070994906378,0.19719004637399692,0.19930938279893004,0.20142871922386318,0.2035480556487963,0.20566739207372944,0.2077867284986626,0.2099060649235957,0.21202540134852885,0.21414473777346196,0.2162640741983951,0.21838341062332822,0.22050274704826137,0.22262208347319448,0.22474141989812763,0.22686075632306074,0.22898009274799389,0.231099429172927,0.23321876559786014,0.23533810202279326,0.2374574384477264,0.23957677487265952,0.24169611129759266,0.24381544772252578,0.24593478414745892,0.24805412057239204,0.2501734569973252,0.2522927934222583,0.2544121298471914,0.2565314662721246,0.2586508026970577,0.2607701391219908,0.26288947554692393,0.2650088119718571,0.2671281483967902,0.26924748482172334,0.27136682124665645
PD22,baseline,ghana,Forests & Wetlands,AFOLU,Avoided Coastal Impacts,Avoided Coastal Impacts,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,ghana,Forests & Wetlands,AFOLU,Avoided Forest Conversion,Avoided Forest Conversion,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,ghana,Forests & Wetlands,AFOLU,Avoided Peat Impacts,Avoided Peat Impacts,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,ghana,Agriculture,AFOLU,Biochar,Biochar,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6531218613125762e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,ghana,Forests & Wetlands,AFOLU,Peat Restoration,Peat Restoration,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
