model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
PD22,baseline,poland,Agriculture,AFOLU,Agroforestry,Agroforestry,Emissions,CO2,CO2,Mha,0.317020006825518,0.3578907887652266,0.4034145180475154,0.45409372909505014,0.4663,0.47850627090494985,0.4907125418098997,0.5029188127148495,0.5151250836197994,0.5273313545247492,0.5395376254296991,0.5517438963346489,0.5639501672395988,0.5761564381445486,0.5883627090494985,0.6005689799544485,0.6127752508593982,0.6249815217643481,0.6371877926692978,0.6493940635742477,0.6616003344791974,0.6738066053841473,0.686012876289097,0.6982191471940468,0.7104254180989966,0.7226316890039464,0.7348379599088962,0.747044230813846,0.7592505017187957,0.7714567726237456,0.7836630435286953,0.7958693144336452,0.8080755853385949,0.8202818562435448,0.8324881271484945,0.8446943980534443,0.8569006689583941,0.8691069398633439,0.8813132107682937,0.8935194816732435,0.9057257525781932,0.9179320234831431,0.9301382943880928,0.9423445652930427,0.9545508361979924,0.9667571071029423,0.978963378007892,0.9911696489128418,1.0033759198177916,1.0155821907227414,1.027788461627691,1.039994732532641,1.0522010034375908,1.0644072743425406,1.0766135452474903,1.08881981615244,1.10102608705739,1.1132323579623398,1.1254386288672895,1.1376448997722393,1.149851170677189
PD22,baseline,poland,Agriculture,AFOLU,Optimal Intensity,Optimal Intensity,Emissions,CO2,CO2,Mha,0.029422028315680467,0.033118189747038,0.03723047953706181,0.04180270973865881,0.046882570652476405,0.05252179449866917,0.058776277651818226,0.06570614610942734,0.07337574603964267,0.08185353831233222,0.0829,0.0839464616876678,0.08499292337533558,0.08603938506300338,0.08708584675067116,0.08813230843833897,0.08917877012600677,0.09022523181367456,0.09127169350134236,0.09231815518901015,0.09336461687667796,0.09441107856434576,0.09545754025201356,0.09650400193968135,0.09755046362734916,0.09859692531501696,0.09964338700268476,0.10068984869035255,0.10173631037802035,0.10278277206568816,0.10382923375335595,0.10487569544102375,0.10592215712869155,0.10696861881635936,0.10801508050402715,0.10906154219169495,0.11010800387936275,0.11115446556703054,0.11220092725469835,0.11324738894236615,0.11429385063003394,0.11534031231770174,0.11638677400536955,0.11743323569303735,0.11847969738070514,0.11952615906837294,0.12057262075604074,0.12161908244370855,0.12266554413137634,0.12371200581904414,0.12475846750671193,0.12580492919437974,0.12685139088204753,0.12789785256971534,0.12894431425738315,0.12999077594505093,0.13103723763271874,0.13208369932038652,0.13313016100805433,0.13417662269572214,0.13522308438338992
PD22,baseline,poland,Agriculture,AFOLU,Cropland Soil Health,Cropland Soil Health,Emissions,CO2,CO2,Mha,0.23166894230223892,0.26197679251563527,0.2957513055736199,0.3333708889562171,0.37525082357108,0.4032,0.4311491764289199,0.4590983528578399,0.4870475292867599,0.5149967057156798,0.5429458821445997,0.5708950585735196,0.5988442350024396,0.6267934114313595,0.6547425878602793,0.6826917642891992,0.7106409407181191,0.738590117147039,0.766539293575959,0.7944884700048789,0.8224376464337988,0.8503868228627186,0.8783359992916385,0.9062851757205584,0.9342343521494784,0.9621835285783983,0.9901327050073182,1.018081881436238,1.046031057865158,1.0739802342940779,1.1019294107229978,1.1298785871519177,1.1578277635808376,1.1857769400097575,1.2137261164386774,1.2416752928675974,1.2696244692965173,1.2975736457254372,1.325522822154357,1.3534719985832768,1.3814211750121967,1.4093703514411167,1.4373195278700366,1.4652687042989565,1.4932178807278764,1.5211670571567963,1.5491162335857163,1.5770654100146362,1.605014586443556,1.632963762872476,1.660912939301396,1.6888621157303159,1.7168112921592356,1.7447604685881555,1.7727096450170754,1.8006588214459953,1.8286079978749152,1.8565571743038352,1.884506350732755,1.912455527161675,1.940404703590595
PD22,baseline,poland,Forests & Wetlands,AFOLU,Avoided Coastal Impacts,Avoided Coastal Impacts,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,poland,Forests & Wetlands,AFOLU,Avoided Forest Conversion,Avoided Forest Conversion,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,poland,Forests & Wetlands,AFOLU,Avoided Peat Impacts,Avoided Peat Impacts,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,poland,Agriculture,AFOLU,Biochar,Biochar,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7163934282831808e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,poland,Forests & Wetlands,AFOLU,Peat Restoration,Peat Restoration,Emissions,CO2,CO2,Mha,0.9561156373464352,0.9803371973698942,1.0031344725889721,1.024508184807908,1.0444745049908737,1.053,1.0615254950091262,1.0700509900182522,1.0785764850273785,1.0871019800365047,1.095627475045631,1.104152970054757,1.1126784650638832,1.1212039600730095,1.1297294550821355,1.1382549500912618,1.146780445100388,1.1553059401095143,1.1638314351186403,1.1723569301277665,1.1808824251368928,1.1894079201460188,1.197933415155145,1.2064589101642713,1.2149844051733973,1.2235099001825236,1.2320353951916498,1.240560890200776,1.2490863852099021,1.256,1.256,1.256,1.256,1.256,1.256,1.256,1.256,1.256,1.256,1.256,1.256,1.256,1.256,1.256,1.256,1.256,1.256,1.256,1.256,1.256,1.256,1.256,1.256,1.256,1.256,1.256,1.256,1.256,1.256,1.256,1.256
PD22,baseline,poland,Agriculture,AFOLU,Improved Rice,Improved Rice,Emissions,CH4,CH4,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,poland,Forests & Wetlands,AFOLU,Coastal Restoration,Coastal Restoration,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
