model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
PD22,baseline,slovakia,Forests & Wetlands,AFOLU,Improved Forest Management,Improved Forest Management,Emissions,CO2,CO2,m3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,slovakia,Forests & Wetlands,AFOLU,Natural Regeneration,Natural Regeneration,Emissions,CO2,CO2,Mha,0.0060153397024091315,0.006678845060127402,0.007413797547502102,0.008227488430400243,0.00912786048124161,0.010123544707520919,0.011223893814391256,0.012439010719870238,0.013779770083532594,0.015257830414238784,0.01688563389671875,0.018676390633363356,0.02064404355595912,0.02280320985071669,0.02516909439741133,0.02775737050016712,0.030584023146128236,0.033665150243765415,0.03701671784936957,0.040654266378108976,0.04459256630193428,0.0488452239335202,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523,0.0523
PD22,baseline,slovakia,Forests & Wetlands,AFOLU,Peat Restoration,Peat Restoration,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,slovakia,Agriculture,AFOLU,Nitrogen Fertilizer Management,Nitrogen Fertilizer Management,Emissions,N2O,N2O,Percent adoption,0.06203527972599915,0.06718048492429758,0.07255861345993106,0.0781496748374309,0.08392928686938356,0.08986895117858636,0.09593650786026077,0.10209676072904396,0.10831225159253136,0.11454414982419288,0.12075321361958162,0.12690077297829822,0.13294968250416314,0.13886519482155585,0.14461571240108104,0.15017338594600255,0.15551453989574865,0.160619918578891,0.16547475869956044,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003,0.16584414000000003
PD22,baseline,slovakia,Agriculture,AFOLU,Agroforestry,Agroforestry,Emissions,CO2,CO2,Mha,0.005775289538108843,0.006460626107601506,0.0072270383688207325,0.008084054525799942,0.009042306722363985,0.010113654967898003,0.011311323971470683,0.012650053971595868,0.014146266670829575,0.01581824738428081,0.017686344480627017,0.019773187123495673,0.022103922197845408,0.024706471114752153,0.027611806910815752,0.030854251672897983,0.034471793799218525,0.03850642392333505,0.043004487443291266,0.048017050474574656,0.05360027463910297,0.059815794366977953,0.06673108827612466,0.07441983366260298,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821
PD22,baseline,slovakia,Agriculture,AFOLU,Optimal Intensity,Optimal Intensity,Emissions,CO2,CO2,Mha,0.0004506955342230283,0.0005041939120958165,0.0005640251160198335,0.000630934384154788,0.0007057535470842652,0.0007894108114641637,0.0008829415789812617,0.0009875003922360072,0.0011043741024715247,0.0012349963559838764,0.0013809634960382567,0.0015440519744541904,0.0017262373608479713,0.0019297150267625594,0.0021569225652205578,0.0024105639820366912,0.002693635661570902,0.003009454064233747,0.0033616850532975553,0.003754374671370771,0.004191981088796766,0.004679407323454989,0.005222034179931558,0.005825752671677822,0.006496994968698066,0.007242762652256901,0.00807065075505466,0.008988865720346862,0.010006235029775197,0.011132205834956443,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122
PD22,baseline,slovakia,Agriculture,AFOLU,Cropland Soil Health,Cropland Soil Health,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003077918153829215,0.0034434538510101473,0.0038523051147041627,0.004309580723309888,0.004820985952324961,0.005392890700175972,0.006032405011157539,0.006747462700842485,0.007546913830770971,0.008440626815487013,0.009439600973264971,0.01,0.015,0.02,0.025,0.03,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035
PD22,baseline,slovakia,Forests & Wetlands,AFOLU,Avoided Coastal Impacts,Avoided Coastal Impacts,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,slovakia,Forests & Wetlands,AFOLU,Avoided Forest Conversion,Avoided Forest Conversion,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,slovakia,Forests & Wetlands,AFOLU,Avoided Peat Impacts,Avoided Peat Impacts,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
