model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
PD22,baseline,slovenia,Agriculture,AFOLU,Agroforestry,Agroforestry,Emissions,CO2,CO2,Mha,0.0274127693903205,0.0306448026786316,0.0342218406028172,0.0381758127459151,0.0384,0.0386241872540848,0.0388483745081696,0.0390725617622545,0.0392967490163393,0.0395209362704241,0.039745123524509,0.0399693107785938,0.0401934980326787,0.0404176852867635,0.0406418725408483,0.0408660597949332,0.041090247049018,0.0413144343031029,0.0415386215571877,0.0417628088112725,0.0419869960653574,0.0422111833194422,0.042435370573527,0.0426595578276119,0.0428837450816967,0.0431079323357815,0.0433321195898664,0.0435563068439512,0.043780494098036,0.0440046813521209,0.0442288686062057,0.0444530558602906,0.0446772431143754,0.0449014303684602,0.0451256176225451,0.0453498048766299,0.0455739921307147,0.0457981793847996,0.0460223666388844,0.0462465538929692,0.0464707411470541,0.0466949284011389,0.0469191156552237,0.0471433029093086,0.0473674901633934,0.0475916774174783,0.0478158646715631,0.0480400519256479,0.0482642391797328,0.0484884264338176,0.0487126136879024,0.0489368009419873,0.0491609881960721,0.0493851754501569,0.0496093627042418,0.0498335499583266,0.0500577372124114,0.0502819244664963,0.0505061117205811,0.050730298974666,0.0509544862287508
PD22,baseline,slovenia,Agriculture,AFOLU,Biochar,Biochar,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1454819565209546e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,slovenia,Agriculture,AFOLU,Cropland Soil Health,Cropland Soil Health,Emissions,CO2,CO2,Mha,0.0007142857142857,0.0010714285714285,0.0014285714285714,0.0017857142857142,0.0021428571428571,0.0025,0.0028571428571428,0.0032142857142857,0.0035714285714285,0.0039285714285714,0.0042857142857142,0.0046428571428571,0.0049999999999999,0.0053571428571428,0.0057142857142857,0.0060714285714285,0.0064285714285714,0.0067857142857142,0.0071428571428571,0.0075,0.0078571428571428,0.0082142857142857,0.0085714285714285,0.0089285714285714,0.0092857142857142,0.0096428571428571,0.01,0.0103571428571428,0.0107142857142857,0.0110714285714285,0.0114285714285714,0.0117857142857142,0.0121428571428571,0.0125,0.0128571428571428,0.0132142857142857,0.0135714285714285,0.0139285714285714,0.0142857142857142,0.0146428571428571,0.015,0.0153571428571428,0.0157142857142857,0.0160714285714285,0.0164285714285714,0.0167857142857142,0.0171428571428571,0.0175,0.0178571428571428,0.0182142857142857,0.0185714285714285,0.0189285714285714,0.0192857142857142,0.0196428571428571,0.02,0.0203571428571428,0.0207142857142857,0.0210714285714285,0.0214285714285714,0.0217857142857142,0.0221428571428571
PD22,baseline,slovenia,Agriculture,AFOLU,Improved Rice,Improved Rice,Emissions,CH4,CH4,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,slovenia,Agriculture,AFOLU,Improved Rice,Improved Rice,Emissions,N2O,N2O,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,slovenia,Agriculture,AFOLU,Optimal Intensity,Optimal Intensity,Emissions,CO2,CO2,Mha,0.001577434554802,0.0017756007960751,0.001996077370448,0.0022412132201972,0.0025135652162278,0.0028159069331823,0.0031512352029518,0.0035227736247077,0.0039339720581271,0.0043885009687749,0.0044,0.004411499031225,0.0044229980624501,0.0044344970936752,0.0044459961249003,0.0044574951561254,0.0044689941873504,0.0044804932185755,0.0044919922498006,0.0045034912810257,0.0045149903122508,0.0045264893434758,0.0045379883747009,0.004549487405926,0.0045609864371511,0.0045724854683762,0.0045839844996012,0.0045954835308263,0.0046069825620514,0.0046184815932765,0.0046299806245016,0.0046414796557266,0.0046529786869517,0.0046644777181768,0.0046759767494019,0.004687475780627,0.004698974811852,0.0047104738430771,0.0047219728743022,0.0047334719055273,0.0047449709367524,0.0047564699679775,0.0047679689992025,0.0047794680304276,0.0047909670616527,0.0048024660928778,0.0048139651241029,0.0048254641553279,0.004836963186553,0.0048484622177781,0.0048599612490032,0.0048714602802283,0.0048829593114533,0.0048944583426784,0.0049059573739035,0.0049174564051286,0.0049289554363537,0.0049404544675788,0.0049519534988038,0.0049634525300289,0.004974951561254
PD22,baseline,slovenia,Forests & Wetlands,AFOLU,Avoided Coastal Impacts,Avoided Coastal Impacts,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,slovenia,Forests & Wetlands,AFOLU,Avoided Forest Conversion,Avoided Forest Conversion,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,slovenia,Forests & Wetlands,AFOLU,Avoided Peat Impacts,Avoided Peat Impacts,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,slovenia,Forests & Wetlands,AFOLU,Coastal Restoration,Coastal Restoration,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
