model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
PD22,baseline,sudan,Agriculture,AFOLU,Optimal Intensity,Optimal Intensity,Emissions,CO2,CO2,Mha,0.06484872487502225,0.07254638621065825,0.08115525181412774,0.09078255093603471,0.10154797225434789,0.11358507160329422,0.1270428286687647,0.142087365832207,0.1589038428209397,0.17769854109808336,0.1987011519238125,0.22216728163666488,0.2483811868151739,0.27765875043216126,0.3103507077119122,0.3468461269185307,0.3875761454612495,0.4330179551744494,0.4836990220317761,0.5402015144463246,0.6031669001942105,0.6733006543320479,0.7513769986785928,0.8382435669056549,0.9348258574734669,1.0421312990842049,1.161252709723851,1.2933708807259539,1.4397559620805904,1.6017672655393302,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551,1.7551
PD22,baseline,sudan,Agriculture,AFOLU,Agroforestry,Agroforestry,Emissions,CO2,CO2,Mha,0.0,0.14621696508209445,0.1635817933847801,0.18300433419306797,0.20472728079358593,0.2290216631574149,0.2561900842678923,0.28657030784919807,0.3205392310040495,0.3585172772377248,0.40097324706819837,0.44842966476534,0.5014686605389188,0.5607384274909457,0.6269602915671474,0.70093643023508,0.7835582712481124,0.8758155960756885,0.9788063627542265,1.0937472492473168,1.221984899981685,1.3650078339606355,1.5244589415113414,1.702148456890538,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037,1.8037
PD22,baseline,sudan,Agriculture,AFOLU,Nitrogen Fertilizer Management,Nitrogen Fertilizer Management,Emissions,N2O,N2O,Percent adoption,0.07991397101687328,0.08769907277317487,0.0960621999968616,0.10501142235390144,0.11454807927812063,0.12466581060824783,0.13534970122036177,0.14657560347119472,0.15830970209439504,0.1705083814634856,0.18311844407865502,0.19607771166237023,0.20931601714965983,0.22275656886336861,0.23631763983825022,0.2499145087073299,0.2634615569881781,0.2768744137708325,0.2900720345545377,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008,0.30259008
PD22,baseline,sudan,Forests & Wetlands,AFOLU,Improved Forest Management,Improved Forest Management,Emissions,CO2,CO2,m3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10724.392169473449,11935.626143164529,13282.07659009171,14778.461930138323,16441.01336249376,18287.609097317873,20337.915323828413,22613.532861434815,25138.1479689402,27937.68520688852,31040.45954417083,34477.324056711484,38281.808569681314,42490.24343488486,47141.861307475585,52278.868295713706,57850.0,57850.0,57850.0,57850.0,55921.666666666664,53993.33333333334,52065.0,50136.66666666667,48208.33333333334,46280.0,44351.66666666667,42423.33333333334,40495.0,38566.66666666667,36638.333333333336,34710.0,32781.66666666667,30853.33333333334,28925.0,26996.66666666667,25068.33333333334,23140.0,21211.66666666667,19283.33333333334,17355.0,15426.66666666667,13498.333333333338,11570.0,9641.66666666667,7713.333333333338,5785.000000000006,3856.6666666666747,1928.3333333333374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,sudan,Forests & Wetlands,AFOLU,Coastal Restoration,Coastal Restoration,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,sudan,Forests & Wetlands,AFOLU,Avoided Coastal Impacts,Avoided Coastal Impacts,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,sudan,Forests & Wetlands,AFOLU,Avoided Forest Conversion,Avoided Forest Conversion,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,sudan,Forests & Wetlands,AFOLU,Avoided Peat Impacts,Avoided Peat Impacts,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,sudan,Agriculture,AFOLU,Biochar,Biochar,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,sudan,Agriculture,AFOLU,Improved Rice,Improved Rice,Emissions,CH4,CH4,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
