model,scenario,region,sector,product_long,flow_category,flow_long,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,armenia,Forests & Wetlands,Avoided Coastal Impacts,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,armenia,Forests & Wetlands,Avoided Forest Conversion,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,armenia,Forests & Wetlands,Avoided Peat Impacts,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,armenia,Agriculture,Biochar,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,armenia,Forests & Wetlands,Coastal Restoration,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,armenia,Agriculture,Cropland Soil Health,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,armenia,Forests & Wetlands,Improved Forest Mgmt,Emissions,CO2,m3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,armenia,Agriculture,Improved Rice,Emissions,CH4,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,armenia,Forests & Wetlands,Natural Regeneration,Emissions,CO2,Mha,0.0009027777777777777,0.0009208333333333333,0.0009388888888888888,0.0009569444444444443,0.000975,0.0009930555555555556,0.001011111111111111,0.0010291666666666665,0.0010472222222222222,0.0010652777777777778,0.0010833333333333333,0.0011013888888888887,0.0011194444444444444,0.0011375,0.0011555555555555555,0.001173611111111111,0.0011916666666666666,0.0012097222222222223,0.0012277777777777777,0.0012458333333333332,0.0012638888888888888,0.0012819444444444445,0.0013,0.0013000000000040017,0.001318055555559613,0.001336111111115224,0.0013541666666708353,0.0013722222222264464,0.0013902777777820574,0.0014083333333376686,0.0014263888888932797,0.001444444444448891,0.001462500000004502,0.0014805555555601133,0.0014986111111157242,0.0015166666666713354,0.0015347222222269466,0.0015527777777825577,0.001570833333338169,0.0015888888888937799,0.001606944444449391,0.0016250000000050022,0.0016430555555606134,0.0016611111111162246,0.0016791666666718357,0.0016972222222274467,0.0017152777777830579,0.001733333333338669,0.0017513888888942802,0.0017694444444498914,0.0017875000000055026,0.0018055555555611135,0.0018236111111167247,0.0018416666666723359,0.001859722222227947,0.0018777777777835582,0.0018958333333391692,0.0019138888888947804,0.0019319444444503915,0.0019500000000060027,0.001968055555561614
PD22,baseline,armenia,Agriculture,Nitrogen Fertilizer Management,Emissions,N2O,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,armenia,Agriculture,Optimal Intensity,Emissions,CO2,Mha,0.016216216216216217,0.01654054054054054,0.016864864864864864,0.01718918918918919,0.01751351351351351,0.017837837837837836,0.01816216216216216,0.018486486486486486,0.01881081081081081,0.019135135135135133,0.01945945945945946,0.019783783783783784,0.020108108108108105,0.02043243243243243,0.020756756756756756,0.02108108108108108,0.021405405405405406,0.021729729729729728,0.022054054054054053,0.022378378378378378,0.0227027027027027,0.023027027027027025,0.02335135135135135,0.023675675675675675,0.024,0.024324324324266806,0.024648648648589642,0.02497297297291248,0.02529729729723532,0.025621621621558156,0.025945945945880993,0.02627027027020383,0.02659459459452667,0.026918918918849507,0.027243243243172344,0.027567567567495184,0.02789189189181802,0.028216216216140858,0.028540540540463694,0.028864864864786535,0.02918918918910937,0.029513513513432208,0.02983783783775505,0.030162162162077885,0.030486486486400722,0.03081081081072356,0.0311351351350464,0.03145945945936923,0.03178378378369207,0.03210810810801491,0.032432432432337746,0.032756756756660586,0.03308108108098343,0.03340540540530626,0.0337297297296291,0.03405405405395194,0.034378378378274774,0.034702702702597614,0.03502702702692045,0.03535135135124329,0.03567567567556613
PD22,baseline,armenia,Forests & Wetlands,Peat Restoration,Emissions,CO2,Mha,0.0007999999999999999,0.000816,0.000832,0.000848,0.000864,0.0008799999999999999,0.000896,0.0009119999999999999,0.000928,0.000944,0.0009599999999999999,0.000976,0.000992,0.001008,0.001024,0.00104,0.0010559999999999999,0.001072,0.0010880000000000002,0.001104,0.00112,0.0011359999999999999,0.001152,0.001168,0.001184,0.0012,0.001215999999999653,0.001231999999999644,0.0012479999999996353,0.0012639999999996263,0.0012799999999996174,0.0012959999999996087,0.0013119999999995997,0.0013279999999995908,0.001343999999999582,0.0013599999999995731,0.0013759999999995642,0.0013919999999995555,0.0014079999999995466,0.0014239999999995376,0.001439999999999529,0.00145599999999952,0.001471999999999511,0.001487999999999502,0.0015039999999994934,0.0015199999999994844,0.0015359999999994755,0.0015519999999994668,0.0015679999999994578,0.001583999999999449,0.0015999999999994402,0.0016159999999994313,0.0016319999999994223,0.0016479999999994136,0.0016639999999994047,0.0016799999999993957,0.001695999999999387,0.001711999999999378,0.0017279999999993691,0.0017439999999993604,0.0017599999999993515
PD22,baseline,armenia,Agriculture,Agroforestry,Emissions,CO2,Mha,0.01675675675675676,0.01709189189189189,0.017427027027027028,0.017762162162162164,0.018097297297297296,0.018432432432432432,0.018767567567567568,0.019102702702702704,0.01943783783783784,0.019772972972972973,0.02010810810810811,0.020443243243243245,0.020778378378378377,0.021113513513513513,0.02144864864864865,0.021783783783783785,0.02211891891891892,0.022454054054054054,0.02278918918918919,0.023124324324324326,0.02345945945945946,0.023794594594594595,0.02412972972972973,0.024464864864864867,0.0248,0.024800000000164073,0.025135135135301426,0.025470270270438775,0.025805405405576128,0.02614054054071348,0.026475675675850834,0.026810810810988187,0.027145945946125537,0.02748108108126289,0.027816216216400243,0.028151351351537596,0.02848648648667495,0.028821621621812298,0.02915675675694965,0.029491891892087004,0.029827027027224357,0.03016216216236171,0.03049729729749906,0.030832432432636413,0.031167567567773766,0.03150270270291112,0.03183783783804847,0.032172972973185825,0.03250810810832318,0.03284324324346053,0.03317837837859788,0.03351351351373523,0.03384864864887258,0.034183783784009936,0.03451891891914729,0.03485405405428464,0.035189189189421995,0.03552432432455935,0.0358594594596967,0.036194594594834054,0.0365297297299714
PD22,pathway,armenia,Forests & Wetlands,Avoided Coastal Impacts,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,armenia,Forests & Wetlands,Avoided Forest Conversion,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.448215508921128e-05,1.4484123640125206e-05,1.4486526687154933e-05,1.4489460131736581e-05,1.4493041042546904e-05,1.4497412327507358e-05,1.4502748436985587e-05,1.4509262325798097e-05,1.451721395185405e-05,1.4526920650603867e-05,1.453876979931547e-05,1.4553234276582046e-05,1.4570891334015656e-05,1.4592445633251405e-05,1.461875736761145e-05,1.4650876590689322e-05,1.4690085121809613e-05,1.4737947700678665e-05,1.4796374432632263e-05,1.4867697016431699e-05,1.495476179653303e-05,1.5061043353094793e-05,1.5190783162472671e-05,1.5349158861257707e-05,1.5542490867933257e-05,1.5778494606633428e-05,1.6066588396685618e-05,1.641826929210009e-05,1.6847571865377535e-05,1.7371628237849872e-05
PD22,pathway,armenia,Forests & Wetlands,Avoided Peat Impacts,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,armenia,Agriculture,Biochar,Emissions,CO2,Mha,0.0,0.0001297621336067266,0.0002595242672134532,0.0002595242672134532,0.0002595242672134532,0.0002595242672134532,0.0002595242672134532,0.0002595242672134532,0.0003264016745338431,0.000393279081854233,0.0004601564891746229,0.0005270338964950128,0.0005939113038154027,0.0006941275977701361,0.0007943438917248696,0.000894560185679603,0.0009947764796343365,0.00109499277358907,0.0015813013235367408,0.0020676098734844113,0.0025539184234320824,0.003040226973379753,0.0035265355233274234,0.004009150843318595,0.004491766163309767,0.005227750367253561,0.005963734571197353,0.006699718775141147,0.0072008002449148135,0.008234239185895565,0.009267678126876316,0.010301117067857067,0.010465815160511757,0.010630513253166449,0.012551991000804516,0.014473468748442584,0.014862755149262764,0.015252041550082942,0.01564132795090312,0.016824159707241364,0.018006991463579602,0.018006991784420272,0.018006991855109924,0.018006991941374374,0.01800699204664516,0.018006992175109867,0.018006992331878743,0.018006992523187923,0.018006992756647563,0.018006993041544517,0.018006993389211776,0.01800699381347929,0.01800699433122412,0.018006994963041777,0.018006995734065508,0.01800699667496608,0.01800699782317183,0.018006999224357542,0.018007000934261365,0.018007003020902013,0.01800700556728451
PD22,pathway,armenia,Forests & Wetlands,Coastal Restoration,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,armenia,Agriculture,Cropland Soil Health,Emissions,CO2,Mha,0.0,0.000957296539154332,0.001914593078308664,0.001914593078308664,0.001914593078308664,0.001914593078308664,0.001914593078308664,0.001914593078308664,0.0024079689869497428,0.0029013448955908217,0.0033947208042319006,0.003888096712872979,0.004381472621514058,0.005120800102522481,0.005860127583530904,0.006599455064539326,0.007338782545547749,0.008078110026556172,0.011665762902525328,0.015253415778494485,0.018841068654463645,0.022428721530432804,0.02601637440640196,0.029576781150102878,0.0331371878938038,0.03856677749536632,0.04399636709692884,0.049425956698491355,0.05312259410353347,0.060746601925619,0.06837060974770452,0.07599461756979005,0.07720964779256284,0.07842467801533566,0.09260003061435174,0.1067753832133678,0.1096472728308308,0.11251916244829378,0.11539105206575677,0.12411717821112513,0.13284330435649347,0.13284330672343714,0.1328433072449372,0.1328433078813375,0.13284330865795357,0.13284330960567858,0.13284331076221242,0.13284331217356113,0.13284331389586718,0.1328433159976426,0.1328433185624946,0.132843321692451,0.13284332551201933,0.13284333017313915,0.13284333586122649,0.13284334280254934,0.1328433512732284,0.13284336161022117,0.1328433742247256,0.13284338961853745,0.13284340840401118
