model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,botswana,Agriculture,AFOLU,Agroforestry,Agroforestry,Emissions,CO2,CO2,Mha,0.0740263240450926,0.0828047132704946,0.092620060028,0.1035938460163513,0.1158615315097247,0.1295741003021779,0.1448997593704486,0.1620258046153533,0.1811606637297634,0.2025361265166477,0.2264097717184553,0.2530675974603685,0.2828268595707072,0.3160391180930566,0.3530934869815775,0.3944200749596454,0.4404935964646961,0.4918371200927274,0.5490259075499614,0.6126912783427026,0.6835244138071654,0.7622799881424556,0.8497794834813251,0.9469140104779528,0.9483,0.9483,0.9483,0.9483,0.9483,0.9483,0.9483,0.9483,0.9483,0.9483,0.9483,0.9483,0.9483,0.9483,0.9483,0.9483,0.9483,0.9483,0.9483,0.9483,0.9483,0.9483,0.9483,0.9483,0.9483,0.9483,0.9483,0.9483,0.9483,0.9483,0.9483,0.9483,0.9483,0.9483,0.9483,0.9483,0.9483
PD22,baseline,botswana,Agriculture,AFOLU,Biochar,Biochar,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,botswana,Agriculture,AFOLU,Cropland Soil Health,Cropland Soil Health,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,botswana,Agriculture,AFOLU,Improved Rice,Improved Rice,Emissions,CH4,CH4,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,botswana,Agriculture,AFOLU,Nitrogen Fertilizer Management,Nitrogen Fertilizer Management,Emissions,N2O,N2O,Percent adoption,0.0131418071834212,0.0146111120464226,0.016233029221373,0.0180207085481236,0.0199878147569145,0.0221483970025497,0.0245167176623385,0.0271070356478414,0.0299333403321024,0.0330090336180693,0.0363465597736535,0.0399569855084366,0.0438495363865874,0.0480310999984308,0.0525057111769507,0.0572740396390603,0.0623329053041239,0.0676748506101808,0.0732878017355973,0.0772104,0.0772104,0.0772104,0.0772104,0.0772104,0.0772104,0.0772104,0.0772104,0.0772104,0.0772104,0.0772104,0.0772104,0.0772104,0.0772104,0.0772104,0.0772104,0.0772104,0.0772104,0.0772104,0.0772104,0.0772104,0.0772104,0.0772104,0.0772104,0.0772104,0.0772104,0.0772104,0.0772104,0.0772104,0.0772104,0.0772104,0.0772104,0.0772104,0.0772104,0.0772104,0.0772104,0.0772104,0.0772104,0.0772104,0.0772104,0.0772104,0.0772104
PD22,baseline,botswana,Agriculture,AFOLU,Optimal Intensity,Optimal Intensity,Emissions,CO2,CO2,Mha,0.0743862670655501,0.0832160519687429,0.0930910553268701,0.1041342769936379,0.116483008704254,0.1302904488442245,0.1457274880937189,0.1629846810682018,0.1822744196219874,0.2038333237971184,0.227924866398263,0.254842246735026,0.284911528053935,0.3184950514067696,0.3559951359465009,0.3978580716480843,0.4445784048966176,0.4967035098972552,0.554838428998312,0.6196509522779593,0.6918768905543751,0.7723254757140846,0.8618847972467264,0.9615271534481652,1.0723141592655616,1.1954014096722012,1.3320424474434582,1.4835917272683852,1.6515062048011948,1.8373451108081431,2.0133,2.0133,2.0133,2.0133,2.0133,2.0133,2.0133,2.0133,2.0133,2.0133,2.0133,2.0133,2.0133,2.0133,2.0133,2.0133,2.0133,2.0133,2.0133,2.0133,2.0133,2.0133,2.0133,2.0133,2.0133,2.0133,2.0133,2.0133,2.0133,2.0133,2.0133
PD22,baseline,botswana,Forests & Wetlands,AFOLU,Avoided Coastal Impacts,Avoided Coastal Impacts,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,botswana,Forests & Wetlands,AFOLU,Avoided Forest Conversion,Avoided Forest Conversion,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,botswana,Forests & Wetlands,AFOLU,Avoided Peat Impacts,Avoided Peat Impacts,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,botswana,Forests & Wetlands,AFOLU,Coastal Restoration,Coastal Restoration,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,botswana,Forests & Wetlands,AFOLU,Improved Forest Mgmt,Improved Forest Mgmt,Emissions,CO2,CO2,m3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,973.25944493925,1083.181283519685,1205.37427999968,1341.17415960633,1492.053935230635,1659.6360892120802,1845.7053664667096,2052.2220833627102,2281.335813948765,2535.39926250933,2816.98206753495,3128.88420566526,3474.148573739445,3856.07222183484,4278.21558970176,4744.408963742385,5250.0,5250.0,5250.0,5250.0,5075.0,4900.0,4725.0,4550.0,4375.0,4200.0,4025.0,3850.0,3675.0,3500.0,3325.0,3150.0,2975.0,2800.0,2625.0,2450.0,2275.0,2100.0,1925.0,1750.0,1575.0,1400.0,1225.0,1050.0,875.0,700.0,525.0,350.0,175.0,0.0,0.0,0.0
PD22,baseline,botswana,Forests & Wetlands,AFOLU,Natural Regeneration,Natural Regeneration,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,botswana,Forests & Wetlands,AFOLU,Peat Restoration,Peat Restoration,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,3.99557852531e-05,4.9034971567680005e-05,6.01648558599e-05,7.38023828748e-05,9.050317582062e-05,0.0001109412694517,0.0001359319923088,0.0001664580824758,0.0002036988623672,0.0002490618736902,0.0003042157181088,0.0003711218852862,0.0004520619997008,0.0005496551242874,0.0006668575306394,0.0008069348261819,0.0009733939003137,0.0011698605550488,0.0013998891179073,0.001446,0.001446,0.001446,0.001446,0.001446,0.001446,0.001446,0.001446,0.001446,0.001446,0.001446,0.001446,0.001446,0.001446,0.001446,0.001446,0.001446,0.001446,0.001446,0.001446,0.001446,0.001446,0.001446,0.001446,0.001446,0.001446,0.001446,0.001446,0.001446,0.001446,0.001446,0.001446,0.001446,0.001446,0.001446,0.001446
