model,scenario,region,sector,product_long,flow_category,flow_long,unit,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,bulgaria,Forests & Wetlands,Avoided Coastal Impacts,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,bulgaria,Forests & Wetlands,Avoided Forest Conversion,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,bulgaria,Forests & Wetlands,Avoided Peat Impacts,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,bulgaria,Agriculture,Biochar,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,bulgaria,Forests & Wetlands,Coastal Restoration,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,bulgaria,Agriculture,Cropland Soil Health,Emissions,CO2,Mha,0.0,0.0002666666666666,0.0005333333333333,0.0008,0.0010666666666666,0.0013333333333333,0.0016,0.0018666666666666,0.0021333333333333,0.0024,0.0026666666666666,0.0029333333333333,0.0032,0.0034666666666666,0.0037333333333333,0.004,0.0042666666666666,0.0045333333333333,0.0048,0.0050666666666666,0.0053333333333333,0.0056,0.0058666666666666,0.0061333333333333,0.0064,0.0066666666666666,0.0069333333333333,0.0072,0.0074666666666666,0.0077333333333333,0.008,0.0082666666666666,0.0085333333333333,0.0088,0.0090666666666666,0.0093333333333333,0.0096,0.0098666666666666,0.0101333333333333,0.0104,0.0106666666666666,0.0109333333333333,0.0112,0.0114666666666666,0.0117333333333333,0.012,0.0122666666666666,0.0125333333333333,0.0128,0.0130666666666666,0.0133333333333333,0.0136,0.0138666666666666,0.0141333333333333,0.0144,0.0146666666666666,0.0149333333333333,0.0152,0.0154666666666666,0.0157333333333333,0.016,0.0162666666666666,0.0165333333333333,0.0168,0.0170666666666666,0.0173333333333333,0.0176,0.0178666666666666,0.0181333333333333,0.0184,0.0186666666666666,0.0189333333333333,0.0192,0.0194666666666666,0.0197333333333333,0.02,0.0200000000000288,0.0202666666666959,0.0205333333333629,0.02080000000003,0.021066666666697,0.0213333333333641,0.0216000000000311,0.0218666666666982,0.0221333333333652,0.0224000000000323,0.0226666666666993,0.0229333333333664,0.0232000000000334,0.0234666666667005,0.0237333333333675,0.0240000000000346,0.0242666666667016,0.0245333333333687,0.0248000000000357,0.0250666666667028,0.0253333333333698,0.0256000000000369,0.0258666666667039,0.026133333333371,0.0264000000000381,0.0266666666667051,0.0269333333333722,0.0272000000000392,0.0274666666667063,0.0277333333333733,0.0280000000000404,0.0282666666667074,0.0285333333333745,0.0288000000000415,0.0290666666667086
PD22,baseline,bulgaria,Forests & Wetlands,Improved Forest Mgmt,Emissions,CO2,m3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,bulgaria,Agriculture,Improved Rice,Emissions,CH4,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,bulgaria,Forests & Wetlands,Natural Regeneration,Emissions,CO2,Mha,0.0,0.0009416666666666,0.0018833333333333,0.002825,0.0037666666666666,0.0047083333333333,0.00565,0.0065916666666666,0.0075333333333333,0.008475,0.0094166666666666,0.0103583333333333,0.0113,0.0122416666666666,0.0131833333333333,0.0141249999999999,0.0150666666666666,0.0160083333333333,0.01695,0.0178916666666666,0.0188333333333333,0.0197749999999999,0.0207166666666666,0.0216583333333333,0.0226,0.0235416666666666,0.0244833333333333,0.025425,0.0263666666666666,0.0273083333333333,0.0282499999999999,0.0291916666666666,0.0301333333333333,0.031075,0.0320166666666666,0.0329583333333333,0.0339,0.0348416666666666,0.0357833333333333,0.036725,0.0376666666666666,0.0386083333333333,0.0395499999999999,0.0404916666666666,0.0414333333333333,0.0423749999999999,0.0433166666666666,0.0442583333333333,0.0452,0.0461416666666666,0.0470833333333333,0.048025,0.0489666666666666,0.0499083333333333,0.05085,0.0517916666666666,0.0527333333333333,0.053675,0.0546166666666666,0.0555583333333333,0.0564999999999999,0.0574416666666666,0.0583833333333333,0.059325,0.0602666666666666,0.0612083333333333,0.06215,0.0630916666666666,0.0640333333333333,0.0649749999999999,0.0659166666666666,0.0668583333333333,0.0678,0.0687416666665043,0.0696833333331665,0.0706249999998287,0.0715666666664909,0.0725083333331531,0.0734499999998153,0.0743916666664775,0.0753333333331397,0.0762749999998019,0.0772166666664641,0.0781583333331263,0.0790999999997885,0.0800416666664507,0.0809833333331129,0.0819249999997751,0.0828666666664373,0.0838083333330995,0.0847499999997617,0.0856916666664239,0.0866333333330861,0.0875749999997483,0.0885166666664105,0.0894583333330727,0.0903999999997349,0.091341666666397,0.0922833333330593,0.0932249999997214,0.0941666666663836,0.0951083333330458,0.096049999999708,0.0969916666663702,0.0979333333330324,0.0988749999996946,0.0998166666663568,0.100758333333019,0.1016999999996812,0.1026416666663434,0.1035833333330056
PD22,baseline,bulgaria,Agriculture,Nitrogen Fertilizer Management,Emissions,N2O,Mha,0.0,0.0080478260869565,0.016095652173913,0.0241434782608695,0.032191304347826,0.0402391304347826,0.0482869565217391,0.0563347826086956,0.0643826086956521,0.0724304347826087,0.0804782608695652,0.0885260869565217,0.0965739130434782,0.1046217391304348,0.1126695652173913,0.1207173913043478,0.1287652173913043,0.1368130434782609,0.1448608695652174,0.1529086956521739,0.1609565217391304,0.1690043478260869,0.1770521739130435,0.1851,0.1931478260869565,0.201195652173913,0.2092434782608696,0.2172913043478261,0.2253391304347826,0.2333869565217391,0.2414347826086957,0.2494826086956522,0.2575304347826087,0.2655782608695652,0.2736260869565218,0.2816739130434783,0.2897217391304348,0.2977695652173913,0.3058173913043479,0.3138652173913044,0.3219130434782609,0.3299608695652174,0.3380086956521739,0.3460565217391305,0.354104347826087,0.3621521739130435,0.3702,0.3782478260869565,0.3862956521739131,0.3943434782608696,0.4023913043478261,0.4104391304347826,0.4184869565217392,0.4265347826086957,0.4345826086956523,0.4426304347826088,0.4506782608695653,0.4587260869565218,0.4667739130434783,0.4748217391304348,0.4828695652173914,0.4909173913043479,0.4989652173913044,0.5070130434782609,0.5150608695652175,0.523108695652174,0.5311565217391305,0.5392043478260871,0.5472521739130436,0.5553,0.5553000000001037,0.5633478260870617,0.5713956521740198,0.5794434782609778,0.5874913043479358,0.5955391304348938,0.6035869565218519,0.6116347826088099,0.6196826086957679,0.6277304347827259,0.6357782608696839,0.643826086956642,0.6518739130436,0.6599217391305581,0.667969565217516,0.676017391304474,0.6840652173914321,0.6921130434783901,0.7001608695653482,0.7082086956523062,0.7162565217392642,0.7243043478262222,0.7323521739131802,0.7404000000001383,0.7484478260870963,0.7564956521740543,0.7645434782610123,0.7725913043479704,0.7806391304349284,0.7886869565218865,0.7967347826088444,0.8047826086958024,0.8128304347827605,0.8208782608697185,0.8289260869566766,0.8369739130436346,0.8450217391305926,0.8530695652175506,0.8611173913045086,0.8691652173914667,0.8772130434784247
