model,scenario,region,sector,product_long,flow_category,flow_long,unit,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,guatemala,Forests & Wetlands,Avoided Coastal Impacts,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,guatemala,Forests & Wetlands,Avoided Forest Conversion,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,guatemala,Forests & Wetlands,Avoided Peat Impacts,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,guatemala,Agriculture,Biochar,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,guatemala,Forests & Wetlands,Coastal Restoration,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,guatemala,Agriculture,Cropland Soil Health,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,guatemala,Forests & Wetlands,Improved Forest Mgmt,Emissions,CO2,m3,0.0,430.8192,861.6383999999999,1292.4576,1723.2768,2154.096,2584.9152,3015.7344,3446.5536,3877.3728,4308.192,4739.0112,5169.8304,5600.6496,6031.4688,6462.2880000000005,6893.1072,7323.926399999999,7754.745599999999,8185.564799999999,8616.384,9047.2032,9478.0224,9908.8416,10339.6608,10770.48,11201.2992,11632.1184,12062.9376,12493.7568,12924.576,13355.3952,13786.2144,14217.0336,14647.8528,15078.672,15509.4912,15940.310399999998,16371.129599999998,16801.9488,17232.768,17663.587199999998,18094.4064,18525.2256,18956.0448,19386.864,19817.6832,20248.5024,20679.3216,21110.1408,21540.960000000003,21971.779199999997,22402.5984,22833.4176,23264.2368,23695.056,24125.8752,24556.6944,24987.5136,25418.3328,25849.152,26279.971199999996,26710.7904,27141.6096,27572.4288,28003.248,28434.0672,28864.8864,29295.7056,29726.5248,30157.344,30588.1632,31018.9824,31449.8016,31880.6208,32311.44,32742.25919996456,33173.07839996367,33603.89759996278,34034.71679996189,34465.535999961,34896.35519996011,34149.60191996058,33374.12735996111,32569.931519961698,31737.014399962347,30875.375999963053,29985.016319963823,29065.93535996465,28118.13311996553,27141.60959996648,26136.36479996748,25102.398719968543,24039.711359969664,22948.302719970845,21828.17279997209,20679.321599973387,19501.749119974746,18295.455359976164,17060.44031997764,15796.703999979176,14504.246399980771,13183.06751998243,11833.167359984149,10454.54591998592,9047.203199987753,7611.13919998965,6146.353919991601,4652.847359993612,3130.619519995682,1579.6703999978113
PD22,baseline,guatemala,Agriculture,Improved Rice,Emissions,CH4,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,guatemala,Forests & Wetlands,Natural Regeneration,Emissions,CO2,Mha,0.0,0.0015194444444444,0.0030388888888888,0.0045583333333333,0.0060777777777777,0.0075972222222222,0.0091166666666666,0.0106361111111111,0.0121555555555555,0.013675,0.0151944444444444,0.0167138888888888,0.0182333333333333,0.0197527777777777,0.0212722222222222,0.0227916666666666,0.0243111111111111,0.0258305555555555,0.02735,0.0288694444444444,0.0303888888888888,0.0319083333333333,0.0334277777777777,0.0349472222222222,0.0364666666666666,0.0379861111111111,0.0395055555555555,0.041025,0.0425444444444444,0.0440638888888888,0.0455833333333333,0.0471027777777777,0.0486222222222222,0.0501416666666666,0.0516611111111111,0.0531805555555555,0.0547,0.0562194444444444,0.0577388888888888,0.0592583333333333,0.0607777777777777,0.0622972222222222,0.0638166666666666,0.0653361111111111,0.0668555555555555,0.0683749999999999,0.0698944444444444,0.0714138888888888,0.0729333333333333,0.0744527777777777,0.0759722222222222,0.0774916666666666,0.0790111111111111,0.0805305555555555,0.08205,0.0835694444444444,0.0850888888888888,0.0866083333333333,0.0881277777777777,0.0896472222222222,0.0911666666666666,0.0926861111111111,0.0942055555555555,0.0957249999999999,0.0972444444444444,0.0987638888888888,0.1002833333333333,0.1018027777777777,0.1033222222222222,0.1048416666666666,0.1063611111111111,0.1078805555555555,0.1094,0.1109194444443659,0.1124388888888083,0.1139583333332507,0.1154777777776931,0.1169972222221355,0.1185166666665779,0.1200361111110203,0.1215555555554627,0.1230749999999051,0.1245944444443475,0.1261138888887899,0.1276333333332323,0.1291527777776747,0.1306722222221171,0.1321916666665595,0.1337111111110019,0.1352305555554443,0.1367499999998867,0.1382694444443291,0.1397888888887715,0.1413083333332139,0.1428277777776563,0.1443472222220987,0.1458666666665411,0.1473861111109835,0.1489055555554259,0.1504249999998683,0.1519444444443107,0.1534638888887531,0.1549833333331955,0.1565027777776379,0.1580222222220803,0.1595416666665227,0.1610611111109651,0.1625805555554075,0.1640999999998499,0.1656194444442923,0.1671388888887347
PD22,baseline,guatemala,Agriculture,Nitrogen Fertilizer Management,Emissions,N2O,Mha,0.0,0.0034101449275362,0.0068202898550724,0.0102304347826086,0.0136405797101449,0.0170507246376811,0.0204608695652173,0.0238710144927536,0.0272811594202898,0.030691304347826,0.0341014492753623,0.0375115942028985,0.0409217391304347,0.044331884057971,0.0477420289855072,0.0511521739130434,0.0545623188405797,0.0579724637681159,0.0613826086956521,0.0647927536231884,0.0682028985507246,0.0716130434782608,0.0750231884057971,0.0784333333333333,0.0818434782608695,0.0852536231884058,0.088663768115942,0.0920739130434782,0.0954840579710145,0.0988942028985507,0.1023043478260869,0.1057144927536232,0.1091246376811594,0.1125347826086956,0.1159449275362319,0.1193550724637681,0.1227652173913043,0.1261753623188405,0.1295855072463768,0.132995652173913,0.1364057971014493,0.1398159420289855,0.1432260869565217,0.146636231884058,0.1500463768115942,0.1534565217391304,0.1568666666666666,0.1602768115942029,0.1636869565217391,0.1670971014492753,0.1705072463768116,0.1739173913043478,0.177327536231884,0.1807376811594203,0.1841478260869565,0.1875579710144927,0.190968115942029,0.1943782608695652,0.1977884057971014,0.2011985507246377,0.2046086956521739,0.2080188405797101,0.2114289855072464,0.2148391304347826,0.2182492753623188,0.221659420289855,0.2250695652173913,0.2284797101449275,0.2318898550724638,0.2353,0.238710144927517,0.2421202898550527,0.2455304347825884,0.2489405797101241,0.2523507246376599,0.2557608695651956,0.2591710144927313,0.262581159420267,0.2659913043478027,0.2694014492753385,0.2728115942028742,0.27622173913041,0.2796318840579457,0.2830420289854814,0.2864521739130171,0.2898623188405528,0.2932724637680886,0.2966826086956243,0.30009275362316,0.3035028985506958,0.3069130434782315,0.3103231884057672,0.3137333333333029,0.3171434782608386,0.3205536231883744,0.3239637681159101,0.3273739130434458,0.3307840579709816,0.3341942028985173,0.337604347826053,0.3410144927535887,0.3444246376811244,0.3478347826086602,0.3512449275361959,0.3546550724637316,0.3580652173912674,0.3614753623188031,0.3648855072463388,0.3682956521738745,0.3717057971014103,0.375115942028946
PD22,baseline,guatemala,Agriculture,Optimal Intensity,Emissions,CO2,Mha,0.0,0.0005,0.001,0.0015,0.002,0.0025,0.003,0.0035,0.004,0.0045,0.005,0.0055,0.006,0.0065,0.007,0.0075,0.008,0.0085,0.009,0.0095,0.01,0.0105,0.011,0.0115,0.012,0.0125,0.013,0.0135,0.014,0.0145,0.015,0.0155,0.016,0.0165,0.017,0.0175,0.018,0.0185,0.019,0.0195,0.02,0.0205,0.021,0.0215,0.022,0.0225,0.023,0.0235,0.024,0.0245,0.025,0.0255,0.026,0.0264999999999999,0.027,0.0275,0.028,0.0285,0.029,0.0295,0.03,0.0305,0.031,0.0315,0.032,0.0325,0.033,0.0335,0.034,0.0344999999999999,0.035,0.0355,0.036,0.0365,0.037,0.037000000000063,0.0375000000000639,0.0380000000000648,0.0385000000000656,0.0390000000000665,0.0395000000000673,0.0400000000000682,0.040500000000069,0.0410000000000699,0.0415000000000707,0.0420000000000716,0.0425000000000724,0.0430000000000733,0.0435000000000741,0.044000000000075,0.0445000000000758,0.0450000000000767,0.0455000000000775,0.0460000000000784,0.0465000000000793,0.0470000000000801,0.047500000000081,0.0480000000000818,0.0485000000000827,0.0490000000000835,0.0495000000000844,0.0500000000000852,0.0505000000000861,0.0510000000000869,0.0515000000000878,0.0520000000000886,0.0525000000000895,0.0530000000000903,0.0535000000000912,0.054000000000092,0.0545000000000929
PD22,baseline,guatemala,Forests & Wetlands,Peat Restoration,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
