model,scenario,region,sector,product_long,flow_category,flow_long,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,indonesia,Forests & Wetlands,Avoided Coastal Impacts,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,indonesia,Forests & Wetlands,Avoided Forest Conversion,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,indonesia,Forests & Wetlands,Avoided Peat Impacts,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,indonesia,Agriculture,Biochar,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,indonesia,Forests & Wetlands,Coastal Restoration,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,indonesia,Agriculture,Cropland Soil Health,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,indonesia,Forests & Wetlands,Improved Forest Mgmt,Emissions,CO2,m3,1641721.6,1674556.0320000001,1707390.4640000002,1740224.896,1773059.328,1805893.76,1838728.192,1871562.624,1904397.056,1937231.4880000001,1970065.92,2002900.352,2035734.784,2068569.216,2101403.648,2134238.08,2167072.512,2199906.944,2232741.376,2265575.808,2298410.24,2331244.6720000003,2364079.1040000003,2396913.536,2429747.968,2462582.4,2462582.4000030095,2495416.8320030496,2528251.2640030896,2561085.69600313,2593920.1280031702,2626754.5600032103,2570936.025603142,2512928.5290697375,2452732.0704029975,2390346.649602921,2325772.266669509,2259008.921602761,2190056.6144026765,2118915.3450692566,2045585.1136025002,1970065.9200024076,1892357.7642689792,1812460.646402215,1730374.5664021147,1646099.5242686784,1559635.520001906,1470982.5536017977,1380140.6250683533,1287109.734401573,1191889.8816014566,1094481.0666680043,994883.2896012157,893096.5504010912,789120.8490676308,682956.1856008342,574602.5600007023,464059.9722672337,351328.42240042915,236407.9104002886,119298.43626681203
PD22,baseline,indonesia,Agriculture,Improved Rice,Emissions,CH4,Mha,2.2342481012658224,2.278933063291139,2.323618025316456,2.3683029873417722,2.4129879493670883,2.4576729113924047,2.502357873417721,2.5470428354430377,2.591727797468354,2.6364127594936706,2.6810977215189875,2.725782683544304,2.7704676455696204,2.815152607594937,2.8598375696202534,2.90452253164557,2.9492074936708863,2.9938924556962028,3.0385774177215192,3.0832623797468357,3.127947341772152,3.1726323037974686,3.217317265822785,3.2620022278481016,3.306687189873418,3.351372151898734,3.3960571139240505,3.440742075949367,3.4854270379746835,3.530112,3.5301120000003663,3.574796962025687,3.6194819240510085,3.6641668860763295,3.708851848101651,3.7535368101269717,3.798221772152293,3.842906734177614,3.8875916962029353,3.9322766582282562,3.976961620253577,4.0216465822788985,4.066331544304219,4.11101650632954,4.155701468354861,4.200386430380182,4.245071392405504,4.289756354430825,4.334441316456146,4.379126278481467,4.423811240506788,4.468496202532109,4.51318116455743,4.557866126582751,4.602551088608072,4.647236050633393,4.691921012658714,4.736605974684036,4.781290936709357,4.8259758987346775,4.870660860759998
PD22,baseline,indonesia,Forests & Wetlands,Natural Regeneration,Emissions,CO2,Mha,4.840347222222222,4.937154166666667,5.033961111111111,5.1307680555555555,5.227575,5.324381944444444,5.421188888888889,5.517995833333333,5.614802777777778,5.711609722222223,5.808416666666667,5.905223611111111,6.002030555555556,6.0988375,6.1956444444444445,6.292451388888889,6.389258333333333,6.486065277777778,6.582872222222221,6.679679166666667,6.776486111111111,6.873293055555557,6.9701,7.066906944443323,7.163713888887737,7.260520833332151,7.3573277777765655,7.45413472222098,7.550941666665394,7.647748611109808,7.744555555554221,7.8413624999986355,7.93816944444305,8.034976388887463,8.131783333331878,8.228590277776291,8.325397222220706,8.42220416666512,8.519011111109535,8.615818055553948,8.712624999998363,8.809431944442776,8.90623888888719,9.003045833331605,9.099852777776018,9.196659722220433,9.293466666664846,9.390273611109262,9.487080555553675,9.583887499998088,9.680694444442503,9.777501388886916,9.874308333331332,9.971115277775745,10.06792222222016,10.164729166664573,10.261536111108986,10.358343055553402,10.455149999997815,10.55195694444223,10.648763888886643
PD22,baseline,indonesia,Agriculture,Nitrogen Fertilizer Management,Emissions,N2O,Mha,0.500072463768116,0.5100739130434783,0.5200753623188406,0.530076811594203,0.5400782608695652,0.5500797101449275,0.5600811594202899,0.5700826086956522,0.5800840579710145,0.5900855072463768,0.6000869565217392,0.6100884057971014,0.6200898550724636,0.630091304347826,0.6400927536231884,0.6500942028985507,0.6600956521739131,0.6700971014492754,0.6800985507246377,0.6901,0.7001014492745771,0.7101028985499173,0.7201043478252573,0.7301057971005974,0.7401072463759375,0.7501086956512776,0.7601101449266177,0.7701115942019577,0.7801130434772978,0.790114492752638,0.8001159420279781,0.8101173913033182,0.8201188405786582,0.8301202898539983,0.8401217391293384,0.8501231884046785,0.8601246376800186,0.8701260869553586,0.8801275362306988,0.8901289855060389,0.900130434781379,0.9101318840567191,0.9201333333320592,0.9301347826073992,0.9401362318827393,0.9501376811580794,0.9601391304334195,0.9701405797087597,0.9801420289840997,0.9901434782594398,1.0001449275347798,1.01014637681012,1.0201478260854602,1.0301492753608001,1.0401507246361403,1.0501521739114803,1.0601536231868205,1.0701550724621605,1.0801565217375007,1.0901579710128406,1.1001594202881808
