model,scenario,region,sector,product_long,flow_category,flow_long,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,israel,Forests & Wetlands,Avoided Coastal Impacts,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,israel,Forests & Wetlands,Avoided Forest Conversion,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,israel,Forests & Wetlands,Avoided Peat Impacts,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,israel,Agriculture,Biochar,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,israel,Forests & Wetlands,Coastal Restoration,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,israel,Agriculture,Cropland Soil Health,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,israel,Forests & Wetlands,Improved Forest Mgmt,Emissions,CO2,m3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,israel,Agriculture,Improved Rice,Emissions,CH4,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,israel,Forests & Wetlands,Natural Regeneration,Emissions,CO2,Mha,0.0013194444444444445,0.0013458333333333332,0.0013722222222222222,0.001398611111111111,0.001425,0.0014513888888888888,0.0014777777777777777,0.0015041666666666667,0.0015305555555555556,0.0015569444444444443,0.0015833333333333333,0.0016097222222222222,0.0016361111111111112,0.0016625,0.0016888888888888889,0.0017152777777777778,0.0017416666666666665,0.0017680555555555555,0.0017944444444444444,0.0018208333333333332,0.001847222222222222,0.001873611111111111,0.0019,0.001900000000001512,0.001926388888890422,0.001952777777779332,0.001979166666668242,0.0020055555555571515,0.0020319444444460615,0.0020583333333349715,0.0020847222222238814,0.0021111111111127914,0.002137500000001701,0.002163888888890611,0.002190277777779521,0.002216666666668431,0.002243055555557341,0.0022694444444462504,0.0022958333333351604,0.0023222222222240704,0.0023486111111129804,0.00237500000000189,0.0024013888888908,0.00242777777777971,0.00245416666666862,0.00248055555555753,0.0025069444444464394,0.0025333333333353494,0.0025597222222242593,0.0025861111111131693,0.0026125000000020793,0.002638888888890989,0.002665277777779899,0.002691666666668809,0.002718055555557719,0.0027444444444466288,0.0027708333333355383,0.0027972222222244483,0.0028236111111133583,0.0028500000000022683,0.0028763888888911782
PD22,baseline,israel,Agriculture,Nitrogen Fertilizer Management,Emissions,N2O,Mha,0.15818840579710144,0.1613521739130435,0.1645159420289855,0.16767971014492752,0.17084347826086957,0.1740072463768116,0.17717101449275363,0.18033478260869565,0.18349855072463767,0.1866623188405797,0.18982608695652173,0.19298985507246377,0.1961536231884058,0.19931739130434784,0.20248115942028985,0.20564492753623187,0.20880869565217391,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21
PD22,baseline,israel,Agriculture,Optimal Intensity,Emissions,CO2,Mha,0.0016216216216216215,0.0016540540540540538,0.0016864864864864864,0.0017189189189189184,0.0017513513513513512,0.0017837837837837837,0.0018162162162162162,0.0018486486486486483,0.0018810810810810808,0.0019135135135135135,0.001945945945945946,0.0019783783783783784,0.0020108108108108104,0.002043243243243243,0.0020756756756756755,0.002108108108108108,0.0021405405405405405,0.0021729729729729726,0.002205405405405405,0.0022378378378378376,0.00227027027027027,0.0023027027027027027,0.0023351351351351348,0.0023675675675675673,0.0024,0.0024324324324312336,0.0024648648648636353,0.002497297297296037,0.002529729729728439,0.0025621621621608405,0.0025945945945932422,0.002627027027025644,0.0026594594594580457,0.0026918918918904474,0.002724324324322849,0.002756756756755251,0.0027891891891876526,0.0028216216216200543,0.002854054054052456,0.0028864864864848578,0.0029189189189172595,0.0029513513513496612,0.002983783783782063,0.0030162162162144647,0.0030486486486468664,0.003081081081079268,0.00311351351351167,0.0031459459459440716,0.0031783783783764733,0.003210810810808875,0.0032432432432412768,0.0032756756756736785,0.0033081081081060802,0.003340540540538482,0.0033729729729708837,0.0034054054054032854,0.003437837837835687,0.003470270270268089,0.0035027027027004906,0.0035351351351328923,0.003567567567565294
PD22,baseline,israel,Forests & Wetlands,Peat Restoration,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,israel,Agriculture,Agroforestry,Emissions,CO2,Mha,0.004932432432432432,0.005031081081081081,0.00512972972972973,0.005228378378378379,0.005327027027027027,0.005425675675675676,0.005524324324324324,0.005622972972972973,0.005721621621621622,0.00582027027027027,0.005918918918918919,0.006017567567567567,0.006116216216216217,0.006214864864864865,0.006313513513513514,0.006412162162162162,0.0065108108108108105,0.006609459459459461,0.006708108108108109,0.006806756756756758,0.0069054054054054044,0.007004054054054053,0.007102702702702703,0.007201351351351352,0.0073,0.007398648648614283,0.007497297297262013,0.0075959459459097435,0.0076945945945574735,0.007793243243205204,0.007891891891852935,0.007990540540500664,0.008089189189148395,0.008187837837796126,0.008286486486443857,0.008385135135091586,0.008483783783739316,0.008582432432387047,0.008681081081034778,0.008779729729682509,0.008878378378330238,0.008977027026977969,0.0090756756756257,0.00917432432427343,0.00927297297292116,0.00937162162156889,0.009470270270216621,0.009568918918864352,0.009667567567512081,0.009766216216159812,0.009864864864807543,0.009963513513455273,0.010062162162103004,0.010160810810750733,0.010259459459398464,0.010358108108046195,0.010456756756693926,0.010555405405341655,0.010654054053989385,0.010752702702637116,0.010851351351284847
PD22,pathway,israel,Forests & Wetlands,Avoided Coastal Impacts,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,israel,Forests & Wetlands,Avoided Forest Conversion,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4169254274252954e-06,2.4172539586922057e-06,2.4176550029728163e-06,2.4181445652482962e-06,2.4187421830985053e-06,2.4194717064122915e-06,2.420362249194219e-06,2.4214493514525085e-06,2.422776397536853e-06,2.424396347529121e-06,2.4263738507831603e-06,2.428787825960518e-06,2.4317346105255165e-06,2.4353318053885953e-06,2.4397229681280295e-06,2.4450833420839664e-06,2.45162684995644e-06,2.4596146309999483e-06,2.469365462504661e-06,2.4812684814457403e-06,2.4957987139673394e-06,2.51353603240773e-06,2.535188296335514e-06,2.561619601008184e-06,2.5938847604399727e-06,2.6332714009998994e-06,2.6813513450670074e-06,2.740043334845528e-06,2.8116895987490497e-06,2.8991493148085906e-06
PD22,pathway,israel,Forests & Wetlands,Avoided Peat Impacts,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
