model,scenario,region,sector,product_long,flow_category,flow_long,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,jamaica,Forests & Wetlands,Avoided Coastal Impacts,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,jamaica,Forests & Wetlands,Avoided Forest Conversion,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,jamaica,Forests & Wetlands,Avoided Peat Impacts,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,jamaica,Agriculture,Biochar,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,jamaica,Forests & Wetlands,Coastal Restoration,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,jamaica,Agriculture,Cropland Soil Health,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,jamaica,Forests & Wetlands,Improved Forest Mgmt,Emissions,CO2,m3,5046.333333333333,5147.26,5248.1866666666665,5349.113333333333,5450.04,5550.966666666666,5651.893333333333,5752.82,5853.746666666666,5954.673333333333,6055.599999999999,6156.526666666666,6257.453333333333,6358.38,6459.306666666666,6560.233333333333,6661.16,6762.086666666665,6863.013333333334,6963.94,7064.866666666667,7165.793333333333,7266.719999999999,7367.6466666666665,7468.573333333334,7569.5,7569.500000009251,7670.426666676041,7771.353333342831,7872.280000009621,7973.206666676411,8074.133333343201,7902.558000009657,7724.254222231662,7539.222000009214,7347.461333342312,7148.97222223096,6943.754666675153,6731.808666674894,6513.134222230183,6287.7313333410175,6055.600000007401,5816.740222229331,5571.1520000068085,5318.835333339834,5059.7902222284065,4794.016666672525,4521.514666672193,4242.284222227408,3956.3253333381685,3663.638000004478,3364.2222222263345,3058.0780000037375,2745.2053333366885,2425.604222225187,2099.2746666692324,1766.2166666688256,1426.4302222239662,1079.915333334653,726.6720000008895,366.7002222226711
PD22,baseline,jamaica,Agriculture,Improved Rice,Emissions,CH4,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,jamaica,Forests & Wetlands,Natural Regeneration,Emissions,CO2,Mha,0.004722222222222222,0.004816666666666666,0.004911111111111112,0.005005555555555556,0.0050999999999999995,0.005194444444444444,0.005288888888888889,0.005383333333333333,0.005477777777777778,0.005572222222222222,0.005666666666666666,0.00576111111111111,0.005855555555555556,0.0059499999999999996,0.006044444444444444,0.00613888888888889,0.006233333333333333,0.006327777777777778,0.006422222222222222,0.006516666666666666,0.006611111111111111,0.006705555555555556,0.0068000000000000005,0.006800000000005411,0.006894444444449931,0.006988888888894451,0.00708333333333897,0.00717777777778349,0.0072722222222280095,0.007366666666672529,0.007461111111117048,0.007555555555561568,0.007650000000006088,0.007744444444450607,0.007838888888895126,0.007933333333339647,0.008027777777784167,0.008122222222228685,0.008216666666673205,0.008311111111117726,0.008405555555562244,0.008500000000006764,0.008594444444451284,0.008688888888895803,0.008783333333340323,0.008877777777784843,0.008972222222229362,0.009066666666673882,0.009161111111118402,0.00925555555556292,0.009350000000007441,0.00944444444445196,0.00953888888889648,0.009633333333341,0.009727777777785518,0.009822222222230038,0.009916666666674559,0.010011111111119077,0.010105555555563597,0.010200000000008118,0.010294444444452636
PD22,baseline,jamaica,Agriculture,Nitrogen Fertilizer Management,Emissions,N2O,Mha,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
