model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,kenya,Agriculture,AFOLU,Agroforestry,Agroforestry,Emissions,CO2,CO2,Mha,0.3689909868656494,0.4122537583426703,0.4605045526551874,0.5142976219154255,0.5742436740591627,0.6410143550078456,0.7153467608812982,0.7980478793869019,0.8899988292265767,0.9921587306025484,1.105567998390279,1.2313508022904864,1.370716385709387,1.524958878305226,1.695455177976825,1.883660419561601,2.091100494038587,2.3193610396239195,2.570072302679621,2.844889271640689,3.145466532780961,3.4734273954617474,3.8303269997487455,4.217609362935046,4.3883,4.3883,4.3883,4.3883,4.3883,4.3883,4.3883,4.3883,4.3883,4.3883,4.3883,4.3883,4.3883,4.3883,4.3883,4.3883,4.3883,4.3883,4.3883,4.3883,4.3883,4.3883,4.3883,4.3883,4.3883,4.3883,4.3883,4.3883,4.3883,4.3883,4.3883,4.3883,4.3883,4.3883,4.3883,4.3883,4.3883
PD22,baseline,kenya,Agriculture,AFOLU,Biochar,Biochar,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,kenya,Agriculture,AFOLU,Cropland Soil Health,Cropland Soil Health,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016326764329134,0.0182657421977735,0.0204344867498976,0.0228600974133516,0.0255728377246651,0.0286064967013535,0.0319987894520606,0.0331,0.0331,0.0331,0.0331,0.0331,0.0331,0.0331,0.0331,0.0331,0.0331,0.0331,0.0331,0.0331,0.0331,0.0331,0.0331,0.0331,0.0331,0.0331,0.0331,0.0331,0.0331,0.0331,0.0331,0.0331,0.0331,0.0331,0.0331,0.0331,0.0331,0.0331,0.0331,0.0331,0.0331,0.0331,0.0331,0.0331,0.0331,0.0331,0.0331,0.0331,0.0331,0.0331
PD22,baseline,kenya,Agriculture,AFOLU,Improved Rice,Improved Rice,Emissions,CH4,CH4,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,kenya,Agriculture,AFOLU,Nitrogen Fertilizer Management,Nitrogen Fertilizer Management,Emissions,N2O,N2O,Percent adoption,0.113379509289399,0.1206598081343246,0.1280053882457189,0.135370358883137,0.1427083433685964,0.1499736407925342,0.1571223520503746,0.1641134120618387,0.1709094782921866,0.1774776379361848,0.1837899107858847,0.1898235401386893,0.1955610784631168,0.2009902866023582,0.2061038742052833,0.2108991144863402,0.2153773684464269,0.2195435528034933,0.2234055827632205,0.2237833,0.2237833,0.2237833,0.2237833,0.2237833,0.2237833,0.2237833,0.2237833,0.2237833,0.2237833,0.2237833,0.2237833,0.2237833,0.2237833,0.2237833,0.2237833,0.2237833,0.2237833,0.2237833,0.2237833,0.2237833,0.2237833,0.2237833,0.2237833,0.2237833,0.2237833,0.2237833,0.2237833,0.2237833,0.2237833,0.2237833,0.2237833,0.2237833,0.2237833,0.2237833,0.2237833,0.2237833,0.2237833,0.2237833,0.2237833,0.2237833,0.2237833
PD22,baseline,kenya,Agriculture,AFOLU,Optimal Intensity,Optimal Intensity,Emissions,CO2,CO2,Mha,0.0645419060755315,0.0722031474628271,0.0807712819368176,0.0903530314143081,0.1010675182901744,0.1130476665058685,0.1264417508796304,0.1414151078180139,0.1581520210020412,0.1768577959152591,0.1977610370794854,0.22111614148288,0.2472060208007058,0.2763450634685413,0.3088823452769564,0.345205093691212,0.3857424062799341,0.4309692171395751,0.4814104966437959,0.5376456587920319,0.6003131363836376,0.6701150666607928,0.7478220083662341,0.8342775847622206,0.9304029154977276,1.0372006628270858,1.1557584742860765,1.2872515545297118,1.4329440440868824,1.5941888233968908,1.7468,1.7468,1.7468,1.7468,1.7468,1.7468,1.7468,1.7468,1.7468,1.7468,1.7468,1.7468,1.7468,1.7468,1.7468,1.7468,1.7468,1.7468,1.7468,1.7468,1.7468,1.7468,1.7468,1.7468,1.7468,1.7468,1.7468,1.7468,1.7468,1.7468,1.7468
PD22,baseline,kenya,Forests & Wetlands,AFOLU,Avoided Coastal Impacts,Avoided Coastal Impacts,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,kenya,Forests & Wetlands,AFOLU,Avoided Forest Conversion,Avoided Forest Conversion,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,kenya,Forests & Wetlands,AFOLU,Avoided Peat Impacts,Avoided Peat Impacts,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,kenya,Forests & Wetlands,AFOLU,Coastal Restoration,Coastal Restoration,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009064048804815,0.0013,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015
