model,scenario,region,sector,product_long,flow_category,flow_long,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,libya,Forests & Wetlands,Avoided Coastal Impacts,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,libya,Forests & Wetlands,Avoided Forest Conversion,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,libya,Forests & Wetlands,Avoided Peat Impacts,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,libya,Agriculture,Biochar,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,libya,Forests & Wetlands,Coastal Restoration,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,libya,Agriculture,Cropland Soil Health,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,libya,Forests & Wetlands,Improved Forest Mgmt,Emissions,CO2,m3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,libya,Agriculture,Improved Rice,Emissions,CH4,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,libya,Forests & Wetlands,Natural Regeneration,Emissions,CO2,Mha,0.0002777777777777778,0.00028333333333333335,0.0002888888888888889,0.00029444444444444445,0.00030000000000000003,0.00030555555555555555,0.0003111111111111111,0.0003166666666666667,0.0003222222222222222,0.0003277777777777778,0.0003333333333333334,0.0003388888888888889,0.0003444444444444445,0.00035,0.00035555555555555557,0.00036111111111111115,0.00036666666666666667,0.00037222222222222225,0.00037777777777777777,0.00038333333333333334,0.0003888888888888889,0.00039444444444444444,0.0004,0.0004055555555503105,0.0004111111111057255,0.0004166666666611405,0.0004222222222165555,0.0004277777777719706,0.0004333333333273856,0.0004388888888828006,0.00044444444443821567,0.0004499999999936307,0.0004555555555490457,0.00046111111110446075,0.00046666666665987576,0.00047222222221529077,0.00047777777777070583,0.00048333333332612084,0.0004888888888815359,0.0004944444444369509,0.0004999999999923659,0.0005055555555477809,0.0005111111111031959,0.000516666666658611,0.000522222222214026,0.0005277777777694411,0.0005333333333248561,0.0005388888888802711,0.0005444444444356861,0.0005499999999911011,0.0005555555555465161,0.0005611111111019312,0.0005666666666573463,0.0005722222222127613,0.0005777777777681763,0.0005833333333235913,0.0005888888888790063,0.0005944444444344213,0.0005999999999898364,0.0006055555555452514,0.0006111111111006664
PD22,baseline,libya,Agriculture,Nitrogen Fertilizer Management,Emissions,N2O,Mha,0.07115942028985507,0.07258260869565217,0.07400579710144928,0.07542898550724637,0.07685217391304347,0.07827536231884058,0.07969855072463766,0.08112173913043477,0.08254492753623188,0.08396811594202898,0.08539130434782607,0.08681449275362318,0.08823768115942028,0.08966086956521738,0.09108405797101449,0.09250724637681158,0.0939304347826087,0.09535362318840579,0.0967768115942029,0.0982,0.09962318840573658,0.101046376811532,0.10246956521732742,0.10389275362312284,0.10531594202891825,0.10673913043471367,0.10816231884050909,0.10958550724630449,0.1110086956520999,0.11243188405789532,0.11385507246369074,0.11527826086948616,0.11670144927528157,0.11812463768107698,0.1195478260868724,0.12097101449266781,0.12239420289846323,0.12381739130425864,0.12524057971005406,0.12666376811584948,0.1280869565216449,0.1295101449274403,0.13093333333323573,0.13235652173903112,0.13377971014482654,0.13520289855062195,0.13662608695641737,0.1380492753622128,0.1394724637680082,0.14089565217380362,0.14231884057959904,0.14374202898539445,0.14516521739118987,0.1465884057969853,0.1480115942027807,0.14943478260857612,0.1508579710143715,0.15228115942016693,0.15370434782596235,0.15512753623175776,0.15655072463755318
PD22,baseline,libya,Agriculture,Optimal Intensity,Emissions,CO2,Mha,0.029189189189189193,0.029772972972972975,0.03035675675675676,0.030940540540540542,0.031524324324324324,0.03210810810810811,0.032691891891891894,0.03327567567567568,0.03385945945945946,0.03444324324324324,0.03502702702702703,0.035610810810810814,0.03619459459459459,0.03677837837837838,0.03736216216216216,0.03794594594594595,0.038529729729729734,0.03911351351351351,0.0396972972972973,0.04028108108108108,0.04086486486486487,0.041448648648648646,0.04203243243243243,0.04261621621621622,0.0432,0.0437837837837409,0.04436756756752351,0.04495135135130612,0.04553513513508872,0.04611891891887133,0.04670270270265394,0.047286486486436546,0.04787027027021915,0.04845405405400176,0.049037837837784364,0.049621621621566976,0.05020540540534958,0.05078918918913219,0.05137297297291479,0.051956756756697406,0.05254054054048001,0.05312432432426262,0.05370810810804522,0.05429189189182783,0.05487567567561044,0.05545945945939305,0.05604324324317565,0.05662702702695826,0.05721081081074087,0.05779459459452348,0.05837837837830608,0.05896216216208869,0.059545945945871294,0.06012972972965391,0.06071351351343651,0.06129729729721912,0.061881081081001724,0.062464864864784336,0.06304864864856694,0.06363243243234955,0.06421621621613216
PD22,baseline,libya,Forests & Wetlands,Peat Restoration,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,libya,Agriculture,Agroforestry,Emissions,CO2,Mha,0.008445945945945946,0.008614864864864865,0.008783783783783784,0.008952702702702703,0.009121621621621622,0.009290540540540541,0.00945945945945946,0.009628378378378379,0.009797297297297298,0.009966216216216217,0.010135135135135136,0.010304054054054055,0.010472972972972974,0.010641891891891892,0.010810810810810811,0.01097972972972973,0.01114864864864865,0.011317567567567568,0.011486486486486487,0.011655405405405406,0.011824324324324325,0.011993243243243244,0.012162162162162163,0.012331081081081082,0.0125,0.012500000000967137,0.012668918919899125,0.012837837838831113,0.013006756757763102,0.01317567567669509,0.013344594595627077,0.013513513514559065,0.013682432433491053,0.013851351352423042,0.01402027027135503,0.014189189190287018,0.014358108109219007,0.014527027028150995,0.014695945947082983,0.014864864866014972,0.01503378378494696,0.015202702703878948,0.015371621622810937,0.015540540541742925,0.015709459460674913,0.015878378379606903,0.01604729729853889,0.01621621621747088,0.016385135136402867,0.016554054055334857,0.016722972974266843,0.016891891893198833,0.01706081081213082,0.01722972973106281,0.017398648649994797,0.017567567568926787,0.017736486487858773,0.017905405406790764,0.01807432432572275,0.01824324324465474,0.018412162163586727
PD22,pathway,libya,Forests & Wetlands,Avoided Coastal Impacts,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,libya,Forests & Wetlands,Avoided Forest Conversion,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.751554639827577e-06,6.49600688712084e-06,7.336795115842949e-06,8.286379592606373e-06,9.358830533445642e-06,1.0570035656030227e-05,1.1937934361285498e-05,1.3482781925736781e-05,1.522744750547178e-05,1.719775022153705e-05,1.9422838119875566e-05,2.193561538188434e-05,2.4773223809856934e-05,2.7977585330627558e-05,3.159601305628894e-05,3.568189931833044e-05,4.029549005584934e-05,4.550475599366414e-05,5.138637219485094e-05,5.802681881501367e-05,6.552361722012584e-05,7.398671704959045e-05,8.35400512992221e-05,9.432327804567779e-05,0.00010649372900508739,0.00012022858667203613,0.0001357273132617144,0.00015321435599773692,0.0001729421543434937,0.00019519447542447088
PD22,pathway,libya,Forests & Wetlands,Avoided Peat Impacts,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
