model,scenario,region,sector,product_long,flow_category,flow_long,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,srilanka,Forests & Wetlands,Avoided Coastal Impacts,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,srilanka,Forests & Wetlands,Avoided Forest Conversion,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,srilanka,Forests & Wetlands,Avoided Peat Impacts,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,srilanka,Agriculture,Biochar,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,srilanka,Forests & Wetlands,Coastal Restoration,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,srilanka,Agriculture,Cropland Soil Health,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,srilanka,Forests & Wetlands,Improved Forest Mgmt,Emissions,CO2,m3,16870.73333333333,17208.147999999997,17545.562666666665,17882.977333333332,18220.391999999996,18557.806666666664,18895.22133333333,19232.636,19570.050666666662,19907.46533333333,20244.879999999997,20582.294666666665,20919.70933333333,21257.123999999996,21594.538666666664,21931.95333333333,22269.368,22606.782666666662,22944.19733333333,23281.611999999997,23619.026666666665,23956.44133333333,24293.855999999996,24631.270666666664,24968.68533333333,25306.1,25306.10000003093,25643.514666698007,25980.929333365086,26318.344000032164,26655.758666699243,26993.17333336632,26419.568400032287,25823.469155587114,25204.875600030802,24563.78773336335,23900.205555584762,23214.129066695037,22505.558266694174,21774.493155582164,21020.933733359027,20244.88000002474,19446.331955579324,18625.289600022763,17781.752933355066,16915.721955576228,16027.196666686254,15116.17706668514,14182.663155572887,13226.654933349497,12248.152400014967,11247.1555555693,10223.664400012492,9177.678933344549,8109.199155565464,7018.225066675245,5904.756666673885,4768.793955561385,3610.3369333377464,2429.3856000029696,1225.9399555570542
PD22,baseline,srilanka,Agriculture,Improved Rice,Emissions,CH4,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,srilanka,Forests & Wetlands,Natural Regeneration,Emissions,CO2,Mha,0.018333333333333333,0.0187,0.019066666666666666,0.019433333333333334,0.0198,0.020166666666666666,0.020533333333333334,0.020900000000000002,0.021266666666666666,0.021633333333333334,0.022,0.022366666666666663,0.02273333333333333,0.0231,0.023466666666666667,0.023833333333333335,0.0242,0.024566666666666667,0.02493333333333333,0.0253,0.025666666666666667,0.026033333333333332,0.0264,0.026766666666656693,0.027133333333323104,0.027499999999989515,0.027866666666655927,0.028233333333322338,0.02859999999998875,0.02896666666665516,0.02933333333332157,0.029699999999987983,0.030066666666654394,0.030433333333320805,0.030799999999987216,0.031166666666653627,0.03153333333332004,0.03189999999998645,0.032266666666652864,0.032633333333319275,0.03299999999998569,0.0333666666666521,0.03373333333331851,0.03409999999998492,0.03446666666665133,0.03483333333331774,0.035199999999984154,0.035566666666650565,0.035933333333316976,0.03629999999998339,0.0366666666666498,0.03703333333331621,0.03739999999998262,0.03776666666664903,0.03813333333331544,0.038499999999981854,0.038866666666648265,0.03923333333331468,0.03959999999998109,0.0399666666666475,0.04033333333331391
PD22,baseline,srilanka,Agriculture,Nitrogen Fertilizer Management,Emissions,N2O,Mha,0.268768115942029,0.27414347826086954,0.27951884057971016,0.2848942028985507,0.2902695652173913,0.2956449275362319,0.30102028985507245,0.306395652173913,0.31177101449275363,0.3171463768115942,0.3225217391304348,0.32789710144927536,0.3332724637681159,0.33864782608695654,0.3440231884057971,0.3493985507246376,0.3547739130434783,0.3601492753623188,0.3655246376811594,0.37090000000000006,0.37627536231863584,0.3816507246374708,0.38702608695630575,0.39240144927514065,0.3977768115939756,0.4031521739128105,0.40852753623164545,0.4139028985504804,0.4192782608693153,0.42465362318815025,0.43002898550698515,0.4354043478258201,0.44077971014465506,0.44615507246348995,0.4515304347823249,0.4569057971011598,0.46228115941999476,0.4676565217388297,0.4730318840576646,0.47840724637649956,0.48378260869533446,0.4891579710141694,0.49453333333300437,0.49990869565183926,0.5052840579706742,0.5106594202895092,0.516034782608344,0.521410144927179,0.5267855072460139,0.5321608695648489,0.5375362318836838,0.5429115942025187,0.5482869565213536,0.5536623188401886,0.5590376811590235,0.5644130434778585,0.5697884057966933,0.5751637681155283,0.5805391304343632,0.5859144927531982,0.5912898550720331
