model,scenario,region,sector,product_long,flow_category,flow_long,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,trinidad,Forests & Wetlands,Avoided Coastal Impacts,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,trinidad,Forests & Wetlands,Avoided Forest Conversion,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,trinidad,Forests & Wetlands,Avoided Peat Impacts,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,trinidad,Agriculture,Biochar,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,trinidad,Forests & Wetlands,Coastal Restoration,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,trinidad,Agriculture,Cropland Soil Health,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,trinidad,Forests & Wetlands,Improved Forest Mgmt,Emissions,CO2,m3,1958.446666666667,1997.6156,2036.7845333333335,2075.953466666667,2115.1224,2154.2913333333336,2193.460266666667,2232.6292000000003,2271.798133333333,2310.9670666666666,2350.136,2389.3049333333333,2428.4738666666667,2467.6428,2506.8117333333334,2545.980666666667,2585.1496,2624.3185333333336,2663.487466666667,2702.6564000000003,2741.8253333333337,2780.9942666666666,2820.1632,2859.3321333333333,2898.5010666666667,2937.67,2937.670000008617,2976.8389333420655,3016.007866675514,3055.176800008962,3094.3457333424103,3133.5146666758583,3066.9274800089966,2997.7290311199044,2925.9193200085824,2851.498346675031,2774.4661111192495,2694.822613341238,2612.567853340997,2527.7018311185257,2440.2245466738245,2350.1360000068935,2257.4361911177334,2162.1251200063425,2064.2027866727217,1963.6691911168714,1860.524333338791,1754.7682133384806,1646.4008311159405,1535.4221866711705,1421.8322800041706,1305.6311111149407,1186.8186800034814,1065.394986669792,941.3600311138724,814.7138133357231,685.4563333353439,553.5875911127348,419.10758666789576,282.0163200008274,142.31379111152864
PD22,baseline,trinidad,Agriculture,Improved Rice,Emissions,CH4,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,trinidad,Forests & Wetlands,Natural Regeneration,Emissions,CO2,Mha,0.0011111111111111111,0.0011333333333333334,0.0011555555555555555,0.0011777777777777778,0.0012000000000000001,0.0012222222222222222,0.0012444444444444445,0.0012666666666666668,0.001288888888888889,0.0013111111111111112,0.0013333333333333335,0.0013555555555555556,0.001377777777777778,0.0014,0.0014222222222222223,0.0014444444444444446,0.0014666666666666667,0.001488888888888889,0.001511111111111111,0.0015333333333333334,0.0015555555555555557,0.0015777777777777778,0.0016000000000000003,0.0016222222222216458,0.00164444444444386,0.0016666666666660744,0.0016888888888882889,0.0017111111111105031,0.0017333333333327174,0.0017555555555549317,0.001777777777777146,0.0017999999999993605,0.0018222222222215748,0.001844444444443789,0.0018666666666660033,0.0018888888888882176,0.0019111111111104321,0.0019333333333326464,0.0019555555555548607,0.001977777777777075,0.0019999999999992892,0.0020222222222215035,0.002044444444443718,0.0020666666666659325,0.002088888888888147,0.002111111111110361,0.0021333333333325754,0.0021555555555547896,0.002177777777777004,0.002199999999999218,0.0022222222222214325,0.0022444444444436468,0.002266666666665861,0.0022888888888880758,0.00231111111111029,0.0023333333333325043,0.0023555555555547186,0.002377777777776933,0.002399999999999147,0.0024222222222213615,0.0024444444444435757
PD22,baseline,trinidad,Agriculture,Nitrogen Fertilizer Management,Emissions,N2O,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
