model,scenario,region,sector,product_long,flow_category,flow_long,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,turkey,Forests & Wetlands,Avoided Coastal Impacts,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,turkey,Forests & Wetlands,Avoided Forest Conversion,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,turkey,Forests & Wetlands,Avoided Peat Impacts,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,turkey,Agriculture,Biochar,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,turkey,Forests & Wetlands,Coastal Restoration,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,turkey,Agriculture,Cropland Soil Health,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,turkey,Forests & Wetlands,Improved Forest Mgmt,Emissions,CO2,m3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,turkey,Agriculture,Improved Rice,Emissions,CH4,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,turkey,Forests & Wetlands,Natural Regeneration,Emissions,CO2,Mha,0.12381944444444443,0.12629583333333333,0.1287722222222222,0.1312486111111111,0.13372499999999998,0.13620138888888889,0.13867777777777776,0.14115416666666666,0.14363055555555554,0.14610694444444444,0.14858333333333332,0.15105972222222222,0.1535361111111111,0.1560125,0.15848888888888887,0.16096527777777775,0.16344166666666665,0.16591805555555553,0.16839444444444443,0.17087083333333328,0.1733472222222222,0.17582361111111108,0.1783,0.18077638888786246,0.18325277777672308,0.1857291666655837,0.18820555555444432,0.1906819444433049,0.19315833333216553,0.19563472222102615,0.19811111110988674,0.20058749999874737,0.20306388888760799,0.20554027777646858,0.2080166666653292,0.21049305555418982,0.21296944444305044,0.21544583333191103,0.21792222222077165,0.22039861110963227,0.22287499999849286,0.22535138888735348,0.2278277777762141,0.2303041666650747,0.23278055555393531,0.23525694444279593,0.23773333333165655,0.24020972222051715,0.24268611110937777,0.2451624999982384,0.24763888888709898,0.2501152777759596,0.2525916666648202,0.25506805555368084,0.25754444444254143,0.260020833331402,0.26249722222026267,0.26497361110912326,0.26744999999798386,0.2699263888868445,0.2724027777757051
PD22,baseline,turkey,Agriculture,Nitrogen Fertilizer Management,Emissions,N2O,Mha,0.4594927536231884,0.46868260869565215,0.4778724637681159,0.4870623188405797,0.4962521739130435,0.5054420289855073,0.514631884057971,0.5238217391304347,0.5330115942028986,0.5422014492753623,0.551391304347826,0.5605811594202899,0.5697710144927536,0.5789608695652174,0.5881507246376811,0.5973405797101449,0.6065304347826087,0.6157202898550724,0.6249101449275363,0.6341,0.6432898550720552,0.6524797101445073,0.6616695652169596,0.6708594202894118,0.6800492753618641,0.6892391304343164,0.6984289855067686,0.7076188405792209,0.716808695651673,0.7259985507241253,0.7351884057965776,0.7443782608690298,0.7535681159414821,0.7627579710139343,0.7719478260863866,0.7811376811588389,0.790327536231291,0.7995173913037433,0.8087072463761955,0.8178971014486478,0.8270869565211001,0.8362768115935523,0.8454666666660046,0.8546565217384567,0.863846376810909,0.8730362318833613,0.8822260869558135,0.8914159420282658,0.900605797100718,0.9097956521731703,0.9189855072456224,0.9281753623180747,0.937365217390527,0.9465550724629792,0.9557449275354315,0.9649347826078837,0.974124637680336,0.9833144927527883,0.9925043478252404,1.0016942028976927,1.010884057970145
