model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,zambia,Agriculture,AFOLU,Agroforestry,Agroforestry,Emissions,CO2,CO2,Mha,3.7852381460115168,4.146204655531209,4.532468007831643,4.944086015109151,5.38078416220299,5.8419186875061815,6.326447338489216,6.832910591897581,7.359425924599812,7.90369724384155,8.463040831534004,9.034428160207902,9.614544773091096,10.199863198151943,10.786726719989538,11.371439902204749,11.950361155705416,12.519992464764774,13.077061637432116,13.618593105639256,14.141964275795011,14.644945598837102,15.125723750681964,15.582908458336425,15.9161,15.9161,15.9161,15.9161,15.9161,15.9161,15.9161,15.9161,15.9161,15.9161,15.9161,15.9161,15.9161,15.9161,15.9161,15.9161,15.9161,15.9161,15.9161,15.9161,15.9161,15.9161,15.9161,15.9161,15.9161,15.9161,15.9161,15.9161,15.9161,15.9161,15.9161,15.9161,15.9161,15.9161,15.9161,15.9161,15.9161
PD22,baseline,zambia,Agriculture,AFOLU,Biochar,Biochar,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,zambia,Agriculture,AFOLU,Cropland Soil Health,Cropland Soil Health,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0104415765188601,0.0116816253966189,0.0130686186632796,0.0146198874166494,0.016354786320398,0.0182949247151621,0.0204644228237173,0.0228901954430951,0.02560226565713,0.0286341112259284,0.0320230464046711,0.0358106419996308,0.04,0.072,0.104,0.136,0.168,0.2,0.258,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316
PD22,baseline,zambia,Agriculture,AFOLU,Improved Rice,Improved Rice,Emissions,CH4,CH4,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,zambia,Agriculture,AFOLU,Nitrogen Fertilizer Management,Nitrogen Fertilizer Management,Emissions,N2O,N2O,Percent adoption,0.0832941994812895,0.0915680917901673,0.1004885208859295,0.1100712708297372,0.1203255881138454,0.1312530075061799,0.1428462413219506,0.1550881993149978,0.1679512123107439,0.1813965336498276,0.1953741870935772,0.2098232171734589,0.2246723779464659,0.2398412696506519,0.2552419018226099,0.2707806289813284,0.2863603745604822,0.301883034048954,0.3172519324457455,0.32633205,0.32633205,0.32633205,0.32633205,0.32633205,0.32633205,0.32633205,0.32633205,0.32633205,0.32633205,0.32633205,0.32633205,0.32633205,0.32633205,0.32633205,0.32633205,0.32633205,0.32633205,0.32633205,0.32633205,0.32633205,0.32633205,0.32633205,0.32633205,0.32633205,0.32633205,0.32633205,0.32633205,0.32633205,0.32633205,0.32633205,0.32633205,0.32633205,0.32633205,0.32633205,0.32633205,0.32633205,0.32633205,0.32633205,0.32633205,0.32633205,0.32633205
PD22,baseline,zambia,Agriculture,AFOLU,Optimal Intensity,Optimal Intensity,Emissions,CO2,CO2,Mha,0.017205795278956,0.019248154405106,0.0215322760966705,0.0240866106360164,0.0269429140660619,0.0301366216917642,0.0337072611057027,0.0376989082352292,0.0421606900349335,0.0471473375212103,0.0527197928453129,0.0589458739996746,0.0659010005165434,0.0736689831072777,0.0823428795533191,0.0920259182360214,0.1028324894076934,0.1148892025741808,0.1283360060779782,0.143327362023821,0.160033465943775,0.1786414959114552,0.1993568700309139,0.2224044841880271,0.2480298935123434,0.2765003910314622,0.308105925431039,0.3431597866638272,0.3819989735026623,0.4249841412998718,0.4657,0.4657,0.4657,0.4657,0.4657,0.4657,0.4657,0.4657,0.4657,0.4657,0.4657,0.4657,0.4657,0.4657,0.4657,0.4657,0.4657,0.4657,0.4657,0.4657,0.4657,0.4657,0.4657,0.4657,0.4657,0.4657,0.4657,0.4657,0.4657,0.4657,0.4657
PD22,baseline,zambia,Forests & Wetlands,AFOLU,Avoided Coastal Impacts,Avoided Coastal Impacts,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,zambia,Forests & Wetlands,AFOLU,Avoided Forest Conversion,Avoided Forest Conversion,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,zambia,Forests & Wetlands,AFOLU,Avoided Peat Impacts,Avoided Peat Impacts,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,zambia,Forests & Wetlands,AFOLU,Coastal Restoration,Coastal Restoration,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
