model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
PD22,baseline,azerbaijan,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2-landuse,AFOLU,Mt,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.469276337151996e-06,2.9385526743039995e-06,4.407829011455999e-06,5.877105348608002e-06,7.346381685759998e-06,8.626328322369106e-06,9.883790032275758e-06,1.1116102377107363e-05,1.2320286665988164e-05,1.3493013263654846e-05,1.4630560707998373e-05,1.5728770182019197e-05,1.678299484179455e-05,1.7788043456118617e-05,1.8738117765308196e-05,1.9626742916758844e-05,2.0446690283923172e-05,2.1189891924475178e-05,2.184734588391576e-05,2.2409011504612918e-05,2.286369385966428e-05,2.3198916399141667e-05,2.3400780877172602e-05,2.3453813626904075e-05,2.3453813626904075e-05,2.3453813626904075e-05,2.3453813626904075e-05,2.3453813626904075e-05,2.3453813626904075e-05,2.3453813626904075e-05,2.3453813626904075e-05,2.3453813626904075e-05,2.3453813626904075e-05,2.3453813626904075e-05,2.3453813626904075e-05,2.3453813626904075e-05,2.3453813626904075e-05,2.3453813626904075e-05,2.3453813626904075e-05,2.3453813626904075e-05,2.3453813626904075e-05,2.3453813626904075e-05,2.3453813626904075e-05,2.3453813626904075e-05,2.3453813626904075e-05,2.3453813626904075e-05,2.3453813626904075e-05,2.3453813626904075e-05,2.3453813626904075e-05,2.3453813626904075e-05,2.3453813626904075e-05,2.3453813626904075e-05,2.3453813626904075e-05,2.3453813626904075e-05,2.3453813626904075e-05,2.3453813626904075e-05,2.3453813626904075e-05,2.3453813626904075e-05,2.3453813626904075e-05,2.3453813626904075e-05,2.3453813626904075e-05,2.3453813626904075e-05,2.3453813626904075e-05,2.3453813626904075e-05,2.3453813626904075e-05,2.3453813626904075e-05,2.3453813626904075e-05,2.3453813626904075e-05,2.3453813626904075e-05,2.3453813626904075e-05,2.3453813626904075e-05,2.3453813626904075e-05,2.3453813626904075e-05,2.3453813626904075e-05,2.3453813626904075e-05,2.3453813626904075e-05,2.3453813626904075e-05,2.3453813626904075e-05,2.3453813626904075e-05,2.3453813626904075e-05
PD22,baseline,azerbaijan,Agriculture,Emissions,Biochar,EM,Emissions,CO2-landuse,AFOLU,Mt,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,azerbaijan,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,0.0,0.00025069999999999997,0.0005013999999999999,0.0005679999999999999,0.0005179000000000001,0.0004834,0.0005178,0.0005969,0.0005769,0.0005390000000000001,0.0006276000000000001,0.0007058,0.0007872,0.0007288,0.0007532,0.0007279,0.0006932,0.0006217000000000001,0.0007439,0.0009601,0.0007921,0.0007995,0.0008411,0.0008517,0.0007559,0.0006815,0.0007384,0.0007476000000000001,0.0008237,0.0008179999999999999,0.0007932454545454545,0.000768490909090909,0.0007437363636363636,0.0007189818181818181,0.0006942272727272727,0.0006694727272727272,0.0006447181818181818,0.0006199636363636363,0.0005952090909090909,0.0005704545454545454,0.0005457,0.00054526,0.00054482,0.00054438,0.00054394,0.0005435,0.00054306,0.0005426200000000001,0.0005421800000000001,0.0005417400000000001,0.0005413,0.00054086,0.00054042,0.00053998,0.00053954,0.0005391,0.00053866,0.0005382200000000001,0.0005377800000000001,0.0005373400000000001,0.0005369000000000001,0.0005369000000000001,0.0005369000000000001,0.0005369000000000001,0.0005369000000000001,0.0005369000000000001,0.0005369000000000001,0.0005369000000000001,0.0005369000000000001,0.0005369000000000001,0.0005369000000000001,0.0005369000000000001,0.0005369000000000001,0.0005369000000000001,0.0005369000000000001,0.0005369000000000001,0.0005369000000000001,0.0005369000000000001,0.0005369000000000001,0.0005369000000000001,0.0005369000000000001,0.0005369000000000001,0.0005369000000000001,0.0005369000000000001,0.0005369000000000001,0.0005369000000000001,0.0005369000000000001,0.0005369000000000001,0.0005369000000000001,0.0005369000000000001,0.0005369000000000001,0.0005369000000000001,0.0005369000000000001,0.0005369000000000001,0.0005369000000000001,0.0005369000000000001,0.0005369000000000001,0.0005369000000000001,0.0005369000000000001,0.0005369000000000001,0.0005369000000000001,0.0005369000000000001,0.0005369000000000001,0.0005369000000000001,0.0005369000000000001,0.0005369000000000001,0.0005369000000000001,0.0005369000000000001,0.0005369000000000001,0.0005369000000000001,0.0005369000000000001
PD22,baseline,azerbaijan,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,0.0,1.02137035e-08,2.0427407e-08,2.30986833e-08,2.1055942599999998e-08,1.96417375e-08,2.1055942599999998e-08,2.43557545e-08,2.3570085e-08,2.1998746e-08,2.5612825699999998e-08,2.8755503700000002e-08,3.20553156e-08,2.9698307100000003e-08,3.06411105e-08,2.9698307100000003e-08,2.8284102e-08,2.52985579e-08,3.03268427e-08,3.91263411e-08,3.22124495e-08,3.25267173e-08,3.42551902e-08,3.4726591900000004e-08,3.0798244399999994e-08,2.7812700299999998e-08,3.00125749e-08,3.04839766e-08,3.362665459999999e-08,3.33123868e-08,3.22981589e-08,3.1283931e-08,3.02697031e-08,2.92554752e-08,2.8241247300000002e-08,2.72270194e-08,2.62127915e-08,2.51985636e-08,2.41843357e-08,2.3170107799999996e-08,2.21558799e-08,2.2140166510000002e-08,2.212445312e-08,2.210873973e-08,2.209302634e-08,2.207731295e-08,2.2061599559999998e-08,2.204588617e-08,2.203017278e-08,2.2014459389999997e-08,2.1998746e-08,2.1983032609999998e-08,2.196731922e-08,2.1951605829999998e-08,2.193589244e-08,2.192017905e-08,2.1904465659999997e-08,2.1888752269999996e-08,2.1873038879999998e-08,2.1857325489999996e-08,2.18416121e-08,2.18416121e-08,2.18416121e-08,2.18416121e-08,2.18416121e-08,2.18416121e-08,2.18416121e-08,2.18416121e-08,2.18416121e-08,2.18416121e-08,2.18416121e-08,2.18416121e-08,2.18416121e-08,2.18416121e-08,2.18416121e-08,2.18416121e-08,2.18416121e-08,2.18416121e-08,2.18416121e-08,2.18416121e-08,2.18416121e-08,2.18416121e-08,2.18416121e-08,2.18416121e-08,2.18416121e-08,2.18416121e-08,2.18416121e-08,2.18416121e-08,2.18416121e-08,2.18416121e-08,2.18416121e-08,2.18416121e-08,2.18416121e-08,2.18416121e-08,2.18416121e-08,2.18416121e-08,2.18416121e-08,2.18416121e-08,2.18416121e-08,2.18416121e-08,2.18416121e-08,2.18416121e-08,2.18416121e-08,2.18416121e-08,2.18416121e-08,2.18416121e-08,2.18416121e-08,2.18416121e-08,2.18416121e-08,2.18416121e-08,2.18416121e-08
PD22,baseline,azerbaijan,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,0.0,2.7804843604999995e-07,5.560968720999999e-07,5.028284800000001e-07,4.527027659e-07,4.0823387219999995e-07,4.467316777e-07,4.791012611e-07,4.208045842e-07,4.6087372870000004e-07,6.393778390999999e-07,8.183533512000001e-07,8.912634808e-07,8.373665531000001e-07,8.837210536e-07,8.794784382999999e-07,8.565368889000001e-07,8.257386444999998e-07,1.0124137177e-06,1.206788352e-06,8.480516582999999e-07,9.985859345e-07,1.1208361087e-06,1.1748901703e-06,9.644878782e-07,1.1607481193e-06,1.1953175773e-06,1.1406349801e-06,1.2737273933999998e-06,1.3515086739e-06,1.308353991e-06,1.2651993081e-06,1.2220446252e-06,1.1788899423e-06,1.1357352594e-06,1.0925805765e-06,1.0494258936e-06,1.0062712107e-06,9.631165278e-07,9.199618449000001e-07,8.76807162e-07,8.78433497865e-07,8.800598337299999e-07,8.81686169595e-07,8.8331250546e-07,8.849388413249999e-07,8.8656517719e-07,8.88191513055e-07,8.898178489200001e-07,8.91444184785e-07,8.9307052065e-07,8.946968565150001e-07,8.963231923799999e-07,8.979495282449999e-07,8.995758641100001e-07,9.012021999750001e-07,9.0282853584e-07,9.04454871705e-07,9.0608120757e-07,9.07707543435e-07,9.093338793e-07,9.093338793e-07,9.093338793e-07,9.093338793e-07,9.093338793e-07,9.093338793e-07,9.093338793e-07,9.093338793e-07,9.093338793e-07,9.093338793e-07,9.093338793e-07,9.093338793e-07,9.093338793e-07,9.093338793e-07,9.093338793e-07,9.093338793e-07,9.093338793e-07,9.093338793e-07,9.093338793e-07,9.093338793e-07,9.093338793e-07,9.093338793e-07,9.093338793e-07,9.093338793e-07,9.093338793e-07,9.093338793e-07,9.093338793e-07,9.093338793e-07,9.093338793e-07,9.093338793e-07,9.093338793e-07,9.093338793e-07,9.093338793e-07,9.093338793e-07,9.093338793e-07,9.093338793e-07,9.093338793e-07,9.093338793e-07,9.093338793e-07,9.093338793e-07,9.093338793e-07,9.093338793e-07,9.093338793e-07,9.093338793e-07,9.093338793e-07,9.093338793e-07,9.093338793e-07,9.093338793e-07,9.093338793e-07,9.093338793e-07,9.093338793e-07
PD22,baseline,azerbaijan,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2-landuse,AFOLU,Mt,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3.049467548400004e-08,6.098935096799994e-08,9.148402645199998e-08,1.2197870193600003e-07,1.5247337741999997e-07,1.8296805290399991e-07,2.1346272838799996e-07,2.43957403872e-07,2.74452079356e-07,3.049467548399999e-07,3.354414303239999e-07,3.65936105808e-07,3.96430781292e-07,4.2692545677600003e-07,4.5742013225999986e-07,4.87914807744e-07,5.184094832279999e-07,5.48904158712e-07,5.79398834196e-07,6.098935096799999e-07,6.403881851639999e-07,6.708828606479999e-07,7.01377536132e-07,7.01377536132e-07,7.01377536132e-07,7.01377536132e-07,7.01377536132e-07,7.01377536132e-07,7.01377536132e-07,7.01377536132e-07,7.01377536132e-07,7.01377536132e-07,7.01377536132e-07,7.01377536132e-07,7.01377536132e-07,7.01377536132e-07,7.01377536132e-07,7.01377536132e-07,7.01377536132e-07,7.01377536132e-07,7.01377536132e-07,7.01377536132e-07,7.01377536132e-07,7.01377536132e-07,7.01377536132e-07,7.01377536132e-07,7.01377536132e-07,7.01377536132e-07,7.01377536132e-07,7.01377536132e-07,7.01377536132e-07,7.01377536132e-07,7.01377536132e-07,7.01377536132e-07,7.01377536132e-07,7.01377536132e-07,7.01377536132e-07,7.01377536132e-07,7.01377536132e-07,7.01377536132e-07,7.01377536132e-07,7.01377536132e-07,7.01377536132e-07,7.01377536132e-07,7.01377536132e-07,7.01377536132e-07,7.01377536132e-07,7.01377536132e-07,7.01377536132e-07,7.01377536132e-07,7.01377536132e-07,7.01377536132e-07,7.01377536132e-07,7.01377536132e-07,7.01377536132e-07,7.01377536132e-07,7.01377536132e-07,7.01377536132e-07,7.01377536132e-07,7.01377536132e-07
PD22,baseline,azerbaijan,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,0.0,0.050221800000000004,0.10044360000000001,0.0954893,0.0897294,0.09064960000000001,0.0932353,0.0986045,0.10272629999999999,0.10664560000000001,0.1100727,0.11619650000000001,0.1195937,0.12493710000000001,0.128969,0.1329005,0.1382489,0.14161189999999999,0.14525110000000002,0.1479325,0.1500204,0.1502239,0.1516537,0.1531477,0.154205,0.15434889999999998,0.1530588,0.1508969,0.1489306,0.1474804,0.14912253636363637,0.15076467272727273,0.15240680909090912,0.15404894545454548,0.15569108181818184,0.1573332181818182,0.15897535454545456,0.16061749090909092,0.1622596272727273,0.16390176363636366,0.16554390000000002,0.16643447000000003,0.16732504,0.16821561000000002,0.16910618000000002,0.16999675000000003,0.17088732,0.17177789000000002,0.17266846000000002,0.17355903,0.1744496,0.17534017000000002,0.17623074,0.17712131,0.17801188,0.17890245,0.17979302,0.18068359,0.18157416,0.18246473,0.1833553,0.1833553,0.1833553,0.1833553,0.1833553,0.1833553,0.1833553,0.1833553,0.1833553,0.1833553,0.1833553,0.1833553,0.1833553,0.1833553,0.1833553,0.1833553,0.1833553,0.1833553,0.1833553,0.1833553,0.1833553,0.1833553,0.1833553,0.1833553,0.1833553,0.1833553,0.1833553,0.1833553,0.1833553,0.1833553,0.1833553,0.1833553,0.1833553,0.1833553,0.1833553,0.1833553,0.1833553,0.1833553,0.1833553,0.1833553,0.1833553,0.1833553,0.1833553,0.1833553,0.1833553,0.1833553,0.1833553,0.1833553,0.1833553,0.1833553,0.1833553
PD22,baseline,azerbaijan,Agriculture,Emissions,"Fertilized Soils, Addtl Emissions",EM,Emissions,NH3,IND,Mt,0.0204723568326,0.0190667128446,0.0125376569372,0.00950927875114001,0.00914250053980004,0.00891288054763996,0.006127007802468,0.006618893668859,0.00437050053497,0.004016332254626,0.003224971592529,0.003919379797887,0.00453269606855,0.005893464834199999,0.00482670858682,0.004690810598535,0.005131874687283,0.004903902092016,0.00603381535901,0.005374493978869,0.0049718636464259995,0.00556107497574,0.0054979041914859994,0.005571597405979001,0.00671929217714,0.00678003850188,0.0068596135043463595,0.006932773376546349,0.00699976627120566,0.00699976627120566,0.007034795636523792,0.006871587072542784,0.0067091877711699,0.006548237743878418,0.006388736990668331,0.006230685511539638,0.0062463076145746225,0.006261278695250974,0.006275598753568692,0.006289267789527786,0.006302285803128237,0.006334232491984805,0.006365281872978157,0.006395433946108281,0.006424688711375183,0.0064530461687788716,0.006480183995945355,0.006506428701253475,0.006531780284703229,0.006556238746294621,0.006579804086027637,0.006611051825011697,0.006641291334471493,0.006670522614407024,0.006698745664818294,0.006725960485705308,0.006759294584017586,0.0067915214596535305,0.006822641112613126,0.00685265354289639,0.006881558750503311,0.00689809851422953,0.006921455007134269,0.006943753773938704,0.006964994814642863,0.006985178129246698,0.007004303717750231,0.007022371580153484,0.007039381716456413,0.007055334126659046,0.0070702288107613726,0.007084065768763386,0.007096845000665168,0.00710856650646658,0.00711923028616769,0.007128836339768569,0.007137384667269073,0.00714487526866928,0.007151308143969186,0.007156683293168858,0.007161000716268163,0.007164260413267165,0.007166462384165931,0.007167606628964331,0.007167693147662432,0.007166721940260229,0.007164693006757789,0.007161606347154985,0.007157461961451879,0.007152259849648536,0.007146000011744829,0.00713868244774082,0.0071303071576365095,0.007120874141431958,0.007110383399127046,0.007098834930721835,0.007086228736216322,0.007072564815610564,0.007057843168904446,0.007042063796098031,0.007025226697191368,0.00700733187218435,0.006988379321077031,0.006968369043869409,0.006947301040561538,0.006925175311153317,0.0069019918556447925,0.006877750674036018,0.006852451766326891,0.006826095132517463,0.006798680772607736
PD22,baseline,azerbaijan,Agriculture,Emissions,"Fertilized Soils, Addtl Emissions",EM,Emissions,NOx,IND,Mt,4.713720421387183e-06,4.415549448776509e-06,3.847530485494442e-06,3.1897630227445304e-06,2.9813866133260073e-06,2.8134567944705226e-06,2.3680022082004414e-06,2.459943069985884e-06,1.9513349971761994e-06,2.24161924791072e-06,1.8714802582075146e-06,2.6394629775862236e-06,3.1869508458472545e-06,4.179290243164681e-06,3.3216881967028326e-06,3.1562130130089777e-06,3.467960263172888e-06,3.210543580677425e-06,4.332475950128612e-06,3.9821519179363176e-06,3.1959002624922812e-06,3.86162764737494e-06,3.906936632390962e-06,3.9080484307036974e-06,4.518483507213644e-06,4.663740185274799e-06,4.7184769152568916e-06,4.7688009120652e-06,4.814882870871744e-06,4.814882870871744e-06,4.838978288420412e-06,4.726713094320384e-06,4.615004562331479e-06,4.504292932907513e-06,4.394578206048482e-06,4.2858603817543846e-06,4.29660625431581e-06,4.3069043124386265e-06,4.316754556122832e-06,4.326156985368435e-06,4.335111600175422e-06,4.357086557480684e-06,4.37844428956826e-06,4.399184796438142e-06,4.419308078090334e-06,4.438814134524841e-06,4.4574812519847605e-06,4.475534023626431e-06,4.492972449449851e-06,4.5097965294550236e-06,4.526006263641937e-06,4.547500438927008e-06,4.568301090045957e-06,4.588408216998783e-06,4.60782181978549e-06,4.626541898406081e-06,4.6494712038658895e-06,4.671638891395619e-06,4.693044960995257e-06,4.713689412664817e-06,4.733572246404291e-06,4.744949344148429e-06,4.76101542025061e-06,4.776353925304686e-06,4.7909648593106765e-06,4.804848222268549e-06,4.818004014178318e-06,4.830432235039999e-06,4.842132884853563e-06,4.853105963619028e-06,4.8633514713363844e-06,4.8728694080056315e-06,4.881659773626824e-06,4.8897225681998656e-06,4.897057791724806e-06,4.903665444201691e-06,4.909545525630423e-06,4.914698036011054e-06,4.919122975343584e-06,4.922820343628057e-06,4.925790140864382e-06,4.9280323670526036e-06,4.929547022192767e-06,4.930334106284783e-06,4.9303936193287e-06,4.9297255613245105e-06,4.928329932272264e-06,4.92620673217187e-06,4.923355961023375e-06,4.919777618826819e-06,4.915471705582119e-06,4.910438221289315e-06,4.904677165948409e-06,4.8981885395594415e-06,4.89097234212233e-06,4.8830285736371186e-06,4.874357234103804e-06,4.864958323522425e-06,4.8548318418929035e-06,4.8439777892152805e-06,4.8323961654895936e-06,4.8200869707157655e-06,4.807050204893836e-06,4.793285868023803e-06,4.778793960105703e-06,4.763574481139466e-06,4.7476274311251256e-06,4.7309528100627175e-06,4.713550617952171e-06,4.695420854793523e-06,4.676563520586774e-06
PD22,baseline,azerbaijan,Agriculture,Emissions,Improved Rice,EM,Emissions,CH4,AFOLU,Mt,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
