model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
PD22,baseline,brunei,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2-landuse,AFOLU,Mt,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,4.915678754005469e-08,9.782875430737574e-08,1.4595949507254677e-07,1.9348621085094985e-07,2.4033902591698427e-07,2.864402422400475e-07,3.3170352824895534e-07,3.7603303942411705e-07,4.1932246907143265e-07,4.614540288098172e-07,5.022973598755605e-07,5.417083783897868e-07,5.795280603353573e-07,6.155811752362813e-07,6.496749815155393e-07,6.815979013088129e-07,7.111181981981637e-07,7.379826879378045e-07,7.619155197635996e-07,7.826170742303347e-07,7.997630325338107e-07,8.13003681653342e-07,8.219635289464747e-07,8.262413084134192e-07,8.262413084134192e-07,8.262413084134192e-07,8.262413084134192e-07,8.262413084134192e-07,8.262413084134192e-07,8.262413084134192e-07,8.262413084134192e-07,8.262413084134192e-07,8.262413084134192e-07,8.262413084134192e-07,8.262413084134192e-07,8.262413084134192e-07,8.262413084134192e-07,8.262413084134192e-07,8.262413084134192e-07,8.262413084134192e-07,8.262413084134192e-07,8.262413084134192e-07,8.262413084134192e-07,8.262413084134192e-07,8.262413084134192e-07,8.262413084134192e-07,8.262413084134192e-07,8.262413084134192e-07,8.262413084134192e-07,8.262413084134192e-07,8.262413084134192e-07,8.262413084134192e-07,8.262413084134192e-07,8.262413084134192e-07,8.262413084134192e-07,8.262413084134192e-07,8.262413084134192e-07,8.262413084134192e-07,8.262413084134192e-07,8.262413084134192e-07,8.262413084134192e-07,8.262413084134192e-07,8.262413084134192e-07,8.262413084134192e-07,8.262413084134192e-07,8.262413084134192e-07,8.262413084134192e-07,8.262413084134192e-07,8.262413084134192e-07,8.262413084134192e-07,8.262413084134192e-07,8.262413084134192e-07,8.262413084134192e-07,8.262413084134192e-07,8.262413084134192e-07,8.262413084134192e-07,8.262413084134192e-07,8.262413084134192e-07,8.262413084134192e-07,8.262413084134192e-07
PD22,baseline,brunei,Agriculture,Emissions,Biochar,EM,Emissions,CO2-landuse,AFOLU,Mt,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,brunei,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,9e-07,8.000000000000001e-07,9e-07,5e-07,7e-07,5e-07,4.0000000000000003e-07,5e-07,6e-07,6e-07,7e-07,7e-07,8.000000000000001e-07,1e-06,1.1e-06,1.4e-06,1.6000000000000001e-06,2e-06,1.9e-06,2.6e-06,2.7000000000000004e-06,2.4e-06,2.7000000000000004e-06,1.9e-06,1.4e-06,1.4e-06,1.5e-06,1.4e-06,1.2e-06,1.1e-06,1.1272727272727273e-06,1.1545454545454545e-06,1.1818181818181818e-06,1.209090909090909e-06,1.2363636363636363e-06,1.2636363636363635e-06,1.290909090909091e-06,1.3181818181818182e-06,1.3454545454545455e-06,1.3727272727272727e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06
PD22,baseline,brunei,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.571339e-10,1.571339e-10,1.571339e-10,1.571339e-10,1.571339e-10,1.571339e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,brunei,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,6.285356e-10,4.714017e-10,4.714017e-10,3.142678e-10,4.714017e-10,3.142678e-10,3.142678e-10,3.142678e-10,3.142678e-10,3.142678e-10,3.142678e-10,3.142678e-10,3.142678e-10,4.714017e-10,6.285356e-10,7.856695e-10,7.856695e-10,9.428034e-10,9.428034e-10,1.2570712e-09,1.2570712e-09,1.2570712e-09,1.4142051e-09,1.0999373e-09,9.428034e-10,9.428034e-10,9.428034e-10,9.428034e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10,7.856695e-10
PD22,baseline,brunei,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2-landuse,AFOLU,Mt,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,brunei,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,0.0002854,0.0003287,0.0003165,0.00029370000000000004,0.0003227,0.0003192,0.0003379,0.00044340000000000004,0.0004487,0.0004379,0.0003946,0.0004263,0.00040899999999999997,0.0004315,0.0003484,0.0003502,0.00034060000000000004,0.0003388,0.0003547,0.0003211,0.0003238,0.0002364,0.0002298,0.0002249,0.0002309,0.0002589,0.0002589,0.000242,0.00021679999999999998,0.00021060000000000002,0.00022860000000000003,0.00024660000000000003,0.00026460000000000003,0.00028260000000000004,0.00030060000000000004,0.00031860000000000005,0.00033660000000000005,0.00035460000000000005,0.00037260000000000006,0.00039060000000000006,0.0004086,0.000411505,0.00041441000000000004,0.000417315,0.00042022,0.000423125,0.00042603,0.000428935,0.00043184,0.000434745,0.00043765000000000004,0.000440555,0.00044346,0.000446365,0.00044927,0.000452175,0.00045508,0.000457985,0.00046089000000000004,0.00046379500000000003,0.0004667,0.0004667,0.0004667,0.0004667,0.0004667,0.0004667,0.0004667,0.0004667,0.0004667,0.0004667,0.0004667,0.0004667,0.0004667,0.0004667,0.0004667,0.0004667,0.0004667,0.0004667,0.0004667,0.0004667,0.0004667,0.0004667,0.0004667,0.0004667,0.0004667,0.0004667,0.0004667,0.0004667,0.0004667,0.0004667,0.0004667,0.0004667,0.0004667,0.0004667,0.0004667,0.0004667,0.0004667,0.0004667,0.0004667,0.0004667,0.0004667,0.0004667,0.0004667,0.0004667,0.0004667,0.0004667,0.0004667,0.0004667,0.0004667,0.0004667,0.0004667
PD22,baseline,brunei,Agriculture,Emissions,"Fertilized Soils, Addtl Emissions",EM,Emissions,NH3,IND,Mt,0.00244478299536557,0.00251544162844029,0.0025879842379961204,0.00266151641095618,0.00273483925319612,0.0028070298065408397,0.0028778121350410803,0.00294724332889325,0.0030150569671808197,0.00308108177931461,0.0031452321300000003,0.00341524804000001,0.0030858836200000003,0.0033973074900000002,0.00379829163999999,0.0036279266000000102,0.00408476746,0.00484199992000001,0.00461678892,0.0046930996810639,0.00476853748775911,0.00484299322078952,0.00491657599945124,0.0049891645800819295,0.00506063771901929,0.00513088629696722,0.0051998254433621,0.005267406660739,0.00533360570036545,0.00533360570036545,0.006192073976465866,0.006415856710699911,0.006635977345761737,0.006853025548868309,0.007067001320019719,0.007277904659215919,0.007465316707723227,0.007649905334747642,0.007831670540289257,0.008010612324348023,0.0081867306869239,0.008361123339796155,0.008532678763490228,0.008701396958006117,0.008867277923343825,0.009030321659503345,0.009192494303220628,0.009351804183516405,0.009508251300390715,0.009661835653843478,0.009812557243874776,0.00993938633504223,0.0100636349411163,0.010185303062096905,0.01030439069798413,0.010420897848777895,0.010521450467200143,0.01061960835118561,0.010715371500734334,0.010808739915846233,0.010899713596521352,0.011009417458346745,0.011101858089992374,0.011191811111872972,0.011279276523988432,0.011364254326338826,0.011446744518924083,0.01152674710174427,0.011604262074799318,0.011679289438089269,0.011751829191614112,0.011821881335373858,0.011889445869368536,0.011954522793598078,0.012017112108062548,0.012077213812761889,0.012134827907696153,0.012189954392865285,0.012242593268269281,0.01229274453390824,0.012340408189782064,0.012385584235890817,0.012428272672234442,0.012468473498812992,0.012506186715626408,0.012541412322674687,0.012574150319957933,0.012604400707476041,0.012632163485229081,0.012657438653216982,0.012680226211439815,0.012700526159897514,0.012718338498590146,0.012733663227517608,0.012746500346680033,0.012756849856077324,0.01276471175570954,0.01277008604557663,0.012772972725678615,0.012773371796015526,0.012771283256587305,0.012766707107393983,0.012759643348435561,0.012750091979712061,0.01273805300122343,0.012723526412969728,0.012706512214950894,0.012687010407166962,0.01266502098961795,0.012640543962303788,0.012613579325224571
PD22,baseline,brunei,Agriculture,Emissions,"Fertilized Soils, Addtl Emissions",EM,Emissions,NOx,IND,Mt,7.618769162694653e-07,7.497298840980895e-07,8.303298780875161e-07,9.073761097950383e-07,9.111285745247521e-07,9.320167083613178e-07,9.368882990697741e-07,1.2339903384162763e-06,1.438738153215907e-06,1.891832322162057e-06,2.2725404683539968e-06,2.1626544903067063e-06,1.972685691774204e-06,1.868450387931397e-06,1.7797162357155972e-06,1.9805700171894035e-06,1.7963734834084032e-06,2.3025345559372e-06,1.9043054685031067e-06,1.8850780895388307e-06,1.9905187739325583e-06,1.9236881602791754e-06,2.2360791448942786e-06,2.4621092499870556e-06,2.5817433970659495e-06,2.6959711861310847e-06,2.732194548240458e-06,2.7677044005791233e-06,2.802488001901173e-06,2.802488001901173e-06,3.2535612868309826e-06,3.3711456121365786e-06,3.4868057252734317e-06,3.600851460787532e-06,3.713282818678928e-06,3.824099798947594e-06,3.92257352326461e-06,4.019563709938494e-06,4.115070358969293e-06,4.209093470356984e-06,4.3016330441015445e-06,4.393265861514486e-06,4.4834078861734835e-06,4.572059118078536e-06,4.659219557229645e-06,4.744889203626807e-06,4.830101143501391e-06,4.913808873917729e-06,4.996012394875837e-06,5.0767117063756785e-06,5.155906808417293e-06,5.222547843817504e-06,5.287832989990133e-06,5.3517622469351386e-06,5.414335614652564e-06,5.475553093142367e-06,5.528387427459355e-06,5.579963473311869e-06,5.63028123069993e-06,5.6793406996234945e-06,5.727141880082587e-06,5.784784640683885e-06,5.8333566153720946e-06,5.8806215012143045e-06,5.9265792982104566e-06,5.971230006360591e-06,6.014573625664668e-06,6.056610156122725e-06,6.097339597734725e-06,6.136761950500689e-06,6.174877214420614e-06,6.211685389494503e-06,6.247186475722372e-06,6.281380473104186e-06,6.314267381639978e-06,6.345847201329718e-06,6.376119932173434e-06,6.405085574171096e-06,6.4327441273227025e-06,6.459095591628304e-06,6.484139967087852e-06,6.507877253701378e-06,6.530307451468854e-06,6.551430560390305e-06,6.571246580465701e-06,6.589755511695042e-06,6.6069573540783824e-06,6.6228521076156665e-06,6.63743977230693e-06,6.650720348152137e-06,6.6626938351513245e-06,6.673360233304457e-06,6.68271954261157e-06,6.69077176307261e-06,6.697516894687645e-06,6.702954937456627e-06,6.7070858913795846e-06,6.7099097564564925e-06,6.711426532687361e-06,6.711636220072207e-06,6.710538818610999e-06,6.708134328303754e-06,6.704422749150472e-06,6.699404081151165e-06,6.693078324305806e-06,6.685445478614425e-06,6.67650554407699e-06,6.666258520693521e-06,6.654704408464025e-06,6.641843207388466e-06,6.627674917466894e-06
PD22,baseline,brunei,Agriculture,Emissions,Improved Rice,EM,Emissions,CH4,AFOLU,Mt,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
