model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
PD22,baseline,congo,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2-landuse,AFOLU,Mt,-6.237504692210064e-06,-6.656193454837673e-06,-7.0666959288109045e-06,-7.464407784152899e-06,-7.531873310772624e-06,-7.585589455565985e-06,-7.625556218532983e-06,-7.651773599673619e-06,-7.664241598987887e-06,-7.662960216475797e-06,-7.647929452137342e-06,-7.6191493059725235e-06,-7.582403007874963e-06,-7.538281596361537e-06,-7.487424829062774e-06,-7.430522552401866e-06,-7.368315460666945e-06,-7.3015950822846855e-06,-7.231202817210763e-06,-7.158027840540775e-06,-7.0830036861230915e-06,-7.00710333279682e-06,-6.9313326376285295e-06,-6.8567219977055395e-06,-6.784316176571337e-06,-6.715162304076434e-06,-6.650296148476083e-06,-6.590726864161656e-06,-6.537420532182529e-06,-6.491282925945017e-06,-6.45314204125858e-06,-6.423731016954388e-06,-6.403672128191014e-06,-6.393462549258887e-06,-6.393462549258887e-06,-6.393462549258888e-06,-6.393462549258888e-06,-6.12426368220732e-06,-5.72075552298481e-06,-5.330996745588663e-06,-4.954987350018879e-06,-4.592727336275459e-06,-4.2442167043584e-06,-3.909455454267706e-06,-3.588443586003374e-06,-3.2811810995654065e-06,-2.9876679949538022e-06,-2.70790427216856e-06,-2.4418899312096816e-06,-2.1896249720771665e-06,-1.951109394771015e-06,-1.726343199291226e-06,-1.5153263856378004e-06,-1.318058953810738e-06,-1.1345409038100387e-06,-9.647722356357027e-07,-8.087529492877299e-07,-6.664830447661203e-07,-5.379625220708738e-07,-4.2319138120199057e-07,-3.221696221594706e-07
PD22,baseline,congo,Agriculture,Emissions,Biochar,EM,Emissions,CO2-landuse,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.8747876323326534e-11,-1.8122947112548985e-11,-1.7498017901771427e-11,-1.687308869099388e-11,-1.6248159480216327e-11,-1.562323026943878e-11,-1.4998301058661227e-11,-1.4373371847883677e-11,-1.3748442637106127e-11,-1.3123513426328574e-11,-1.2498584215551022e-11,-1.1873655004773472e-11,-1.124872579399592e-11,-1.0623796583218369e-11,-9.998867372440817e-12,-9.373938161663267e-12,-8.749008950885714e-12,-8.124079740108164e-12,-7.499150529330614e-12,-6.8742213185530635e-12,-6.249292107775511e-12,-5.62436289699796e-12,-4.999433686220408e-12,-4.374504475442858e-12,-3.749575264665307e-12,-3.1246460538877567e-12,-2.499716843110204e-12,-1.874787632332654e-12,-1.249858421555102e-12,-6.249292107775523e-13,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,congo,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,6.71e-05,6.890000000000001e-05,7.06e-05,7.14e-05,7.21e-05,7.240000000000001e-05,7.340000000000001e-05,7.439999999999999e-05,7.53e-05,7.560000000000001e-05,7.710909090909092e-05,7.861818181818182e-05,8.012727272727273e-05,8.163636363636364e-05,8.314545454545456e-05,8.465454545454546e-05,8.616363636363637e-05,8.767272727272728e-05,8.91818181818182e-05,9.069090909090909e-05,9.22e-05,9.386500000000001e-05,9.553e-05,9.719500000000001e-05,9.886000000000001e-05,0.000100525,0.00010219000000000001,0.00010385500000000001,0.00010552,0.00010718500000000001,0.00010885000000000002,0.00011051500000000001,0.00011218000000000001,0.000113845,0.00011551000000000001,0.00011717500000000002,0.00011884000000000002,0.00012050500000000001,0.00012217,0.000123835,0.00012550000000000001,0.00012550000000000001,0.00012550000000000001,0.00012550000000000001,0.00012550000000000001,0.00012550000000000001,0.00012550000000000001,0.00012550000000000001,0.00012550000000000001,0.00012550000000000001,0.00012550000000000001,0.00012550000000000001,0.00012550000000000001,0.00012550000000000001,0.00012550000000000001,0.00012550000000000001,0.00012550000000000001,0.00012550000000000001,0.00012550000000000001,0.00012550000000000001,0.00012550000000000001
PD22,baseline,congo,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,2.6712763e-09,2.8284102e-09,2.8284102e-09,2.9855441e-09,2.9855441e-09,2.9855441e-09,2.9855441e-09,2.9855441e-09,3.142678e-09,3.142678e-09,3.1998176e-09,3.2569571999999994e-09,3.3140967999999994e-09,3.3712363999999993e-09,3.428376e-09,3.4855156e-09,3.5426552e-09,3.5997948e-09,3.6569344e-09,3.714074e-09,3.7712136e-09,3.841923854999999e-09,3.91263411e-09,3.9833443649999995e-09,4.05405462e-09,4.124764875e-09,4.195475129999999e-09,4.266185385e-09,4.336895639999999e-09,4.407605895e-09,4.4783161499999995e-09,4.549026405e-09,4.61973666e-09,4.690446915e-09,4.7611571700000006e-09,4.831867425e-09,4.90257768e-09,4.973287935e-09,5.04399819e-09,5.1147084450000004e-09,5.1854187e-09,5.1854187e-09,5.1854187e-09,5.1854187e-09,5.1854187e-09,5.1854187e-09,5.1854187e-09,5.1854187e-09,5.1854187e-09,5.1854187e-09,5.1854187e-09,5.1854187e-09,5.1854187e-09,5.1854187e-09,5.1854187e-09,5.1854187e-09,5.1854187e-09,5.1854187e-09,5.1854187e-09,5.1854187e-09,5.1854187e-09
PD22,baseline,congo,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,1.17850425e-08,1.17850425e-08,1.22564442e-08,1.2884979800000001e-08,1.35135154e-08,1.30421137e-08,1.3356381500000001e-08,1.36706493e-08,1.39849171e-08,1.42991849e-08,1.4542028200000003e-08,1.47848715e-08,1.5027714800000002e-08,1.52705581e-08,1.55134014e-08,1.5756244700000003e-08,1.5999088e-08,1.62419313e-08,1.6484774600000003e-08,1.67276179e-08,1.69704612e-08,1.7457576290000004e-08,1.7944691380000004e-08,1.843180647e-08,1.891892156e-08,1.940603665e-08,1.9893151740000005e-08,2.0380266830000005e-08,2.086738192e-08,2.135449701e-08,2.1841612100000002e-08,2.2328727190000005e-08,2.2815842280000005e-08,2.3302957370000002e-08,2.3790072460000006e-08,2.4277187550000002e-08,2.4764302640000006e-08,2.5251417730000006e-08,2.5738532820000003e-08,2.6225647910000006e-08,2.6712763000000003e-08,2.6712763000000003e-08,2.6712763000000003e-08,2.6712763000000003e-08,2.6712763000000003e-08,2.6712763000000003e-08,2.6712763000000003e-08,2.6712763000000003e-08,2.6712763000000003e-08,2.6712763000000003e-08,2.6712763000000003e-08,2.6712763000000003e-08,2.6712763000000003e-08,2.6712763000000003e-08,2.6712763000000003e-08,2.6712763000000003e-08,2.6712763000000003e-08,2.6712763000000003e-08,2.6712763000000003e-08,2.6712763000000003e-08,2.6712763000000003e-08
PD22,baseline,congo,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2-landuse,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.7798776908803096e-10,-1.7205484345176327e-10,-1.6612191781549555e-10,-1.6018899217922786e-10,-1.5425606654296012e-10,-1.4832314090669246e-10,-1.4239021527042477e-10,-1.3645728963415708e-10,-1.3052436399788936e-10,-1.2459143836162167e-10,-1.1865851272535398e-10,-1.1272558708908629e-10,-1.0679266145281862e-10,-1.0085973581655089e-10,-9.492681018028318e-11,-8.899388454401548e-11,-8.306095890774778e-11,-7.712803327148006e-11,-7.119510763521237e-11,-6.526218199894468e-11,-5.932925636267698e-11,-5.339633072640931e-11,-4.746340509014159e-11,-4.153047945387389e-11,-3.5597553817606186e-11,-2.966462818133849e-11,-2.3731702545070786e-11,-1.7798776908803086e-11,-1.1865851272535404e-11,-5.932925636267702e-12,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,congo,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,0.012558999999999999,0.0127431,0.012782400000000001,0.0128188,0.0129184,0.0129374,0.0136714,0.0136308,0.013805600000000001,0.0139668,0.013880527272727273,0.013794254545454545,0.013707981818181818,0.01362170909090909,0.013535436363636364,0.013449163636363635,0.013362890909090909,0.01327661818181818,0.013190345454545454,0.013104072727272726,0.0130178,0.01319061,0.013363419999999999,0.01353623,0.013709039999999999,0.01388185,0.01405466,0.014227469999999999,0.01440028,0.014573089999999999,0.0147459,0.014918709999999998,0.015091519999999999,0.01526433,0.015437139999999999,0.01560995,0.01578276,0.01595557,0.016128379999999998,0.01630119,0.016474,0.016474,0.016474,0.016474,0.016474,0.016474,0.016474,0.016474,0.016474,0.016474,0.016474,0.016474,0.016474,0.016474,0.016474,0.016474,0.016474,0.016474,0.016474,0.016474,0.016474
PD22,baseline,congo,Agriculture,Emissions,"Fertilized Soils, Addtl Emissions",EM,Emissions,NH3,IND,Mt,0.000606516767400001,0.0006284173973,0.0006329552563,0.000648638182299998,0.0006514978453,0.000656007477099998,0.000673139407979792,0.000690922898014974,0.0007092888015727969,0.0007092888015727969,0.0007363428246434026,0.0007561911888554488,0.0007754154451093491,0.0007943575732640828,0.0008130175733196502,0.0008313954452760518,0.0008449738695354428,0.0008583252549590572,0.0008714496015468926,0.000884346909298951,0.0008970171782152308,0.0009140206735238285,0.0009307397681698799,0.0009471744621533822,0.0009633247554743444,0.0009791906481327604,0.000994683150769364,0.0010098924084493853,0.0010248184211728247,0.0010394611889396825,0.0010538207117499574,0.0010675240107013062,0.0010809490711242836,0.0010940958930188982,0.0011069644763851594,0.0011195548212230492,0.0011433437366111952,0.0011666950133448868,0.0011896086514241234,0.0012120846508489058,0.0012341230116192342,0.0012375955921222956,0.0012533897895185277,0.0012688260483233594,0.0012839043685367664,0.0012986247501587814,0.0013129871931893793,0.001326991697628569,0.0013406382634763502,0.0013539268907327307,0.0013668575793976952,0.0013794303294712433,0.0013916451409533982,0.0014035020138441375,0.001415000948143468,0.0014261419438513898,0.0014369250009679106,0.0014473501194930084,0.001457417299426712,0.0014671265407690003,0.001476477843519887
PD22,baseline,congo,Agriculture,Emissions,"Fertilized Soils, Addtl Emissions",EM,Emissions,NOx,IND,Mt,3.1289883034363856e-07,3.189729133618789e-07,3.310597728530399e-07,3.363857181412749e-07,3.394164545397179e-07,3.4101911006223285e-07,3.499249777942642e-07,3.5916955221955324e-07,3.687168886530735e-07,3.687168886530735e-07,3.827806595599632e-07,3.9309863875389747e-07,4.0309218149260944e-07,4.1293906268147647e-07,4.2263928232049876e-07,4.321928404096765e-07,4.392514522679666e-07,4.4619204019447404e-07,4.5301460418919765e-07,4.5971914425213853e-07,4.6630566038329583e-07,4.751447621321337e-07,4.838360209611449e-07,4.923794368703279e-07,5.007750098596874e-07,5.0902273992922e-07,5.170763668255579e-07,5.249827515845803e-07,5.327418942062871e-07,5.403537946906783e-07,5.478184530377536e-07,5.549419797907778e-07,5.619208669495252e-07,5.687551145140003e-07,5.754447224842081e-07,5.819896908601392e-07,5.943561272777149e-07,6.064950614949638e-07,6.184064935118863e-07,6.300904233284822e-07,6.415468509447519e-07,6.43352038163057e-07,6.515624981474777e-07,6.595868872346033e-07,6.674252054244211e-07,6.750774527169482e-07,6.825436291121716e-07,6.898237346100959e-07,6.969177692107208e-07,7.038257329140504e-07,7.105476257200768e-07,7.170834476287999e-07,7.234331986402315e-07,7.295968787543601e-07,7.355744879711892e-07,7.41366026290719e-07,7.469714937129533e-07,7.523908902378808e-07,7.576242158655164e-07,7.626714705958491e-07,7.675326544288862e-07
PD22,baseline,congo,Agriculture,Emissions,Improved Rice,EM,Emissions,CH4,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,congo,Agriculture,Emissions,Improved Rice,EM,Emissions,N2O,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,congo,Agriculture,Emissions,Manure Management,EM,Emissions,CH4,AFOLU,Mt,0.0005425,0.0005543,0.0005572,0.0005627,0.0005658,0.0005676,0.0005998,0.0006020999999999999,0.000611,0.0006197,0.0006186727272727273,0.0006176454545454546,0.0006166181818181819,0.0006155909090909092,0.0006145636363636364,0.0006135363636363637,0.0006125090909090909,0.0006114818181818182,0.0006104545454545455,0.0006094272727272728,0.0006084,0.00061867,0.00062894,0.0006392100000000001,0.00064948,0.00065975,0.00067002,0.0006802900000000001,0.00069056,0.0007008299999999999,0.0007111,0.00072137,0.00073164,0.0007419099999999999,0.00075218,0.00076245,0.00077272,0.0007829899999999999,0.00079326,0.00080353,0.0008137999999999999,0.0008137999999999999,0.0008137999999999999,0.0008137999999999999,0.0008137999999999999,0.0008137999999999999,0.0008137999999999999,0.0008137999999999999,0.0008137999999999999,0.0008137999999999999,0.0008137999999999999,0.0008137999999999999,0.0008137999999999999,0.0008137999999999999,0.0008137999999999999,0.0008137999999999999,0.0008137999999999999,0.0008137999999999999,0.0008137999999999999,0.0008137999999999999,0.0008137999999999999
