model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
PD22,baseline,congorep,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0049059799817685,0.0094869194250708,0.0137460380480276,0.0176885001066114,0.0213212888597966,0.024653041677114,0.0276938538210561,0.0304550599546451,0.0329490027630489,0.0351887977805794,0.0371881026825311,0.038960898074788,0.0405212853478785,0.0418833056059583,0.0430607821641361,0.0440671877286139,0.044915536198869,0.0456182980931818,0.0461873379048132,0.0466338712321301,0.0469684392644978,0.0472008981119776,0.0473404205037753,0.0473955075124425,0.0473955075124425,0.0473955075124425,0.0473955075124425,0.0473955075124425,0.0473955075124425,0.0473955075124425,0.0473955075124425,0.0473955075124425,0.0473955075124425,0.0473955075124425,0.0473955075124425,0.0473955075124425,0.0473955075124425,0.0473955075124425,0.0473955075124425,0.0473955075124425,0.0473955075124425,0.0473955075124425,0.0473955075124425,0.0473955075124425,0.0473955075124425,0.0473955075124425,0.0473955075124425,0.0473955075124425,0.0473955075124425,0.0473955075124425
PD22,baseline,congorep,Agriculture,Emissions,Biochar,EM,Emissions,CO2,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,congorep,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,0.0047193,0.0047244,0.0080761,0.0085549,0.0090987,0.0091873,0.0095324,0.010071,0.0102225,0.0102444,0.0098762181818181,0.0095080363636363,0.0091398545454545,0.0087716727272727,0.0084034909090909,0.008035309090909,0.0076671272727272,0.0072989454545454,0.0069307636363636,0.0065625818181818,0.0061944,0.006304925,0.00641545,0.006525975,0.0066365,0.006747025,0.00685755,0.006968075,0.0070786,0.007189125,0.0072996499999999,0.007410175,0.0075207,0.007631225,0.00774175,0.007852275,0.0079627999999999,0.008073325,0.00818385,0.008294375,0.0084049,0.0084049,0.0084049,0.0084049,0.0084049,0.0084049,0.0084049,0.0084049,0.0084049,0.0084049,0.0084049,0.0084049,0.0084049,0.0084049,0.0084049,0.0084049,0.0084049,0.0084049,0.0084049,0.0084049,0.0084049
PD22,baseline,congorep,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,0.0001224,0.0001225,0.0002094,0.0002218,0.0002359,0.0002382,0.0002471,0.0002611,0.000265,0.0002656,0.0002560545454545,0.000246509090909,0.0002369636363636,0.0002274181818181,0.0002178727272727,0.0002083272727272,0.0001987818181818,0.0001892363636363,0.0001796909090909,0.0001701454545454,0.0001606,0.000163465,0.00016633,0.000169195,0.00017206,0.000174925,0.00017779,0.000180655,0.00018352,0.000186385,0.00018925,0.000192115,0.00019498,0.000197845,0.00020071,0.000203575,0.00020644,0.000209305,0.00021217,0.000215035,0.0002179,0.0002179,0.0002179,0.0002179,0.0002179,0.0002179,0.0002179,0.0002179,0.0002179,0.0002179,0.0002179,0.0002179,0.0002179,0.0002179,0.0002179,0.0002179,0.0002179,0.0002179,0.0002179,0.0002179,0.0002179
PD22,baseline,congorep,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,0.0005671,0.000613,0.0010193,0.0011359,0.0012779,0.0012853,0.0013539,0.0014427,0.0014916,0.0015396,0.001487409090909,0.0014352181818181,0.0013830272727272,0.0013308363636363,0.0012786454545454,0.0012264545454545,0.0011742636363636,0.0011220727272727,0.0010698818181818,0.0010176909090909,0.0009655,0.00100843,0.00105136,0.00109429,0.00113722,0.00118015,0.00122308,0.00126601,0.00130894,0.00135187,0.0013948,0.00143773,0.00148066,0.00152359,0.00156652,0.00160945,0.00165238,0.00169531,0.00173824,0.00178117,0.0018241,0.0018241,0.0018241,0.0018241,0.0018241,0.0018241,0.0018241,0.0018241,0.0018241,0.0018241,0.0018241,0.0018241,0.0018241,0.0018241,0.0018241,0.0018241,0.0018241,0.0018241,0.0018241,0.0018241,0.0018241
PD22,baseline,congorep,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,congorep,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,0.0491007,0.0491333,0.0536572,0.0553569,0.0554991,0.0572949,0.0585178,0.0596794,0.0616896,0.0638203,0.0646489818181818,0.0654776636363636,0.0663063454545454,0.0671350272727272,0.0679637090909091,0.0687923909090909,0.0696210727272727,0.0704497545454545,0.0712784363636363,0.0721071181818181,0.0729358,0.0747483799999999,0.07656096,0.0783735399999999,0.08018612,0.0819987,0.08381128,0.08562386,0.08743644,0.08924902,0.0910615999999999,0.09287418,0.09468676,0.09649934,0.09831192,0.1001245,0.10193708,0.10374966,0.10556224,0.10737482,0.1091874,0.1091874,0.1091874,0.1091874,0.1091874,0.1091874,0.1091874,0.1091874,0.1091874,0.1091874,0.1091874,0.1091874,0.1091874,0.1091874,0.1091874,0.1091874,0.1091874,0.1091874,0.1091874,0.1091874,0.1091874
PD22,baseline,congorep,Agriculture,Emissions,"Fertilized Soils, Addtl Emissions",EM,Emissions,NH3,IND,Mt,0.006514391076,0.006393630179,0.006362606533,0.006358647299,0.006376346805,0.006368680279,0.0065710992465527,0.0067788140721255,0.0069916893322273,0.0069916893322273,0.0069365048921483,0.0072020015438403,0.0073850942924206,0.0075655000393065,0.007743218784498,0.0079182505279951,0.0080475720989421,0.00817473134101,0.0082997282541988,0.0084225628385085,0.0085432350939391,0.0087051772076108,0.0088644106755843,0.0090209354978596,0.0091747516744367,0.0093258592053156,0.0094734105515243,0.0096182642590344,0.0097604203278459,0.0098998787579588,0.0100366395493731,0.0101671504329404,0.0102950113592741,0.0104202223283743,0.0105427833402411,0.0106626943948742,0.01088926117835,0.0111116598700635,0.0113298904700146,0.0115439529782033,0.0117538473946297,0.0117869204196963,0.0119373451214223,0.0120843607986504,0.0122279674513805,0.0123681650796127,0.012504953683347,0.0126383332625833,0.0127683038173217,0.0128948653475623,0.0130180178533048,0.0131377613345494,0.0132540957912962,0.013367021223545,0.0134765376312958,0.0135826450145487,0.0136853433733038,0.0137846327075608,0.01388051301732,0.0139729843025813,0.0140620465633446
PD22,baseline,congorep,Agriculture,Emissions,"Fertilized Soils, Addtl Emissions",EM,Emissions,NOx,IND,Mt,0.00151853215,0.001548267089,0.00154398921,0.001528617001,0.0015338298489999,0.001558890657,0.0016084376625794,0.0016592809592627,0.0017113873988296,0.0017113873988296,0.0016978796540093,0.0017628664694336,0.0018076829090447,0.0018518416391064,0.0018953426596186,0.0019381859705815,0.0019698405960087,0.002000965938423,0.0020315619978243,0.0020616287742125,0.0020911662675877,0.0021308055706958,0.0021697818663538,0.0022080951545617,0.0022457454353196,0.0022827327086274,0.0023188495185403,0.0023543060152361,0.002389102198715,0.0024232380689768,0.0024567136260216,0.0024886593648744,0.0025199564617178,0.002550604916552,0.0025806047293769,0.0026099559001925,0.0026654136758185,0.002719851208785,0.0027732684990919,0.0028256655467393,0.002877042351727,0.0028851377855558,0.0029219579196856,0.002957943611481,0.0029930948609419,0.0030274116680684,0.0030608940328604,0.0030935419553181,0.0031253554354412,0.00315633447323,0.0031864790686843,0.0032157892218041,0.0032442649325896,0.0032719062010405,0.0032987130271571,0.0033246854109392,0.0033498233523869,0.0033741268515001,0.0033975959082789,0.0034202305227232,0.0034420306948332
PD22,baseline,congorep,Agriculture,Emissions,Improved Rice,EM,Emissions,CH4,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
