model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
PD22,baseline,eritrea,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.7597333333333267e-05,3.519466666666659e-05,5.2791999999999965e-05,7.038933333333329e-05,8.798666666666661e-05,0.0001055839999999,0.0001231813333333,0.0001407786666666,0.0001583759999999,0.0001759733333333,0.0001935706666666,0.000211168,0.0002287653333333,0.0002463626666666,0.0002639599999999,0.0002815573333333,0.0002991546666666,0.000316752,0.0003343493333333,0.0003519466666666,0.0003695439999999,0.0003871413333333,0.0004047386666666,0.000422336,0.000422336,0.000422336,0.000422336,0.000422336,0.000422336,0.000422336,0.000422336,0.000422336,0.000422336,0.000422336,0.000422336,0.000422336,0.000422336,0.000422336,0.000422336,0.000422336,0.000422336,0.000422336,0.000422336,0.000422336,0.000422336,0.000422336,0.000422336,0.000422336,0.000422336,0.000422336
PD22,baseline,eritrea,Agriculture,Emissions,Biochar,EM,Emissions,CO2,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,eritrea,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,8.42e-05,8.48e-05,8.48e-05,8.1e-05,7.829999999999999e-05,8.1e-05,8.1e-05,8.1e-05,8.1e-05,8.1e-05,8.506363636363637e-05,8.912727272727273e-05,9.31909090909091e-05,9.725454545454546e-05,0.0001013181818181,0.0001053818181818,0.0001094454545454,0.000113509090909,0.0001175727272727,0.0001216363636363,0.0001257,0.0001272,0.0001287,0.0001302,0.0001317,0.0001332,0.0001347,0.0001362,0.0001377,0.0001392,0.0001407,0.0001422,0.0001437,0.0001452,0.0001467,0.0001482,0.0001497,0.0001512,0.0001527,0.0001542,0.0001557,0.0001557,0.0001557,0.0001557,0.0001557,0.0001557,0.0001557,0.0001557,0.0001557,0.0001557,0.0001557,0.0001557,0.0001557,0.0001557,0.0001557,0.0001557,0.0001557,0.0001557,0.0001557,0.0001557,0.0001557
PD22,baseline,eritrea,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,2.2e-06,2.2e-06,2.2e-06,2.1e-06,2e-06,2.1e-06,2.1e-06,2.1e-06,2.1e-06,2.1e-06,2.2090909090909088e-06,2.318181818181818e-06,2.427272727272727e-06,2.536363636363636e-06,2.645454545454545e-06,2.7545454545454545e-06,2.863636363636364e-06,2.972727272727273e-06,3.081818181818182e-06,3.190909090909091e-06,3.3e-06,3.3350000000000003e-06,3.37e-06,3.405e-06,3.44e-06,3.475e-06,3.5100000000000003e-06,3.545e-06,3.58e-06,3.615e-06,3.65e-06,3.685e-06,3.72e-06,3.755e-06,3.79e-06,3.825e-06,3.86e-06,3.895e-06,3.93e-06,3.965e-06,4e-06,4e-06,4e-06,4e-06,4e-06,4e-06,4e-06,4e-06,4e-06,4e-06,4e-06,4e-06,4e-06,4e-06,4e-06,4e-06,4e-06,4e-06,4e-06,4e-06,4e-06
PD22,baseline,eritrea,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,9.7e-05,0.0001150999999999,0.0001083999999999,0.0001073,0.0001082,0.0001092,0.0001091,0.0001092,0.0001092,0.0001092,0.0001175545454545,0.000125909090909,0.0001342636363636,0.0001426181818181,0.0001509727272727,0.0001593272727272,0.0001676818181818,0.0001760363636363,0.0001843909090909,0.0001927454545454,0.0002011,0.000204255,0.00020741,0.000210565,0.00021372,0.000216875,0.00022003,0.0002231849999999,0.00022634,0.000229495,0.00023265,0.0002358049999999,0.0002389599999999,0.000242115,0.0002452699999999,0.000248425,0.00025158,0.0002547349999999,0.00025789,0.0002610449999999,0.0002641999999999,0.0002641999999999,0.0002641999999999,0.0002641999999999,0.0002641999999999,0.0002641999999999,0.0002641999999999,0.0002641999999999,0.0002641999999999,0.0002641999999999,0.0002641999999999,0.0002641999999999,0.0002641999999999,0.0002641999999999,0.0002641999999999,0.0002641999999999,0.0002641999999999,0.0002641999999999,0.0002641999999999,0.0002641999999999,0.0002641999999999
PD22,baseline,eritrea,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,eritrea,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,0.1056753,0.11097,0.111685,0.11268,0.11311,0.113596,0.1149984,0.1148973,0.1153613,0.1158253,0.1164135363636363,0.1170017727272727,0.1175900090909091,0.1181782454545454,0.1187664818181818,0.1193547181818181,0.1199429545454545,0.1205311909090909,0.1211194272727272,0.1217076636363636,0.1222959,0.123574255,0.12485261,0.126130965,0.12740932,0.128687675,0.12996603,0.131244385,0.13252274,0.133801095,0.13507945,0.136357805,0.13763616,0.138914515,0.14019287,0.141471225,0.14274958,0.144027935,0.14530629,0.1465846449999999,0.147863,0.147863,0.147863,0.147863,0.147863,0.147863,0.147863,0.147863,0.147863,0.147863,0.147863,0.147863,0.147863,0.147863,0.147863,0.147863,0.147863,0.147863,0.147863,0.147863,0.147863
PD22,baseline,eritrea,Agriculture,Emissions,"Fertilized Soils, Addtl Emissions",EM,Emissions,NH3,IND,Mt,0.00164944525465,0.00197970929969,0.00192982452743,0.00192159053017,0.00192941393302,0.0019285636984,0.0019742670993261,0.0020223082578552,0.0020720718387052,0.0020720718387052,0.0021236784153882,0.0021799104526987,0.0022353291851183,0.002289934612647,0.0023437267352847,0.0023967055530316,0.0024358487610066,0.0024743374726867,0.0025121716880721,0.0025493514071626,0.0025858766299583,0.0026348934628729,0.0026830904396636,0.0027304675603304,0.0027770248248732,0.0028227622332922,0.0028674232514761,0.0029112677451479,0.0029542957143077,0.0029965071589553,0.0030379020790909,0.0030774052696341,0.0031161063679483,0.0031540053740332,0.0031911022878891,0.0032273971095158,0.0032959746148838,0.0033632905172454,0.0034293448166004,0.0034941375129489,0.0035576686062909,0.0035676791891277,0.0036132099180008,0.0036577087992562,0.0037011758328936,0.0037436110189133,0.0037850143573152,0.0038253858480993,0.0038647254912655,0.0039030332868139,0.0039403092347445,0.0039765533350573,0.0040117655877522,0.0040459459928294,0.0040790945502887,0.0041112112601302,0.0041422961223539,0.0041723491369598,0.0042013703039478,0.0042293596233181,0.0042563170950705
PD22,baseline,eritrea,Agriculture,Emissions,"Fertilized Soils, Addtl Emissions",EM,Emissions,NOx,IND,Mt,0.00012477295626,0.00014363957815,0.000141045385,0.0001401169221999,0.0001403664252999,0.0001413910734,0.0001447417809344,0.0001482638792595,0.000151912255571,0.000151912255571,0.0001556957496178,0.000159818355535,0.000163881334668,0.0001678846870168,0.0001718284125814,0.0001757125113617,0.0001785822637045,0.0001814040321858,0.0001841778168054,0.0001869036175634,0.0001895814344598,0.000193175063556,0.0001967085855696,0.0002001820005008,0.0002035953083494,0.0002069485091155,0.00021022279521,0.0002134372184765,0.0002165917789148,0.0002196864765249,0.000222721311307,0.000225617455478,0.000228454794912,0.0002312333296089,0.0002339530595687,0.0002366139847914,0.0002416416886225,0.000246576899059,0.0002514196161009,0.000256169839748,0.0002608275700005,0.0002615614877103,0.0002648995359341,0.0002681619350921,0.0002713486851842,0.0002744597862105,0.0002774952381708,0.0002804550410653,0.0002833391948939,0.0002861476996566,0.0002888805553535,0.0002915377619845,0.0002941193195496,0.0002966252280488,0.0002990554874821,0.0003014100978496,0.0003036890591512,0.0003058923713869,0.0003080200345567,0.0003100720486607,0.0003120484136987
PD22,baseline,eritrea,Agriculture,Emissions,Improved Rice,EM,Emissions,CH4,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
