model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
PD22,baseline,georgia,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0133032114853885,0.026476293746471,0.0395039831665238,0.0523692549150207,0.0650531269949403,0.0775344443031148,0.089789641124104,0.1017924804756858,0.1135137687621118,0.1249210442826077,0.135978238302748,0.1466453076439384,0.1568778381033038,0.1666266185084134,0.1758371858677593,0.1844493429314727,0.192396650563062,0.1996058986794135,0.2059965611802967,0.2114802422946894,0.2159601241470374,0.219330428107383,0.2214759056308869,0.22227137778185,0.22227137778185,0.22227137778185,0.22227137778185,0.22227137778185,0.22227137778185,0.22227137778185,0.22227137778185,0.22227137778185,0.22227137778185,0.22227137778185,0.22227137778185,0.22227137778185,0.22227137778185,0.22227137778185,0.22227137778185,0.22227137778185,0.22227137778185,0.22227137778185,0.22227137778185,0.22227137778185,0.22227137778185,0.22227137778185,0.22227137778185,0.22227137778185,0.22227137778185,0.22227137778185
PD22,baseline,georgia,Agriculture,Emissions,Biochar,EM,Emissions,CO2,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,georgia,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,0.0003208,0.0003689,0.0003459,0.0004437,0.0003756999999999,0.0003439,0.0003042,0.00026,0.0002395,0.0002436,0.0002698818181818,0.0002961636363636,0.0003224454545454,0.0003487272727272,0.000375009090909,0.0004012909090909,0.0004275727272727,0.0004538545454545,0.0004801363636363,0.0005064181818181,0.0005327,0.00053434,0.00053598,0.00053762,0.00053926,0.0005409,0.00054254,0.00054418,0.00054582,0.00054746,0.0005491,0.00055074,0.00055238,0.00055402,0.00055566,0.0005573,0.00055894,0.00056058,0.00056222,0.00056386,0.0005655,0.0005655,0.0005655,0.0005655,0.0005655,0.0005655,0.0005655,0.0005655,0.0005655,0.0005655,0.0005655,0.0005655,0.0005655,0.0005655,0.0005655,0.0005655,0.0005655,0.0005655,0.0005655,0.0005655,0.0005655
PD22,baseline,georgia,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,8.3e-06,9.6e-06,9e-06,1.15e-05,9.7e-06,8.9e-06,7.9e-06,6.7e-06,6.2e-06,6.3e-06,6.981818181818182e-06,7.663636363636363e-06,8.345454545454545e-06,9.027272727272728e-06,9.709090909090909e-06,1.039090909090909e-05,1.1072727272727272e-05,1.1754545454545454e-05,1.2436363636363636e-05,1.3118181818181818e-05,1.38e-05,1.3845e-05,1.389e-05,1.3935e-05,1.398e-05,1.4025e-05,1.407e-05,1.4115e-05,1.416e-05,1.4205e-05,1.425e-05,1.4295e-05,1.434e-05,1.4385e-05,1.443e-05,1.4475e-05,1.452e-05,1.4565e-05,1.461e-05,1.4655e-05,1.47e-05,1.47e-05,1.47e-05,1.47e-05,1.47e-05,1.47e-05,1.47e-05,1.47e-05,1.47e-05,1.47e-05,1.47e-05,1.47e-05,1.47e-05,1.47e-05,1.47e-05,1.47e-05,1.47e-05,1.47e-05,1.47e-05,1.47e-05,1.47e-05
PD22,baseline,georgia,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,6.52e-05,9.75e-05,9.26e-05,0.0001157,8.81e-05,9.38e-05,0.0001033,7.79e-05,9.11e-05,8.82e-05,9.286363636363636e-05,9.752727272727272e-05,0.0001021909090909,0.0001068545454545,0.0001115181818181,0.0001161818181818,0.0001208454545454,0.000125509090909,0.0001301727272727,0.0001348363636363,0.0001395,0.0001401,0.0001407,0.0001413,0.0001419,0.0001425,0.0001431,0.0001437,0.0001443,0.0001449,0.0001455,0.0001461,0.0001467,0.0001473,0.0001479,0.0001485,0.0001491,0.0001497,0.0001503,0.0001509,0.0001515,0.0001515,0.0001515,0.0001515,0.0001515,0.0001515,0.0001515,0.0001515,0.0001515,0.0001515,0.0001515,0.0001515,0.0001515,0.0001515,0.0001515,0.0001515,0.0001515,0.0001515,0.0001515,0.0001515,0.0001515
PD22,baseline,georgia,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,georgia,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,0.0458686,0.0467521,0.0513992,0.0523318,0.0540949,0.0451678,0.0454052,0.044125,0.0418696,0.0404412,0.0423282636363636,0.0442153272727272,0.0461023909090909,0.0479894545454545,0.0498765181818181,0.0517635818181818,0.0536506454545454,0.055537709090909,0.0574247727272727,0.0593118363636363,0.0611989,0.061546265,0.06189363,0.062240995,0.06258836,0.062935725,0.06328309,0.063630455,0.0639778199999999,0.064325185,0.06467255,0.065019915,0.06536728,0.0657146449999999,0.0660620099999999,0.0664093749999999,0.06675674,0.067104105,0.0674514699999999,0.0677988349999999,0.0681461999999999,0.0681461999999999,0.0681461999999999,0.0681461999999999,0.0681461999999999,0.0681461999999999,0.0681461999999999,0.0681461999999999,0.0681461999999999,0.0681461999999999,0.0681461999999999,0.0681461999999999,0.0681461999999999,0.0681461999999999,0.0681461999999999,0.0681461999999999,0.0681461999999999,0.0681461999999999,0.0681461999999999,0.0681461999999999,0.0681461999999999
PD22,baseline,georgia,Agriculture,Emissions,"Fertilized Soils, Addtl Emissions",EM,Emissions,NH3,IND,Mt,0.0032895272962,0.003381853606,0.0038663334959,0.0043414285203999,0.0043541882848,0.0041205084920699,0.0040998730458028,0.0040924053033042,0.0040935889750011,0.0040935889750011,0.0040415589602252,0.0039516388025795,0.0038582479491941,0.0037656905288475,0.0036739665415398,0.003583075987271,0.0035920597792071,0.0036006691881679,0.0036089042141533,0.0036167648571634,0.0036242511171981,0.0036426226773583,0.0036604782233092,0.0036778177550508,0.003694641272583,0.0037109487759059,0.0037265549073158,0.0037416474317593,0.0037562263492363,0.0037702916597469,0.0037838433632911,0.0038018129788338,0.0038192027925247,0.0038360128043638,0.0038522430143509,0.0038678934224862,0.003887062839238,0.0039055955262147,0.0039234914834164,0.0039407507108431,0.0039573732084947,0.0039668847189268,0.0039803163210706,0.0039931396574009,0.0040053547279177,0.0040169615326211,0.004027960071511,0.0040383503445874,0.0040481323518504,0.0040573060932999,0.004065871568936,0.0040738287787586,0.0040811777227678,0.0040879184009634,0.0040940508133456,0.0040995749599144,0.0041044908406697,0.0041087984556115,0.0041124978047399,0.0041155888880548,0.0041180717055563
PD22,baseline,georgia,Agriculture,Emissions,"Fertilized Soils, Addtl Emissions",EM,Emissions,NOx,IND,Mt,0.0006070690160999,0.0006634699632,0.0007294236773999,0.0008125418371,0.0007598956687999,0.0007100570033999,0.0007065010483113,0.0007052141870244,0.0007054181604854,0.0007054181604854,0.0006964522096932,0.0006809569285147,0.0006648635677978,0.000648913826483,0.0006331077045704,0.00061744520206,0.0006189933130258,0.0006204769093197,0.0006218959909416,0.0006232505578916,0.0006245406101696,0.0006277064463717,0.0006307833616302,0.0006337713559451,0.0006366704293164,0.0006394805817441,0.0006421698718948,0.0006447706559244,0.000647282933833,0.0006497067056204,0.0006520419712868,0.0006551385433213,0.0006581352023557,0.00066103194839,0.0006638287814241,0.0006665257014581,0.0006698290264341,0.0006730226284385,0.0006761065074715,0.0006790806635328,0.0006819450966226,0.0006835841454459,0.0006858987149189,0.0006881084664061,0.0006902133999074,0.0006922135154229,0.0006941088129526,0.0006958992924964,0.0006975849540544,0.0006991657976265,0.0007006418232128,0.0007020130308133,0.0007032794204279,0.0007044409920566,0.0007054977456996,0.0007064496813567,0.0007072967990279,0.0007080390987133,0.0007086765804129,0.0007092092441266,0.0007096370898545
PD22,baseline,georgia,Agriculture,Emissions,Improved Rice,EM,Emissions,CH4,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
