model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
PD22,baseline,germany,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2-landuse,AFOLU,Mt,-0.00020999442546099613,-0.0002349293468272229,-0.0002623828645359467,-0.0002925806386577759,-0.00032010366105285007,-0.0003462908110968793,-0.0003711420887898632,-0.00039465749413180185,-0.00041683702712269545,-0.0004376806877625436,-0.0004571884760513467,-0.00047536039198910467,-0.0004923244987493512,-0.0005080958795374839,-0.0005226913734729719,-0.0005361297748571505,-0.000548432053765943,-0.0005596215999241305,-0.0005697244919123537,-0.0005787697938321155,-0.0005867898815985043,-0.0005938208010335599,-0.0005999026598808387,-0.0006050800557361465,-0.0006094025416692578,-0.0006129251309711186,-0.000615708841970294,-0.0006178212831860943,-0.0006193372781836661,-0.0006203395283233756,-0.0006209193101041085,-0.0006211772019362019,-0.0006212238328932991,-0.000621180643236018,-0.0006211806432360178,-0.0006211806432360178,-0.000621180643236018,-0.0006211806432360178,-0.0006211806432360178,-0.0006211806432360177,-0.0006211806432360177,-0.0006211806432360174,-0.0006211806432360175,-0.0006211806432360174,-0.0006211806432360175,-0.0006211806432360177,-0.0006211806432360174,-0.0006211806432360175,-0.0006211806432360174,-0.0006211806432360175,-0.0006211806432360174,-0.0006211806432360175,-0.0006211806432360177,-0.0006211806432360175,-0.0006211806432360175,-0.0006211806432360174,-0.0006211806432360175,-0.0006211806432360174,-0.0006211806432360175,-0.0006211806432360177,-0.0006211806432360175
PD22,baseline,germany,Agriculture,Emissions,Biochar,EM,Emissions,CO2-landuse,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-8.959015486783992e-10,-8.660381637224525e-10,-8.361747787665059e-10,-8.063113938105591e-10,-7.764480088546124e-10,-7.465846238986658e-10,-7.167212389427194e-10,-6.868578539867727e-10,-6.569944690308261e-10,-6.271310840748794e-10,-5.972676991189328e-10,-5.674043141629862e-10,-5.375409292070395e-10,-5.076775442510929e-10,-4.778141592951462e-10,-4.479507743391996e-10,-4.1808738938325295e-10,-3.8822400442730635e-10,-3.583606194713597e-10,-3.2849723451541303e-10,-2.986338495594664e-10,-2.687704646035198e-10,-2.389070796475732e-10,-2.0904369469162642e-10,-1.7918030973567984e-10,-1.493169247797332e-10,-1.194535398237866e-10,-8.959015486783996e-11,-5.972676991189337e-11,-2.986338495594661e-11,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,germany,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,0.0048213,0.0048254000000000005,0.0047220000000000005,0.0047204,0.0047767999999999994,0.0047752,0.0045818000000000005,0.0046252,0.0043886,0.0044907,0.004480700000000001,0.0044707,0.004460700000000001,0.0044507,0.0044407000000000005,0.0044307,0.0044207000000000005,0.0044107,0.0044007000000000004,0.0043907,0.0043807,0.004380665000000001,0.00438063,0.004380595,0.00438056,0.0043805250000000006,0.004380490000000001,0.004380455,0.00438042,0.0043803850000000005,0.00438035,0.004380315,0.00438028,0.0043802450000000005,0.004380210000000001,0.004380175,0.00438014,0.0043801050000000005,0.00438007,0.004380035,0.00438,0.00438,0.00438,0.00438,0.00438,0.00438,0.00438,0.00438,0.00438,0.00438,0.00438,0.00438,0.00438,0.00438,0.00438,0.00438,0.00438,0.00438,0.00438,0.00438,0.00438
PD22,baseline,germany,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,1.96417375e-07,1.965745089e-07,1.9233189359999998e-07,1.9233189359999998e-07,1.9453176819999998e-07,1.9453176819999998e-07,1.8667507319999999e-07,1.8840354610000001e-07,1.788183782e-07,1.829038596e-07,1.825038824e-07,1.821039052e-07,1.81703928e-07,1.813039508e-07,1.8090397360000002e-07,1.805039964e-07,1.8010401920000002e-07,1.7970404200000003e-07,1.793040648e-07,1.789040876e-07,1.785041104e-07,1.785041104e-07,1.785041104e-07,1.785041104e-07,1.785041104e-07,1.785041104e-07,1.785041104e-07,1.785041104e-07,1.785041104e-07,1.785041104e-07,1.785041104e-07,1.785041104e-07,1.785041104e-07,1.785041104e-07,1.785041104e-07,1.785041104e-07,1.785041104e-07,1.785041104e-07,1.785041104e-07,1.785041104e-07,1.785041104e-07,1.785041104e-07,1.785041104e-07,1.785041104e-07,1.785041104e-07,1.785041104e-07,1.785041104e-07,1.785041104e-07,1.785041104e-07,1.785041104e-07,1.785041104e-07,1.785041104e-07,1.785041104e-07,1.785041104e-07,1.785041104e-07,1.785041104e-07,1.785041104e-07,1.785041104e-07,1.785041104e-07,1.785041104e-07,1.785041104e-07
PD22,baseline,germany,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,1.49698323852e-05,1.4270900798000001e-05,1.51074816816e-05,1.59225352209e-05,1.7283157661e-05,1.64596188911e-05,1.53427111299e-05,1.54341630597e-05,1.3024828971e-05,1.5106224610399999e-05,1.52430310977e-05,1.5379837585e-05,1.5516644072300002e-05,1.56534505596e-05,1.57902570469e-05,1.5927063534199998e-05,1.6063870021500002e-05,1.62006765088e-05,1.63374829961e-05,1.64742894834e-05,1.66110959707e-05,1.6610255304335e-05,1.660941463797e-05,1.6608573971605e-05,1.6607733305240002e-05,1.6606892638875e-05,1.660605197251e-05,1.6605211306145e-05,1.6604370639780002e-05,1.6603529973415e-05,1.6602689307050002e-05,1.6601848640685003e-05,1.6601007974320002e-05,1.6600167307955e-05,1.659932664159e-05,1.6598485975225e-05,1.659764530886e-05,1.6596804642495003e-05,1.659596397613e-05,1.6595123309765e-05,1.65942826434e-05,1.65942826434e-05,1.65942826434e-05,1.65942826434e-05,1.65942826434e-05,1.65942826434e-05,1.65942826434e-05,1.65942826434e-05,1.65942826434e-05,1.65942826434e-05,1.65942826434e-05,1.65942826434e-05,1.65942826434e-05,1.65942826434e-05,1.65942826434e-05,1.65942826434e-05,1.65942826434e-05,1.65942826434e-05,1.65942826434e-05,1.65942826434e-05,1.65942826434e-05
PD22,baseline,germany,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2-landuse,AFOLU,Mt,-5.0537752756118534e-05,-4.8241863738149195e-05,-4.594597472017986e-05,-4.365008570221053e-05,-4.13541966842412e-05,-3.9058307666271865e-05,-3.676241864830254e-05,-3.446652963033321e-05,-3.2170640612363875e-05,-2.9874751594394546e-05,-2.757886257642521e-05,-2.5282973558455877e-05,-2.303171887208068e-05,-2.0830355522671675e-05,-1.8684752510827288e-05,-1.660146028391471e-05,-1.4587787620066441e-05,-1.2651886626582148e-05,-1.0802846567640502e-05,-9.050797262050332e-06,-7.407022807260061e-06,-5.884086386963449e-06,-4.495966901385981e-06,-3.258208115566157e-06,-2.1880809442157945e-06,-1.3047593731295966e-06,-6.295103460770869e-07,-1.8589771038637505e-07,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,germany,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,1.0468106000000001,1.0351811,1.0281838,1.0394539,1.0469992,1.0400126,1.0264036,1.0151066,0.9885916,0.9649026,0.969258890909091,0.9736151818181819,0.9779714727272728,0.9823277636363636,0.9866840545454546,0.9910403454545454,0.9953966363636364,0.9997529272727272,1.004109218181818,1.0084655090909092,1.0128218,1.009224235,1.00562667,1.002029105,0.99843154,0.994833975,0.99123641,0.987638845,0.98404128,0.980443715,0.9768461500000001,0.973248585,0.96965102,0.9660534550000001,0.96245589,0.958858325,0.95526076,0.9516631950000001,0.9480656300000001,0.944468065,0.9408705,0.9408705,0.9408705,0.9408705,0.9408705,0.9408705,0.9408705,0.9408705,0.9408705,0.9408705,0.9408705,0.9408705,0.9408705,0.9408705,0.9408705,0.9408705,0.9408705,0.9408705,0.9408705,0.9408705,0.9408705
PD22,baseline,germany,Agriculture,Emissions,"Fertilized Soils, Addtl Emissions",EM,Emissions,NH3,IND,Mt,0.375109254445,0.359880856014,0.370505123669,0.38185542448,0.40122636627,0.39189738124,0.391867297510278,0.391642776913921,0.391277177515946,0.391277177515946,0.3401006550561276,0.3405794002353981,0.34102360710871016,0.34143853458206375,0.34182418265545783,0.3421805513288914,0.3430372637269777,0.3438582379065117,0.3446434738674933,0.34539297160992366,0.3461067311338007,0.34928197092511193,0.3523900609445891,0.3554310011922311,0.35840479166803685,0.36131143237200847,0.3628967175724849,0.3644311413872516,0.36591470381630836,0.3673474048596545,0.3687292445172919,0.3700622573283035,0.37134438144435505,0.37257561686544743,0.37375596359158153,0.3748854216227555,0.3764228624342846,0.3779030413359204,0.3793259583276621,0.3806916134095088,0.3820000065814614,0.3825263294904671,0.38350553737596077,0.38443066995902686,0.3853017272396663,0.38611870921787994,0.38688161589366615,0.38759044726702646,0.38824520333795937,0.3888458841064665,0.38939248957254596,0.3898850197361989,0.390323474597426,0.3907078541562256,0.39103815841259937,0.39131438736654567,0.3915365410180653,0.39170461936715906,0.3918186224138254,0.3918785501580659,0.39188440259987906
PD22,baseline,germany,Agriculture,Emissions,"Fertilized Soils, Addtl Emissions",EM,Emissions,NOx,IND,Mt,0.00016453689755963814,0.00015693945156982378,0.0001576743492821623,0.00016153862509455595,0.00016937935691383848,0.00016196048261009008,0.00016194804982636255,0.0001618552615968855,0.0001617041693524041,0.0001617041693524041,0.00014055431055602099,0.0001407521628612254,0.00014093574142802446,0.00014110721961861584,0.0001412665974329991,0.00014141387487117386,0.0001417679307033743,0.00014210721690607116,0.00014243173347926432,0.0001427414804229543,0.00014303645773714021,0.00014434869760814002,0.0001456331863127018,0.00014688992385082514,0.00014811891022250962,0.00014932014542775606,0.00014997530049751283,0.00015060943594588378,0.0001512225517728688,0.00015181464797846763,0.000152385724562681,0.00015293662234493657,0.0001534664892196391,0.00015397532518678897,0.00015446313024638657,0.0001549299043984311,0.00015556528668915178,0.00015617700419667807,0.0001567650569210096,0.00015732944486214606,0.00015787016802008778,0.00015808768290136003,0.0001584923627724231,0.0001588746947981121,0.0001592346789784274,0.00015957231531336935,0.0001598876038029373,0.00016018054444713186,0.0001604511372459524,0.00016069938219939964,0.0001609252793074728,0.00016112882857017224,0.00016131002998749836,0.00016146888355945044,0.00016160538928602913,0.0001617195471672338,0.0001618113572030648,0.00016188081939352242,0.00016192793373860604,0.0001619527002383163,0.00016195511889265256
PD22,baseline,germany,Agriculture,Emissions,Improved Rice,EM,Emissions,CH4,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
