model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
PD22,baseline,ireland,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0232167953080469,0.0461816484663148,0.0688656204141129,0.0912365832713243,0.1132589021499214,0.1348930934049048,0.1560954596944695,0.176817702904054,0.1970065168604918,0.2166031628508184,0.2355430322953625,0.2537552025342867,0.2711619935929189,0.2876785360063082,0.3032123623040331,0.3176630375560876,0.3309218474019065,0.3428715651283519,0.3533863224786565,0.3623316117523147,0.3695644491178867,0.3749337305598627,0.3782808121076642,0.3794403444952628,0.3794403444952628,0.3794403444952628,0.3794403444952628,0.3794403444952628,0.3794403444952628,0.3794403444952628,0.3794403444952628,0.3794403444952628,0.3794403444952628,0.3794403444952628,0.3794403444952628,0.3794403444952628,0.3794403444952628,0.3794403444952628,0.3794403444952628,0.3794403444952628,0.3794403444952628,0.3794403444952628,0.3794403444952628,0.3794403444952628,0.3794403444952628,0.3794403444952628,0.3794403444952628,0.3794403444952628,0.3794403444952628,0.3794403444952628
PD22,baseline,ireland,Agriculture,Emissions,Biochar,EM,Emissions,CO2,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,ireland,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,8.400000000000001e-05,0.0001017,0.0001058,6.54e-05,7.73e-05,7.049999999999999e-05,7.33e-05,7.240000000000001e-05,6.26e-05,6.86e-05,7.116363636363637e-05,7.372727272727273e-05,7.62909090909091e-05,7.885454545454545e-05,8.141818181818182e-05,8.398181818181818e-05,8.654545454545454e-05,8.91090909090909e-05,9.167272727272728e-05,9.423636363636364e-05,9.68e-05,9.6775e-05,9.675e-05,9.6725e-05,9.67e-05,9.6675e-05,9.665e-05,9.6625e-05,9.66e-05,9.6575e-05,9.655e-05,9.6525e-05,9.65e-05,9.6475e-05,9.645e-05,9.6425e-05,9.64e-05,9.6375e-05,9.635e-05,9.6325e-05,9.63e-05,9.63e-05,9.63e-05,9.63e-05,9.63e-05,9.63e-05,9.63e-05,9.63e-05,9.63e-05,9.63e-05,9.63e-05,9.63e-05,9.63e-05,9.63e-05,9.63e-05,9.63e-05,9.63e-05,9.63e-05,9.63e-05,9.63e-05,9.63e-05
PD22,baseline,ireland,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,2.2e-06,2.6e-06,2.7000000000000004e-06,1.7e-06,2e-06,1.8e-06,1.9e-06,1.9e-06,1.6e-06,1.8e-06,1.8636363636363637e-06,1.9272727272727277e-06,1.990909090909091e-06,2.0545454545454544e-06,2.1181818181818184e-06,2.181818181818182e-06,2.245454545454545e-06,2.309090909090909e-06,2.3727272727272726e-06,2.4363636363636366e-06,2.5e-06,2.5e-06,2.5e-06,2.5e-06,2.5e-06,2.5e-06,2.5e-06,2.5e-06,2.5e-06,2.5e-06,2.5e-06,2.5e-06,2.5e-06,2.5e-06,2.5e-06,2.5e-06,2.5e-06,2.5e-06,2.5e-06,2.5e-06,2.5e-06,2.5e-06,2.5e-06,2.5e-06,2.5e-06,2.5e-06,2.5e-06,2.5e-06,2.5e-06,2.5e-06,2.5e-06,2.5e-06,2.5e-06,2.5e-06,2.5e-06,2.5e-06,2.5e-06,2.5e-06,2.5e-06,2.5e-06,2.5e-06
PD22,baseline,ireland,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,0.0004673,0.0005671,0.0004839,0.0005402,0.0005838,0.0005923,0.0005251,0.0005442,0.0004049,0.0005056,0.0005056181818181,0.0005056363636363,0.0005056545454545,0.0005056727272727,0.0005056909090909,0.000505709090909,0.0005057272727272,0.0005057454545454,0.0005057636363636,0.0005057818181818,0.0005058,0.000505585,0.00050537,0.000505155,0.00050494,0.000504725,0.00050451,0.000504295,0.00050408,0.000503865,0.00050365,0.000503435,0.00050322,0.000503005,0.00050279,0.000502575,0.00050236,0.000502145,0.00050193,0.000501715,0.0005015,0.0005015,0.0005015,0.0005015,0.0005015,0.0005015,0.0005015,0.0005015,0.0005015,0.0005015,0.0005015,0.0005015,0.0005015,0.0005015,0.0005015,0.0005015,0.0005015,0.0005015,0.0005015,0.0005015,0.0005015
PD22,baseline,ireland,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0001731333333333,0.0003462666666666,0.0005194,0.0006925333333333,0.0008656666666666,0.0010388,0.0012119333333333,0.0013850666666666,0.0015582,0.0017313333333333,0.0019044666666666,0.0020776,0.0022507333333333,0.0024238666666666,0.002597,0.0027701333333333,0.0029432666666666,0.0031164,0.0032029666666666,0.00327222,0.00332416,0.0033587866666666,0.0033761,0.0033761,0.0033761,0.0033761,0.0033761,0.0033761,0.0033761,0.0033761,0.0033761,0.0033761,0.0033761,0.0033761,0.0033761,0.0033761,0.0033761,0.0033761,0.0033761,0.0033761,0.0033761,0.0033761,0.0033761,0.0033761,0.0033761,0.0033761,0.0033761,0.0033761,0.0033761,0.0033761
PD22,baseline,ireland,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,0.4830974,0.4801305,0.4992973,0.5075792,0.5133131,0.5199012000000001,0.5411085000000001,0.5512489,0.5027726,0.5045514,0.5028315999999999,0.5011118,0.499392,0.4976722,0.4959524,0.4942325999999999,0.4925128,0.490793,0.4890732,0.4873534,0.4856336,0.48394191,0.48225022,0.48055853,0.47886684,0.47717515,0.47548346,0.47379177,0.47210008,0.47040839,0.4687167,0.46702501,0.46533332,0.46364163,0.46194994,0.46025825,0.45856656,0.45687487,0.45518318,0.45349149,0.4517998,0.4517998,0.4517998,0.4517998,0.4517998,0.4517998,0.4517998,0.4517998,0.4517998,0.4517998,0.4517998,0.4517998,0.4517998,0.4517998,0.4517998,0.4517998,0.4517998,0.4517998,0.4517998,0.4517998,0.4517998
PD22,baseline,ireland,Agriculture,Emissions,"Fertilized Soils, Addtl Emissions",EM,Emissions,NH3,IND,Mt,0.0906957790220999,0.0843333074985001,0.0894437722349999,0.0908857751749999,0.0918854621187997,0.0964150021306002,0.0969399675882479,0.0976630083862301,0.0985203751936669,0.0985203751936669,0.0935346399527216,0.0936742906700381,0.093796467066319,0.0939105903418871,0.0940166604967424,0.0941146775308843,0.0943503110605208,0.0945761150107102,0.0947920893814523,0.0949982341727474,0.0951945493845951,0.0960678797591062,0.0969227409976659,0.0977591331002739,0.0985770560669297,0.0993765098976341,0.0998125329411937,0.1002345668702456,0.1006426116847898,0.101036667384826,0.1014167339703548,0.1017833710289652,0.1021360114618248,0.1024746552689339,0.1027993024502928,0.1031099530059009,0.1035328167415455,0.1039399309374706,0.104331295593676,0.1047069107101613,0.1050667762869268,0.1052115381989227,0.1054808633666479,0.1057353154516377,0.1059748944538923,0.106199600373412,0.1064094332101964,0.1066043929642458,0.1067844796355599,0.1069496932241391,0.1071000337299829,0.1072355011530915,0.1073560954934653,0.1074618167511037,0.1075526649260072,0.1076286400181753,0.1076897420276082,0.1077359709543063,0.107767326798269,0.1077838095594968,0.1077854192379892
PD22,baseline,ireland,Agriculture,Emissions,"Fertilized Soils, Addtl Emissions",EM,Emissions,NOx,IND,Mt,0.0104294469574,0.0095418504187,0.010555121933,0.0108221372625,0.0105829340959,0.0105831417824,0.010640765427542,0.0107201311186731,0.0108142413119224,0.0108142413119224,0.010266974374429,0.0102823033513383,0.010295714232381,0.0103082411501772,0.0103198841047269,0.01033064309603,0.0103565077747389,0.0103812934944617,0.0104050002551983,0.0104276280569488,0.010449176899713,0.0105450393585844,0.0106388745241917,0.0107306823965349,0.0108204629756141,0.0109082162614291,0.0109560770049692,0.0110024022117258,0.011047191881699,0.0110904460148887,0.0111321646112951,0.0111724090949149,0.0112111172172682,0.0112482889783548,0.0112839243781749,0.0113180234167284,0.0113644397084886,0.0114091272276702,0.0114520859742731,0.0114933159482972,0.0115328171497425,0.0115487071648386,0.0115782700582952,0.0116062003848291,0.0116324981444403,0.0116571633371289,0.0116801959628948,0.011701596021738,0.0117213635136586,0.0117394984386565,0.0117560007967317,0.0117708705878843,0.0117841078121142,0.0117957124694214,0.011805684559806,0.0118140240832679,0.0118207310398071,0.0118258054294237,0.0118292472521176,0.0118310565078888,0.0118312331967374
PD22,baseline,ireland,Agriculture,Emissions,Improved Rice,EM,Emissions,CH4,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
