model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
PD22,baseline,jamaica,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2-landuse,AFOLU,Mt,-7.016650545110888e-06,-7.802964461759269e-06,-8.65723682530439e-06,-9.583139331038805e-06,-1.0144802825075423e-05,-1.0673929311470785e-05,-1.1170518790224885e-05,-1.163457126133773e-05,-1.2066086724809323e-05,-1.246506518063966e-05,-1.2831506628828741e-05,-1.3165411069376565e-05,-1.3471255782079711e-05,-1.3749561662588365e-05,-1.4000908651634913e-05,-1.422594204215083e-05,-1.4425379364238386e-05,-1.460001787655199e-05,-1.4750742687168978e-05,-1.4878535519133907e-05,-1.498448412497913e-05,-1.5069792340009663e-05,-1.5135790745268899e-05,-1.51839478870853e-05,-1.5215881970112043e-05,-1.5233372903985265e-05,-1.5238374539378855e-05,-1.5233026876714348e-05,-1.5219667969755339e-05,-1.5200845176871928e-05,-1.517932533562738e-05,-1.51581033531098e-05,-1.5140408617831238e-05,-1.512970855318425e-05,-1.5129708553184245e-05,-1.5129708553184247e-05,-1.5129708553184248e-05,-1.5129708553184247e-05,-1.5129708553184248e-05,-1.5129708553184245e-05,-1.5129708553184243e-05,-1.5129708553184248e-05,-1.5129708553184247e-05,-1.5129708553184248e-05,-1.5129708553184248e-05,-1.5129708553184245e-05,-1.5129708553184247e-05,-1.5129708553184248e-05,-1.5129708553184247e-05,-1.5129708553184248e-05,-1.512970855318425e-05,-1.5129708553184238e-05,-1.5129708553184237e-05,-1.5129708553184228e-05,-1.5129708553184223e-05,-1.5129708553184216e-05,-1.512970855318421e-05,-1.5129708553184206e-05,-1.5129708553184203e-05,-1.51297085531842e-05,-1.5129708553184196e-05
PD22,baseline,jamaica,Agriculture,Emissions,Biochar,EM,Emissions,CO2-landuse,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.139968946420955e-11,-2.0686366482069233e-11,-1.9973043499928913e-11,-1.9259720517788597e-11,-1.854639753564828e-11,-1.7833074553507957e-11,-1.711975157136764e-11,-1.6406428589227324e-11,-1.5693105607087e-11,-1.4979782624946685e-11,-1.426645964280637e-11,-1.355313666066605e-11,-1.283981367852573e-11,-1.2126490696385411e-11,-1.1413167714245094e-11,-1.0699844732104775e-11,-9.986521749964457e-12,-9.27319876782414e-12,-8.55987578568382e-12,-7.846552803543504e-12,-7.133229821403186e-12,-6.419906839262865e-12,-5.706583857122549e-12,-4.993260874982228e-12,-4.2799378928419086e-12,-3.566614910701593e-12,-2.853291928561273e-12,-2.139968946420956e-12,-1.4266459642806364e-12,-7.133229821403197e-13,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,jamaica,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,5.4e-05,5.4800000000000004e-05,5.58e-05,5.800000000000001e-05,5.81e-05,5.38e-05,4.16e-05,4.01e-05,3.7800000000000004e-05,3.2500000000000004e-05,3.603636363636364e-05,3.957272727272728e-05,4.3109090909090914e-05,4.664545454545455e-05,5.018181818181818e-05,5.3718181818181824e-05,5.7254545454545454e-05,6.07909090909091e-05,6.432727272727273e-05,6.786363636363636e-05,7.14e-05,7.155e-05,7.17e-05,7.185e-05,7.2e-05,7.214999999999999e-05,7.23e-05,7.245e-05,7.26e-05,7.274999999999999e-05,7.29e-05,7.305e-05,7.319999999999999e-05,7.335e-05,7.35e-05,7.365e-05,7.379999999999999e-05,7.395e-05,7.41e-05,7.424999999999999e-05,7.439999999999999e-05,7.439999999999999e-05,7.439999999999999e-05,7.439999999999999e-05,7.439999999999999e-05,7.439999999999999e-05,7.439999999999999e-05,7.439999999999999e-05,7.439999999999999e-05,7.439999999999999e-05,7.439999999999999e-05,7.439999999999999e-05,7.439999999999999e-05,7.439999999999999e-05,7.439999999999999e-05,7.439999999999999e-05,7.439999999999999e-05,7.439999999999999e-05,7.439999999999999e-05,7.439999999999999e-05,7.439999999999999e-05
PD22,baseline,jamaica,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,2.1998746e-09,2.1998746e-09,2.1998746e-09,2.3570085e-09,2.3570085e-09,2.1998746e-09,1.7284729e-09,1.571339e-09,1.571339e-09,1.2570712e-09,1.4142051000000001e-09,1.5713390000000002e-09,1.7284729e-09,1.8856068000000003e-09,2.0427407e-09,2.1998746e-09,2.3570085e-09,2.5141424e-09,2.6712763000000004e-09,2.8284102000000002e-09,2.9855441e-09,2.9855441e-09,2.9855441e-09,2.9855441e-09,2.9855441e-09,2.9855441e-09,2.9855441e-09,2.9855441e-09,2.9855441e-09,2.9855441e-09,2.9855441e-09,2.9855441e-09,2.9855441e-09,2.9855441e-09,2.9855441e-09,2.9855441e-09,2.9855441e-09,2.9855441e-09,2.9855441e-09,2.9855441e-09,2.9855441e-09,2.9855441e-09,2.9855441e-09,2.9855441e-09,2.9855441e-09,2.9855441e-09,2.9855441e-09,2.9855441e-09,2.9855441e-09,2.9855441e-09,2.9855441e-09,2.9855441e-09,2.9855441e-09,2.9855441e-09,2.9855441e-09,2.9855441e-09,2.9855441e-09,2.9855441e-09,2.9855441e-09,2.9855441e-09,2.9855441e-09
PD22,baseline,jamaica,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,1.7284729e-09,2.0427407e-09,2.1998746e-09,2.1998746e-09,2.1998746e-09,2.0427407e-09,2.0427407e-09,2.0427407e-09,2.0427407e-09,1.8856068e-09,1.8713219e-09,1.857037e-09,1.8427521e-09,1.8284672e-09,1.8141823e-09,1.7998974e-09,1.7856125e-09,1.7713276e-09,1.7570427e-09,1.7427578e-09,1.7284729e-09,1.7598996800000001e-09,1.79132646e-09,1.82275324e-09,1.8541800200000002e-09,1.8856068e-09,1.91703358e-09,1.94846036e-09,1.97988714e-09,2.01131392e-09,2.0427407e-09,2.07416748e-09,2.10559426e-09,2.1370210400000002e-09,2.16844782e-09,2.1998746e-09,2.23130138e-09,2.26272816e-09,2.29415494e-09,2.32558172e-09,2.3570085e-09,2.3570085e-09,2.3570085e-09,2.3570085e-09,2.3570085e-09,2.3570085e-09,2.3570085e-09,2.3570085e-09,2.3570085e-09,2.3570085e-09,2.3570085e-09,2.3570085e-09,2.3570085e-09,2.3570085e-09,2.3570085e-09,2.3570085e-09,2.3570085e-09,2.3570085e-09,2.3570085e-09,2.3570085e-09,2.3570085e-09
PD22,baseline,jamaica,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2-landuse,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-6.4702675667440604e-12,-6.254591981185926e-12,-6.03891639562779e-12,-5.823240810069655e-12,-5.60756522451152e-12,-5.391889638953385e-12,-5.176214053395248e-12,-4.960538467837113e-12,-4.7448628822789774e-12,-4.5291872967208425e-12,-4.313511711162707e-12,-4.097836125604572e-12,-3.882160540046437e-12,-3.666484954488301e-12,-3.4508093689301656e-12,-3.2351337833720302e-12,-3.019458197813895e-12,-2.8037826122557595e-12,-2.588107026697624e-12,-2.3724314411394887e-12,-2.156755855581353e-12,-1.9410802700232184e-12,-1.7254046844650828e-12,-1.5097290989069472e-12,-1.294053513348812e-12,-1.0783779277906765e-12,-8.62702342232541e-13,-6.470267566744054e-13,-4.3135117111627e-13,-2.1567558555813555e-13,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,jamaica,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,0.012787000000000001,0.012837,0.013060700000000001,0.012955500000000002,0.0128503,0.012353600000000001,0.0115136,0.0110738,0.0107338,0.0104324,0.0113031,0.0121738,0.0130445,0.0139152,0.014785900000000001,0.0156566,0.0165273,0.017398000000000004,0.018268700000000002,0.0191394,0.020010100000000003,0.020118255,0.020226410000000004,0.020334565000000002,0.02044272,0.020550875000000003,0.020659030000000002,0.020767185,0.020875340000000003,0.020983495,0.021091650000000003,0.021199805000000002,0.02130796,0.021416115000000003,0.02152427,0.021632425,0.021740580000000002,0.021848735,0.02195689,0.022065045000000002,0.0221732,0.0221732,0.0221732,0.0221732,0.0221732,0.0221732,0.0221732,0.0221732,0.0221732,0.0221732,0.0221732,0.0221732,0.0221732,0.0221732,0.0221732,0.0221732,0.0221732,0.0221732,0.0221732,0.0221732,0.0221732
PD22,baseline,jamaica,Agriculture,Emissions,"Fertilized Soils, Addtl Emissions",EM,Emissions,NH3,IND,Mt,0.00231041205367,0.0025557839356,0.0027321727635,0.00206631339745,0.00207056363255,0.00208411248438,0.00209159364789275,0.00209899721681037,0.0021061687480444903,0.0021061687480444903,0.0013856773852617445,0.001376640049546123,0.0013676132024964557,0.001358596844112737,0.0013495909743949702,0.0013405955933431543,0.0013324707715653172,0.00132434594978748,0.0013162211280096426,0.0013080963062318055,0.0012999714844539683,0.0013149005009115832,0.0013295395319825884,0.0013438885776669845,0.0013579476379647708,0.0013717167128759484,0.0013860438232777546,0.0014000699350348086,0.0014137950481471044,0.0014272191626146446,0.0014403422784374292,0.0014548985582176193,0.0014691305620026895,0.0014830382897926396,0.0014966217415874697,0.0015098809173871798,0.0015198941603717698,0.0015296237059281843,0.00153906955405642,0.001548231704756483,0.0015571101580283703,0.0015703198036218571,0.0015799976219512924,0.0015893714535690831,0.0015984412984752234,0.0016072071566697232,0.001615669028152568,0.001623826912923765,0.001631680810983317,0.001639230722331226,0.0016464766469674794,0.001653418584892085,0.0016600565361050434,0.0016663905006063609,0.0016724204783960235,0.0016781464694740412,0.0016835684738404078,0.0016886864914951343,0.001693500522438206,0.0016980105666696296,0.0017022166241894058
PD22,baseline,jamaica,Agriculture,Emissions,"Fertilized Soils, Addtl Emissions",EM,Emissions,NOx,IND,Mt,4.7218504405486054e-07,5.175690525612881e-07,5.485051221581061e-07,4.3639944955602544e-07,4.3827180043725533e-07,4.3773291484639235e-07,4.3930420791978666e-07,4.40859203548315e-07,4.4236546354846126e-07,4.4236546354846126e-07,2.9103832227548703e-07,2.8914018129946323e-07,2.872442432920198e-07,2.8535050825315553e-07,2.8345897618287104e-07,2.815696470811663e-07,2.7986316437158346e-07,2.7815668166200064e-07,2.764501989524178e-07,2.74743716242835e-07,2.7303723353325217e-07,2.76172823353264e-07,2.792475066005765e-07,2.8226128327518976e-07,2.852141533771037e-07,2.881061169063185e-07,2.9111528644227775e-07,2.9406123625515603e-07,2.96943966344952e-07,2.9976347671166627e-07,3.025197673552988e-07,3.0557707008020325e-07,3.0856626406451783e-07,3.1148734930824266e-07,3.143403258113776e-07,3.171251935739228e-07,3.192283075236546e-07,3.2127183558102194e-07,3.2325577774602414e-07,3.251801340186625e-07,3.2704490439893637e-07,3.298193691713812e-07,3.318520327912423e-07,3.3382084909462694e-07,3.357258180815339e-07,3.375669397519652e-07,3.393442141059179e-07,3.4105764114339344e-07,3.427072208643924e-07,3.4429295326891537e-07,3.4581483835695945e-07,3.4727287612852647e-07,3.486670665836164e-07,3.499974097222307e-07,3.512639055443664e-07,3.524665540500255e-07,3.5360535523920675e-07,3.5468030911191254e-07,3.556914156681398e-07,3.5663867490788973e-07,3.575220868311626e-07
PD22,baseline,jamaica,Agriculture,Emissions,Improved Rice,EM,Emissions,CH4,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
