model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
PD22,baseline,madagascar,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.2304732944996024,0.4580587572128478,0.6824357635588787,0.9032510134580676,1.120115900909524,1.3326038421475608,1.5402476096853617,1.7425367328773869,1.938915040792844,2.128778440032718,2.3114730382948783,2.4862937434008288,2.6524834862407065,2.8092332334036483,2.955682969467394,3.090923837938201,3.2140016311971213,3.3239218107889177,3.419656217179258,3.5001515901229108,3.564339965077282,3.611150936824615,3.639525689437591,3.648432584869389,3.648432584869389,3.648432584869389,3.648432584869389,3.648432584869389,3.648432584869389,3.648432584869389,3.648432584869389,3.648432584869389,3.648432584869389,3.648432584869389,3.648432584869389,3.648432584869389,3.648432584869389,3.648432584869389,3.648432584869389,3.648432584869389,3.648432584869389,3.648432584869389,3.648432584869389,3.648432584869389,3.648432584869389,3.648432584869389,3.648432584869389,3.648432584869389,3.648432584869389,3.648432584869389
PD22,baseline,madagascar,Agriculture,Emissions,Biochar,EM,Emissions,CO2,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,madagascar,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,0.0028186,0.0026211,0.0027004999999999,0.0021489,0.0021668,0.0019362,0.0018891,0.0017006,0.0016792,0.0017296,0.0018832272727272,0.0020368545454545,0.0021904818181818,0.002344109090909,0.0024977363636363,0.0026513636363636,0.0028049909090909,0.0029586181818181,0.0031122454545454,0.0032658727272727,0.0034195,0.003451655,0.00348381,0.003515965,0.00354812,0.003580275,0.00361243,0.003644585,0.00367674,0.003708895,0.00374105,0.003773205,0.00380536,0.0038375149999999,0.0038696699999999,0.003901825,0.00393398,0.003966135,0.00399829,0.004030445,0.0040625999999999,0.0040625999999999,0.0040625999999999,0.0040625999999999,0.0040625999999999,0.0040625999999999,0.0040625999999999,0.0040625999999999,0.0040625999999999,0.0040625999999999,0.0040625999999999,0.0040625999999999,0.0040625999999999,0.0040625999999999,0.0040625999999999,0.0040625999999999,0.0040625999999999,0.0040625999999999,0.0040625999999999,0.0040625999999999,0.0040625999999999
PD22,baseline,madagascar,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,7.31e-05,6.800000000000001e-05,7.000000000000001e-05,5.57e-05,5.62e-05,5.02e-05,4.9000000000000005e-05,4.41e-05,4.35e-05,4.48e-05,4.879090909090909e-05,5.278181818181818e-05,5.677272727272728e-05,6.076363636363636e-05,6.475454545454546e-05,6.874545454545455e-05,7.273636363636364e-05,7.672727272727273e-05,8.071818181818182e-05,8.470909090909092e-05,8.87e-05,8.953e-05,9.036e-05,9.119e-05,9.202e-05,9.285e-05,9.368e-05,9.451e-05,9.534e-05,9.617e-05,9.7e-05,9.783e-05,9.866e-05,9.949e-05,0.00010032,0.00010115,0.00010198,0.00010281,0.00010364,0.00010447,0.0001053,0.0001053,0.0001053,0.0001053,0.0001053,0.0001053,0.0001053,0.0001053,0.0001053,0.0001053,0.0001053,0.0001053,0.0001053,0.0001053,0.0001053,0.0001053,0.0001053,0.0001053,0.0001053,0.0001053,0.0001053
PD22,baseline,madagascar,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,0.0013097,0.0011922999999999,0.001256,0.0009922,0.0010561,0.0009701,0.000974,0.0009024,0.0009748,0.0010103,0.0010824272727272,0.0011545545454545,0.0012266818181818,0.001298809090909,0.0013709363636363,0.0014430636363636,0.0015151909090909,0.0015873181818181,0.0016594454545454,0.0017315727272727,0.0018037,0.001836095,0.00186849,0.001900885,0.00193328,0.001965675,0.00199807,0.002030465,0.00206286,0.002095255,0.00212765,0.002160045,0.00219244,0.002224835,0.00225723,0.002289625,0.00232202,0.002354415,0.00238681,0.002419205,0.0024516,0.0024516,0.0024516,0.0024516,0.0024516,0.0024516,0.0024516,0.0024516,0.0024516,0.0024516,0.0024516,0.0024516,0.0024516,0.0024516,0.0024516,0.0024516,0.0024516,0.0024516,0.0024516,0.0024516,0.0024516
PD22,baseline,madagascar,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0029708999999999,0.0059418,0.0089127,0.0118836,0.0148545,0.0178253999999999,0.0207962999999999,0.0237671999999999,0.0267380999999999,0.0297089999999999,0.0326798999999999,0.0356507999999999,0.0386216999999999,0.0415925999999999,0.0445634999999999,0.0475343999999999,0.0505052999999999,0.0534761999999999,0.0564470999999999,0.0594179999999999,0.0623889,0.0637306702845715,0.0648789639929105,0.0658692639929105,0.0663644139929105,0.0663644139929105,0.0663644139929105,0.0663644139929105,0.0663644139929105,0.0663644139929105,0.0663644139929105,0.0663644139929105,0.0663644139929105,0.0663644139929105,0.0663644139929105,0.0663644139929105,0.0663644139929105,0.0663644139929105,0.0663644139929105,0.0663644139929105,0.0663644139929105,0.0663644139929105,0.0663644139929105,0.0663644139929105,0.0663644139929105,0.0663644139929105,0.0663644139929105,0.0663644139929105,0.0663644139929105,0.0663644139929105
PD22,baseline,madagascar,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,0.3460614,0.3491089,0.3520091,0.3517452,0.3570738,0.3603884,0.3610973,0.3617964,0.3617672,0.3500039,0.356739509090909,0.3634751181818181,0.3702107272727272,0.3769463363636363,0.3836819454545455,0.3904175545454545,0.3971531636363636,0.4038887727272727,0.4106243818181818,0.4173599909090909,0.4240956,0.43001205,0.4359285,0.44184495,0.4477614,0.45367785,0.4595943,0.46551075,0.4714272,0.47734365,0.4832601,0.48917655,0.495093,0.5010094500000001,0.5069259,0.51284235,0.5187588000000001,0.52467525,0.5305917,0.5365081500000001,0.5424246,0.5424246,0.5424246,0.5424246,0.5424246,0.5424246,0.5424246,0.5424246,0.5424246,0.5424246,0.5424246,0.5424246,0.5424246,0.5424246,0.5424246,0.5424246,0.5424246,0.5424246,0.5424246,0.5424246,0.5424246
PD22,baseline,madagascar,Agriculture,Emissions,"Fertilized Soils, Addtl Emissions",EM,Emissions,NH3,IND,Mt,0.0125913812513,0.01273874779252,0.01294005451437,0.01279718253315,0.01342865115666,0.0136494023296,0.0140326224934156,0.0144252582559959,0.014827034775123,0.014827034775123,0.0093960758528489,0.0096448708135649,0.0098900673601372,0.0101316654925657,0.0103696652108505,0.0106040665149916,0.0107772530712008,0.0109475438514832,0.0111149388558388,0.0112794380842676,0.0114410415367697,0.0116579132988947,0.0118711576613753,0.0120807746242114,0.0122867641874033,0.0124891263509507,0.0126867260965059,0.0128807131829146,0.0130710876101769,0.0132578493782929,0.0134409984872625,0.0136157777627332,0.0137870082337466,0.0139546899003029,0.0141188227624023,0.0142794068200445,0.0145828234944186,0.0148806582890413,0.0151729112039126,0.0154595822390326,0.0157406713944012,0.0157849625615495,0.0159864102850031,0.0161832926663526,0.0163756097055977,0.0165633614027387,0.0167465477577754,0.0169251687707079,0.0170992244415362,0.0172687147702603,0.0174336397568801,0.0175939994013956,0.0177497937038071,0.0179010226641143,0.0180476862823172,0.0181897845584159,0.0183273174924105,0.0184602850843006,0.0185886873340868,0.0187125242417686,0.0188317958073463
PD22,baseline,madagascar,Agriculture,Emissions,"Fertilized Soils, Addtl Emissions",EM,Emissions,NOx,IND,Mt,0.00095905688943,0.00096322691107,0.00098380126356,0.00093347326087,0.00097499750672,0.00097138385047,0.0009986563910044,0.0010265990092728,0.0010551921456427,0.0010551921456427,0.0006686883513906,0.0006863942846676,0.0007038441304396,0.0007210378887066,0.0007379755594687,0.0007546571427259,0.0007669822702119,0.000779101314684,0.0007910142761422,0.0008027211545866,0.000814221950017,0.0008296560124224,0.0008448319245184,0.0008597496863051,0.0008744092977825,0.0008888107589505,0.0009028732942216,0.0009166787282169,0.0009302270609365,0.0009435182923804,0.0009565524225485,0.0009689908987168,0.0009811768179413,0.0009931101802219,0.0010047909855586,0.0010162192339515,0.0010378124180582,0.0010590083578231,0.0010798070532461,0.0011002085043271,0.0011202127110663,0.0011233647702882,0.0011377011537101,0.0011517126364891,0.0011653992186252,0.0011787609001184,0.0011917976809688,0.0012045095611762,0.0012168965407408,0.0012289586196625,0.0012406957979413,0.0012521080755772,0.0012631954525702,0.0012739579289203,0.0012843955046276,0.0012945081796919,0.0013042959541134,0.001313758827892,0.0013228968010277,0.0013317098735205,0.0013401980453704
PD22,baseline,madagascar,Agriculture,Emissions,Improved Rice,EM,Emissions,CH4,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
