model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
PD22,baseline,mexico,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2-landuse,AFOLU,Mt,-0.0005024116903805468,-0.0005629214068499941,-0.0006297665756769148,-0.000703568059396325,-0.0007317778140041634,-0.0007580429966747312,-0.0007823636074080284,-0.0008047396462040548,-0.0008251711130628109,-0.0008436580079842963,-0.0008602003309685108,-0.000874798082015455,-0.0008877542459074298,-0.0008991046130332676,-0.0009088891666880485,-0.000917152565536859,-0.000923944679400851,-0.0009293211837053809,-0.0009333442183220204,-0.0009360831169174702,-0.0009376152132786071,-0.000938026731395501,-0.000937413766329228,-0.0009358833630382375,-0.0009335547003476542,-0.0009305603870727288,-0.0009270478768924369,-0.0009231810078413374,-0.0009191416711625789,-0.0009151316126424385,-0.0009113743673106056,-0.0009081173254076434,-0.0009056339236429088,-0.0009042259508308347,-0.0009042259508308347,-0.0009042259508308344,-0.0009042259508308349,-0.0009042259508308349,-0.0009042259508308349,-0.0009042259508308347,-0.000904225950830834,-0.0009042259508308345,-0.0009042259508308347,-0.0009042259508308347,-0.0009042259508308344,-0.0009042259508308344,-0.0009042259508308344,-0.0009042259508308342,-0.0009042259508308341,-0.0009042259508308341,-0.0009042259508308347,-0.0009042259508308347,-0.0009042259508308347,-0.0009042259508308345,-0.0009042259508308345,-0.0009042259508308345,-0.0009042259508308345,-0.0009042259508308344,-0.0009042259508308342,-0.0009042259508308348,-0.0009042259508308348
PD22,baseline,mexico,Agriculture,Emissions,Biochar,EM,Emissions,CO2-landuse,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-3.3667827088921137e-09,-3.2545566185957098e-09,-3.142330528299306e-09,-3.0301044380029023e-09,-2.9178783477064984e-09,-2.8056522574100945e-09,-2.693426167113691e-09,-2.581200076817287e-09,-2.468973986520883e-09,-2.356747896224479e-09,-2.2445218059280757e-09,-2.132295715631672e-09,-2.0200696253352682e-09,-1.9078435350388643e-09,-1.7956174447424604e-09,-1.6833913544460568e-09,-1.571165264149653e-09,-1.4589391738532494e-09,-1.3467130835568455e-09,-1.2344869932604418e-09,-1.122260902964038e-09,-1.0100348126676341e-09,-8.978087223712302e-10,-7.855826320748266e-10,-6.73356541778423e-10,-5.611304514820192e-10,-4.489043611856151e-10,-3.366782708892115e-10,-2.244521805928078e-10,-1.1222609029640415e-10,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,mexico,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,0.02133,0.0184051,0.020657000000000002,0.021266200000000002,0.021223299999999997,0.0214465,0.0227288,0.021915700000000003,0.0212619,0.0201518,0.02027379090909091,0.02039578181818182,0.020517772727272728,0.020639763636363637,0.020761754545454546,0.020883745454545456,0.021005736363636365,0.021127727272727274,0.021249718181818183,0.021371709090909092,0.0214937,0.021469945,0.02144619,0.021422435,0.02139868,0.021374925,0.02135117,0.021327415,0.02130366,0.021279905,0.02125615,0.021232395,0.02120864,0.021184885,0.02116113,0.021137375,0.02111362,0.021089865,0.02106611,0.021042355,0.0210186,0.0210186,0.0210186,0.0210186,0.0210186,0.0210186,0.0210186,0.0210186,0.0210186,0.0210186,0.0210186,0.0210186,0.0210186,0.0210186,0.0210186,0.0210186,0.0210186,0.0210186,0.0210186,0.0210186,0.0210186
PD22,baseline,mexico,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,8.689504670000002e-07,7.498429708e-07,8.416091684e-07,8.662791907e-07,8.645507178000001e-07,8.736644840000001e-07,9.259900727000001e-07,8.928348198e-07,8.661220568000001e-07,8.210246274999999e-07,8.259814877999999e-07,8.309383480999999e-07,8.358952084e-07,8.408520686999999e-07,8.45808929e-07,8.507657892999999e-07,8.557226495999998e-07,8.606795098999999e-07,8.656363702e-07,8.705932304999999e-07,8.755500908e-07,8.745837173149999e-07,8.7361734383e-07,8.72650970345e-07,8.716845968599999e-07,8.70718223375e-07,8.6975184989e-07,8.687854764049999e-07,8.6781910292e-07,8.66852729435e-07,8.6588635595e-07,8.64919982465e-07,8.6395360898e-07,8.629872354950001e-07,8.6202086201e-07,8.61054488525e-07,8.600881150400001e-07,8.591217415550001e-07,8.581553680700001e-07,8.571889945850001e-07,8.562226211000001e-07,8.562226211000001e-07,8.562226211000001e-07,8.562226211000001e-07,8.562226211000001e-07,8.562226211000001e-07,8.562226211000001e-07,8.562226211000001e-07,8.562226211000001e-07,8.562226211000001e-07,8.562226211000001e-07,8.562226211000001e-07,8.562226211000001e-07,8.562226211000001e-07,8.562226211000001e-07,8.562226211000001e-07,8.562226211000001e-07,8.562226211000001e-07,8.562226211000001e-07,8.562226211000001e-07,8.562226211000001e-07
PD22,baseline,mexico,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,1.06843195305e-05,8.7779710557e-06,1.0350252859099999e-05,1.0289127771999999e-05,1.12269028872e-05,1.06789769779e-05,1.16612209868e-05,1.1335482412099998e-05,1.08134835963e-05,1.06481787335e-05,1.08464245757e-05,1.10446704179e-05,1.12429162601e-05,1.14411621023e-05,1.16394079445e-05,1.1837653786700002e-05,1.2035899628900001e-05,1.2234145471100001e-05,1.2432391313300001e-05,1.2630637155500003e-05,1.2828882997700001e-05,1.2937831787265001e-05,1.3046780576830002e-05,1.3155729366395002e-05,1.3264678155959999e-05,1.3373626945525e-05,1.348257573509e-05,1.3591524524655e-05,1.370047331422e-05,1.3809422103785001e-05,1.3918370893350001e-05,1.4027319682915e-05,1.413626847248e-05,1.4245217262045001e-05,1.4354166051610001e-05,1.4463114841175002e-05,1.4572063630740002e-05,1.4681012420304999e-05,1.478996120987e-05,1.4898909999435e-05,1.5007858789e-05,1.5007858789e-05,1.5007858789e-05,1.5007858789e-05,1.5007858789e-05,1.5007858789e-05,1.5007858789e-05,1.5007858789e-05,1.5007858789e-05,1.5007858789e-05,1.5007858789e-05,1.5007858789e-05,1.5007858789e-05,1.5007858789e-05,1.5007858789e-05,1.5007858789e-05,1.5007858789e-05,1.5007858789e-05,1.5007858789e-05,1.5007858789e-05,1.5007858789e-05
PD22,baseline,mexico,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2-landuse,AFOLU,Mt,-4.144777847471367e-06,-4.553494300359952e-06,-4.943407316841633e-06,-5.3145168969164075e-06,-5.102719948377073e-06,-4.89092299983774e-06,-4.679126051298407e-06,-4.467329102759073e-06,-4.2555321542197395e-06,-4.043735205680407e-06,-3.831938257141074e-06,-3.6201413086017396e-06,-3.408344360062407e-06,-3.1965474115230733e-06,-2.9847504629837397e-06,-2.772953514444407e-06,-2.5611565659050738e-06,-2.3493596173657398e-06,-2.1375626688264058e-06,-1.925765720287073e-06,-1.7139687717477394e-06,-1.5021718232084065e-06,-1.290374874669073e-06,-1.0786012067085923e-06,-8.817410925229245e-07,-7.015613536466238e-07,-5.400376122244977e-07,-3.9937825451355966e-07,-2.8205154610359987e-07,-1.8803436406906656e-07,-1.1282061844143993e-07,-5.641030922072003e-08,-1.8803436406906663e-08,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,mexico,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,2.1466727999999997,2.1640099,2.1078535,2.1351719,2.1659802,2.1992667000000004,2.2163209999999998,2.2454473,2.2759421000000004,2.3000969,2.3158018090909094,2.3315067181818185,2.3472116272727273,2.3629165363636364,2.3786214454545456,2.3943263545454547,2.410031263636364,2.425736172727273,2.4414410818181818,2.457145990909091,2.4728509,2.486086715,2.49932253,2.512558345,2.5257941600000002,2.539029975,2.55226579,2.565501605,2.57873742,2.591973235,2.60520905,2.618444865,2.63168068,2.644916495,2.65815231,2.671388125,2.68462394,2.697859755,2.71109557,2.724331385,2.7375672,2.7375672,2.7375672,2.7375672,2.7375672,2.7375672,2.7375672,2.7375672,2.7375672,2.7375672,2.7375672,2.7375672,2.7375672,2.7375672,2.7375672,2.7375672,2.7375672,2.7375672,2.7375672,2.7375672,2.7375672
PD22,baseline,mexico,Agriculture,Emissions,"Fertilized Soils, Addtl Emissions",EM,Emissions,NH3,IND,Mt,0.30154201766579003,0.30080274217130804,0.30729771034047004,0.33247280801505,0.33475965519503,0.30813107970239995,0.312048374453558,0.31590752280837103,0.319705162469482,0.319705162469482,0.2878205363353809,0.29159858404419603,0.2953095183912835,0.2989557340508039,0.3025372310227572,0.30605400930714355,0.30734538419832136,0.3085983902154156,0.3098130273584254,0.3109892956273524,0.31212719502219577,0.3155816335058972,0.31896808163170376,0.3222865393996161,0.32553700680963477,0.32871948386175864,0.329634224992578,0.3305095438897032,0.33134544055313453,0.3321419149828717,0.3328989671789154,0.3359871452644675,0.33900408167843027,0.34194977642080365,0.3448242294915875,0.34762744089078196,0.3502535852564075,0.3528099577471384,0.35529655836297397,0.35771338710391426,0.3600604439699593,0.362504884930598,0.3647619034718689,0.36694841523989863,0.3690644202346842,0.37110991845622926,0.3730849099045308,0.3749893945795895,0.3768233724814074,0.37858684360998196,0.3802798079653136,0.38190226554740453,0.3834542163562521,0.3849356603918567,0.38634659765422075,0.3876870281433407,0.38895695185921886,0.3901563688018558,0.39128527897124876,0.39234368236740136,0.3933315789903096
PD22,baseline,mexico,Agriculture,Emissions,"Fertilized Soils, Addtl Emissions",EM,Emissions,NOx,IND,Mt,8.781305165293067e-05,8.577761497498304e-05,8.978187435528761e-05,0.00011013885948466315,0.00011009537605395482,0.00010578948302576087,0.00010713439307827713,0.00010845933994754335,0.00010976316926867237,0.00010976316926867237,9.881634067074584e-05,0.0001001134435606855,0.00010138750467292411,0.00010263934616192174,0.00010386896802767836,0.00010507637027019404,0.00010551973314764897,0.00010594992298408025,0.00010636693977948759,0.00010677078353387152,0.0001071614542472318,0.0001083474536007797,0.00010951011008083566,0.00011064942368739988,0.00011176539442047252,0.00011285802228005325,0.0001131720769071465,0.00011347259684722846,0.00011375958210029919,0.00011403303266635867,0.00011429294854540704,0.00011535320109596954,0.00011638899451175533,0.00011740032879276443,0.00011838720393899674,0.0001193496199504524,0.00012025124420419163,0.00012112891394291742,0.0001219826291666295,0.00012281238987532793,0.00012361819606901268,0.00012445743677709942,0.00012523233045186669,0.0001259830173017392,0.00012670949732671588,0.00012741177052679798,0.00012808983690198452,0.0001287436964522757,0.0001293733491776722,0.0001299787950781732,0.00013056003415377876,0.00013111706640448972,0.00013164989183030512,0.00013215851043122512,0.00013264292220725057,0.0001331031271583802,0.00013353912528461483,0.00013395091658595465,0.00013433850106239875,0.00013470187871394832,0.00013504104954060203
PD22,baseline,mexico,Agriculture,Emissions,Improved Rice,EM,Emissions,CH4,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-3.928630233577389e-09,-3.797675892458143e-09,-3.6667215513388965e-09,-3.5357672102196506e-09,-3.404812869100404e-09,-3.2738585279811577e-09,-3.1429041868619115e-09,-3.011949845742665e-09,-2.8809955046234186e-09,-2.7500411635041724e-09,-2.619086822384926e-09,-2.48813248126568e-09,-2.3571781401464336e-09,-2.2262237990271874e-09,-2.0952694579079407e-09,-1.9643151167886945e-09,-1.8333607756694482e-09,-1.702406434550202e-09,-1.5714520934309557e-09,-1.4404977523117093e-09,-1.309543411192463e-09,-1.1785890700732168e-09,-1.0476347289539708e-09,-9.166803878347245e-10,-7.857260467154776e-10,-6.547717055962313e-10,-5.238173644769851e-10,-3.928630233577388e-10,-2.6190868223849254e-10,-1.3095434111924627e-10,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
