model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
PD22,baseline,mozambique,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.1357761384529543,0.2663515136497643,0.3914622821725786,0.5108610613855888,0.6243217001084371,0.7316439429334195,0.8326578019380444,0.9272274455110884,1.015254423117887,1.0966800677271205,1.171486953442216,1.239699332204165,1.3013825264913064,1.3566413100714911,1.4056173611184,1.448485916830741,1.4854517925186754,1.5167449487725484,1.5426157971980765,1.5633304291653438,1.5791659351416456,1.5904059572940394,1.5973365882998452,1.6002426977307866,1.6002426977307866,1.6002426977307866,1.6002426977307866,1.6002426977307866,1.6002426977307866,1.6002426977307866,1.6002426977307866,1.6002426977307866,1.6002426977307866,1.6002426977307866,1.6002426977307866,1.6002426977307866,1.6002426977307866,1.6002426977307866,1.6002426977307866,1.6002426977307866,1.6002426977307866,1.6002426977307866,1.6002426977307866,1.6002426977307866,1.6002426977307866,1.6002426977307866,1.6002426977307866,1.6002426977307866,1.6002426977307866,1.6002426977307866
PD22,baseline,mozambique,Agriculture,Emissions,Biochar,EM,Emissions,CO2,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,mozambique,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,0.0051112,0.0053368,0.0048838,0.0053507999999999,0.0052603,0.0046879999999999,0.0050641,0.005041,0.0097379,0.00827,0.0081038636363636,0.0079377272727272,0.0077715909090909,0.0076054545454545,0.0074393181818181,0.0072731818181818,0.0071070454545454,0.006940909090909,0.0067747727272727,0.0066086363636363,0.0064425,0.006471145,0.00649979,0.006528435,0.00655708,0.006585725,0.00661437,0.006643015,0.00667166,0.006700305,0.00672895,0.006757595,0.00678624,0.006814885,0.00684353,0.0068721749999999,0.00690082,0.006929465,0.00695811,0.006986755,0.0070154,0.0070154,0.0070154,0.0070154,0.0070154,0.0070154,0.0070154,0.0070154,0.0070154,0.0070154,0.0070154,0.0070154,0.0070154,0.0070154,0.0070154,0.0070154,0.0070154,0.0070154,0.0070154,0.0070154,0.0070154
PD22,baseline,mozambique,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,0.0001325,0.0001384,0.0001266,0.0001386999999999,0.0001364,0.0001215,0.0001313,0.0001307,0.0002525,0.0002144,0.0002100909090909,0.0002057818181818,0.0002014727272727,0.0001971636363636,0.0001928545454545,0.0001885454545454,0.0001842363636363,0.0001799272727272,0.0001756181818181,0.000171309090909,0.000167,0.000167745,0.00016849,0.000169235,0.00016998,0.000170725,0.00017147,0.000172215,0.00017296,0.000173705,0.00017445,0.000175195,0.00017594,0.000176685,0.00017743,0.000178175,0.00017892,0.000179665,0.00018041,0.000181155,0.0001819,0.0001819,0.0001819,0.0001819,0.0001819,0.0001819,0.0001819,0.0001819,0.0001819,0.0001819,0.0001819,0.0001819,0.0001819,0.0001819,0.0001819,0.0001819,0.0001819,0.0001819,0.0001819,0.0001819,0.0001819
PD22,baseline,mozambique,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,0.0008893999999999,0.0009142,0.0008752,0.0007253,0.0006179,0.0005012,0.000555,0.0005555,0.0012055,0.0010557,0.0010577545454545,0.001059809090909,0.0010618636363636,0.0010639181818181,0.0010659727272727,0.0010680272727272,0.0010700818181818,0.0010721363636363,0.0010741909090909,0.0010762454545454,0.0010783,0.00110082,0.00112334,0.00114586,0.00116838,0.0011909,0.00121342,0.00123594,0.00125846,0.00128098,0.0013035,0.00132602,0.00134854,0.00137106,0.00139358,0.0014161,0.00143862,0.00146114,0.00148366,0.00150618,0.0015287,0.0015287,0.0015287,0.0015287,0.0015287,0.0015287,0.0015287,0.0015287,0.0015287,0.0015287,0.0015287,0.0015287,0.0015287,0.0015287,0.0015287,0.0015287,0.0015287,0.0015287,0.0015287,0.0015287,0.0015287
PD22,baseline,mozambique,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0635510999999997,0.1271021999999999,0.1906532999999997,0.2542043999999999,0.3177554999999998,0.3813065999999997,0.4448576999999999,0.5084087999999998,0.5719598999999997,0.6355109999999997,0.6990620999999997,0.7626131999999998,0.8261642999999996,0.8897153999999997,0.9532664999999996,1.0168175999999998,1.0803686999999995,1.1439197999999997,1.2054917999999997,1.2607746599999996,1.3097683799999995,1.3524729599999996,1.3888883999999997,1.4190146999999995,1.4340778499999995,1.4340778499999995,1.4340778499999995,1.4340778499999995,1.4340778499999995,1.4340778499999995,1.4340778499999995,1.4340778499999995,1.4340778499999995,1.4340778499999995,1.4340778499999995,1.4340778499999995,1.4340778499999995,1.4340778499999995,1.4340778499999995,1.4340778499999995,1.4340778499999995,1.4340778499999995,1.4340778499999995,1.4340778499999995,1.4340778499999995,1.4340778499999995,1.4340778499999995,1.4340778499999995,1.4340778499999995,1.4340778499999995
PD22,baseline,mozambique,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,0.0679684,0.0723384,0.07954,0.084098,0.089325,0.0774836,0.0856277999999999,0.091695,0.0938832,0.0957433,0.0973364636363636,0.0989296272727272,0.1005227909090909,0.1021159545454545,0.1037091181818181,0.1053022818181818,0.1068954454545454,0.1084886090909091,0.1100817727272727,0.1116749363636363,0.1132681,0.116186855,0.11910561,0.122024365,0.12494312,0.127861875,0.13078063,0.133699385,0.13661814,0.139536895,0.14245565,0.145374405,0.14829316,0.151211915,0.15413067,0.157049425,0.15996818,0.162886935,0.16580569,0.168724445,0.1716432,0.1716432,0.1716432,0.1716432,0.1716432,0.1716432,0.1716432,0.1716432,0.1716432,0.1716432,0.1716432,0.1716432,0.1716432,0.1716432,0.1716432,0.1716432,0.1716432,0.1716432,0.1716432,0.1716432,0.1716432
PD22,baseline,mozambique,Agriculture,Emissions,"Fertilized Soils, Addtl Emissions",EM,Emissions,NH3,IND,Mt,0.00930000217,0.0093578912689999,0.01005768175,0.00862502767,0.011087830953,0.009407290794,0.0096673724886551,0.0099318431306266,0.0102011966572171,0.0102011966572171,0.0082826338513337,0.0085049472836382,0.0087211641457443,0.0089342078888746,0.0091440785130292,0.009350776018208,0.0095034937227026,0.0096536579019008,0.0098012685558026,0.009946325684408,0.0100888292877171,0.0102800690606323,0.0104681101548562,0.0106529525703887,0.0108345963072299,0.0110130413653797,0.0111872868738673,0.0113583467019878,0.0115262208497412,0.0116909093171276,0.0118524121041469,0.0120065342850328,0.01215752709328,0.0123053905288886,0.0124501245918586,0.0125917292821898,0.0128592852578384,0.0131219190739323,0.0133796307304715,0.013632420227456,0.0138802875648858,0.0139193439762166,0.0140969826715916,0.01427059560087,0.0144401827640515,0.0146057441611365,0.0147672797921247,0.0149247896570162,0.0150782737558111,0.0152277320885093,0.0153731646551108,0.0155145714556155,0.0156519524900237,0.0157853077583351,0.0159146372605498,0.0160399409966678,0.0161612189666892,0.0162784711706138,0.0163916976084418,0.0165008982801731,0.0166060731858077
PD22,baseline,mozambique,Agriculture,Emissions,"Fertilized Soils, Addtl Emissions",EM,Emissions,NOx,IND,Mt,0.00100198378,0.00103105888,0.000993087121,0.000881461072,0.001004118845,0.0008896536739999,0.0009142497708207,0.0009392609332741,0.0009647338733355,0.0009647338733355,0.0007832941276712,0.0008043184550955,0.0008247662258688,0.0008449139126948,0.0008647615155735,0.0008843090345049,0.0008987516482036,0.0009129527733364,0.0009269124099035,0.0009406305579049,0.0009541072173405,0.000972192888371,0.0009899760582551,0.0010074567269929,0.0010246348945842,0.0010415105610292,0.0010579890733021,0.0010741663136887,0.001090042282189,0.0011056169788029,0.0011208904035305,0.0011354658394847,0.0011497453286114,0.0011637288709107,0.0011774164663825,0.0011908081150269,0.0012161110595142,0.001240948512137,0.0012653204728952,0.0012892269417889,0.0013126679188181,0.0013163615093103,0.0013331609174976,0.0013495796063389,0.0013656175758342,0.0013812748259835,0.0013965513567869,0.0014114471682442,0.0014259622603556,0.001440096633121,0.0014538502865404,0.0014672232206138,0.0014802154353413,0.0014928269307227,0.0015050577067582,0.0015169077634477,0.0015283771007912,0.0015394657187887,0.0015501736174402,0.0015605007967457,0.0015704472567053
PD22,baseline,mozambique,Agriculture,Emissions,Improved Rice,EM,Emissions,CH4,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,mozambique,Agriculture,Emissions,Manure Management,EM,Emissions,CH4,AFOLU,Mt,0.0038762,0.0041296,0.0045199,0.0044194,0.0050682,0.0042285,0.0046542,0.0047737,0.0047982,0.0048041,0.0058422636363636,0.0068804272727272,0.0079185909090909,0.0089567545454545,0.0099949181818181,0.0110330818181818,0.0120712454545454,0.013109409090909,0.0141475727272727,0.0151857363636363,0.0162239,0.01673529,0.01724668,0.01775807,0.0182694599999999,0.0187808499999999,0.01929224,0.01980363,0.02031502,0.0208264099999999,0.0213377999999999,0.0218491899999999,0.0223605799999999,0.02287197,0.02338336,0.02389475,0.02440614,0.02491753,0.0254289199999999,0.0259403099999999,0.0264516999999999,0.0264516999999999,0.0264516999999999,0.0264516999999999,0.0264516999999999,0.0264516999999999,0.0264516999999999,0.0264516999999999,0.0264516999999999,0.0264516999999999,0.0264516999999999,0.0264516999999999,0.0264516999999999,0.0264516999999999,0.0264516999999999,0.0264516999999999,0.0264516999999999,0.0264516999999999,0.0264516999999999,0.0264516999999999,0.0264516999999999
PD22,baseline,mozambique,Agriculture,Emissions,Manure Management,EM,Emissions,N2O,AFOLU,Mt,0.0006349,0.0007056,0.0008072,0.0006718,0.0008782,0.0007454,0.0007955,0.0007915999999999,0.0007781,0.0007771,0.0012181636363636,0.0016592272727272,0.0021002909090909,0.0025413545454545,0.0029824181818181,0.0034234818181818,0.0038645454545454,0.004305609090909,0.0047466727272727,0.0051877363636363,0.0056288,0.0058125749999999,0.00599635,0.006180125,0.0063639,0.0065476749999999,0.00673145,0.006915225,0.0070989999999999,0.007282775,0.00746655,0.0076503249999999,0.0078341,0.008017875,0.00820165,0.008385425,0.0085691999999999,0.008752975,0.00893675,0.009120525,0.0093043,0.0093043,0.0093043,0.0093043,0.0093043,0.0093043,0.0093043,0.0093043,0.0093043,0.0093043,0.0093043,0.0093043,0.0093043,0.0093043,0.0093043,0.0093043,0.0093043,0.0093043,0.0093043,0.0093043,0.0093043
PD22,baseline,mozambique,Agriculture,Emissions,"Manure Management, Addtl Emissions",EM,Emissions,NH3,IND,Mt,0.0237294451,0.0242089604,0.025384529,0.0255575836999999,0.0285061253999998,0.0243971775,0.0250716819251261,0.0257575687906448,0.0264561190898093,0.0264561190898093,0.0214804551771036,0.0220570101478532,0.0226177540728374,0.0231702687266556,0.0237145541093081,0.0242506102207947,0.0246466733409357,0.0250361140645473,0.0254189323916294,0.0257951283221819,0.026164701856205,0.0266606693761894,0.0271483413376005,0.027627717740438,0.0280987985847023,0.0285615838703933,0.0290134779058004,0.0294571100929161,0.0298924804317403,0.0303195889222731,0.0307384355645144,0.0311381410999444,0.0315297308173985,0.0319132047168768,0.0322885627983796,0.0326558050619064,0.0333496935333087,0.0340308167141539,0.0346991746044421,0.0353547672041733,0.0359975945133475,0.0360988846956772,0.0365595787336138,0.0370098322172843,0.0374496451466879,0.0378790175218255,0.0382979493426966,0.0387064406093013,0.0391044913216396,0.0394921014797117,0.0398692710835173,0.0402360001330562,0.0405922886283292,0.0409381365693356,0.0412735439560756,0.0415985107885493,0.0419130370667567,0.0422171227906974,0.0425107679603721,0.0427939725757802,0.0430667366369221
PD22,baseline,mozambique,Agriculture,Emissions,"Manure Management, Addtl Emissions",EM,Emissions,NMVOC,IND,Mt,0.0050436075,0.0046904679999999,0.0041970659,0.0046441619,0.0053319147999999,0.0038189541,0.0039245360444607,0.0040318997121312,0.0041412456202409,0.0041412456202409,0.0033623919147395,0.0034526415745381,0.0035404162899275,0.0036269028559456,0.0037121012725924,0.0037960115398679,0.0038580083375106,0.0039189685140779,0.0039788920695697,0.0040377790039861,0.004095629317327,0.0041732644123667,0.0042496009818934,0.0043246390259073,0.0043983785444084,0.0044708195373966,0.0045415556944493,0.0046109986027479,0.0046791482622924,0.0047460046730827,0.0048115678351189,0.0048741347895678,0.0049354313537703,0.0049954575277265,0.0050542133114365,0.0051116987049001,0.005220314884899,0.0053269328805296,0.0054315526917919,0.0055341743186859,0.0056347977612117,0.0056506529787711,0.0057227666232705,0.0057932459804627,0.0058620910503474,0.005929301832925,0.0059948783281953,0.0060588205361582,0.0061211284568139,0.0061818020901623,0.0062408414362034,0.0062982464949372,0.0063540172663637,0.006408153750483,0.0064606559472949,0.0065115238567996,0.006560757478997,0.006608356813887,0.0066543218614699,0.0066986526217454,0.0067413490947137
PD22,baseline,mozambique,Agriculture,Emissions,"Manure Management, Addtl Emissions",EM,Emissions,NOx,IND,Mt,0.00167779343,0.00174597833,0.001885488474,0.001940184818,0.002118937,0.00175372052,0.0018022053191606,0.0018515083121178,0.0019017215793655,0.0019017215793655,0.001544060374321,0.0015855043603358,0.0016258118150695,0.0016655277324539,0.0017046521124889,0.0017431849551748,0.0017716548066978,0.0017996486264059,0.001827166414299,0.0018542081703772,0.0018807738946404,0.0019164250849082,0.0019514799729482,0.0019859385587605,0.0020198008423449,0.0020530668237016,0.0020855499190416,0.0021174391353199,0.0021487344725364,0.0021794359306913,0.0022095435097845,0.0022382751857926,0.0022664234797057,0.0022939883915238,0.0023209699212471,0.0023473680688754,0.0023972462341217,0.0024462068033882,0.0024942497766749,0.0025413751539817,0.0025875829353086,0.0025948638870182,0.0026279795450803,0.002660344714105,0.0026919593940924,0.0027228235850423,0.0027529372869549,0.00278230049983,0.0028109132236678,0.0028387754584682,0.0028658872042311,0.0028922484609567,0.0029178592286449,0.0029427195072957,0.0029668292969091,0.0029901885974851,0.0030127974090237,0.0030346557315249,0.0030557635649887,0.0030761209094151,0.0030957277648042
PD22,baseline,mozambique,Agriculture,Emissions,Manure applied to Soils,EM,Emissions,N2O,AFOLU,Mt,0.0005599,0.0006102999999999,0.0006861,0.0005925,0.0007478,0.0006324999999999,0.0006764,0.0006938,0.0006857,0.0006837,0.0010024818181818,0.0013212636363636,0.0016400454545454,0.0019588272727272,0.002277609090909,0.0025963909090909,0.0029151727272727,0.0032339545454545,0.0035527363636363,0.0038715181818181,0.0041903,0.004325735,0.00446117,0.004596605,0.00473204,0.004867475,0.00500291,0.005138345,0.00527378,0.005409215,0.00554465,0.005680085,0.00581552,0.005950955,0.00608639,0.006221825,0.00635726,0.006492695,0.0066281299999999,0.006763565,0.006899,0.006899,0.006899,0.006899,0.006899,0.006899,0.006899,0.006899,0.006899,0.006899,0.006899,0.006899,0.006899,0.006899,0.006899,0.006899,0.006899,0.006899,0.006899,0.006899,0.006899
PD22,baseline,mozambique,Agriculture,Emissions,Manure left on Pasture,EM,Emissions,N2O,AFOLU,Mt,0.0038022999999999,0.003988,0.0043419,0.0046125,0.0048959,0.004101,0.004564,0.004844,0.0049408,0.0049905,0.0050399636363636,0.0050894272727272,0.0051388909090909,0.0051883545454545,0.0052378181818181,0.0052872818181818,0.0053367454545454,0.005386209090909,0.0054356727272727,0.0054851363636363,0.0055346,0.00567162,0.00580864,0.00594566,0.00608268,0.0062197,0.00635672,0.00649374,0.00663076,0.00676778,0.0069048,0.00704182,0.00717884,0.00731586,0.00745288,0.0075899,0.00772692,0.00786394,0.00800096,0.00813798,0.008275,0.008275,0.008275,0.008275,0.008275,0.008275,0.008275,0.008275,0.008275,0.008275,0.008275,0.008275,0.008275,0.008275,0.008275,0.008275,0.008275,0.008275,0.008275,0.008275,0.008275
PD22,baseline,mozambique,Agriculture,Emissions,Nitrogen Fertilizer Management,EM,Emissions,N2O,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,mozambique,Agriculture,Emissions,Optimal Intensity,EM,Emissions,CO2,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0084621543253305,0.0168857692962326,0.0252662828486317,0.0335985960611001,0.0418770107750935,0.0500951601672088,0.0582459315276407,0.066321380433021,0.0743126354334409,0.0822097923037017,0.090001796839085,0.0976763151081026,0.1052195900113001,0.1126162829395518,0.1198492992816777,0.1268995965050354,0.1337459735308085,0.1403648401564675,0.1467299653516751,0.1528122033833252,0.1585791969254786,0.16399505659849,0.169020016779297,0.1736100680553175,0.1777165673841398,0.181285827898985,0.1842586913960212,0.1865700878842223,0.1881485881994951,0.1889159576045872,0.1889159576045872,0.1889159576045872,0.1889159576045872,0.1889159576045872,0.1889159576045872,0.1889159576045872,0.1889159576045872,0.1889159576045872,0.1889159576045872,0.1889159576045872,0.1889159576045872,0.1889159576045872,0.1889159576045872,0.1889159576045872,0.1889159576045872,0.1889159576045872,0.1889159576045872,0.1889159576045872,0.1889159576045872,0.1889159576045872
PD22,baseline,mozambique,Agriculture,Emissions,Rice Cultivation,EM,Emissions,CH4,AFOLU,Mt,0.0158615,0.0167145,0.025438,0.028259,0.026355,0.0164419,0.02289,0.02275,0.06087,0.0507361,0.0498567818181818,0.0489774636363636,0.0480981454545454,0.0472188272727272,0.046339509090909,0.0454601909090909,0.0445808727272727,0.0437015545454545,0.0428222363636363,0.0419429181818181,0.0410636,0.0416456299999999,0.04222766,0.04280969,0.04339172,0.04397375,0.0445557799999999,0.04513781,0.04571984,0.04630187,0.0468839,0.04746593,0.04804796,0.04862999,0.04921202,0.04979405,0.05037608,0.05095811,0.05154014,0.05212217,0.0527042,0.0527042,0.0527042,0.0527042,0.0527042,0.0527042,0.0527042,0.0527042,0.0527042,0.0527042,0.0527042,0.0527042,0.0527042,0.0527042,0.0527042,0.0527042,0.0527042,0.0527042,0.0527042,0.0527042,0.0527042
PD22,baseline,mozambique,Agriculture,Emissions,Synthetic Fertilizers,EM,Emissions,N2O,AFOLU,Mt,0.0009033,0.0006786,0.0004953,0.0005545,0.0006987,0.0002513,0.0003996,0.0004708,0.0005518999999999,0.0004741,0.0005102,0.0005463,0.0005824,0.0006185,0.0006546,0.0006907,0.0007268,0.0007629,0.000799,0.0008351,0.0008712,0.00091274,0.00095428,0.00099582,0.00103736,0.0010789,0.0011204399999999,0.00116198,0.00120352,0.00124506,0.0012866,0.00132814,0.0013696799999999,0.00141122,0.00145276,0.0014943,0.00153584,0.00157738,0.00161892,0.0016604599999999,0.001702,0.001702,0.001702,0.001702,0.001702,0.001702,0.001702,0.001702,0.001702,0.001702,0.001702,0.001702,0.001702,0.001702,0.001702,0.001702,0.001702,0.001702,0.001702,0.001702,0.001702
PD22,baseline,mozambique,Commercial,Biofuels and Waste,Charcoal,CHARCOAL,Final consumption,Commercial and public services,COMMPUB,Mt,0.19063296,0.189573888,0.1944986064,0.2023326648,0.2071070848,0.2118142599999999,0.2193793392,0.2256732407999999,0.2322949439999999,0.2391424055999999,0.246209096,0.2489085826986626,0.2515589832967492,0.2541602977942601,0.256712526191195,0.2592156684875563,0.2618756354157936,0.2644840051369616,0.2670407776510627,0.2695459529580922,0.2719995310580525,0.274341655494892,0.2766329356360569,0.2788733714815516,0.281062963031374,0.2832017102855219,0.2858922920435166,0.2885242025084426,0.2910974416802999,0.2936120095590885,0.2960679061448085,0.2984272797975728,0.3007284902329716,0.3029715374510049,0.3051564214516727,0.307283142234975,0.3093864644707608,0.3114311406465426,0.3134171707623239,0.315344554818103,0.3172132928138797,0.3189684723734154,0.3207036552312837,0.32238043345047,0.3239988070309724,0.3255587759727872,0.3270603402759219,0.3285034999403707,0.3298882549661375,0.3312146053532186,0.3324825511016158,0.333692092211331,0.3348432286823604,0.3359359605147077,0.3369702877083694,0.3379462102633471,0.3388637281796426,0.3397228414572527,0.3405235500961788,0.3412658540964211,0.341949753457981
PD22,baseline,mozambique,Commercial,Biofuels and Waste,Primary solid biofuels,PRIMSBIO,Final consumption,Commercial and public services,COMMPUB,Mt,0.25362,0.252211,0.250802,0.249393,0.2479839999999999,0.246575,0.245166,0.243771705,0.24236262,0.240953535,0.23954445,0.2400711816389402,0.2405750042052303,0.2410559176988702,0.2415139221198599,0.2419490174681994,0.2424375553419326,0.2429022530259666,0.2433431105203011,0.2437601278249362,0.2441533049398716,0.2445996713351111,0.2450212286164997,0.2454179767840382,0.2457899158377259,0.2461370457775634,0.2465370172348606,0.2469111711285498,0.2472595074586311,0.247582026225105,0.2478787274279708,0.2482277822231739,0.248549970177508,0.2488452912909733,0.2491137455635698,0.2493553329952979,0.2496486836088435,0.2499140752978716,0.250151508062382,0.2503609819023778,0.2505424968178538,0.2505718531138887,0.2506606668174445,0.2507220676383097,0.2507560555764796,0.2507626306319589,0.2507417928047429,0.2506935420948362,0.2506178785022342,0.2505148020269392,0.2503843126689536,0.250226410428275,0.2500410953049011,0.2498283672988344,0.2495882264100768,0.2493206726386241,0.2490257059844805,0.2487033264476419,0.2483535340281124,0.2479763287258879,0.2475717105409724
PD22,baseline,mozambique,Commercial,Electricity and Heat,Electricity,ELECTR,Final consumption,Commercial and public services,COMMPUB,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,mozambique,Commercial,Emissions,Addtl Emissions,EM,Emissions,BC,IND,Mt,4.56614673599075e-05,5.286512701423181e-05,0.00123458225081,0.0012601741696386,0.0012612102325509,0.0012879697037195,0.0018654465051971,0.0018456988539186,0.001824442973205,0.001824442973205,0.0014813157355421,0.0015210755983353,0.0015597451140806,0.0015978471302656,0.0016353816468902,0.0016723486639544,0.0016996616108773,0.0017265178700762,0.0017529174415511,0.0017788603253019,0.0018043465213287,0.0018385489851785,0.0018721793782155,0.0019052377004399,0.0019377239518516,0.0019696381324506,0.0020008012404913,0.0020313946024172,0.0020614182182285,0.0020908720879251,0.002119756211507,0.002147320343381,0.002174324799551,0.0022007695800169,0.0022266546847788,0.0022519801138367,0.002299831423454,0.0023468024246413,0.0023928931173988,0.0024381035017263,0.0024824335776239,0.00248941865963,0.0025211886254915,0.002552238599286,0.0025825685810135,0.0026121785706741,0.0026410685682677,0.0026692385737943,0.0026966885872539,0.0027234186086466,0.0027494286379723,0.002774718675231,0.0027992887204227,0.0028231387735475,0.0028462688346052,0.002868678903596,0.0028903689805198,0.0029113390653767,0.0029315891581665,0.0029511192588894,0.0029699293675453
