model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
PD22,baseline,myanmar,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2-landuse,AFOLU,Mt,-0.00012954869916699156,-0.00014560952451514496,-0.00016341796402424336,-0.0001831632466707484,-0.00019503749230136117,-0.00020625682264376437,-0.00021682123769795807,-0.0002267307374639422,-0.00023598532194171677,-0.00024458499113128187,-0.0002525297450326373,-0.0002598195836457832,-0.000266454642395374,-0.000272521538977351,-0.0002780305511084793,-0.00028299317111237047,-0.0002874222453167458,-0.0002913321317844522,-0.0002947388759677463,-0.0002976604062087016,-0.0003001167511858212,-0.00030213028159275536,-0.00030372597852755735,-0.0003049317312673047,-0.0003057786672993003,-0.00030630151767102294,-0.00030653902089943744,-0.00030653436883686374,-0.000306335698013324,-0.00030599663004889414,-0.0003055768647348991,-0.00030514282929605907,-0.0003047683871376881,-0.0003045356090174403,-0.0003045356090174403,-0.00030453560901744025,-0.00030453560901744036,-0.00030453560901744025,-0.0003045356090174404,-0.0003045356090174404,-0.0003045356090174404,-0.0003045356090174403,-0.00030453560901744047,-0.0003045356090174403,-0.00030453560901744036,-0.00030453560901744036,-0.00030453560901744047,-0.0003045356090174403,-0.00030453560901744036,-0.00030453560901744047,-0.0003045356090174403,-0.0003045356090174403,-0.00030453560901744036,-0.00030453560901744047,-0.0003045356090174403,-0.00030453560901744036,-0.00030453560901744036,-0.00030453560901744047,-0.0003045356090174403,-0.00030453560901744036,-0.00030453560901744036
PD22,baseline,myanmar,Agriculture,Emissions,Biochar,EM,Emissions,CO2-landuse,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-3.0460037841631135e-09,-2.94447032469101e-09,-2.8429368652189056e-09,-2.741403405746802e-09,-2.6398699462746985e-09,-2.538336486802595e-09,-2.436803027330491e-09,-2.335269567858387e-09,-2.233736108386283e-09,-2.1322026489141796e-09,-2.030669189442076e-09,-1.929135729969972e-09,-1.8276022704978682e-09,-1.7260688110257642e-09,-1.6245353515536607e-09,-1.5230018920815567e-09,-1.4214684326094528e-09,-1.3199349731373493e-09,-1.2184015136652455e-09,-1.1168680541931416e-09,-1.015334594721038e-09,-9.138011352489341e-10,-8.122676757768303e-10,-7.107342163047264e-10,-6.092007568326228e-10,-5.07667297360519e-10,-4.0613383788841517e-10,-3.046003784163114e-10,-2.0306691894420759e-10,-1.0153345947210379e-10,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,myanmar,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,0.013319800000000001,0.0127203,0.0118869,0.011918900000000001,0.011858,0.0117094,0.0116837,0.0120237,0.012401400000000002,0.0120532,0.012359645454545454,0.01266609090909091,0.012972536363636364,0.013278981818181818,0.013585427272727272,0.013891872727272728,0.014198318181818182,0.014504763636363636,0.014811209090909092,0.015117654545454546,0.0154241,0.015531415,0.01563873,0.015746045,0.01585336,0.015960675,0.01606799,0.016175305,0.01628262,0.016389935,0.016497249999999998,0.016604564999999998,0.01671188,0.016819195,0.01692651,0.017033825,0.01714114,0.017248455,0.01735577,0.017463085,0.0175704,0.0175704,0.0175704,0.0175704,0.0175704,0.0175704,0.0175704,0.0175704,0.0175704,0.0175704,0.0175704,0.0175704,0.0175704,0.0175704,0.0175704,0.0175704,0.0175704,0.0175704,0.0175704,0.0175704,0.0175704
PD22,baseline,myanmar,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,5.425833567e-07,5.182276022e-07,4.842866797999999e-07,4.85543751e-07,4.830296085999999e-07,4.770585204e-07,4.7595858309999995e-07,4.897863663e-07,5.051854885e-07,4.910434375e-07,5.035284400999999e-07,5.160134427e-07,5.284984453e-07,5.409834479e-07,5.534684504999999e-07,5.659534531e-07,5.784384556999999e-07,5.909234582999999e-07,6.034084608999999e-07,6.158934635e-07,6.283784660999999e-07,6.3274678852e-07,6.371151109399999e-07,6.4148343336e-07,6.458517557799999e-07,6.502200782e-07,6.5458840062e-07,6.5895672304e-07,6.6332504546e-07,6.6769336788e-07,6.720616902999999e-07,6.764300127199999e-07,6.807983351399999e-07,6.851666575599999e-07,6.895349799799999e-07,6.939033023999999e-07,6.9827162482e-07,7.026399472399999e-07,7.0700826966e-07,7.113765920799999e-07,7.157449145e-07,7.157449145e-07,7.157449145e-07,7.157449145e-07,7.157449145e-07,7.157449145e-07,7.157449145e-07,7.157449145e-07,7.157449145e-07,7.157449145e-07,7.157449145e-07,7.157449145e-07,7.157449145e-07,7.157449145e-07,7.157449145e-07,7.157449145e-07,7.157449145e-07,7.157449145e-07,7.157449145e-07,7.157449145e-07,7.157449145e-07
PD22,baseline,myanmar,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,1.4089254009600002e-05,1.30406994949e-05,1.2228945767499998e-05,1.2386865336999999e-05,1.24600897344e-05,1.2368952072399999e-05,1.22478018355e-05,1.2620209178500001e-05,1.30042444301e-05,1.25972676291e-05,1.30786973289e-05,1.35601270287e-05,1.4041556728500001e-05,1.4522986428299999e-05,1.50044161281e-05,1.54858458279e-05,1.5967275527700002e-05,1.64487052275e-05,1.6930134927299997e-05,1.7411564627099998e-05,1.78929943269e-05,1.808223068267e-05,1.827146703844e-05,1.846070339421e-05,1.864993974998e-05,1.883917610575e-05,1.902841246152e-05,1.921764881729e-05,1.940688517306e-05,1.9596121528830002e-05,1.97853578846e-05,1.997459424037e-05,2.0163830596140003e-05,2.0353066951910002e-05,2.054230330768e-05,2.073153966345e-05,2.092077601922e-05,2.111001237499e-05,2.1299248730759998e-05,2.148848508653e-05,2.16777214423e-05,2.16777214423e-05,2.16777214423e-05,2.16777214423e-05,2.16777214423e-05,2.16777214423e-05,2.16777214423e-05,2.16777214423e-05,2.16777214423e-05,2.16777214423e-05,2.16777214423e-05,2.16777214423e-05,2.16777214423e-05,2.16777214423e-05,2.16777214423e-05,2.16777214423e-05,2.16777214423e-05,2.16777214423e-05,2.16777214423e-05,2.16777214423e-05,2.16777214423e-05
PD22,baseline,myanmar,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2-landuse,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-6.933041871541488e-10,-6.701940475823439e-10,-6.470839080105391e-10,-6.23973768438734e-10,-6.00863628866929e-10,-5.777534892951242e-10,-5.54643349723319e-10,-5.315332101515141e-10,-5.084230705797092e-10,-4.853129310079041e-10,-4.622027914360992e-10,-4.390926518642943e-10,-4.159825122924893e-10,-3.928723727206843e-10,-3.6976223314887934e-10,-3.466520935770744e-10,-3.2354195400526953e-10,-3.004318144334645e-10,-2.7732167486165947e-10,-2.5421153528985454e-10,-2.311013957180496e-10,-2.0799125614624465e-10,-1.8488111657443967e-10,-1.6177097700263474e-10,-1.3866083743082973e-10,-1.155506978590248e-10,-9.244055828721984e-11,-6.933041871541487e-11,-4.622027914360992e-11,-2.311013957180496e-11,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,myanmar,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,0.8898832,0.9067293,0.960208,0.9915509,1.0279279,1.0767625,1.1191084,1.1568984,1.2098366,1.2644544000000002,1.2577699272727274,1.2510854545454546,1.244400981818182,1.2377165090909092,1.2310320363636365,1.2243475636363637,1.2176630909090909,1.210978618181818,1.2042941454545455,1.1976096727272727,1.1909252,1.20384753,1.2167698599999999,1.22969219,1.2426145199999998,1.25553685,1.26845918,1.28138151,1.29430384,1.3072261699999999,1.3201485,1.33307083,1.34599316,1.35891549,1.3718378199999999,1.38476015,1.39768248,1.41060481,1.42352714,1.43644947,1.4493718,1.4493718,1.4493718,1.4493718,1.4493718,1.4493718,1.4493718,1.4493718,1.4493718,1.4493718,1.4493718,1.4493718,1.4493718,1.4493718,1.4493718,1.4493718,1.4493718,1.4493718,1.4493718,1.4493718,1.4493718
PD22,baseline,myanmar,Agriculture,Emissions,"Fertilized Soils, Addtl Emissions",EM,Emissions,NH3,IND,Mt,0.214288245622785,0.215913634791707,0.217646853589845,0.219469369835228,0.221347151250901,0.223252540398547,0.225183930106373,0.22714342460961398,0.22910995256055,0.22910995256055,0.19923318309207838,0.20642946007559554,0.2135118164772791,0.22049531773018965,0.22737996383433026,0.23416575478969942,0.24019571613850962,0.24613483422217838,0.2519831090407087,0.2577405405940991,0.26340712888234813,0.2690181926571254,0.27453796890573556,0.27996645762817857,0.28530365882445435,0.29054957249456287,0.29576745886440026,0.30089323614669516,0.3059269043414489,0.31086846344865887,0.31571791346832767,0.3197986250540326,0.3237963098253026,0.3277109677821352,0.33154259892453286,0.3352912032524931,0.33852647231569954,0.34168469107072413,0.3447658595175683,0.34776997765622925,0.3506970454867086,0.3542267547657603,0.35720102157689854,0.3600952498267303,0.36290943951525195,0.36564359064246577,0.3682977032083694,0.3708717772129653,0.3733658126562511,0.37577980953822804,0.3781137678588957,0.38036768761825474,0.38254156881630563,0.3846354114530468,0.38664921552848003,0.3885829810426031,0.39043670799541824,0.3922103963869235,0.3939040462171186,0.39551765748600687,0.3970512301935853
PD22,baseline,myanmar,Agriculture,Emissions,"Fertilized Soils, Addtl Emissions",EM,Emissions,NOx,IND,Mt,0.00039910070525744955,0.0004029654504179777,0.0004112515402614017,0.0004364147849672459,0.0004724451205381331,0.0004835861917945093,0.00048776976521325266,0.0004920142162863417,0.0004962739024746973,0.0004962739024746973,0.00043155798414925146,0.00044714580310685465,0.00046248685927180347,0.0004776137858019939,0.0004925265826974326,0.0005072252499581163,0.000520286718553876,0.0005331514120152454,0.0005458193303422308,0.000558290473534829,0.0005705648415930371,0.0005827189382851361,0.0005946752975312974,0.0006064339193315209,0.0006179948036858067,0.0006293579505941544,0.0006406603877099945,0.0006517633077999822,0.0006626667108641202,0.0006733705969024028,0.0006838749659148358,0.0006927141745169862,0.0007013735391588498,0.0007098530598404208,0.0007181527365617046,0.0007262725693226963,0.0007332804691786782,0.000740121470754158,0.0007467955740491387,0.0007533027790636145,0.0007596430857975885,0.0007672887711069301,0.0007737313153127496,0.0007800004883981785,0.0007860962903632093,0.0007920187212078466,0.0007977677809320855,0.0008033434695359312,0.0008087457870193785,0.0008139747333824303,0.0008190303086250857,0.0008239125127473457,0.0008286213457492117,0.0008331568076306804,0.0008375188983917554,0.0008417076180324319,0.0008457229665527149,0.0008495649439525999,0.0008532335502320866,0.0008567287853911821,0.0008600506494298797
PD22,baseline,myanmar,Agriculture,Emissions,Improved Rice,EM,Emissions,CH4,AFOLU,Mt,-0.05340765844400852,-0.057405389307403694,-0.06140552557544494,-0.06536870743986946,-0.06925250845643698,-0.07301228133346174,-0.07660214869133598,-0.0799760949916919,-0.08308910592408338,-0.08437626100789983,-0.08548231423645002,-0.08640726560973386,-0.0871970744137081,-0.08785658365756674,-0.08839106990089889,-0.08880626432917423,-0.08910837054762562,-0.08930407786276005,-0.08940056864293497,-0.08940551818525548,-0.08932708538133767,-0.08917389238903137,-0.08895499150437876,-0.08867981751382054,-0.08835812401757011,-0.08799990257564624,-0.08761528405679714,-0.08721442227538961,-0.08680736087461244,-0.08458332828275575,-0.07882043627080873,-0.07326038307684328,-0.06791119761507824,-0.06277998899007518,-0.05787279128293897,-0.053194425496003214,-0.048748385088623225,-0.044536750722812476,-0.040560138564706014,-0.03681768484229515,-0.03325633297515058,-0.029876082963272318,-0.026676934806660342,-0.023658888505314665,-0.020821944059235282,-0.018166101468422197,-0.015691360732875404,-0.013397721852594907,-0.011285184827580709,-0.009353749657832802,-0.007603416343351193,-0.00603418488413588,-0.004646055280186861,-0.003439027531504137,-0.002413101638087709,-0.001568277599937576,-0.000904555417053739,-0.0004219350894361978,-0.00012041661708495129,-0.0,-0.0
