model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
PD22,baseline,nepal,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0061154666666666,0.0117470244003349,0.0173211127731057,0.0228309217307389,0.0282688380191109,0.0336263514032034,0.0388939501753803,0.0440610047899814,0.0491156383503653,0.0540445825571233,0.05883301760307,0.0634643943730577,0.0679202371765341,0.0721799251106443,0.0762204500251398,0.0800161489421183,0.0835384086798297,0.0867553403484382,0.0896314213367983,0.0921271024056995,0.0941983775604016,0.095796314512952,0.0968665437861852,0.0973487048845396,0.0973487048845396,0.0973487048845396,0.0973487048845396,0.0973487048845396,0.0973487048845396,0.0973487048845396,0.0973487048845396,0.0973487048845396,0.0973487048845396,0.0973487048845396,0.0973487048845396,0.0973487048845396,0.0973487048845396,0.0973487048845396,0.0973487048845396,0.0973487048845396,0.0973487048845396,0.0973487048845396,0.0973487048845396,0.0973487048845396,0.0973487048845396,0.0973487048845396,0.0973487048845396,0.0973487048845396,0.0973487048845396,0.0973487048845396
PD22,baseline,nepal,Agriculture,Emissions,Biochar,EM,Emissions,CO2,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,nepal,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,0.0054607,0.0056086,0.0055667,0.0053313,0.0056459,0.0054394,0.0053787,0.0056563,0.0056599,0.0056416,0.005712,0.0057824,0.0058528,0.0059232,0.0059936,0.006064,0.0061344,0.0062048,0.0062752,0.0063456,0.006416,0.006436135,0.00645627,0.006476405,0.00649654,0.006516675,0.00653681,0.006556945,0.00657708,0.006597215,0.00661735,0.006637485,0.00665762,0.006677755,0.00669789,0.006718025,0.00673816,0.006758295,0.0067784299999999,0.0067985649999999,0.0068187,0.0068187,0.0068187,0.0068187,0.0068187,0.0068187,0.0068187,0.0068187,0.0068187,0.0068187,0.0068187,0.0068187,0.0068187,0.0068187,0.0068187,0.0068187,0.0068187,0.0068187,0.0068187,0.0068187,0.0068187
PD22,baseline,nepal,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,0.0001416,0.0001454,0.0001443,0.0001382,0.0001464,0.0001409999999999,0.0001394,0.0001466,0.0001467,0.0001463,0.0001481181818181,0.0001499363636363,0.0001517545454545,0.0001535727272727,0.0001553909090909,0.000157209090909,0.0001590272727272,0.0001608454545454,0.0001626636363636,0.0001644818181818,0.0001663,0.000166825,0.00016735,0.000167875,0.0001684,0.000168925,0.00016945,0.000169975,0.0001705,0.000171025,0.00017155,0.000172075,0.0001726,0.000173125,0.00017365,0.000174175,0.0001747,0.000175225,0.00017575,0.000176275,0.0001768,0.0001768,0.0001768,0.0001768,0.0001768,0.0001768,0.0001768,0.0001768,0.0001768,0.0001768,0.0001768,0.0001768,0.0001768,0.0001768,0.0001768,0.0001768,0.0001768,0.0001768,0.0001768,0.0001768,0.0001768
PD22,baseline,nepal,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,0.002106,0.0022561,0.0024042,0.002225,0.0024174,0.0023474,0.0022131,0.0024591,0.0024771999999999,0.0025834,0.0026455181818181,0.0027076363636363,0.0027697545454545,0.0028318727272727,0.0028939909090909,0.002956109090909,0.0030182272727272,0.0030803454545454,0.0031424636363636,0.0032045818181818,0.0032667,0.00331713,0.00336756,0.00341799,0.00346842,0.00351885,0.00356928,0.00361971,0.00367014,0.00372057,0.003771,0.00382143,0.00387186,0.00392229,0.00397272,0.00402315,0.00407358,0.00412401,0.00417444,0.00422487,0.0042753,0.0042753,0.0042753,0.0042753,0.0042753,0.0042753,0.0042753,0.0042753,0.0042753,0.0042753,0.0042753,0.0042753,0.0042753,0.0042753,0.0042753,0.0042753,0.0042753,0.0042753,0.0042753,0.0042753,0.0042753
PD22,baseline,nepal,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,nepal,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,0.5393017999999999,0.5510179000000001,0.5616426,0.5706344,0.5681932000000001,0.5679645000000001,0.5734957,0.5762508000000001,0.5853417,0.591716,0.5896187363636364,0.5875214727272727,0.5854242090909091,0.5833269454545454,0.5812296818181818,0.5791324181818183,0.5770351545454546,0.574937890909091,0.5728406272727273,0.5707433636363637,0.5686461,0.572655635,0.5766651700000001,0.5806747050000001,0.5846842400000001,0.5886937750000001,0.5927033100000001,0.5967128450000001,0.6007223800000001,0.6047319150000001,0.6087414500000001,0.6127509850000001,0.61676052,0.620770055,0.62477959,0.6287891250000001,0.6327986600000001,0.6368081950000001,0.6408177300000001,0.6448272650000001,0.6488368000000001,0.6488368000000001,0.6488368000000001,0.6488368000000001,0.6488368000000001,0.6488368000000001,0.6488368000000001,0.6488368000000001,0.6488368000000001,0.6488368000000001,0.6488368000000001,0.6488368000000001,0.6488368000000001,0.6488368000000001,0.6488368000000001,0.6488368000000001,0.6488368000000001,0.6488368000000001,0.6488368000000001,0.6488368000000001,0.6488368000000001
PD22,baseline,nepal,Agriculture,Emissions,"Fertilized Soils, Addtl Emissions",EM,Emissions,NH3,IND,Mt,0.110251587493492,0.111495909389184,0.11281387069828,0.114185932424286,0.1155796417011,0.116970204555425,0.118352731110332,0.1197323983999539,0.121105690799684,0.121105690799684,0.1003312253213756,0.681432405544456,0.7048115644976163,0.7278643984107163,0.7505909072837658,0.7729910911167596,0.7928962493521928,0.8125015301153407,0.8318069334062118,0.850812459224802,0.8695181075711063,0.8880404671427955,0.9062614827177052,0.9241811542958344,0.941799481877184,0.9591164654617532,0.9763409297390606,0.993261338010633,1.0098776902764748,1.0261899865365776,1.0421982267909502,1.0556688288608371,1.0688653558938364,1.0817878078899386,1.094436184849152,1.1068104867714694,1.117490247206423,1.1279156613051855,1.1380867290677603,1.1480034504941394,1.1576658255843268,1.1693175456635054,1.17913572659128,1.1886896968325202,1.1979794563872146,1.207005005255371,1.215766343436981,1.2242634709320528,1.232496387740579,1.2404650938625628,1.2481695892980051,1.2556098740469055,1.2627859481092671,1.2696978114850832,1.2763454641743606,1.2827289061770926,1.2888481374932856,1.2947031581229334,1.300293968066036,1.305620567322603,1.3106829558926243
PD22,baseline,nepal,Agriculture,Emissions,"Fertilized Soils, Addtl Emissions",EM,Emissions,NOx,IND,Mt,0.0257999820385142,0.0279493697129888,0.0313338438156522,0.0325615162404128,0.0353788252065549,0.0346775581706126,0.0350874287458794,0.0354964516493939,0.0359035846219139,0.0359035846219139,0.0297446851156206,0.2020207793294183,0.2089518789856052,0.215786234726517,0.2225238465521567,0.2291647144625226,0.2350658948975574,0.2408781721924398,0.2466015463471725,0.2522360173617543,0.2577815852361836,0.2632728144252367,0.2686747057011229,0.2739872590638419,0.279210474513394,0.284344352049779,0.2894508008604326,0.2944671077424979,0.2993932726959762,0.304229295720865,0.3089751768171669,0.3129687373024812,0.3168810441636704,0.3207120974007317,0.3244618970136676,0.3281304430024759,0.3312966169451386,0.3343873861306474,0.3374027505590032,0.3403427102302037,0.3432072651442501,0.3466615909904698,0.3495723368641438,0.3524047535471797,0.3551588410395742,0.3578345993413295,0.3604320284524433,0.3629511283729179,0.3653918991027511,0.3677543406419438,0.3700384529904965,0.3722442361484088,0.3743716901156818,0.3764208148923134,0.3783916104783057,0.3802840768736567,0.3820982140783683,0.3838340220924386,0.3854915009158676,0.3870706505486582,0.3885714709908076
PD22,baseline,nepal,Agriculture,Emissions,Improved Rice,EM,Emissions,CH4,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,nepal,Agriculture,Emissions,Manure Management,EM,Emissions,CH4,AFOLU,Mt,0.0411195,0.0421646,0.0430144,0.0437132,0.0435294,0.0435544,0.0442119,0.044492,0.0453764,0.0458984,0.0457288636363636,0.0455593272727272,0.0453897909090909,0.0452202545454545,0.0450507181818181,0.0448811818181818,0.0447116454545454,0.044542109090909,0.0443725727272727,0.0442030363636363,0.0440334999999999,0.0443693349999999,0.0447051699999999,0.0450410049999999,0.0453768399999999,0.0457126749999999,0.04604851,0.046384345,0.04672018,0.047056015,0.04739185,0.047727685,0.04806352,0.048399355,0.04873519,0.049071025,0.04940686,0.049742695,0.05007853,0.050414365,0.0507502,0.0507502,0.0507502,0.0507502,0.0507502,0.0507502,0.0507502,0.0507502,0.0507502,0.0507502,0.0507502,0.0507502,0.0507502,0.0507502,0.0507502,0.0507502,0.0507502,0.0507502,0.0507502,0.0507502,0.0507502
PD22,baseline,nepal,Agriculture,Emissions,Manure Management,EM,Emissions,N2O,AFOLU,Mt,0.0005695,0.0006044,0.0006246,0.0006382,0.0006388,0.0006428,0.0006862,0.0006933,0.0007124,0.0007267,0.0007198727272727,0.0007130454545454,0.0007062181818181,0.0006993909090909,0.0006925636363636,0.0006857363636363,0.000678909090909,0.0006720818181818,0.0006652545454545,0.0006584272727272,0.0006516,0.00065889,0.00066618,0.00067347,0.00068076,0.00068805,0.00069534,0.00070263,0.00070992,0.00071721,0.0007245,0.00073179,0.00073908,0.00074637,0.00075366,0.00076095,0.00076824,0.00077553,0.0007828199999999,0.00079011,0.0007974,0.0007974,0.0007974,0.0007974,0.0007974,0.0007974,0.0007974,0.0007974,0.0007974,0.0007974,0.0007974,0.0007974,0.0007974,0.0007974,0.0007974,0.0007974,0.0007974,0.0007974,0.0007974,0.0007974,0.0007974
PD22,baseline,nepal,Agriculture,Emissions,"Manure Management, Addtl Emissions",EM,Emissions,NH3,IND,Mt,0.0679629714343145,0.0687300153869195,0.0695424532741006,0.0703882405685123,0.0712473721776005,0.0721045642207692,0.0729568024052206,0.0738072780375913,0.0746538239627406,0.0746538239627406,0.0618477099106525,0.4200589956599746,0.4344707347397926,0.4486813155426177,0.4626907380684559,0.4764990023173042,0.4887692446902779,0.5008546320008794,0.5127551642491144,0.5244708414349799,0.5360016635584731,0.5474195000095003,0.5586515773806755,0.5696978956719979,0.5805584548834681,0.5912332550150857,0.6018510229789176,0.6122813600848181,0.6225242663327901,0.6325797417228283,0.642447786254938,0.6507515410079731,0.6588863462308804,0.6668522019236544,0.6746491080862999,0.6822770647188126,0.6888604461454875,0.6952870395097501,0.7015568448116026,0.7076698620510401,0.713626091228065,0.7208086228986279,0.7268608962953321,0.7327503008957696,0.7384768366999331,0.7440405037078275,0.7494413019194477,0.7546792313347986,0.7597542919538758,0.764666483776681,0.7694158068032151,0.7740022610334776,0.7784258464674706,0.7826865631051898,0.7867844109466394,0.7907193899918155,0.7944915002407218,0.7981007416933545,0.8015471143497137,0.8048306182098053,0.8079512532736232
PD22,baseline,nepal,Agriculture,Emissions,"Manure Management, Addtl Emissions",EM,Emissions,NMVOC,IND,Mt,0.0049604437999999,0.0072431347,0.0081811075999999,0.0086475902,0.0086794063,0.0090312742,0.0091380191309301,0.0092445432978724,0.0093505752593098,0.0093505752593098,0.0077465779438726,0.0526134234494007,0.0544185292528306,0.0561984394867878,0.057953154151273,0.0596826732462859,0.0612195513145243,0.062733275831062,0.0642238467958997,0.065691264209037,0.0671355280704736,0.0685656401982476,0.0699724855439058,0.071356064107448,0.0727163758888743,0.0740534208881847,0.0753833224680589,0.0766897478714967,0.0779726970984983,0.0792321701490632,0.0804681670231921,0.0815082327509954,0.0825271371341732,0.0835248801727248,0.0845014618666509,0.0854568822159509,0.086281466948832,0.0870864135908621,0.0878717221420417,0.08863739260237,0.0893834249718473,0.0902830547479656,0.0910411168924319,0.0917787793191603,0.0924960420281501,0.0931929050194019,0.0938693682929149,0.0945254318486898,0.0951610956867261,0.095776359807024,0.0963712242095835,0.0969456888944046,0.0974997538614877,0.0980334191108321,0.0985466846424383,0.0990395504563059,0.0995120165524354,0.0999640829308262,0.1003957495914784,0.1008070165343927,0.1011978837595684
PD22,baseline,nepal,Agriculture,Emissions,"Manure Management, Addtl Emissions",EM,Emissions,NOx,IND,Mt,0.004070079234,0.0042163345019999,0.0043314706899999,0.0044230467299999,0.00444505136,0.00445721558,0.0045098975336968,0.0045624705334781,0.0046148006144867,0.0046148006144867,0.0038231778969919,0.025966365932706,0.0268572419633104,0.0277356831943158,0.0286016896257226,0.0294552612575306,0.0302137585325122,0.0309608288073733,0.0316964720821141,0.0324206883567345,0.0331334776312342,0.0338392825836585,0.0345336046532196,0.0352164438399176,0.0358878001437524,0.0365476735647241,0.03720402148534,0.0378487831804628,0.0384819586500926,0.0391035478942292,0.0397135509128728,0.0402268557980449,0.0407297168994419,0.0412221342170635,0.0417041077509099,0.042175637500981,0.042582595792473,0.0429798620734509,0.0433674363439148,0.0437453186038644,0.0441135088533,0.0445575042149231,0.0449316315336267,0.0452956909551859,0.0456496824796003,0.0459936061068702,0.0463274618369952,0.0466512496699756,0.0469649696058112,0.0472686216445021,0.0475622057860484,0.0478457220304499,0.0481191703777069,0.0483825508278191,0.0486358633807867,0.0488791080366095,0.0491122847952876,0.049335393656821,0.0495484346212096,0.0497514076884537,0.049944312858553
PD22,baseline,nepal,Agriculture,Emissions,Manure applied to Soils,EM,Emissions,N2O,AFOLU,Mt,0.0019365,0.0020399,0.0021033,0.0021478,0.0021423,0.0021519,0.0022653,0.0022825,0.0023304999999999,0.0023706,0.0023523454545454,0.0023340909090909,0.0023158363636363,0.0022975818181818,0.0022793272727272,0.0022610727272727,0.0022428181818181,0.0022245636363636,0.002206309090909,0.0021880545454545,0.0021698,0.00219129,0.00221278,0.00223427,0.00225576,0.0022772499999999,0.00229874,0.00232023,0.00234172,0.00236321,0.0023847,0.00240619,0.0024276799999999,0.00244917,0.00247066,0.00249215,0.00251364,0.00253513,0.00255662,0.00257811,0.0025996,0.0025996,0.0025996,0.0025996,0.0025996,0.0025996,0.0025996,0.0025996,0.0025996,0.0025996,0.0025996,0.0025996,0.0025996,0.0025996,0.0025996,0.0025996,0.0025996,0.0025996,0.0025996,0.0025996,0.0025996
PD22,baseline,nepal,Agriculture,Emissions,Manure left on Pasture,EM,Emissions,N2O,AFOLU,Mt,0.0086153999999999,0.0089262,0.0091738,0.0093718,0.0094464,0.009477,0.009855,0.0099402,0.0101832,0.0104555,0.0103609636363636,0.0102664272727272,0.0101718909090909,0.0100773545454545,0.0099828181818181,0.0098882818181818,0.0097937454545454,0.009699209090909,0.0096046727272727,0.0095101363636363,0.0094156,0.00950892,0.00960224,0.0096955599999999,0.00978888,0.0098822,0.00997552,0.0100688399999999,0.01016216,0.01025548,0.0103488,0.01044212,0.01053544,0.01062876,0.01072208,0.0108154,0.01090872,0.01100204,0.01109536,0.01118868,0.011282,0.011282,0.011282,0.011282,0.011282,0.011282,0.011282,0.011282,0.011282,0.011282,0.011282,0.011282,0.011282,0.011282,0.011282,0.011282,0.011282,0.011282,0.011282,0.011282,0.011282
