model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
PD22,baseline,panama,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0109727687655631,0.0218316386129669,0.0325634333165155,0.0431535016253127,0.0535855642913534,0.063841548242609,0.0739014075907201,0.0837429313850285,0.0933415383209783,0.1026700589961646,0.111698506797599,0.1203938391159836,0.1287197113338147,0.1366362269395566,0.1440996881924213,0.1510623530083529,0.1574722051557436,0.1632727464243919,0.1684028211307646,0.1727964850911026,0.1763829329468708,0.1790864993460203,0.1808267508122334,0.1815186859776584,0.1815186859776584,0.1815186859776584,0.1815186859776584,0.1815186859776584,0.1815186859776584,0.1815186859776584,0.1815186859776584,0.1815186859776584,0.1815186859776584,0.1815186859776584,0.1815186859776584,0.1815186859776584,0.1815186859776584,0.1815186859776584,0.1815186859776584,0.1815186859776584,0.1815186859776584,0.1815186859776584,0.1815186859776584,0.1815186859776584,0.1815186859776584,0.1815186859776584,0.1815186859776584,0.1815186859776584,0.1815186859776584,0.1815186859776584
PD22,baseline,panama,Agriculture,Emissions,Biochar,EM,Emissions,CO2,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,panama,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,0.0003421,0.0003579,0.0003493,0.0003559,0.0003315,0.0003821999999999,0.0003614,0.0003499,0.0003561,0.0003361,0.0003400909090909,0.0003440818181818,0.0003480727272727,0.0003520636363636,0.0003560545454545,0.0003600454545454,0.0003640363636363,0.0003680272727272,0.0003720181818181,0.000376009090909,0.00038,0.00038,0.00038,0.00038,0.00038,0.00038,0.00038,0.00038,0.00038,0.00038,0.00038,0.00038,0.00038,0.00038,0.00038,0.00038,0.00038,0.00038,0.00038,0.00038,0.00038,0.00038,0.00038,0.00038,0.00038,0.00038,0.00038,0.00038,0.00038,0.00038,0.00038,0.00038,0.00038,0.00038,0.00038,0.00038,0.00038,0.00038,0.00038,0.00038,0.00038
PD22,baseline,panama,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,8.9e-06,9.3e-06,9.1e-06,9.2e-06,8.6e-06,9.900000000000002e-06,9.4e-06,9.1e-06,9.2e-06,8.7e-06,8.809090909090909e-06,8.918181818181818e-06,9.027272727272728e-06,9.136363636363636e-06,9.245454545454546e-06,9.354545454545455e-06,9.463636363636364e-06,9.572727272727271e-06,9.681818181818184e-06,9.790909090909093e-06,9.900000000000002e-06,9.900000000000002e-06,9.900000000000002e-06,9.900000000000002e-06,9.900000000000002e-06,9.900000000000002e-06,9.900000000000002e-06,9.900000000000002e-06,9.900000000000002e-06,9.900000000000002e-06,9.900000000000002e-06,9.900000000000002e-06,9.900000000000002e-06,9.900000000000002e-06,9.900000000000002e-06,9.900000000000002e-06,9.900000000000002e-06,9.900000000000002e-06,9.900000000000002e-06,9.900000000000002e-06,9.900000000000002e-06,9.900000000000002e-06,9.900000000000002e-06,9.900000000000002e-06,9.900000000000002e-06,9.900000000000002e-06,9.900000000000002e-06,9.900000000000002e-06,9.900000000000002e-06,9.900000000000002e-06,9.900000000000002e-06,9.900000000000002e-06,9.900000000000002e-06,9.900000000000002e-06,9.900000000000002e-06,9.900000000000002e-06,9.900000000000002e-06,9.900000000000002e-06,9.900000000000002e-06,9.900000000000002e-06,9.900000000000002e-06
PD22,baseline,panama,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,9.65e-05,0.0001032,9.41e-05,0.000104,9.49e-05,0.0001001,0.0001081,0.0001058,0.0001107,0.0001017,0.0001040181818181,0.0001063363636363,0.0001086545454545,0.0001109727272727,0.0001132909090909,0.000115609090909,0.0001179272727272,0.0001202454545454,0.0001225636363636,0.0001248818181818,0.0001272,0.000128605,0.00013001,0.000131415,0.00013282,0.000134225,0.00013563,0.000137035,0.00013844,0.000139845,0.00014125,0.000142655,0.00014406,0.000145465,0.00014687,0.000148275,0.00014968,0.000151085,0.00015249,0.000153895,0.0001553,0.0001553,0.0001553,0.0001553,0.0001553,0.0001553,0.0001553,0.0001553,0.0001553,0.0001553,0.0001553,0.0001553,0.0001553,0.0001553,0.0001553,0.0001553,0.0001553,0.0001553,0.0001553,0.0001553,0.0001553
PD22,baseline,panama,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,panama,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,0.0973957,0.1022008,0.1019568,0.1017696,0.0964447,0.0910588,0.0917453,0.0899051,0.0918407,0.0882686,0.0897385636363636,0.0912085272727272,0.0926784909090909,0.0941484545454545,0.0956184181818181,0.0970883818181818,0.0985583454545454,0.1000283090909091,0.1014982727272727,0.1029682363636363,0.1044382,0.1055137199999999,0.10658924,0.10766476,0.10874028,0.1098157999999999,0.1108913199999999,0.11196684,0.11304236,0.1141178799999999,0.1151934,0.11626892,0.11734444,0.1184199599999999,0.1194954799999999,0.120571,0.12164652,0.1227220399999999,0.12379756,0.12487308,0.1259486,0.1259486,0.1259486,0.1259486,0.1259486,0.1259486,0.1259486,0.1259486,0.1259486,0.1259486,0.1259486,0.1259486,0.1259486,0.1259486,0.1259486,0.1259486,0.1259486,0.1259486,0.1259486,0.1259486,0.1259486
PD22,baseline,panama,Agriculture,Emissions,"Fertilized Soils, Addtl Emissions",EM,Emissions,NH3,IND,Mt,0.0059339198739999,0.0054949585539199,0.0053577130006999,0.0049390962272799,0.00506662267479,0.0051274836652999,0.0052074337833422,0.0052868788708502,0.0053657288836201,0.0053657288836201,0.0025986896123284,0.0025822985378367,0.0025653659969409,0.002548453130663,0.0025315599390027,0.0025146864219602,0.0024994458981908,0.0024842053744213,0.0024689648506519,0.0024537243268824,0.002438483803113,0.0024664876210918,0.0024939474850863,0.0025208633950966,0.0025472353511227,0.0025730633531645,0.0025999381170174,0.0026262482682394,0.0026519938068304,0.0026771747327905,0.0027017910461196,0.0027290956854152,0.0027557920484745,0.0027818801352975,0.0028073599458843,0.0028322314802347,0.0028510143005708,0.002869264961862,0.0028869834641083,0.0029041698073096,0.002920823991466,0.0029456026171588,0.0029637562486254,0.0029813396624513,0.0029983528586367,0.0030147958371814,0.0030306685980856,0.0030459711413491,0.003060703466972,0.0030748655749544,0.0030884574652961,0.0031014791379973,0.0031139305930578,0.0031258118304777,0.0031371228502571,0.0031478636523958,0.0031580342368939,0.0031676346037515,0.0031766647529684,0.0031851246845447,0.0031930143984804
PD22,baseline,panama,Agriculture,Emissions,"Fertilized Soils, Addtl Emissions",EM,Emissions,NOx,IND,Mt,0.0003883177328,0.00037148307378,0.00036170501637,0.0003436177013699,0.00034615969389,0.00035134030467,0.0003568185666528,0.0003622622234388,0.000367665105109,0.000367665105109,0.000178064809122,0.0001769416763182,0.0001757814416952,0.0001746225551967,0.0001734650168227,0.0001723088265731,0.0001712645306545,0.0001702202347359,0.0001691759388173,0.0001681316428986,0.00016708734698,0.0001690061965723,0.000170887773894,0.0001727320789451,0.0001745391117257,0.0001763088722357,0.000178150357911,0.0001799531557646,0.0001817172657965,0.0001834426880067,0.0001851294223953,0.0001870003635655,0.0001888296250401,0.0001906172068192,0.0001923631089027,0.0001940673312907,0.0001953543489099,0.0001966049024596,0.0001978189919397,0.0001989966173502,0.0002001377786913,0.0002018356348852,0.0002030795398543,0.0002042843729408,0.0002054501341448,0.0002065768234663,0.0002076644409052,0.0002087129864615,0.0002097224601353,0.0002106928619265,0.0002116241918352,0.0002125164498613,0.0002133696360049,0.0002141837502659,0.0002149587926443,0.0002156947631402,0.0002163916617535,0.0002170494884843,0.0002176682433325,0.0002182479262982,0.0002187885373813
PD22,baseline,panama,Agriculture,Emissions,Improved Rice,EM,Emissions,CH4,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
