model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
PD22,baseline,peru,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2-landuse,AFOLU,Mt,-3.0288158710358385e-05,-3.410120629693635e-05,-3.832891002548133e-05,-4.3016639608496784e-05,-4.245559331214489e-05,-4.185283253370637e-05,-4.120835727318121e-05,-4.0522167530569444e-05,-3.979426330587101e-05,-3.902464459908595e-05,-3.8213311410214274e-05,-3.7360263739255954e-05,-3.6465501586211006e-05,-3.552906059901806e-05,-3.457374122212194e-05,-3.3602248867016e-05,-3.261760866711207e-05,-3.162320217139205e-05,-3.062280886406786e-05,-2.962065240219696e-05,-2.8621452077409042e-05,-2.7630480054549238e-05,-2.6653624988957963e-05,-2.5697462674785953e-05,-2.4769334428443322e-05,-2.3877433962972672e-05,-2.3030903559405005e-05,-2.223994038812603e-05,-2.1515913874500715e-05,-2.0871495035307052e-05,-2.032079873190552e-05,-1.9879539787470432e-05,-1.9565203892776516e-05,-1.939723417028359e-05,-1.9397234170283595e-05,-1.9397234170283595e-05,-1.9397234170283598e-05,-1.9397234170283598e-05,-1.93972341702836e-05,-1.93972341702836e-05,-1.93972341702836e-05,-1.939723417028359e-05,-1.939723417028359e-05,-1.939723417028358e-05,-1.939723417028358e-05,-1.9397234170283585e-05,-1.9397234170283585e-05,-1.9397234170283588e-05,-1.9397234170283588e-05,-1.939723417028359e-05,-1.939723417028359e-05,-1.9397234170283595e-05,-1.9397234170283595e-05,-1.9397234170283585e-05,-1.9397234170283585e-05,-1.9397234170283588e-05,-1.9397234170283588e-05,-1.939723417028359e-05,-1.939723417028359e-05,-1.9397234170283595e-05,-1.9397234170283595e-05
PD22,baseline,peru,Agriculture,Emissions,Biochar,EM,Emissions,CO2-landuse,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-5.661500397150189e-10,-5.472783717245184e-10,-5.284067037340178e-10,-5.095350357435172e-10,-4.906633677530163e-10,-4.717916997625158e-10,-4.5292003177201526e-10,-4.3404836378151464e-10,-4.1517669579101397e-10,-3.963050278005133e-10,-3.7743335981001273e-10,-3.58561691819512e-10,-3.396900238290115e-10,-3.208183558385108e-10,-3.0194668784801014e-10,-2.8307501985750947e-10,-2.642033518670089e-10,-2.453316838765083e-10,-2.2646001588600763e-10,-2.0758834789550704e-10,-1.8871667990500636e-10,-1.6984501191450577e-10,-1.5097334392400507e-10,-1.321016759335045e-10,-1.1323000794300387e-10,-9.435833995250322e-11,-7.548667196200259e-11,-5.6615003971501934e-11,-3.774333598100133e-11,-1.8871667990500666e-11,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,peru,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,0.0022213,0.0021160000000000003,0.0022530000000000002,0.0022776000000000003,0.0021838,0.0022785,0.0021695000000000004,0.0021122000000000003,0.0021843,0.0021307,0.0022852454545454546,0.002439790909090909,0.0025943363636363637,0.002748881818181818,0.0029034272727272727,0.0030579727272727272,0.003212518181818182,0.0033670636363636363,0.003521609090909091,0.0036761545454545453,0.0038307000000000003,0.0039332,0.004035700000000001,0.0041382,0.0042407,0.0043432,0.0044457,0.0045482000000000005,0.0046507,0.0047532,0.0048557,0.0049582,0.0050607,0.0051632,0.0052657,0.0053682,0.0054707,0.0055732,0.0056757,0.0057782,0.0058807,0.0058807,0.0058807,0.0058807,0.0058807,0.0058807,0.0058807,0.0058807,0.0058807,0.0058807,0.0058807,0.0058807,0.0058807,0.0058807,0.0058807,0.0058807,0.0058807,0.0058807,0.0058807,0.0058807,0.0058807
PD22,baseline,peru,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,9.05091264e-08,8.62665111e-08,9.17661976e-08,9.270900099999999e-08,8.89377874e-08,9.28661349e-08,8.83092518e-08,8.61093772e-08,8.89377874e-08,8.673791279999999e-08,9.303755369999999e-08,9.933719460000001e-08,1.056368355e-07,1.1193647639999999e-07,1.1823611729999999e-07,1.2453575819999998e-07,1.308353991e-07,1.3713504e-07,1.434346809e-07,1.497343218e-07,1.560339627e-07,1.6021372444e-07,1.6439348617999998e-07,1.6857324792e-07,1.7275300966e-07,1.7693277139999998e-07,1.8111253314e-07,1.8529229488e-07,1.8947205662e-07,1.9365181835999998e-07,1.978315801e-07,2.0201134184e-07,2.0619110357999996e-07,2.1037086531999998e-07,2.1455062705999997e-07,2.187303888e-07,2.2291015053999999e-07,2.2708991227999995e-07,2.3126967401999997e-07,2.3544943575999996e-07,2.396291975e-07,2.396291975e-07,2.396291975e-07,2.396291975e-07,2.396291975e-07,2.396291975e-07,2.396291975e-07,2.396291975e-07,2.396291975e-07,2.396291975e-07,2.396291975e-07,2.396291975e-07,2.396291975e-07,2.396291975e-07,2.396291975e-07,2.396291975e-07,2.396291975e-07,2.396291975e-07,2.396291975e-07,2.396291975e-07,2.396291975e-07
PD22,baseline,peru,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,1.8312384706e-06,1.7600568139000003e-06,1.9495602973e-06,1.9660593568e-06,1.8841925949e-06,2.0034572249999997e-06,1.9299185597999998e-06,1.9275615512999995e-06,2.0831241123000002e-06,1.9877438349999995e-06,2.0253988313999997e-06,2.0630538278e-06,2.1007088241999996e-06,2.1383638206e-06,2.176018817e-06,2.2136738133999997e-06,2.2513288098e-06,2.2889838061999997e-06,2.3266388026e-06,2.364293799e-06,2.4019487953999998e-06,2.44473635637e-06,2.4875239173399996e-06,2.5303114783099997e-06,2.57309903928e-06,2.61588660025e-06,2.65867416122e-06,2.70146172219e-06,2.74424928316e-06,2.78703684413e-06,2.8298244050999998e-06,2.8726119660699995e-06,2.9153995270399996e-06,2.9581870880099997e-06,3.00097464898e-06,3.0437622099499995e-06,3.0865497709199993e-06,3.1293373318899994e-06,3.1721248928599995e-06,3.2149124538299996e-06,3.2577000147999998e-06,3.2577000147999998e-06,3.2577000147999998e-06,3.2577000147999998e-06,3.2577000147999998e-06,3.2577000147999998e-06,3.2577000147999998e-06,3.2577000147999998e-06,3.2577000147999998e-06,3.2577000147999998e-06,3.2577000147999998e-06,3.2577000147999998e-06,3.2577000147999998e-06,3.2577000147999998e-06,3.2577000147999998e-06,3.2577000147999998e-06,3.2577000147999998e-06,3.2577000147999998e-06,3.2577000147999998e-06,3.2577000147999998e-06,3.2577000147999998e-06
PD22,baseline,peru,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2-landuse,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-6.786561466015582e-11,-6.56034275048173e-11,-6.334124034947877e-11,-6.107905319414023e-11,-5.881686603880171e-11,-5.655467888346318e-11,-5.429249172812465e-11,-5.2030304572786134e-11,-4.9768117417447597e-11,-4.750593026210908e-11,-4.524374310677055e-11,-4.2981555951432016e-11,-4.071936879609349e-11,-3.8457181640754966e-11,-3.619499448541645e-11,-3.393280733007791e-11,-3.1670620174739386e-11,-2.940843301940086e-11,-2.714624586406233e-11,-2.4884058708723798e-11,-2.2621871553385274e-11,-2.0359684398046746e-11,-1.8097497242708224e-11,-1.5835310087369696e-11,-1.3573122932031168e-11,-1.1310935776692637e-11,-9.048748621354112e-12,-6.786561466015584e-12,-4.524374310677059e-12,-2.2621871553385337e-12,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,peru,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,0.5882761000000001,0.5957463000000001,0.5924489,0.5885828000000001,0.5890743,0.5878143,0.5900561,0.5924484,0.5968787999999999,0.6005372999999999,0.6025450454545453,0.6045527909090909,0.6065605363636363,0.6085682818181818,0.6105760272727272,0.6125837727272727,0.6145915181818181,0.6165992636363636,0.618607009090909,0.6206147545454546,0.6226225,0.624435905,0.62624931,0.628062715,0.6298761199999999,0.631689525,0.63350293,0.635316335,0.63712974,0.6389431449999999,0.64075655,0.642569955,0.64438336,0.646196765,0.6480101699999999,0.649823575,0.65163698,0.653450385,0.65526379,0.657077195,0.6588906,0.6588906,0.6588906,0.6588906,0.6588906,0.6588906,0.6588906,0.6588906,0.6588906,0.6588906,0.6588906,0.6588906,0.6588906,0.6588906,0.6588906,0.6588906,0.6588906,0.6588906,0.6588906,0.6588906,0.6588906
PD22,baseline,peru,Agriculture,Emissions,"Fertilized Soils, Addtl Emissions",EM,Emissions,NH3,IND,Mt,0.06711562458847,0.0698207244572701,0.0703407347608201,0.07821071427256,0.07588921094666991,0.08364097225976011,0.08470073694246,0.0857463547243006,0.08677858000003301,0.08677858000003301,0.07323499998591071,0.07275736407437333,0.0722802825035932,0.07180375527356996,0.07132778238430382,0.07085236383579475,0.07042295557012326,0.06999354730445179,0.0695641390387803,0.0691347307731088,0.06870532250743731,0.06949434203802347,0.07026803543280766,0.07102640269178986,0.07176944381497008,0.07249715880234832,0.07325436675077436,0.07399566649720575,0.07472105804164215,0.07543054138408369,0.07612411652453038,0.07689343639713248,0.07764561782701286,0.07838066081417157,0.07909856535860857,0.07979933146032389,0.08032854544449874,0.08084276562032439,0.08134199198780068,0.08182622454692791,0.08229546329770591,0.08299361165831451,0.08350509797739447,0.08400051817093913,0.0844798722389482,0.08494316018142224,0.08539038199836042,0.08582153768976317,0.08623662725563058,0.08663565069596282,0.08701860801075921,0.08738549920002019,0.0877363242637457,0.08807108320193614,0.0883897760145908,0.08869240270171014,0.08897896326329385,0.08924945769934253,0.08950388600985539,0.08974224819483279,0.08996454425427478
PD22,baseline,peru,Agriculture,Emissions,"Fertilized Soils, Addtl Emissions",EM,Emissions,NOx,IND,Mt,1.7633123074812063e-05,1.849209059419132e-05,1.8986193045483286e-05,1.9846161599592814e-05,2.034305743497721e-05,2.1468505592725484e-05,2.1740520173651896e-05,2.200890360572851e-05,2.227384952285858e-05,2.227384952285858e-05,1.8797557755521063e-05,1.867496079184301e-05,1.8552506113307342e-05,1.8430193719913972e-05,1.8308023611662947e-05,1.818599578855426e-05,1.8075777632259993e-05,1.7965559475965727e-05,1.7855341319671458e-05,1.774512316337719e-05,1.763490500708292e-05,1.783742620868435e-05,1.8036013581884584e-05,1.8230667126683607e-05,1.8421386843081428e-05,1.8608172731078046e-05,1.880252871040783e-05,1.8992801459781462e-05,1.917899097919886e-05,1.9361097268660055e-05,1.953912032816506e-05,1.9736585129701072e-05,1.9929650929844817e-05,2.0118317728596298e-05,2.0302585525955507e-05,2.0482454321922454e-05,2.0618290062135062e-05,2.0750277273932648e-05,2.0878415957315184e-05,2.1002706112282743e-05,2.112314773883528e-05,2.130234462738566e-05,2.143363012784192e-05,2.156079186339458e-05,2.1683829834043558e-05,2.1802744039789e-05,2.1917534480630704e-05,2.2028201156568765e-05,2.2134744067603214e-05,2.2237163213734094e-05,2.233545859496123e-05,2.2429630211284733e-05,2.2519678062704592e-05,2.2605602149220908e-05,2.2687402470833497e-05,2.2765079027542475e-05,2.283863181934777e-05,2.2908060846249532e-05,2.297336610824755e-05,2.303454760534193e-05,2.309160533753268e-05
PD22,baseline,peru,Agriculture,Emissions,Improved Rice,EM,Emissions,CH4,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-4.219185677252262e-09,-4.078546154677187e-09,-3.9379066321021106e-09,-3.797267109527035e-09,-3.656627586951961e-09,-3.5159880643768848e-09,-3.3753485418018095e-09,-3.2347090192267347e-09,-3.0940694966516586e-09,-2.9534299740765833e-09,-2.8127904515015085e-09,-2.6721509289264324e-09,-2.531511406351357e-09,-2.3908718837762823e-09,-2.2502323612012062e-09,-2.109592838626131e-09,-1.9689533160510553e-09,-1.8283137934759804e-09,-1.6876742709009048e-09,-1.5470347483258293e-09,-1.4063952257507542e-09,-1.2657557031756784e-09,-1.1251161806006031e-09,-9.844766580255274e-10,-8.438371354504526e-10,-7.031976128753767e-10,-5.625580903003016e-10,-4.2191856772522593e-10,-2.812790451501508e-10,-1.4063952257507513e-10,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
