model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
PD22,baseline,russia,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2-landuse,AFOLU,Mt,-0.0012008863190314497,-0.0013470048775876676,-0.0015088153159684397,-0.001687949498200498,-0.00177237529792965,-0.00185158099178043,-0.0019255665797528374,-0.0019943320618468732,-0.0020578774380625364,-0.002116202708399827,-0.0021693078728587454,-0.002217192931439292,-0.002260576274559506,-0.0022995429410134958,-0.0023341879768234977,-0.002364617598017969,-0.002390950484785008,-0.0024133192209029814,-0.002431871893580372,-0.0024467738701112397,-0.0024582097690529453,-0.0024663856449326092,-0.0024715314067530083,-0.0024739034917497264,-0.002473787816888009,-0.00247150303140011,-0.0024674040941511867,-0.002461886199656979,-0.002455389076002333,-0.0024484016765327467,-0.002441467284777484,-0.0024351890483315848,-0.002430235952043887,-0.0024273492334430952,-0.0024273492334430952,-0.0024273492334430957,-0.0024273492334430957,-0.0024273492334430957,-0.0024273492334430957,-0.002427349233443096,-0.002427349233443094,-0.002427349233443095,-0.0024273492334430952,-0.0024273492334430952,-0.0024273492334430952,-0.0024273492334430952,-0.0024273492334430952,-0.0024273492334430957,-0.002427349233443096,-0.002427349233443096,-0.002427349233443096,-0.002427349233443094,-0.002427349233443095,-0.0024273492334430952,-0.0024273492334430952,-0.002427349233443097,-0.002427349233443097,-0.0024273492334430974,-0.0024273492334430952,-0.0024273492334430957,-0.002427349233443096
PD22,baseline,russia,Agriculture,Emissions,Biochar,EM,Emissions,CO2-landuse,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-4.784738503737559e-09,-4.62524722027964e-09,-4.465755936821722e-09,-4.3062646533638026e-09,-4.146773369905884e-09,-3.987282086447966e-09,-3.827790802990047e-09,-3.6682995195321286e-09,-3.5088082360742103e-09,-3.3493169526162917e-09,-3.189825669158373e-09,-3.030334385700454e-09,-2.870843102242535e-09,-2.711351818784616e-09,-2.5518605353266982e-09,-2.3923692518687795e-09,-2.232877968410861e-09,-2.073386684952942e-09,-1.913895401495023e-09,-1.7544041180371052e-09,-1.5949128345791865e-09,-1.4354215511212676e-09,-1.2759302676633487e-09,-1.1164389842054302e-09,-9.569477007475113e-10,-7.974564172895932e-10,-6.379651338316743e-10,-4.784738503737557e-10,-3.189825669158375e-10,-1.5949128345791874e-10,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,russia,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,0.0264373,0.0314571,0.028496,0.0317908,0.0331295,0.0354445,0.0372984,0.037291,0.0352716,0.0368133,0.035462709090909095,0.03411211818181818,0.03276152727272727,0.031410936363636364,0.030060345454545456,0.028709754545454547,0.027359163636363638,0.02600857272727273,0.02465798181818182,0.02330739090909091,0.021956800000000002,0.021919485000000002,0.021882170000000003,0.021844855000000003,0.02180754,0.021770225,0.02173291,0.021695595,0.021658280000000002,0.021620965000000002,0.021583650000000003,0.021546335,0.02150902,0.021471705,0.02143439,0.021397075,0.021359760000000002,0.021322445,0.02128513,0.021247815,0.0212105,0.0212105,0.0212105,0.0212105,0.0212105,0.0212105,0.0212105,0.0212105,0.0212105,0.0212105,0.0212105,0.0212105,0.0212105,0.0212105,0.0212105,0.0212105,0.0212105,0.0212105,0.0212105,0.0212105,0.0212105
PD22,baseline,russia,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,1.0769957506e-06,1.2815840884e-06,1.1609052532e-06,1.2950976038000002e-06,1.3496230671e-06,1.4439034071e-06,1.5194848129999999e-06,1.5191705452e-06,1.4368323816e-06,1.4996859416e-06,1.4446747917e-06,1.3896636418e-06,1.3346524918999999e-06,1.279641342e-06,1.2246301921e-06,1.1696190422e-06,1.1146078923000001e-06,1.0595967424000001e-06,1.0045855925e-06,9.495744426e-07,8.945632927e-07,8.9303909387e-07,8.915148950400001e-07,8.899906962100001e-07,8.884664973800001e-07,8.869422985499999e-07,8.8541809972e-07,8.8389390089e-07,8.8236970206e-07,8.8084550323e-07,8.793213044000001e-07,8.777971055700001e-07,8.762729067400001e-07,8.747487079100001e-07,8.732245090800002e-07,8.717003102500002e-07,8.7017611142e-07,8.6865191259e-07,8.671277137600001e-07,8.656035149300001e-07,8.640793161000001e-07,8.640793161000001e-07,8.640793161000001e-07,8.640793161000001e-07,8.640793161000001e-07,8.640793161000001e-07,8.640793161000001e-07,8.640793161000001e-07,8.640793161000001e-07,8.640793161000001e-07,8.640793161000001e-07,8.640793161000001e-07,8.640793161000001e-07,8.640793161000001e-07,8.640793161000001e-07,8.640793161000001e-07,8.640793161000001e-07,8.640793161000001e-07,8.640793161000001e-07,8.640793161000001e-07,8.640793161000001e-07
PD22,baseline,russia,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,2.6694221199799995e-05,3.84017966871e-05,2.99490928044e-05,3.71860517028e-05,4.24102824761e-05,4.2325901571799996e-05,4.6766348451899997e-05,5.1763835007500006e-05,4.48266875903e-05,4.75322190805e-05,4.6894883982100005e-05,4.62575488837e-05,4.56202137853e-05,4.4982878686900006e-05,4.43455435885e-05,4.37082084901e-05,4.30708733917e-05,4.24335382933e-05,4.1796203194900004e-05,4.11588680965e-05,4.05215329981e-05,4.060757952174e-05,4.069362604538e-05,4.077967256902e-05,4.086571909266e-05,4.09517656163e-05,4.103781213994e-05,4.112385866358e-05,4.1209905187220004e-05,4.129595171086e-05,4.13819982345e-05,4.146804475814e-05,4.1554091281779995e-05,4.1640137805419997e-05,4.172618432906e-05,4.18122308527e-05,4.189827737634e-05,4.198432389998e-05,4.207037042362e-05,4.215641694726e-05,4.22424634709e-05,4.22424634709e-05,4.22424634709e-05,4.22424634709e-05,4.22424634709e-05,4.22424634709e-05,4.22424634709e-05,4.22424634709e-05,4.22424634709e-05,4.22424634709e-05,4.22424634709e-05,4.22424634709e-05,4.22424634709e-05,4.22424634709e-05,4.22424634709e-05,4.22424634709e-05,4.22424634709e-05,4.22424634709e-05,4.22424634709e-05,4.22424634709e-05,4.22424634709e-05
PD22,baseline,russia,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2-landuse,AFOLU,Mt,-0.00040048677279441703,-0.0004489038163728892,-0.0005024383136711786,-0.0004826149231895977,-0.000498107053169628,-0.000512369351805825,-0.0005254018190981887,-0.000537204455046719,-0.0005477772596514159,-0.0005571202329122797,-0.0005652333748293098,-0.0005721166854025067,-0.0005780109621372338,-0.000582944671655278,-0.0005869496210584226,-0.0005900613437056978,-0.0005923195279813944,-0.0005937684934508768,-0.0005944577191496878,-0.0005944424290998158,-0.0005937842404858089,-0.0005925518802399714,-0.0005908219760636999,-0.0005886799281297274,-0.0005862208678406401,-0.0005835507100284586,-0.0005807873048261821,-0.0005780616950731999,-0.0005755194844695867,-0.0005733223206943143,-0.0005716494962604777,-0.0005706996678933407,-0.0005706926925661972,-0.0005718715748825021,-0.0005718715748825023,-0.0005718715748825022,-0.0005718715748825023,-0.0005718715748825024,-0.0005718715748825026,-0.0005718715748825027,-0.0005718715748825028,-0.0005718715748825027,-0.0005718715748825028,-0.0005718715748825028,-0.000571871574882503,-0.0005718715748825031,-0.0005718715748825034,-0.000571871574882503,-0.0005718715748825032,-0.000571871574882503,-0.0005718715748825032,-0.0005718715748825031,-0.0005718715748825035,-0.0005718715748825032,-0.0005718715748825036,-0.0005718715748825035,-0.0005718715748825032,-0.0005718715748825035,-0.0005718715748825032,-0.0005718715748825036,-0.0005718715748825034
PD22,baseline,russia,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,1.7624745000000002,1.7110432000000002,1.7250741,1.7152858000000002,1.6877894,1.665143,1.6207638,1.5999097,1.5833705,1.5645634,1.6073690272727272,1.6501746545454545,1.6929802818181818,1.7357859090909091,1.7785915363636362,1.8213971636363637,1.8642027909090908,1.907008418181818,1.9498140454545454,1.9926196727272727,2.0354253,2.03648528,2.03754526,2.03860524,2.03966522,2.0407252,2.0417851799999998,2.0428451599999997,2.0439051399999997,2.0449651199999996,2.0460250999999996,2.04708508,2.04814506,2.04920504,2.05026502,2.051325,2.05238498,2.0534449599999998,2.0545049399999997,2.0555649199999997,2.0566248999999996,2.0566248999999996,2.0566248999999996,2.0566248999999996,2.0566248999999996,2.0566248999999996,2.0566248999999996,2.0566248999999996,2.0566248999999996,2.0566248999999996,2.0566248999999996,2.0566248999999996,2.0566248999999996,2.0566248999999996,2.0566248999999996,2.0566248999999996,2.0566248999999996,2.0566248999999996,2.0566248999999996,2.0566248999999996,2.0566248999999996
PD22,baseline,russia,Agriculture,Emissions,"Fertilized Soils, Addtl Emissions",EM,Emissions,NH3,IND,Mt,0.430911627779,0.437614385968,0.43629625123300003,0.44354933753,0.441520747277,0.468852278658,0.468796437433018,0.468584570217132,0.468213572178096,0.468213572178096,0.4294073061405431,0.4208699764088255,0.4124018599740341,0.40400490736715716,0.3956791185881943,0.38742449363714576,0.38734559691325077,0.38723902786606323,0.3871047864955762,0.38694287280179346,0.3867532867847179,0.3873487255486292,0.38790626938415923,0.3884259182913079,0.38890767227007533,0.3893515313204613,0.3885843752104867,0.38779455949981567,0.3869820841884544,0.38614694927639687,0.38528915476364906,0.3832985866539261,0.3813002598025204,0.37929417420943495,0.37728032987466364,0.37525872679820943,0.3727263016490253,0.3701931047488644,0.36765913609773276,0.36512439569562427,0.36258888354254504,0.36084721103639683,0.3585454899320682,0.3562395035814112,0.3539292519844259,0.3516147351411123,0.34929595305147043,0.34697290571550027,0.34464559313320176,0.342314015304575,0.3399781722296171,0.33763806390833384,0.33529369034072215,0.3329450515267822,0.33059214746651394,0.3282349781599174,0.32587354360699256,0.32350784380773945,0.32113787876215794,0.31876364847024824,0.31638515293200764
PD22,baseline,russia,Agriculture,Emissions,"Fertilized Soils, Addtl Emissions",EM,Emissions,NOx,IND,Mt,0.00019521992443485197,0.00022272769091194117,0.00021048118514890166,0.00022100546558201638,0.00022681526837842517,0.000243371261359182,0.0002433422753651319,0.00024323229959255272,0.00024303972238896022,0.00024303972238896022,0.000222896213774196,0.00021846466720819768,0.00021406904779482826,0.00020971036801330245,0.00020538862786362015,0.0002011038273457814,0.00020106287373184914,0.0002010075560025419,0.00020093787415785614,0.00020085382819779376,0.00020075541812235634,0.0002010644977400347,0.00020135390690512262,0.00020162364561762005,0.00020187371387752703,0.00020210411168484344,0.00020170589723939313,0.00020129592067641788,0.00020087418199592102,0.0002004406811978993,0.00019999541828235592,0.00019896215664807042,0.0001979248676157412,0.0001968835511853697,0.0001958382073569528,0.00019478883613049207,0.00019347430801383504,0.0001921593792976348,0.00019084404998189443,0.00018952832006661078,0.00018821218955178707,0.0001873081243397993,0.00018611334979362263,0.0001849163612486532,0.000183717158704891,0.00018251574216233602,0.00018131211162098835,0.00018010626708084794,0.00017889820854191473,0.00017768793600418884,0.0001764754494676687,0.00017526074893235732,0.00017404383439825313,0.00017282470586535623,0.00017160336333366658,0.0001703798068031842,0.00016915403627390903,0.00016792605174584116,0.0001666958532189805,0.00016546344069332712,0.00016422881416887965
PD22,baseline,russia,Agriculture,Emissions,Improved Rice,EM,Emissions,CH4,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.729994480753188e-09,-1.6723279980614151e-09,-1.6146615153696423e-09,-1.5569950326778695e-09,-1.4993285499860961e-09,-1.4416620672943235e-09,-1.3839955846025505e-09,-1.3263291019107773e-09,-1.2686626192190045e-09,-1.2109961365272315e-09,-1.153329653835459e-09,-1.0956631711436857e-09,-1.037996688451913e-09,-9.803302057601402e-10,-9.226637230683671e-10,-8.64997240376594e-10,-8.073307576848212e-10,-7.496642749930482e-10,-6.919977923012753e-10,-6.343313096095023e-10,-5.766648269177295e-10,-5.189983442259565e-10,-4.6133186153418353e-10,-4.036653788424107e-10,-3.4599889615063763e-10,-2.883324134588649e-10,-2.306659307670918e-10,-1.7299944807531882e-10,-1.1533296538354608e-10,-5.766648269177304e-11,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,russia,Agriculture,Emissions,Improved Rice,EM,Emissions,N2O,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.0117659826854994e-13,-1.9447071165959822e-13,-1.8776482505064662e-13,-1.8105893844169492e-13,-1.7435305183274323e-13,-1.6764716522379158e-13,-1.6094127861483993e-13,-1.5423539200588826e-13,-1.475295053969366e-13,-1.4082361878798492e-13,-1.341177321790333e-13,-1.274118455700816e-13,-1.2070595896112993e-13,-1.140000723521783e-13,-1.0729418574322661e-13,-1.0058829913427497e-13,-9.388241252532331e-14,-8.717652591637165e-14,-8.047063930741997e-14,-7.37647526984683e-14,-6.705886608951665e-14,-6.035297948056497e-14,-5.364709287161331e-14,-4.694120626266167e-14,-4.0235319653709984e-14,-3.352943304475834e-14,-2.682354643580666e-14,-2.0117659826854992e-14,-1.3411773217903352e-14,-6.705886608951676e-15,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,russia,Agriculture,Emissions,Manure Management,EM,Emissions,CH4,AFOLU,Mt,0.28635340000000004,0.2828795,0.28669290000000003,0.2926495,0.290337,0.2934703,0.2850179,0.2849589,0.28719920000000004,0.2862615,0.28937392727272726,0.2924863545454546,0.29559878181818183,0.2987112090909091,0.30182363636363635,0.30493606363636366,0.3080484909090909,0.3111609181818182,0.31427334545454544,0.31738577272727275,0.3204982,0.32067385000000004,0.3208495,0.32102515,0.3212008,0.32137645000000004,0.3215521,0.32172775,0.3219034,0.32207905000000003,0.3222547,0.32243035,0.322606,0.32278165000000003,0.3229573,0.32313295,0.3233086,0.32348425000000003,0.3236599,0.32383554999999997,0.3240112,0.3240112,0.3240112,0.3240112,0.3240112,0.3240112,0.3240112,0.3240112,0.3240112,0.3240112,0.3240112,0.3240112,0.3240112,0.3240112,0.3240112,0.3240112,0.3240112,0.3240112,0.3240112,0.3240112,0.3240112
PD22,baseline,russia,Agriculture,Emissions,Manure Management,EM,Emissions,N2O,AFOLU,Mt,2.53933096417e-05,2.48659682733e-05,2.51341958406e-05,2.5380424661900003e-05,2.51019833911e-05,2.50752706281e-05,2.4981147422e-05,2.48697394869e-05,2.4934950055399998e-05,2.48064145252e-05,2.5282044555599996e-05,2.5757674586e-05,2.62333046164e-05,2.6708934646799997e-05,2.7184564677199997e-05,2.76601947076e-05,2.8135824737999998e-05,2.8611454768399995e-05,2.9087084798799995e-05,2.95627148292e-05,3.0038344859599996e-05,3.0059345805334998e-05,3.0080346751069996e-05,3.0101347696804998e-05,3.012234864254e-05,3.0143349588274997e-05,3.016435053401e-05,3.0185351479745e-05,3.0206352425479996e-05,3.0227353371214997e-05,3.0248354316949996e-05,3.0269355262684997e-05,3.029035620842e-05,3.0311357154154997e-05,3.033235809989e-05,3.0353359045625e-05,3.0374359991359995e-05,3.0395360937094997e-05,3.0416361882830002e-05,3.0437362828564997e-05,3.04583637743e-05,3.04583637743e-05,3.04583637743e-05,3.04583637743e-05,3.04583637743e-05,3.04583637743e-05,3.04583637743e-05,3.04583637743e-05,3.04583637743e-05,3.04583637743e-05,3.04583637743e-05,3.04583637743e-05,3.04583637743e-05,3.04583637743e-05,3.04583637743e-05,3.04583637743e-05,3.04583637743e-05,3.04583637743e-05,3.04583637743e-05,3.04583637743e-05,3.04583637743e-05
PD22,baseline,russia,Agriculture,Emissions,"Manure Management, Addtl Emissions",EM,Emissions,NH3,IND,Mt,0.5526793114099999,0.54808947773,0.56051670993,0.57332069323,0.56966971007,0.578724903149999,0.578655975880175,0.57839445889588,0.577936519766684,0.577936519766684,0.5300362458926228,0.5194982458720409,0.5090456788553785,0.49868095246846733,0.4884040667113069,0.47821502158389734,0.4781176359019387,0.4779860930592998,0.4778203930559721,0.47762053589196024,0.4773865215672678,0.4781214977136196,0.47880969849008287,0.47945112389665745,0.48004577393334347,0.48059364860014064,0.4796467142123698,0.47867181008697496,0.4776689362239639,0.476638092623329,0.47557927928507776,0.47312223388090424,0.47065561152204105,0.4681794122084917,0.4656936359402487,0.4631982827173158,0.4600723994361443,0.45694556354893967,0.45381777505570936,0.45068903395644583,0.4475593402511567,0.44540951759203534,0.44256840241820344,0.4397220224640119,0.4368703777294606,0.43401346821454967,0.43115129391927914,0.428283854843649,0.4254111509876591,0.42253318235130966,0.41964994893459706,0.4167614507375284,0.41386768776009997,0.4109686600023119,0.4080643674641642,0.40515481014565685,0.4022399880467898,0.39931990116756316,0.3963945495079768,0.3934639330680309,0.3905280518477221
PD22,baseline,russia,Agriculture,Emissions,"Manure Management, Addtl Emissions",EM,Emissions,NMVOC,IND,Mt,0.17360810627999898,0.1738242681,0.17851510528,0.18218720664,0.18101402649000098,0.18540203765000002,0.185379955904069,0.185296175542269,0.185149468795747,0.185149468795747,0.16980399405998609,0.16642800891412962,0.16307939334045338,0.15975891865315625,0.15646658485223813,0.15320239193769908,0.15317119316989974,0.15312905171213495,0.15307596756440198,0.1530119407267023,0.15293697119903707,0.1531724303514186,0.15339290440666334,0.15359839336477127,0.15378889722574243,0.15396441598957672,0.15366105326221183,0.1533487300662032,0.1530274464015533,0.15269720226825975,0.1523579976663249,0.15157085126558628,0.150780636763053,0.14998735415872624,0.1491910034526036,0.14839158464468624,0.14739016734497995,0.14638844486556105,0.14538641720643192,0.14438408436759015,0.1433814463490382,0.14269272274406156,0.14178253460534543,0.14087065982587624,0.13995709840565398,0.1390418503446787,0.13812491564295035,0.13720629430046896,0.1362859863172345,0.135363991693247,0.13444031042850535,0.13351494252301177,0.1325878879767651,0.13165914678976542,0.13072871896201266,0.12979660449350686,0.128862803384248,0.1279273156342361,0.1269901412434711,0.1260512802119531,0.12511073253968102
