model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
PD22,baseline,ssudan,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.2384994115051868,0.4732594486716719,0.7038979423317904,0.9300012189091484,1.1511232141172951,1.3667849813694088,1.5764746997686787,1.7796482955367148,1.975730796441896,2.164118539653101,2.3441823477380543,2.515271773474354,2.6767204901120163,2.827852868483427,2.9679917353703407,3.0964672493172607,3.212626762481443,3.315845463545638,3.4055375222026,3.4811673866540414,3.54226082924595,3.5884152991827314,3.61930913171101,3.634709184731778,3.634709184731778,3.634709184731778,3.634709184731778,3.634709184731778,3.634709184731778,3.634709184731778,3.634709184731778,3.634709184731778,3.634709184731778,3.634709184731778,3.634709184731778,3.634709184731778,3.634709184731778,3.634709184731778,3.634709184731778,3.634709184731778,3.634709184731778,3.634709184731778,3.634709184731778,3.634709184731778,3.634709184731778,3.634709184731778,3.634709184731778,3.634709184731778,3.634709184731778,3.634709184731778
PD22,baseline,ssudan,Agriculture,Emissions,Biochar,EM,Emissions,CO2,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,ssudan,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,0.0007019999999999,0.0007371,0.0007722,0.0008694,0.0007506,0.0003595999999999,0.0002547,0.0002403,0.0002152,0.000227,0.000227,0.000227,0.000227,0.000227,0.000227,0.000227,0.000227,0.000227,0.000227,0.000227,0.000227,0.000227,0.000227,0.000227,0.000227,0.000227,0.000227,0.000227,0.000227,0.000227,0.000227,0.000227,0.000227,0.000227,0.000227,0.000227,0.000227,0.000227,0.000227,0.000227,0.000227,0.000227,0.000227,0.000227,0.000227,0.000227,0.000227,0.000227,0.000227,0.000227,0.000227,0.000227,0.000227,0.000227,0.000227,0.000227,0.000227,0.000227,0.000227,0.000227,0.000227
PD22,baseline,ssudan,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,1.8181818181818185e-05,1.9090909090909094e-05,2e-05,2.25e-05,1.95e-05,9.3e-06,6.6e-06,6.2e-06,5.6e-06,5.9e-06,5.9e-06,5.9e-06,5.9e-06,5.9e-06,5.9e-06,5.9e-06,5.9e-06,5.9e-06,5.9e-06,5.9e-06,5.9e-06,5.9e-06,5.9e-06,5.9e-06,5.9e-06,5.9e-06,5.9e-06,5.9e-06,5.9e-06,5.9e-06,5.9e-06,5.9e-06,5.9e-06,5.9e-06,5.9e-06,5.9e-06,5.9e-06,5.9e-06,5.9e-06,5.9e-06,5.9e-06,5.9e-06,5.9e-06,5.9e-06,5.9e-06,5.9e-06,5.9e-06,5.9e-06,5.9e-06,5.9e-06,5.9e-06,5.9e-06,5.9e-06,5.9e-06,5.9e-06,5.9e-06,5.9e-06,5.9e-06,5.9e-06,5.9e-06,5.9e-06
PD22,baseline,ssudan,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,0.0002715454545454,0.0002851227272727,0.0002987,0.000316,0.0003414,0.0002408,0.00021,0.0002011999999999,0.0001889,0.0002004,0.0002004,0.0002004,0.0002004,0.0002004,0.0002004,0.0002004,0.0002004,0.0002004,0.0002004,0.0002004,0.0002004,0.0002004,0.0002004,0.0002004,0.0002004,0.0002004,0.0002004,0.0002004,0.0002004,0.0002004,0.0002004,0.0002004,0.0002004,0.0002004,0.0002004,0.0002004,0.0002004,0.0002004,0.0002004,0.0002004,0.0002004,0.0002004,0.0002004,0.0002004,0.0002004,0.0002004,0.0002004,0.0002004,0.0002004,0.0002004,0.0002004,0.0002004,0.0002004,0.0002004,0.0002004,0.0002004,0.0002004,0.0002004,0.0002004,0.0002004,0.0002004
PD22,baseline,ssudan,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,ssudan,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,0.5672745454545454,0.5956382727272727,0.624002,0.6262150000000001,0.631707,0.6345305,0.6367827,0.6382181,0.6490814,0.6936346,0.6936346,0.6936346,0.6936346,0.6936346,0.6936346,0.6936346,0.6936346,0.6936346,0.6936346,0.6936346,0.6936346,0.6936346,0.6936346,0.6936346,0.6936346,0.6936346,0.6936346,0.6936346,0.6936346,0.6936346,0.6936346,0.6936346,0.6936346,0.6936346,0.6936346,0.6936346,0.6936346,0.6936346,0.6936346,0.6936346,0.6936346,0.6936346,0.6936346,0.6936346,0.6936346,0.6936346,0.6936346,0.6936346,0.6936346,0.6936346,0.6936346,0.6936346,0.6936346,0.6936346,0.6936346,0.6936346,0.6936346,0.6936346,0.6936346,0.6936346,0.6936346
PD22,baseline,ssudan,Agriculture,Emissions,"Fertilized Soils, Addtl Emissions",EM,Emissions,NH3,IND,Mt,0.01123950387554,0.0115776062034001,0.011898742794817,0.0126447537672357,0.0132738554515269,0.0128251282554661,0.0132342238606727,0.0136112540780972,0.0139671401800985,0.0139671401800985,0.0139130462118941,0.0142814442367652,0.0146445139838471,0.01500225545314,0.0153546686446439,0.0157017535583586,0.0159581959921526,0.0162103505652567,0.0164582172776708,0.0167017961293951,0.0169410871204295,0.0172622155250693,0.0175779727322356,0.0178883587419284,0.0181933735541478,0.0184930171688937,0.0187856089310742,0.0190728513224708,0.0193547443430833,0.0196312879929119,0.0199024822719564,0.0201612830920633,0.0204148290929049,0.0206631202744814,0.0209061566367929,0.021143938179839,0.0215932161846293,0.0220342289356959,0.0224669764330389,0.0228914586766584,0.0233076756665542,0.0233732589020415,0.0236715484784119,0.0239630780182882,0.0242478475216697,0.0245258569885572,0.0247971064189501,0.0250615958128487,0.0253193251702529,0.0255702944911629,0.0258145037755783,0.0260519530234993,0.0262826422349261,0.0265065714098585,0.0267237405482964,0.02693414965024,0.0271377987156894,0.0273346877446441,0.0275248167371047,0.0277081856930708,0.0278847946125426
PD22,baseline,ssudan,Agriculture,Emissions,"Fertilized Soils, Addtl Emissions",EM,Emissions,NOx,IND,Mt,0.0006932848433437,0.0007300858648393,0.0007422092500574,0.000816012598852,0.0008779067780541,0.0008249226611949,0.0008512360226372,0.0008754869123058,0.000898377795305,0.000898377795305,0.0008948984273551,0.0009185940873908,0.0009419470282734,0.000964957250003,0.0009876247525796,0.0010099495360031,0.001026444121532,0.0010426629083803,0.001058605896548,0.0010742730860351,0.0010896644768417,0.0011103197165293,0.0011306294764349,0.0011505937565585,0.0011702125569001,0.0011894858774598,0.0012083056171375,0.0012267812809437,0.0012449128688783,0.0012627003809412,0.0012801438171326,0.0012967900959837,0.0013130983805937,0.0013290686709625,0.0013447009670902,0.0013599952689768,0.0013888931949815,0.0014172594931568,0.0014450941635026,0.001472397206019,0.0014991686207058,0.0015033869876547,0.0015225732153668,0.0015413246320436,0.0015596412376851,0.0015775230322913,0.0015949700158621,0.0016119821883977,0.0016285595498979,0.0016447021003629,0.0016604098397925,0.0016756827681868,0.0016905208855459,0.0017049241918696,0.001718892687158,0.0017324263714111,0.0017455252446289,0.0017581893068114,0.0017704185579585,0.0017822129980704,0.001793572627147
PD22,baseline,ssudan,Agriculture,Emissions,Improved Rice,EM,Emissions,CH4,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
