model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
PD22,baseline,suriname,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0002997103823764,0.0005958738837273,0.0008880911785134,0.0011759208973097,0.0014588759048476,0.0017364194209192,0.0020079610238916,0.0022728525912887,0.0025303842493177,0.0027797804234599,0.003020196105279,0.0032507134761867,0.0034703390565149,0.0036780015769717,0.0038725507980365,0.0040527575291503,0.0042173151211391,0.0043648427190138,0.0044938905643578,0.0046029476228136,0.0046904517784342,0.0047548027789523,0.0047943780313876,0.0048075512345633,0.0048075512345633,0.0048075512345633,0.0048075512345633,0.0048075512345633,0.0048075512345633,0.0048075512345633,0.0048075512345633,0.0048075512345633,0.0048075512345633,0.0048075512345633,0.0048075512345633,0.0048075512345633,0.0048075512345633,0.0048075512345633,0.0048075512345633,0.0048075512345633,0.0048075512345633,0.0048075512345633,0.0048075512345633,0.0048075512345633,0.0048075512345633,0.0048075512345633,0.0048075512345633,0.0048075512345633,0.0048075512345633,0.0048075512345633
PD22,baseline,suriname,Agriculture,Emissions,Biochar,EM,Emissions,CO2,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,suriname,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,8.48e-05,8.98e-05,8.17e-05,9.19e-05,9.77e-05,9.33e-05,9.86e-05,9.35e-05,8.9e-05,9.5e-05,9.45e-05,9.4e-05,9.35e-05,9.3e-05,9.25e-05,9.2e-05,9.15e-05,9.1e-05,9.05e-05,8.999999999999999e-05,8.95e-05,8.981e-05,9.012e-05,9.043e-05,9.074e-05,9.105e-05,9.136e-05,9.167e-05,9.198e-05,9.229e-05,9.26e-05,9.291e-05,9.322e-05,9.353e-05,9.384e-05,9.415e-05,9.446e-05,9.477e-05,9.508e-05,9.539e-05,9.57e-05,9.57e-05,9.57e-05,9.57e-05,9.57e-05,9.57e-05,9.57e-05,9.57e-05,9.57e-05,9.57e-05,9.57e-05,9.57e-05,9.57e-05,9.57e-05,9.57e-05,9.57e-05,9.57e-05,9.57e-05,9.57e-05,9.57e-05,9.57e-05
PD22,baseline,suriname,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,2.2e-06,2.3e-06,2.1e-06,2.4e-06,2.5e-06,2.4e-06,2.6e-06,2.4e-06,2.3e-06,2.5e-06,2.481818181818182e-06,2.463636363636364e-06,2.4454545454545457e-06,2.427272727272728e-06,2.4090909090909094e-06,2.390909090909091e-06,2.3727272727272726e-06,2.3545454545454545e-06,2.3363636363636363e-06,2.318181818181818e-06,2.3e-06,2.31e-06,2.32e-06,2.33e-06,2.34e-06,2.35e-06,2.3600000000000003e-06,2.37e-06,2.38e-06,2.39e-06,2.4e-06,2.41e-06,2.42e-06,2.43e-06,2.4400000000000004e-06,2.4500000000000003e-06,2.46e-06,2.47e-06,2.48e-06,2.4900000000000003e-06,2.5e-06,2.5e-06,2.5e-06,2.5e-06,2.5e-06,2.5e-06,2.5e-06,2.5e-06,2.5e-06,2.5e-06,2.5e-06,2.5e-06,2.5e-06,2.5e-06,2.5e-06,2.5e-06,2.5e-06,2.5e-06,2.5e-06,2.5e-06,2.5e-06
PD22,baseline,suriname,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,5.35e-05,5.6e-05,5.23e-05,6.05e-05,6.4e-05,6.18e-05,6.450000000000001e-05,6.500000000000001e-05,6.15e-05,6.3e-05,6.22909090909091e-05,6.158181818181819e-05,6.087272727272727e-05,6.016363636363637e-05,5.945454545454545e-05,5.874545454545455e-05,5.803636363636364e-05,5.732727272727273e-05,5.661818181818182e-05,5.590909090909091e-05,5.52e-05,5.541e-05,5.562e-05,5.583e-05,5.604e-05,5.625e-05,5.646e-05,5.667e-05,5.688e-05,5.709e-05,5.73e-05,5.751e-05,5.772e-05,5.793e-05,5.814e-05,5.835e-05,5.856e-05,5.877e-05,5.898e-05,5.919e-05,5.94e-05,5.94e-05,5.94e-05,5.94e-05,5.94e-05,5.94e-05,5.94e-05,5.94e-05,5.94e-05,5.94e-05,5.94e-05,5.94e-05,5.94e-05,5.94e-05,5.94e-05,5.94e-05,5.94e-05,5.94e-05,5.94e-05,5.94e-05,5.94e-05
PD22,baseline,suriname,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,suriname,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,0.0034285,0.0032689,0.0033589,0.0027361,0.0021859,0.0022757,0.0021648,0.0021727,0.0020778,0.0021346,0.0022278727272727,0.0023211454545454,0.0024144181818181,0.0025076909090909,0.0026009636363636,0.0026942363636363,0.002787509090909,0.0028807818181818,0.0029740545454545,0.0030673272727272,0.0031606,0.003228275,0.0032959499999999,0.003363625,0.0034313,0.003498975,0.00356665,0.003634325,0.003702,0.003769675,0.00383735,0.003905025,0.0039727,0.004040375,0.00410805,0.004175725,0.0042434,0.004311075,0.00437875,0.004446425,0.0045141,0.0045141,0.0045141,0.0045141,0.0045141,0.0045141,0.0045141,0.0045141,0.0045141,0.0045141,0.0045141,0.0045141,0.0045141,0.0045141,0.0045141,0.0045141,0.0045141,0.0045141,0.0045141,0.0045141,0.0045141
PD22,baseline,suriname,Agriculture,Emissions,"Fertilized Soils, Addtl Emissions",EM,Emissions,NH3,IND,Mt,0.001003563602648,0.000761163133118,0.000703419062683,0.0005940663299949,0.000618146175559,0.000630286907918,0.0006356672289607,0.0006408931632292,0.0006459693539348,0.0006459693539348,0.0006392453047284,0.000635076170928,0.0006309118757938,0.0006267524193259,0.0006225978015243,0.000618448022389,0.0006146998525563,0.0006109516827236,0.000607203512891,0.0006034553430583,0.0005997071732257,0.0006065942768013,0.000613347603353,0.0006199671528806,0.0006264529253843,0.0006328049208639,0.000639414351134,0.0006458849237071,0.0006522166385833,0.0006584094957626,0.000664463495245,0.0006711786466957,0.0006777442020647,0.000684160161352,0.0006904265245576,0.0006965432916815,0.0007011626342724,0.0007056511006212,0.000710008690728,0.0007142354045926,0.0007183312422152,0.0007244251598995,0.0007288897632718,0.0007332141304821,0.0007373982615306,0.0007414421564172,0.000745345815142,0.0007491092377048,0.0007527324241057,0.0007562153743448,0.000759558088422,0.0007627605663373,0.0007658228080907,0.0007687448136822,0.0007715265831119,0.0007741681163796,0.0007766694134855,0.0007790304744295,0.0007812512992115,0.0007833318878318,0.0007852722402901
PD22,baseline,suriname,Agriculture,Emissions,"Fertilized Soils, Addtl Emissions",EM,Emissions,NOx,IND,Mt,8.126930774779979e-05,7.00735982777997e-05,6.57764445368001e-05,6.379489877349991e-05,6.69442400549997e-05,6.650536076779979e-05,6.707307078604879e-05,6.76244905276144e-05,6.816010992563019e-05,6.816010992563019e-05,6.745061507071832e-05,6.701070469973098e-05,6.65713048855135e-05,6.613241562806562e-05,6.569403692738748e-05,6.525616878347904e-05,6.486067685145795e-05,6.446518491943687e-05,6.40696929874158e-05,6.36742010553947e-05,6.327870912337363e-05,6.400540882503383e-05,6.471799290866029e-05,6.541646137425305e-05,6.610081422181206e-05,6.677105145133739e-05,6.746845217322718e-05,6.815120118474057e-05,6.881929848587727e-05,6.94727440766374e-05,7.011153795702096e-05,7.082009395624428e-05,7.151286517355795e-05,7.218985160896193e-05,7.285105326245624e-05,7.349647013404088e-05,7.39838847410387e-05,7.445748980894183e-05,7.491728533775012e-05,7.536327132746382e-05,7.57954477780828e-05,7.643845366792675e-05,7.690954080971467e-05,7.736583079100052e-05,7.780732361178407e-05,7.823401927206578e-05,7.864591777184495e-05,7.904301911112194e-05,7.942532328989688e-05,7.979283030816987e-05,8.01455401659403e-05,8.048345286320853e-05,8.080656839997459e-05,8.111488677623881e-05,8.140840799200054e-05,8.168713204726015e-05,8.195105894201745e-05,8.220018867627293e-05,8.24345212500259e-05,8.265405666327665e-05,8.285879491602524e-05
PD22,baseline,suriname,Agriculture,Emissions,Improved Rice,EM,Emissions,CH4,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
