model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
PD22,baseline,uganda,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2,AFOLU,Mt,-0.384549541571424,-0.4118724396165735,-0.4389457880925487,-0.4654830852608399,-0.4854110590436155,-0.5039625540970116,-0.5211375704210282,-0.5369361080156652,-0.5513581668809229,-0.564403747016801,-0.5760728484232995,-0.5863654711004186,-0.5956246781103957,-0.6038861015577528,-0.6111884435922967,-0.6175735965695166,-0.6230867327393613,-0.6277763539515113,-0.6316942907565486,-0.634895639372744,-0.637438624411136,-0.6393843751650247,-0.6407966038489519,-0.6417411755965134,-0.642285562461214,-0.6424981772351445,-0.6404540262695027,-0.5989801462763882,-0.5587534454774568,-0.5198371844089186,-0.4822906745658136,-0.4461681344414248,-0.411517571141994,-0.3783797322427145,-0.3467871735133351,-0.316571093513335,-0.2877314922427145,-0.2602683697014736,-0.234181725889612,-0.20947156080713,-0.1861378744540275,-0.1641806668303045,-0.1435999379359611,-0.1243956877709971,-0.1065679163354126,-0.0901166236292076,-0.0750418096523821,-0.0613434744049361,-0.0490216178868697,-0.0380762400981827,-0.0285073410388752,-0.0203149207089472,-0.0134989791083988,-0.0080595162372298,-0.0039965320954404,-0.0013100266830304,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,uganda,Agriculture,Emissions,Biochar,EM,Emissions,CO2,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0429607844291838e-06,-1.008195424948211e-06,-9.734300654672382e-07,-9.386647059862652e-07,-9.038993465052926e-07,-8.691339870243199e-07,-8.34368627543347e-07,-7.996032680623742e-07,-7.648379085814016e-07,-7.300725491004287e-07,-6.953071896194558e-07,-6.60541830138483e-07,-6.257764706575103e-07,-5.910111111765374e-07,-5.562457516955646e-07,-5.214803922145919e-07,-4.867150327336191e-07,-4.519496732526463e-07,-4.171843137716735e-07,-3.824189542907008e-07,-3.476535948097279e-07,-3.128882353287551e-07,-2.781228758477823e-07,-2.433575163668096e-07,-2.0859215688583677e-07,-1.738267974048639e-07,-1.3906143792389118e-07,-1.0429607844291849e-07,-6.953071896194559e-08,-3.476535948097272e-08,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,uganda,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,0.0030198,0.0030993,0.0031874,0.0032149,0.003262,0.0033103,0.0028175,0.002979,0.0030809,0.0028238,0.0028340363636363,0.0028442727272727,0.002854509090909,0.0028647454545454,0.0028749818181818,0.0028852181818181,0.0028954545454545,0.0029056909090909,0.0029159272727272,0.0029261636363636,0.0029364,0.002958575,0.00298075,0.003002925,0.0030251,0.003047275,0.00306945,0.003091625,0.0031138,0.003135975,0.00315815,0.003180325,0.0032025,0.003224675,0.00324685,0.003269025,0.0032912,0.003313375,0.00333555,0.003357725,0.0033799,0.0033799,0.0033799,0.0033799,0.0033799,0.0033799,0.0033799,0.0033799,0.0033799,0.0033799,0.0033799,0.0033799,0.0033799,0.0033799,0.0033799,0.0033799,0.0033799,0.0033799,0.0033799,0.0033799,0.0033799
PD22,baseline,uganda,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,7.829999999999999e-05,8.04e-05,8.26e-05,8.33e-05,8.46e-05,8.58e-05,7.3e-05,7.72e-05,7.99e-05,7.32e-05,7.346363636363637e-05,7.372727272727273e-05,7.399090909090909e-05,7.425454545454546e-05,7.451818181818183e-05,7.478181818181818e-05,7.504545454545455e-05,7.530909090909092e-05,7.557272727272729e-05,7.583636363636364e-05,7.61e-05,7.667500000000001e-05,7.725000000000001e-05,7.782500000000001e-05,7.840000000000001e-05,7.897500000000001e-05,7.955000000000001e-05,8.012500000000001e-05,8.070000000000001e-05,8.127500000000001e-05,8.185000000000001e-05,8.242500000000001e-05,8.3e-05,8.3575e-05,8.415e-05,8.4725e-05,8.53e-05,8.5875e-05,8.645e-05,8.7025e-05,8.76e-05,8.76e-05,8.76e-05,8.76e-05,8.76e-05,8.76e-05,8.76e-05,8.76e-05,8.76e-05,8.76e-05,8.76e-05,8.76e-05,8.76e-05,8.76e-05,8.76e-05,8.76e-05,8.76e-05,8.76e-05,8.76e-05,8.76e-05,8.76e-05
PD22,baseline,uganda,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,0.0008935999999999,0.0009327,0.0009408999999999,0.0009437,0.000944,0.0009921,0.0008464,0.0009464,0.0009503,0.0009268,0.0009792636363636,0.0010317272727272,0.0010841909090909,0.0011366545454545,0.0011891181818181,0.0012415818181818,0.0012940454545454,0.001346509090909,0.0013989727272727,0.0014514363636363,0.0015039,0.00154341,0.00158292,0.00162243,0.00166194,0.00170145,0.00174096,0.00178047,0.00181998,0.00185949,0.001899,0.00193851,0.00197802,0.00201753,0.00205704,0.00209655,0.00213606,0.00217557,0.00221508,0.00225459,0.0022941,0.0022941,0.0022941,0.0022941,0.0022941,0.0022941,0.0022941,0.0022941,0.0022941,0.0022941,0.0022941,0.0022941,0.0022941,0.0022941,0.0022941,0.0022941,0.0022941,0.0022941,0.0022941,0.0022941,0.0022941
PD22,baseline,uganda,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2,AFOLU,Mt,-1.2697330689493994e-06,-0.000814619228637,-0.0016972188916,-0.0026572446920037,-0.0037037999773024,-0.0047474351161921,-0.0057519714441499,-0.0067174089611757,-0.0076437476672696,-0.0085309875624316,-0.0093791286466617,-0.0101881709199598,-0.010958114382326,-0.0116889590337603,-0.0123807048742627,-0.0130333519038331,-0.0136469001224716,-0.0142213495301782,-0.0147567001269528,-0.0152529519127956,-0.0157101048877064,-0.0161281590516853,-0.0165071144047322,-0.0168469709468473,-0.0171477286780304,-0.0174093875982815,-0.0176319477076008,-0.0178154090059881,-0.0179597714934435,-0.018065035169967,-0.0181312000355586,-0.0181583084146538,-0.0181734310434839,-0.018179780029651,-0.0181809470833453,-0.0181809470833453,-0.0181809470833453,-0.0181809470833453,-0.0181809470833453,-0.0181809470833453,-0.0181809470833453,-0.0181809470833453,-0.0181809470833453,-0.0181809470833453,-0.0181809470833453,-0.0181809470833453,-0.0181809470833453,-0.0181809470833453,-0.0181809470833453,-0.0181809470833453,-0.0181809470833453,-0.0181809470833453,-0.0181809470833453,-0.0181809470833453,-0.0181809470833453,-0.0181809470833453,-0.0181809470833453,-0.0181809470833453,-0.0181809470833453,-0.0181809470833453,-0.0181809470833453
PD22,baseline,uganda,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,0.5039707,0.5175665,0.53122,0.5399125,0.5571020999999999,0.5776626,0.6070700000000001,0.6293744,0.6481477,0.6669159,0.6474533727272728,0.6279908454545454,0.6085283181818182,0.589065790909091,0.5696032636363637,0.5501407363636364,0.5306782090909091,0.5112156818181819,0.4917531545454545,0.4722906272727273,0.4528281,0.46006382,0.46729954,0.47453526,0.48177098,0.4890067,0.49624242,0.50347814,0.51071386,0.51794958,0.5251853,0.53242102,0.53965674,0.54689246,0.55412818,0.5613639,0.56859962,0.57583534,0.58307106,0.5903067799999999,0.5975425,0.5975425,0.5975425,0.5975425,0.5975425,0.5975425,0.5975425,0.5975425,0.5975425,0.5975425,0.5975425,0.5975425,0.5975425,0.5975425,0.5975425,0.5975425,0.5975425,0.5975425,0.5975425,0.5975425,0.5975425
PD22,baseline,uganda,Agriculture,Emissions,"Fertilized Soils, Addtl Emissions",EM,Emissions,NH3,IND,Mt,0.020485404666,0.020722646626,0.021150744345,0.021354592217,0.021254173897,0.021906041534,0.0226302409098067,0.0233767687164047,0.0241443835188583,0.0241443835188583,0.0323361824941931,0.0332506574119302,0.0340959716236246,0.0349288803155114,0.0357493834875907,0.0365574811398624,0.0371545411689884,0.0377416180210305,0.0383187116959886,0.0388858221938629,0.0394429495146531,0.0401906141339239,0.0409257733059779,0.0416484270308149,0.0423585753084355,0.0430562181388391,0.0437374425503571,0.0444062123324721,0.0450625274851842,0.0457063880084934,0.0463377939023996,0.0469403448254461,0.0475306612579009,0.0481087431997642,0.0486745906510365,0.049228203611717,0.0502742315044379,0.0513010158868087,0.0523085567588292,0.0532968541204996,0.0542659079718197,0.0544186016111325,0.0551130919126043,0.0557918432136056,0.0564548555141354,0.057102128814195,0.0577336631137835,0.0583494584129011,0.0589495147115479,0.0595338320097242,0.0601024103074294,0.0606552496046633,0.0611923499014271,0.0617137111977198,0.0622193334935416,0.0627092167888926,0.0631833610837731,0.0636417663781822,0.064084432672121,0.0645113599655887,0.0649225482585859
PD22,baseline,uganda,Agriculture,Emissions,"Fertilized Soils, Addtl Emissions",EM,Emissions,NOx,IND,Mt,0.00154645173,0.001580329868,0.001650646228,0.001664156817,0.001669658945,0.001705916108,0.0017623125764662,0.0018204478542784,0.0018802252656474,0.0018802252656474,0.0025181552998726,0.002589369329578,0.0026551975225818,0.0027200596452879,0.0027839556976962,0.0028468856798067,0.0028933812695986,0.0029390994271662,0.0029840401525094,0.0030282034456282,0.0030715893065227,0.003129813112746,0.0031870630669016,0.0032433391689893,0.0032986414190093,0.0033529698169615,0.0034060196431917,0.0034580995747523,0.0035092096116432,0.0035593497538644,0.0036085200014159,0.0036554431903417,0.0037014136277381,0.0037464313136051,0.0037904962479429,0.0038336084307513,0.0039150670470349,0.0039950270897752,0.0040734885589722,0.0041504514546259,0.0042259157767363,0.0042378066762623,0.0042918895734526,0.0043447468081067,0.0043963783802244,0.0044467842898058,0.0044959645368509,0.0045439191213597,0.0045906480433322,0.0046361513027684,0.0046804288996683,0.0047234808340319,0.0047653071058591,0.0048059077151501,0.0048452826619048,0.0048834319461231,0.0049203555678052,0.0049560535269509,0.0049905258235603,0.0050237724576334,0.0050557934291703
PD22,baseline,uganda,Agriculture,Emissions,Improved Rice,EM,Emissions,CH4,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-4.014773828639562e-10,-3.880948034351576e-10,-3.747122240063591e-10,-3.6132964457756047e-10,-3.4794706514876184e-10,-3.345644857199634e-10,-3.2118190629116486e-10,-3.077993268623664e-10,-2.9441674743356777e-10,-2.810341680047692e-10,-2.6765158857597073e-10,-2.5426900914717216e-10,-2.4088642971837364e-10,-2.2750385028957507e-10,-2.1412127086077658e-10,-2.007386914319781e-10,-1.8735611200317954e-10,-1.7397353257438095e-10,-1.6059095314558238e-10,-1.4720837371678389e-10,-1.3382579428798534e-10,-1.2044321485918682e-10,-1.0706063543038828e-10,-9.367805600158976e-11,-8.029547657279119e-11,-6.691289714399263e-11,-5.3530317715194094e-11,-4.014773828639562e-11,-2.676515885759708e-11,-1.338257942879854e-11,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
