model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
PD22,baseline,uk,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0505243707191863,0.1005303541951037,0.1499574953249497,0.198738450180488,0.2467982411336313,0.29405344141883,0.3404112849813932,0.3857686979185197,0.4300112485274069,0.4730120139951794,0.5146303631717672,0.5547106567428903,0.5930808685595673,0.6295511349848844,0.6639122429951219,0.6959340725275638,0.7253640143000866,0.7519253911169634,0.7753159185649394,0.7952062499813745,0.8112386605484592,0.8230259361284015,0.8301505436518065,0.8321641709705273,0.8321641709705273,0.8321641709705273,0.8321641709705273,0.8321641709705273,0.8321641709705273,0.8321641709705273,0.8321641709705273,0.8321641709705273,0.8321641709705273,0.8321641709705273,0.8321641709705273,0.8321641709705273,0.8321641709705273,0.8321641709705273,0.8321641709705273,0.8321641709705273,0.8321641709705273,0.8321641709705273,0.8321641709705273,0.8321641709705273,0.8321641709705273,0.8321641709705273,0.8321641709705273,0.8321641709705273,0.8321641709705273,0.8321641709705273
PD22,baseline,uk,Agriculture,Emissions,Biochar,EM,Emissions,CO2,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,uk,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,0.0020937,0.0021269,0.0021514,0.0017437,0.0020905999999999,0.0019786,0.0019688,0.0019354,0.0018878,0.0019613,0.0019653181818181,0.0019693363636363,0.0019733545454545,0.0019773727272727,0.0019813909090909,0.001985409090909,0.0019894272727272,0.0019934454545454,0.0019974636363636,0.0020014818181818,0.0020055,0.00200503,0.00200456,0.00200409,0.00200362,0.00200315,0.00200268,0.00200221,0.00200174,0.00200127,0.0020008,0.00200033,0.00199986,0.00199939,0.00199892,0.00199845,0.00199798,0.00199751,0.00199704,0.00199657,0.0019961,0.0019961,0.0019961,0.0019961,0.0019961,0.0019961,0.0019961,0.0019961,0.0019961,0.0019961,0.0019961,0.0019961,0.0019961,0.0019961,0.0019961,0.0019961,0.0019961,0.0019961,0.0019961,0.0019961,0.0019961
PD22,baseline,uk,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,5.4300000000000005e-05,5.51e-05,5.58e-05,4.52e-05,5.42e-05,5.13e-05,5.1e-05,5.02e-05,4.89e-05,5.08e-05,5.090909090909091e-05,5.101818181818182e-05,5.1127272727272725e-05,5.123636363636364e-05,5.134545454545454e-05,5.1454545454545455e-05,5.156363636363636e-05,5.167272727272727e-05,5.178181818181818e-05,5.189090909090909e-05,5.2e-05,5.1985e-05,5.197e-05,5.1955e-05,5.194e-05,5.1925e-05,5.191e-05,5.1895e-05,5.188e-05,5.1865e-05,5.185e-05,5.1835e-05,5.182e-05,5.1805e-05,5.179e-05,5.1775e-05,5.176e-05,5.1745e-05,5.173e-05,5.1715e-05,5.17e-05,5.17e-05,5.17e-05,5.17e-05,5.17e-05,5.17e-05,5.17e-05,5.17e-05,5.17e-05,5.17e-05,5.17e-05,5.17e-05,5.17e-05,5.17e-05,5.17e-05,5.17e-05,5.17e-05,5.17e-05,5.17e-05,5.17e-05,5.17e-05
PD22,baseline,uk,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,0.0049818,0.0051186,0.0046492,0.0047415,0.0057527,0.0057916,0.0051843,0.0054281,0.0049762,0.0059404,0.0058974454545454,0.0058544909090909,0.0058115363636363,0.0057685818181818,0.0057256272727272,0.0056826727272727,0.0056397181818181,0.0055967636363636,0.005553809090909,0.0055108545454545,0.0054679,0.00546845,0.005469,0.00546955,0.0054701,0.00547065,0.0054712,0.00547175,0.0054723,0.00547285,0.0054734,0.00547395,0.0054745,0.00547505,0.0054756,0.00547615,0.0054767,0.00547725,0.0054778,0.00547835,0.0054789,0.0054789,0.0054789,0.0054789,0.0054789,0.0054789,0.0054789,0.0054789,0.0054789,0.0054789,0.0054789,0.0054789,0.0054789,0.0054789,0.0054789,0.0054789,0.0054789,0.0054789,0.0054789,0.0054789,0.0054789
PD22,baseline,uk,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.2434449999999999,0.4868899999999998,0.7303349999999997,0.9737799999999996,1.2172249999999996,1.460669999999999,1.6996691879410002,1.9381403881548092,2.1760210346931714,2.413241182376976,2.649722645202848,2.885378036347304,3.1201096990839305,3.353808516910199,3.58635259010182,3.817605764781474,4.047415999416816,4.275613552467123,4.502918552467124,4.713276552467123,4.906687552467123,5.083151552467124,5.242668552467123,5.385238552467123,5.456523552467123,5.456523552467123,5.456523552467123,5.456523552467123,5.456523552467123,5.456523552467123,5.456523552467123,5.456523552467123,5.456523552467123,5.456523552467123,5.456523552467123,5.456523552467123,5.456523552467123,5.456523552467123,5.456523552467123,5.456523552467123,5.456523552467123,5.456523552467123,5.456523552467123,5.456523552467123,5.456523552467123,5.456523552467123,5.456523552467123,5.456523552467123,5.456523552467123,5.456523552467123
PD22,baseline,uk,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,0.950231,0.9422145,0.9441315,0.9465235,0.9566355,0.9610193,0.9725403,0.9781186,0.9625448,0.9517124,0.9530112545454544,0.9543101090909092,0.9556089636363636,0.9569078181818182,0.9582066727272728,0.9595055272727272,0.9608043818181818,0.9621032363636364,0.963402090909091,0.9647009454545457,0.9659998,0.96292943,0.95985906,0.95678869,0.95371832,0.95064795,0.94757758,0.94450721,0.94143684,0.93836647,0.9352961,0.93222573,0.92915536,0.92608499,0.92301462,0.91994425,0.91687388,0.91380351,0.91073314,0.90766277,0.9045924,0.9045924,0.9045924,0.9045924,0.9045924,0.9045924,0.9045924,0.9045924,0.9045924,0.9045924,0.9045924,0.9045924,0.9045924,0.9045924,0.9045924,0.9045924,0.9045924,0.9045924,0.9045924,0.9045924,0.9045924
PD22,baseline,uk,Agriculture,Emissions,"Fertilized Soils, Addtl Emissions",EM,Emissions,NH3,IND,Mt,0.22369341198,0.21897868478,0.21575141103,0.22380561896,0.22385685919,0.2273173031199999,0.228705928733963,0.230110789338649,0.231520974964092,0.231520974964092,0.2098646768547707,0.2101596602071509,0.2104337647639515,0.2106898020250141,0.210927771990338,0.2111476746599226,0.2116763219778538,0.2121829164885332,0.2126674581919606,0.2131299470881367,0.2135703831770603,0.2155297128228257,0.2174476066882065,0.2193240647732022,0.2211590870778121,0.2229526736020373,0.2239308977660157,0.2248777371441526,0.2257931917364479,0.2266772615429011,0.2275299465635133,0.2283525022413387,0.2291436562817374,0.2299034086847099,0.2306317594502568,0.231328708578377,0.2322774096399099,0.2331907763755333,0.2340688087852466,0.2349115068690494,0.2357188706269422,0.2360436461231684,0.2366478811307621,0.2372187481566872,0.2377562472009443,0.2382603782635337,0.2387311413444545,0.2391685364437078,0.2395725635612924,0.2399432226972095,0.240280513851458,0.2405844370240384,0.2408549922149512,0.2410921794241955,0.2412959986517721,0.2414664498976801,0.24160353316192,0.2417072484444924,0.241777595745396,0.2418145750646322,0.2418181864021998
PD22,baseline,uk,Agriculture,Emissions,"Fertilized Soils, Addtl Emissions",EM,Emissions,NOx,IND,Mt,0.03107818506,0.02971864897,0.02925607803,0.03052086049,0.03116911598,0.0307529393099999,0.0309408014685086,0.031130860000446,0.0313216389352646,0.0313216389352646,0.0283918363540521,0.0284317435894834,0.0284688262078507,0.0285034645668427,0.0285356586664592,0.0285654085067002,0.0286369272985458,0.0287054626455162,0.0287710145476114,0.0288335830048315,0.0288931680171763,0.029158238668893,0.0294177036231026,0.029671562879805,0.0299198164390001,0.030162464300688,0.0302948047249914,0.0304228992146431,0.0305467477696431,0.0306663503899914,0.0307817070756881,0.0308929876711028,0.0310000200520756,0.0311028042186065,0.0312013401706956,0.0312956279083427,0.0314239742584367,0.0315475403548265,0.0316663261975121,0.0317803317864934,0.0318895571217705,0.0319334948290534,0.0320152396072224,0.0320924701513182,0.032165186461341,0.0322333885372908,0.0322970763791675,0.0323562499869713,0.0324109093607019,0.0324610545003596,0.0325066854059441,0.0325478020774556,0.0325844045148942,0.0326164927182596,0.032644066687552,0.0326671264227714,0.0326856719239177,0.032699703190991,0.0327092202239912,0.0327142230229185,0.0327147115877726
PD22,baseline,uk,Agriculture,Emissions,Improved Rice,EM,Emissions,CH4,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
