model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
PD22,baseline,ukraine,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2-landuse,AFOLU,Mt,-0.00021233589781202356,-0.00023824240189180589,-0.0002669497140755072,-0.000298753557218459,-0.0002917529762690419,-0.00028456008115935793,-0.0002771748718894068,-0.0002695973484591888,-0.00026182751086870364,-0.0002538653591179515,-0.00024571089320693236,-0.0002373641131356462,-0.0002289517690092453,-0.00022048887309873385,-0.0002119922063928548,-0.00020348052464003982,-0.0001949747878032866,-0.00018649841543976736,-0.00017807757074847483,-0.00016974147627195,-0.00016152276448963063,-0.00015345786679692017,-0.00014558744462059883,-0.0001379568666706532,-0.00013061673656168958,-0.00012362347524164758,-0.00011703996282583854,-0.00011093624453048304,-0.00010539030540686875,-0.00010048891846394026,-9.632857049543361e-05,-9.301646945137311e-05,-9.06716364574571e-05,-8.942608452416351e-05,-8.942608452416347e-05,-8.942608452416346e-05,-8.942608452416335e-05,-8.942608452416335e-05,-8.942608452416334e-05,-8.942608452416331e-05,-8.942608452416332e-05,-8.942608452416324e-05,-8.942608452416323e-05,-8.942608452416323e-05,-8.942608452416324e-05,-8.942608452416313e-05,-8.942608452416316e-05,-8.942608452416315e-05,-8.942608452416316e-05,-8.942608452416308e-05,-8.942608452416311e-05,-8.942608452416311e-05,-8.942608452416311e-05,-8.942608452416304e-05,-8.942608452416308e-05,-8.94260845241631e-05,-8.94260845241631e-05,-8.942608452416303e-05,-8.942608452416308e-05,-8.942608452416308e-05,-8.94260845241631e-05
PD22,baseline,ukraine,Agriculture,Emissions,Biochar,EM,Emissions,CO2-landuse,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-3.86008592003405e-09,-3.731416389366249e-09,-3.6027468586984465e-09,-3.4740773280306455e-09,-3.3454077973628436e-09,-3.2167382666950414e-09,-3.0880687360272395e-09,-2.959399205359439e-09,-2.8307296746916367e-09,-2.702060144023835e-09,-2.573390613356033e-09,-2.4447210826882316e-09,-2.3160515520204298e-09,-2.1873820213526283e-09,-2.0587124906848265e-09,-1.930042960017025e-09,-1.8013734293492232e-09,-1.6727038986814218e-09,-1.5440343680136198e-09,-1.4153648373458181e-09,-1.2866953066780163e-09,-1.1580257760102149e-09,-1.0293562453424132e-09,-9.006867146746115e-10,-7.720171840068097e-10,-6.433476533390079e-10,-5.146781226712066e-10,-3.8600859200340484e-10,-2.573390613356031e-10,-1.2866953066780132e-10,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,ukraine,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,0.013978899999999999,0.016801800000000002,0.0179225,0.02016,0.018999199999999997,0.0184295,0.018201000000000002,0.019004300000000002,0.0194912,0.020851500000000002,0.01994627272727273,0.019041045454545456,0.018135818181818184,0.01723059090909091,0.016325363636363638,0.015420136363636365,0.014514909090909092,0.01360968181818182,0.012704454545454547,0.011799227272727274,0.010894000000000001,0.010894480000000002,0.01089496,0.010895440000000001,0.010895920000000002,0.0108964,0.010896880000000001,0.010897360000000002,0.01089784,0.010898320000000001,0.0108988,0.01089928,0.010899760000000001,0.01090024,0.010900720000000001,0.010901200000000002,0.01090168,0.010902160000000001,0.010902640000000002,0.01090312,0.010903600000000001,0.010903600000000001,0.010903600000000001,0.010903600000000001,0.010903600000000001,0.010903600000000001,0.010903600000000001,0.010903600000000001,0.010903600000000001,0.010903600000000001,0.010903600000000001,0.010903600000000001,0.010903600000000001,0.010903600000000001,0.010903600000000001,0.010903600000000001,0.010903600000000001,0.010903600000000001,0.010903600000000001,0.010903600000000001,0.010903600000000001
PD22,baseline,ukraine,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,5.694532536e-07,6.844752684e-07,7.302012333e-07,8.213388953e-07,7.740415913999999e-07,7.507857742e-07,7.415148740999999e-07,7.741987253e-07,7.939975966999999e-07,8.494658634e-07,8.125822516000001e-07,7.756986398e-07,7.38815028e-07,7.019314162e-07,6.650478044e-07,6.281641926e-07,5.912805808e-07,5.54396969e-07,5.175133571999999e-07,4.806297454e-07,4.4374613359999996e-07,4.43769703685e-07,4.4379327376999995e-07,4.43816843855e-07,4.4384041394e-07,4.438639840249999e-07,4.4388755410999994e-07,4.43911124195e-07,4.4393469427999994e-07,4.4395826436499996e-07,4.4398183445e-07,4.4400540453499995e-07,4.4402897462e-07,4.440525447049999e-07,4.4407611478999997e-07,4.44099684875e-07,4.441232549599999e-07,4.4414682504499994e-07,4.4417039513e-07,4.4419396521499993e-07,4.4421753529999995e-07,4.4421753529999995e-07,4.4421753529999995e-07,4.4421753529999995e-07,4.4421753529999995e-07,4.4421753529999995e-07,4.4421753529999995e-07,4.4421753529999995e-07,4.4421753529999995e-07,4.4421753529999995e-07,4.4421753529999995e-07,4.4421753529999995e-07,4.4421753529999995e-07,4.4421753529999995e-07,4.4421753529999995e-07,4.4421753529999995e-07,4.4421753529999995e-07,4.4421753529999995e-07,4.4421753529999995e-07,4.4421753529999995e-07,4.4421753529999995e-07
PD22,baseline,ukraine,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,1.59591474196e-05,2.11059111802e-05,1.77500024779e-05,2.26175392982e-05,2.34555343869e-05,2.28469547922e-05,2.41400096553e-05,2.29758045902e-05,2.46737935136e-05,2.6297772370100002e-05,2.5376396320100004e-05,2.44550202701e-05,2.3533644220100002e-05,2.26122681701e-05,2.16908921201e-05,2.0769516070099998e-05,1.98481400201e-05,1.89267639701e-05,1.80053879201e-05,1.7084011870099997e-05,1.61626358201e-05,1.6176754301015e-05,1.619087278193e-05,1.6204991262845e-05,1.621910974376e-05,1.6233228224675e-05,1.624734670559e-05,1.6261465186505e-05,1.627558366742e-05,1.6289702148334998e-05,1.6303820629249998e-05,1.6317939110165002e-05,1.633205759108e-05,1.6346176071995e-05,1.6360294552910003e-05,1.6374413033825e-05,1.638853151474e-05,1.6402649995655e-05,1.6416768476569997e-05,1.6430886957485e-05,1.64450054384e-05,1.64450054384e-05,1.64450054384e-05,1.64450054384e-05,1.64450054384e-05,1.64450054384e-05,1.64450054384e-05,1.64450054384e-05,1.64450054384e-05,1.64450054384e-05,1.64450054384e-05,1.64450054384e-05,1.64450054384e-05,1.64450054384e-05,1.64450054384e-05,1.64450054384e-05,1.64450054384e-05,1.64450054384e-05,1.64450054384e-05,1.64450054384e-05,1.64450054384e-05
PD22,baseline,ukraine,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2-landuse,AFOLU,Mt,-3.0516889392704792e-05,-4.0924032951118115e-05,-5.0948091470571454e-05,-6.058906495106478e-05,-5.835440222379811e-05,-5.6119739496531456e-05,-5.388507676926478e-05,-5.165041404199811e-05,-4.941575131473144e-05,-4.718108858746478e-05,-4.4946425860198125e-05,-4.271176313293145e-05,-4.047710040566478e-05,-3.824243767839811e-05,-3.6007774951131446e-05,-3.377311222386479e-05,-3.153844949659812e-05,-2.930378676933145e-05,-2.7069124042064785e-05,-2.483446131479812e-05,-2.259979858753145e-05,-2.036518059793094e-05,-1.815922158602405e-05,-1.5985316805531766e-05,-1.3847262756727212e-05,-1.174930323645681e-05,-9.696181444734981e-06,-7.69319801230724e-06,-5.7462755843999985e-06,-3.830850389599998e-06,-2.2985102337599993e-06,-1.1492551168799999e-06,-3.8308503895999927e-07,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,ukraine,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,0.42243759999999997,0.39828800000000003,0.3911522,0.40283420000000003,0.3812221,0.3428657,0.3303986,0.32338150000000004,0.3094326,0.29316430000000004,0.31847212727272733,0.34377995454545457,0.36908778181818186,0.3943956090909091,0.4197034363636364,0.4450112636363637,0.47031909090909096,0.4956269181818182,0.5209347454545454,0.5462425727272727,0.5715504,0.570914365,0.57027833,0.569642295,0.56900626,0.568370225,0.56773419,0.567098155,0.56646212,0.565826085,0.56519005,0.564554015,0.56391798,0.563281945,0.56264591,0.562009875,0.56137384,0.560737805,0.5601017699999999,0.559465735,0.5588297,0.5588297,0.5588297,0.5588297,0.5588297,0.5588297,0.5588297,0.5588297,0.5588297,0.5588297,0.5588297,0.5588297,0.5588297,0.5588297,0.5588297,0.5588297,0.5588297,0.5588297,0.5588297,0.5588297,0.5588297
PD22,baseline,ukraine,Agriculture,Emissions,"Fertilized Soils, Addtl Emissions",EM,Emissions,NH3,IND,Mt,0.20807290215430002,0.202841417148,0.204932944499,0.225324288112,0.215003602396,0.2439399765,0.24285484499009,0.24166127216625402,0.240382066296416,0.240382066296416,0.22310766168275314,0.21793978338969763,0.21278911467369346,0.2076844112457718,0.20262567310593235,0.19761290025417513,0.19810837207394447,0.19858319601858326,0.19903737208809152,0.19947090028246955,0.19988378060171674,0.20089700423927181,0.20188176879171627,0.20283807425904954,0.20376592064127194,0.20466530793838372,0.20552601334921425,0.20635839243858545,0.2071624452064973,0.20793817165294984,0.2086855717779427,0.20967662746765597,0.21063570607233706,0.21156280759198587,0.21245793202660246,0.21332107937618705,0.21437830619860443,0.21540041626157505,0.21638740956509833,0.2173392861091749,0.21825604589380426,0.218780622310541,0.21952139863348705,0.2202286280341934,0.22090231051266093,0.22154244606888815,0.22214903470287578,0.22272207641462444,0.22326157120413284,0.2237675190714017,0.2242399200164308,0.22467877403921993,0.2250840811397716,0.2254558413180815,0.22579405457415183,0.22609872090798472,0.22636984031957577,0.22660741280892732,0.2268114383760393,0.2269819170209137,0.22711884874354643
PD22,baseline,ukraine,Agriculture,Emissions,"Fertilized Soils, Addtl Emissions",EM,Emissions,NOx,IND,Mt,9.515288421065844e-05,0.00011771250521984158,0.00012126115403269189,0.00013073758153859735,0.00012251415063858762,0.00012791196718163857,0.0001273429693975327,0.00012671710950338185,0.0001260463472052585,0.0001260463472052585,0.00011698836864951658,0.00011427854843839585,0.00011157775221295626,0.00010890105827081221,0.00010624846661196352,0.00010361997723641019,0.00010387978202961823,0.00010412875993678669,0.00010436691095791556,0.000104594235093005,0.00010481073234205466,0.00010534202463179793,0.0001058583941622095,0.00010635984093328908,0.00010684636494503685,0.0001073179661974529,0.00010776928427923198,0.00010820574921741047,0.00010862736101198832,0.0001090341196629656,0.0001094260251703421,0.00010994569351120454,0.00011044859440004912,0.0001109347278368758,0.00011140409382168463,0.00011185669235447565,0.00011241105808227836,0.00011294701004352125,0.000113464548238204,0.000113963672666327,0.0001144443833278899,0.00011471944935997132,0.00011510788162133791,0.00011547872327341556,0.00011583197431620472,0.00011616763474970458,0.00011648570457391553,0.00011678618378883791,0.00011706907239447105,0.0001173343703908153,0.00011758207777787056,0.0001178121945556367,0.00011802472072411508,0.00011821965628330342,0.00011839700123320287,0.00011855675557381454,0.00011869891930513613,0.00011882349242716888,0.00011893047493991272,0.0001190198668433687,0.0001190916681375347
PD22,baseline,ukraine,Agriculture,Emissions,Improved Rice,EM,Emissions,CH4,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-4.0346144793366955e-10,-3.900127330025473e-10,-3.7656401807142495e-10,-3.6311530314030267e-10,-3.4966658820918034e-10,-3.3621787327805807e-10,-3.2276915834693563e-10,-3.093204434158134e-10,-2.9587172848469103e-10,-2.8242301355356875e-10,-2.6897429862244637e-10,-2.555255836913241e-10,-2.420768687602017e-10,-2.2862815382907943e-10,-2.1517943889795705e-10,-2.0173072396683478e-10,-1.8828200903571247e-10,-1.7483329410459015e-10,-1.6138457917346782e-10,-1.479358642423455e-10,-1.3448714931122318e-10,-1.2103843438010083e-10,-1.0758971944897853e-10,-9.414100451785621e-11,-8.069228958673387e-11,-6.724357465561154e-11,-5.3794859724489264e-11,-4.0346144793366935e-11,-2.6897429862244603e-11,-1.3448714931122267e-11,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
