model,scenario,region,sector,product_long,flow_category,flow_long,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,bulgaria,Agriculture,Agroforestry,Emissions,CO2,MtCO2e,1.5799575272522525e-12,1.619130027927928e-12,1.6583025286036038e-12,1.6974750292792795e-12,1.7366475299549551e-12,1.775820030630631e-12,1.8149925313063064e-12,1.854165031981982e-12,1.893337532657658e-12,1.9325100333333336e-12,1.9716825340090092e-12,2.0108550346846853e-12,2.050027535360361e-12,2.089200036036036e-12,2.128372536711712e-12,2.167545037387388e-12,2.206717538063063e-12,2.2458900387387384e-12,2.285062539414415e-12,2.32423504009009e-12,2.363407540765766e-12,2.402580041441442e-12,2.441752542117117e-12,2.480925042792793e-12,2.5200975434684683e-12,2.5592700441441193e-12,2.5984425448197695e-12,2.6376150454954206e-12,2.676787546171072e-12,2.7159600468467238e-12,2.7551325475223772e-12,2.79430504819803e-12,2.8334775488736837e-12,2.872650049549339e-12,2.911822550224994e-12,2.9509950509006493e-12,2.990167551576306e-12,3.029340052251963e-12,3.0685125529276193e-12,3.1076850536032783e-12,3.1468575542789366e-12,3.186030054954597e-12,3.2252025556302572e-12,3.2643750563059183e-12,3.3035475569815803e-12,3.3427200576572426e-12,3.3818925583329057e-12,3.4210650590085692e-12,3.460237559684235e-12,3.4994100603598995e-12,3.5385825610355667e-12,3.5777550617112327e-12,3.6169275623869006e-12,3.656100063062569e-12,3.6952725637382394e-12,3.73444506441391e-12,3.77361756508958e-12,3.812790065765251e-12,3.851962566440921e-12,3.891135067116591e-12,3.930307567792262e-12
PD22,baseline,bulgaria,Forests & Wetlands,Avoided Coastal Impacts,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,bulgaria,Forests & Wetlands,Avoided Forest Conversion,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,bulgaria,Forests & Wetlands,Avoided Peat Impacts,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,bulgaria,Agriculture,Biochar,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,bulgaria,Forests & Wetlands,Coastal Restoration,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,bulgaria,Agriculture,Cropland Soil Health,Emissions,CO2,MtCO2e,4.119431555555556e-14,4.2215662222222225e-14,4.3237008888888894e-14,4.425835555555556e-14,4.527970222222223e-14,4.630104888888889e-14,4.7322395555555556e-14,4.8343742222222225e-14,4.9365088888888894e-14,5.0386435555555556e-14,5.1407782222222225e-14,5.2429128888888894e-14,5.3450475555555556e-14,5.4471822222222225e-14,5.5493168888888894e-14,5.6514515555555556e-14,5.753586222222223e-14,5.85572088888889e-14,5.957855555555557e-14,6.059990222222224e-14,6.162124888888889e-14,6.264259555555556e-14,6.366394222222223e-14,6.46852888888889e-14,6.570663555555554e-14,6.672798222222224e-14,6.768343555556269e-14,6.864108533334746e-14,6.960093155557651e-14,7.05629742222499e-14,7.152721333336753e-14,7.249364888892948e-14,7.346228088893571e-14,7.443310933338623e-14,7.540613422228102e-14,7.638135555562007e-14,7.735877333340343e-14,7.833838755563103e-14,7.93201982223029e-14,8.030420533341907e-14,8.129040888897946e-14,8.227880888898412e-14,8.326940533343302e-14,8.426219822232619e-14,8.525718755566362e-14,8.625437333344527e-14,8.725375555567114e-14,8.825533422234129e-14,8.925910933345568e-14,9.026508088901426e-14,9.127324888901713e-14,9.228361333346418e-14,9.329617422235546e-14,9.431093155569095e-14,9.532788533347068e-14,9.634703555569462e-14,9.736838222236273e-14,9.838972888903086e-14,9.941107555569901e-14,1.0043242222236717e-13,1.014537688890353e-13
PD22,baseline,bulgaria,Forests & Wetlands,Improved Forest Mgmt,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,bulgaria,Agriculture,Improved Rice,Emissions,CH4,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,bulgaria,Forests & Wetlands,Natural Regeneration,Emissions,CO2,MtCO2e,1.0012496582222223e-11,1.0444835523888887e-11,1.0886669573055557e-11,1.1337998729722223e-11,1.1798822993888885e-11,1.2269142365555557e-11,1.2748956844722226e-11,1.323826643138888e-11,1.3737071125555553e-11,1.4245370927222216e-11,1.476316583638889e-11,1.5290455853055553e-11,1.5827240977222214e-11,1.6373521208888887e-11,1.692929654805556e-11,1.7494566994722218e-11,1.806933254888888e-11,1.8653593210555553e-11,1.9247348979722222e-11,1.9850599856388888e-11,2.0463345840555556e-11,2.1085586932222217e-11,2.171732313138889e-11,2.235855443805449e-11,2.3009280852220053e-11,2.366950237388556e-11,2.433921900305102e-11,2.5018430739716434e-11,2.5707137583881788e-11,2.6405339535547102e-11,2.7113036594712354e-11,2.783022876137757e-11,2.8556916035542713e-11,2.929309841720781e-11,3.0038775906372846e-11,3.079394850303785e-11,3.1558616207202786e-11,3.233277901886766e-11,3.3116436938032504e-11,3.3909589964697255e-11,3.471223809886197e-11,3.5524381340526625e-11,3.6346019689691225e-11,3.717715314635575e-11,3.801778171052025e-11,3.886790538218467e-11,3.972752416134902e-11,4.059663804801331e-11,4.147524704217758e-11,4.236335114384173e-11,4.326095035300586e-11,4.4168044669669924e-11,4.508463409383391e-11,4.601071862549781e-11,4.6946298264661683e-11,4.789137301132553e-11,4.8845942865489326e-11,4.981000782715306e-11,5.078356789631677e-11,5.1766623072980396e-11,5.2759173357144026e-11
