model,scenario,region,sector,product_long,flow_category,flow_long,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,chile,Agriculture,Agroforestry,Emissions,CO2,MtCO2e,1.295107938963964e-11,1.3272180531531532e-11,1.3593281673423423e-11,1.3914382815315317e-11,1.4235483957207207e-11,1.45565850990991e-11,1.4877686240990993e-11,1.5198787382882884e-11,1.5519888524774775e-11,1.584098966666667e-11,1.6162090808558557e-11,1.6483191950450452e-11,1.6804293092342346e-11,1.712539423423424e-11,1.7446495376126125e-11,1.776759651801802e-11,1.808869765990991e-11,1.8409798801801807e-11,1.8730899943693695e-11,1.9052001085585586e-11,1.937310222747748e-11,1.969420336936937e-11,2.0015304511261262e-11,2.0336405653153156e-11,2.065750679504505e-11,2.0978607936936867e-11,2.129970907882869e-11,2.1620810220720504e-11,2.194191136261233e-11,2.2263012504504147e-11,2.258411364639597e-11,2.290521478828779e-11,2.3226315930179616e-11,2.3547417072071436e-11,2.3868518213963253e-11,2.4189619355855073e-11,2.4510720497746902e-11,2.4831821639638722e-11,2.5152922781530546e-11,2.547402392342237e-11,2.5795125065314198e-11,2.6116226207206025e-11,2.6437327349097857e-11,2.6758428490989684e-11,2.707952963288152e-11,2.7400630774773343e-11,2.772173191666519e-11,2.8042833058557018e-11,2.8363934200448858e-11,2.8685035342340694e-11,2.9006136484232536e-11,2.9327237626124385e-11,2.964833876801623e-11,2.996943990990807e-11,3.0290541051799926e-11,3.061164219369178e-11,3.093274333558363e-11,3.125384447747548e-11,3.157494561936734e-11,3.189604676125918e-11,3.221714790315103e-11
PD22,baseline,chile,Forests & Wetlands,Avoided Coastal Impacts,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,chile,Forests & Wetlands,Avoided Forest Conversion,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,chile,Forests & Wetlands,Avoided Peat Impacts,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,chile,Agriculture,Biochar,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,chile,Forests & Wetlands,Coastal Restoration,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,chile,Agriculture,Cropland Soil Health,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,chile,Forests & Wetlands,Improved Forest Mgmt,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,chile,Agriculture,Improved Rice,Emissions,CH4,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,chile,Forests & Wetlands,Natural Regeneration,Emissions,CO2,MtCO2e,2.9032067687675927e-10,3.0194766422953706e-10,3.1380308442078713e-10,3.258869374505094e-10,3.3819922331870375e-10,3.5073994202537046e-10,3.6350909357050924e-10,3.7650667795412046e-10,3.8973269517620376e-10,4.031871452367593e-10,4.1687002813578694e-10,4.30781343873287e-10,4.449210924492594e-10,4.592892738637037e-10,4.738858881166204e-10,4.887109352080094e-10,5.037644151378704e-10,5.190463279062036e-10,5.345566735130094e-10,5.502954519582869e-10,5.662626632420372e-10,5.824583073642593e-10,5.988823843249537e-10,6.155348941241153e-10,6.324158367617486e-10,6.495243268932765e-10,6.666343063413878e-10,6.837457254557392e-10,7.008585345859895e-10,7.179726840817951e-10,7.350881242928135e-10,7.522048055687023e-10,7.693226782591191e-10,7.864416927137207e-10,8.035617992821654e-10,8.206829483141099e-10,8.378050901592117e-10,8.549281751671283e-10,8.720521536875173e-10,8.891769760700359e-10,9.063025926643413e-10,9.234289538200913e-10,9.405560098869431e-10,9.576837112145544e-10,9.748120081525822e-10,9.919408510506838e-10,1.0090701902585172e-09,1.0261999761257397e-09,1.0433301590020083e-09,1.0604606892369803e-09,1.0775915171803135e-09,1.0947225931816653e-09,1.1118538675906933e-09,1.1289852907570543e-09,1.146116813030406e-09,1.1632483847604061e-09,1.1803799564904063e-09,1.197511528220406e-09,1.214643099950406e-09,1.2317746716804061e-09,1.248906243410406e-09
