model,scenario,region,sector,product_long,flow_category,flow_long,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,costarica,Agriculture,Agroforestry,Emissions,CO2,MtCO2e,2.7650013263063056e-12,2.8335550781981976e-12,2.9021088300900896e-12,2.9706625819819816e-12,3.0392163338738736e-12,3.107770085765765e-12,3.1763238376576572e-12,3.2448775895495496e-12,3.313431341441441e-12,3.381985093333333e-12,3.450538845225224e-12,3.519092597117116e-12,3.587646349009009e-12,3.6562001009009004e-12,3.7247538527927924e-12,3.7933076046846844e-12,3.861861356576575e-12,3.9304151084684684e-12,3.99896886036036e-12,4.0675226122522525e-12,4.136076364144144e-12,4.204630116036035e-12,4.273183867927927e-12,4.341737619819819e-12,4.410291371711711e-12,4.4788451236034954e-12,4.54739887549528e-12,4.615952627387066e-12,4.684506379278852e-12,4.753060131170639e-12,4.8216138830624296e-12,4.890167634954219e-12,4.958721386846011e-12,5.0272751387378035e-12,5.095828890629596e-12,5.1643826425213944e-12,5.232936394413191e-12,5.301490146304991e-12,5.370043898196793e-12,5.438597650088595e-12,5.5071514019804005e-12,5.5757051538722085e-12,5.644258905764017e-12,5.71281265765583e-12,5.7813664095476445e-12,5.84992016143946e-12,5.9184739133312815e-12,5.987027665223105e-12,6.055581417114929e-12,6.124135169006757e-12,6.192688920898589e-12,6.261242672790423e-12,6.329796424682261e-12,6.3983501765741015e-12,6.466903928465946e-12,6.535457680357794e-12,6.604011432249643e-12,6.672565184141489e-12,6.741118936033337e-12,6.809672687925187e-12,6.878226439817033e-12
PD22,baseline,costarica,Forests & Wetlands,Avoided Coastal Impacts,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,costarica,Forests & Wetlands,Avoided Forest Conversion,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,costarica,Forests & Wetlands,Avoided Peat Impacts,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,costarica,Agriculture,Biochar,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,costarica,Forests & Wetlands,Coastal Restoration,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,costarica,Agriculture,Cropland Soil Health,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,costarica,Forests & Wetlands,Improved Forest Mgmt,Emissions,CO2,MtCO2e,0.8326122187328002,0.8532554968832002,0.8738987750336001,0.8945420531839999,0.9151853313344,0.9358286094848002,0.9564718876352002,0.9771151657856,0.9977584439360002,1.0184017220864001,1.0390450002368001,1.0596882783872004,1.0803315565376,1.1009748346880002,1.1216181128384,1.1422613909888002,1.1629046691392002,1.1835479472896,1.2041912254400002,1.2248345035904,1.2454777817408003,1.2661210598912005,1.2867643380416003,1.3074076161920003,1.3280508943423999,1.3486941724928,1.368005626246522,1.3873614741468019,1.4067617161936392,1.4262063523870336,1.445695382726986,1.4652288072134947,1.4812106999751973,1.4936721369146841,1.5026471535443189,1.5081727449862343,1.510288865972335,1.5090384308442943,1.504467313553559,1.4966243476613446,1.4855613263386376,1.4713330023661957,1.4539970881345468,1.4336142556439893,1.4102481365045925,1.383965321936197,1.3548353627684129,1.3229307694406218,1.2883270120019759,1.2511025201113977,1.2113386830375805,1.1691198496589887,1.124533328463857,1.0776693875501904,1.0286212546257651,0.9774851170081282,0.9243601216245965,0.8693039808657025,0.812421760878305,0.7538214874190332,0.6936141458542878
PD22,baseline,costarica,Agriculture,Improved Rice,Emissions,CH4,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,costarica,Forests & Wetlands,Natural Regeneration,Emissions,CO2,MtCO2e,8.078264090277779e-12,8.338145216111109e-12,8.601100009444444e-12,8.867128470277776e-12,9.13623059861111e-12,9.408406394444444e-12,9.683655857777779e-12,9.961978988611111e-12,1.024337578694444e-11,1.052784625277778e-11,1.0815390386111109e-11,1.1106008186944442e-11,1.1399699655277776e-11,1.1696464791111111e-11,1.1996303594444444e-11,1.2299216065277777e-11,1.2605202203611107e-11,1.2914262009444443e-11,1.3226395482777776e-11,1.3541602623611108e-11,1.385988343194444e-11,1.4181237907777776e-11,1.450566605111111e-11,1.483316786194351e-11,1.5163743340275897e-11,1.5497392486108292e-11,1.583411529944068e-11,1.6173911780273064e-11,1.6516781928605452e-11,1.686272574443783e-11,1.7211743227770214e-11,1.7563834378602597e-11,1.7918999196934978e-11,1.8277237682767368e-11,1.8638549836099754e-11,1.9002935656932134e-11,1.9370395145264524e-11,1.9740928301096926e-11,2.0114535124429322e-11,2.0491215615261724e-11,2.087096977359413e-11,2.1253797599426547e-11,2.163969909275897e-11,2.2028674253591395e-11,2.2420723081923835e-11,2.2815845577756278e-11,2.321404174108873e-11,2.361531157192119e-11,2.4019655070253654e-11,2.4427072236086135e-11,2.4837563069418632e-11,2.525112757025114e-11,2.5667765738583652e-11,2.6087477574416184e-11,2.65102630777487e-11,2.6936122248581216e-11,2.7365055086913725e-11,2.779706159274622e-11,2.823214176607872e-11,2.8670295606911193e-11,2.911152311524368e-11
