model,scenario,region,sector,product_long,flow_category,flow_long,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,finland,Agriculture,Agroforestry,Emissions,CO2,MtCO2e,1.1062408648648648e-12,1.1336683243243243e-12,1.1610957837837836e-12,1.1885232432432431e-12,1.2159507027027027e-12,1.2433781621621622e-12,1.2708056216216217e-12,1.298233081081081e-12,1.3256605405405408e-12,1.353088e-12,1.3805154594594594e-12,1.4079429189189187e-12,1.4353703783783785e-12,1.4627978378378378e-12,1.4902252972972973e-12,1.5176527567567569e-12,1.5450802162162162e-12,1.5725076756756757e-12,1.5999351351351354e-12,1.6273625945945945e-12,1.654790054054054e-12,1.6822175135135136e-12,1.7096449729729731e-12,1.7370724324324329e-12,1.7644998918918922e-12,1.791927351351249e-12,1.819354810810606e-12,1.846782270269964e-12,1.8742097297293225e-12,1.901637189188683e-12,1.9290646486480437e-12,1.9564921081074067e-12,1.9839195675667697e-12,2.011347027026135e-12,2.0387744864855005e-12,2.0662019459448688e-12,2.0936294054042386e-12,2.1210568648636093e-12,2.148484324322982e-12,2.175911783782357e-12,2.203339243241734e-12,2.230766702701113e-12,2.258194162160494e-12,2.2856216216198773e-12,2.313049081079263e-12,2.3404765405386514e-12,2.3679039999980422e-12,2.395331459457435e-12,2.4227589189168316e-12,2.45018637837623e-12,2.4776138378356323e-12,2.505041297295037e-12,2.5324687567544444e-12,2.5598962162138546e-12,2.5873236756732697e-12,2.614751135132687e-12,2.642178594592104e-12,2.6696060540515215e-12,2.6970335135109394e-12,2.7244609729703565e-12,2.751888432429774e-12
PD22,baseline,finland,Forests & Wetlands,Avoided Coastal Impacts,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,finland,Forests & Wetlands,Avoided Forest Conversion,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,finland,Forests & Wetlands,Avoided Peat Impacts,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,finland,Agriculture,Biochar,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,finland,Forests & Wetlands,Coastal Restoration,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,finland,Agriculture,Cropland Soil Health,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,finland,Forests & Wetlands,Improved Forest Mgmt,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,finland,Agriculture,Improved Rice,Emissions,CH4,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,finland,Forests & Wetlands,Natural Regeneration,Emissions,CO2,MtCO2e,2.903029892175926e-12,3.0009777187037042e-12,3.1002651007870366e-12,3.200892038425926e-12,3.3028585316203706e-12,3.406164580370371e-12,3.510810184675926e-12,3.6167953445370378e-12,3.724120059953704e-12,3.832784330925925e-12,3.9427881574537045e-12,4.054131539537037e-12,4.166814477175927e-12,4.280836970370371e-12,4.3961990191203716e-12,4.512900623425926e-12,4.630941783287037e-12,4.750322498703704e-12,4.871042769675925e-12,4.993102596203704e-12,5.116501978287038e-12,5.2412409159259265e-12,5.367319409120372e-12,5.4947374578701516e-12,5.623495062175484e-12,5.753592222036373e-12,5.885028937452816e-12,6.017805208424811e-12,6.151921034952364e-12,6.287376417035469e-12,6.424171354674128e-12,6.562305847868344e-12,6.7017798966181125e-12,6.842593500923439e-12,6.984746660784317e-12,7.128239376200753e-12,7.273071647172743e-12,7.419243473700291e-12,7.566754855783392e-12,7.715605793422048e-12,7.865796286616262e-12,8.01732633536603e-12,8.170195939671357e-12,8.324405099532238e-12,8.479953814948676e-12,8.636842085920667e-12,8.795069912448219e-12,8.954637294531327e-12,9.11554423216999e-12,9.277790725364211e-12,9.44137677411399e-12,9.606302378419324e-12,9.772567538280212e-12,9.940172253696665e-12,1.0109116524668665e-11,1.0279400351196221e-11,1.045102373327933e-11,1.0623986670917991e-11,1.0798289164112206e-11,1.0973931212861972e-11,1.1150912817167295e-11
