model,scenario,region,sector,product_long,flow_category,flow_long,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,guatemala,Agriculture,Agroforestry,Emissions,CO2,MtCO2e,4.9724666849099095e-12,5.0957509828828835e-12,5.219035280855857e-12,5.342319578828829e-12,5.465603876801803e-12,5.588888174774775e-12,5.712172472747749e-12,5.835456770720721e-12,5.9587410686936945e-12,6.082025366666667e-12,6.20530966463964e-12,6.328593962612614e-12,6.451878260585586e-12,6.575162558558559e-12,6.6984468565315314e-12,6.8217311545045054e-12,6.945015452477479e-12,7.06829975045045e-12,7.1915840484234235e-12,7.314868346396397e-12,7.438152644369369e-12,7.561436942342343e-12,7.684721240315316e-12,7.808005538288288e-12,7.931289836261259e-12,8.054574134233784e-12,8.177858432206307e-12,8.30114273017883e-12,8.424427028151365e-12,8.547711326123898e-12,8.670995624096436e-12,8.794279922068982e-12,8.91756422004153e-12,9.040848518014088e-12,9.164132815986648e-12,9.287417113959217e-12,9.410701411931793e-12,9.533985709904373e-12,9.657270007876966e-12,9.780554305849567e-12,9.903838603822174e-12,1.0027122901794791e-11,1.0150407199767418e-11,1.0273691497740053e-11,1.0396975795712695e-11,1.0520260093685353e-11,1.0643544391658025e-11,1.0766828689630701e-11,1.0890112987603393e-11,1.1013397285576095e-11,1.1136681583548814e-11,1.1259965881521543e-11,1.1383250179494287e-11,1.1506534477467042e-11,1.1629818775439815e-11,1.1753103073412597e-11,1.1876387371385382e-11,1.1999671669358169e-11,1.2122955967330954e-11,1.2246240265303739e-11,1.2369524563276527e-11
PD22,baseline,guatemala,Forests & Wetlands,Avoided Coastal Impacts,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,guatemala,Forests & Wetlands,Avoided Forest Conversion,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,guatemala,Forests & Wetlands,Avoided Peat Impacts,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,guatemala,Agriculture,Biochar,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,guatemala,Forests & Wetlands,Coastal Restoration,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,guatemala,Agriculture,Cropland Soil Health,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,guatemala,Forests & Wetlands,Improved Forest Mgmt,Emissions,CO2,MtCO2e,0.4369671623116799,0.44780105889791993,0.45863495548416,0.4694688520703999,0.48030274865664,0.49113664524288,0.5019705418291199,0.5128044384153599,0.5236383350016,0.53447223158784,0.54530612817408,0.5561400247603199,0.56697392134656,0.5778078179327999,0.5886417145190401,0.59947561110528,0.61030950769152,0.62114340427776,0.631977300864,0.64281119745024,0.65364509403648,0.66447899062272,0.67531288720896,0.6861467837952001,0.69698068038144,0.7078145769676801,0.7186484735538625,0.7294823701400455,0.7403162667262289,0.7511501633124132,0.7619840598985976,0.7728179564847832,0.7817413594794193,0.788771354597553,0.7939265808010529,0.7972272302986102,0.798695048545739,0.7983533342447748,0.7962269393448762,0.7923422690420246,0.7867272817790224,0.7794114892454959,0.7704259563778926,0.7598033013594833,0.7475776956203608,0.7337848638374402,0.7184620839344593,0.7016481870819782,0.683383557697379,0.6637101334448666,0.6426714052354685,0.6203124172270342,0.5966797668242354,0.5718216046785667,0.5457876346883451,0.5186291139987098,0.4903988530016217,0.4611512153358637,0.430942117887042,0.3998290307875851,0.3678709774167441
PD22,baseline,guatemala,Agriculture,Improved Rice,Emissions,CH4,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,guatemala,Forests & Wetlands,Natural Regeneration,Emissions,CO2,MtCO2e,2.3624190537037035e-11,2.4381663981481476e-11,2.5147995787037038e-11,2.5923185953703703e-11,2.6707234481481478e-11,2.7500141370370367e-11,2.8301906620370364e-11,2.911253023148148e-11,2.9932012203703693e-11,3.0760352537037037e-11,3.1597551231481474e-11,3.244360828703703e-11,3.32985237037037e-11,3.416229748148148e-11,3.503492962037036e-11,3.591642012037037e-11,3.6806768981481484e-11,3.7705976203703697e-11,3.861404178703702e-11,3.953096573148147e-11,4.0456748037037023e-11,4.139138870370369e-11,4.233488773148147e-11,4.328724512036889e-11,4.424846087036741e-11,4.521853498147703e-11,4.6197467453697765e-11,4.7185258287029614e-11,4.818190748147257e-11,4.918741503702662e-11,5.0201780953691805e-11,5.122500523146811e-11,5.225708787035549e-11,5.329802887035401e-11,5.4347828231463655e-11,5.5406485953684387e-11,5.647400203701627e-11,5.7550376481459256e-11,5.863560928701337e-11,5.972970045367857e-11,6.083264998145494e-11,6.19444578703424e-11,6.306512412034097e-11,6.419464873145068e-11,6.533303170367154e-11,6.648027303700351e-11,6.763637273144658e-11,6.88013307870008e-11,6.997514720366613e-11,7.115782198144263e-11,7.234935512033023e-11,7.354974662032896e-11,7.475899648143884e-11,7.597710470365981e-11,7.720407128699191e-11,7.843989623143509e-11,7.968457953698941e-11,8.093812120365478e-11,8.220052123143129e-11,8.347177962031887e-11,8.475189637031756e-11
