model,scenario,region,sector,product_long,flow_category,flow_long,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,jamaica,Agriculture,Agroforestry,Emissions,CO2,MtCO2e,3.7951942144144144e-13,3.8892899387387395e-13,3.983385663063064e-13,4.077481387387388e-13,4.171577111711713e-13,4.2656728360360366e-13,4.359768560360361e-13,4.453864284684684e-13,4.547960009009009e-13,4.642055733333334e-13,4.736151457657657e-13,4.830247181981982e-13,4.924342906306306e-13,5.01843863063063e-13,5.112534354954954e-13,5.206630079279279e-13,5.300725803603605e-13,5.394821527927928e-13,5.488917252252255e-13,5.583012976576578e-13,5.677108700900902e-13,5.771204425225226e-13,5.865300149549552e-13,5.959395873873874e-13,6.053491598198199e-13,6.147587322522428e-13,6.241683046846659e-13,6.335778771170889e-13,6.429874495495121e-13,6.523970219819354e-13,6.618065944143587e-13,6.712161668467824e-13,6.806257392792059e-13,6.900353117116294e-13,6.994448841440534e-13,7.088544565764774e-13,7.182640290089016e-13,7.276736014413258e-13,7.370831738737501e-13,7.464927463061749e-13,7.559023187385996e-13,7.653118911710248e-13,7.747214636034497e-13,7.841310360358751e-13,7.935406084683008e-13,8.029501809007268e-13,8.123597533331526e-13,8.21769325765579e-13,8.311788981980055e-13,8.405884706304323e-13,8.499980430628594e-13,8.594076154952869e-13,8.688171879277148e-13,8.782267603601425e-13,8.876363327925705e-13,8.970459052249991e-13,9.064554776574276e-13,9.158650500898561e-13,9.252746225222847e-13,9.346841949547134e-13,9.44093767387142e-13
PD22,baseline,jamaica,Forests & Wetlands,Avoided Coastal Impacts,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,jamaica,Forests & Wetlands,Avoided Forest Conversion,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,jamaica,Forests & Wetlands,Avoided Peat Impacts,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,jamaica,Agriculture,Biochar,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,jamaica,Forests & Wetlands,Coastal Restoration,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,jamaica,Agriculture,Cropland Soil Health,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,jamaica,Forests & Wetlands,Improved Forest Mgmt,Emissions,CO2,MtCO2e,0.10236693057066666,0.10490495364266667,0.10744297671466668,0.10998099978666666,0.11251902285866666,0.11505704593066668,0.11759506900266666,0.12013309207466666,0.12267111514666666,0.12520913821866667,0.12774716129066663,0.13028518436266667,0.13282320743466666,0.13536123050666665,0.13789925357866667,0.14043727665066666,0.14297529972266668,0.1455133227946667,0.14805134586666663,0.15058936893866665,0.15312739201066666,0.15566541508266668,0.15820343815466664,0.1607414612266667,0.16327948429866668,0.16581750737066667,0.16819178701868168,0.1705715247808297,0.1729567206571108,0.17534737464752487,0.177743486752072,0.18014505697075212,0.18210997805876467,0.18364207069600302,0.18474551943663609,0.18542487270910818,0.18568504281613946,0.18553130593472544,0.18496930211613719,0.1840050352859214,0.18264487324390027,0.18089554766417162,0.17876415409510873,0.17625815195936057,0.17338536455385145,0.17015397904978155,0.16657254649262634,0.16264998180213688,0.15839556377233996,0.15381893507153774,0.14893010224230796,0.14373943570150405,0.1382576697402549,0.13249590252396487,0.12646559609231406,0.120178576359258,0.1136470331130278,0.10687806190199728,0.09988458026294876,0.09267986960693995,0.08527757521930424
PD22,baseline,jamaica,Agriculture,Improved Rice,Emissions,CH4,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,jamaica,Forests & Wetlands,Natural Regeneration,Emissions,CO2,MtCO2e,1.4510051712962961e-12,1.4975887885185184e-12,1.5447195507407403e-12,1.5923974579629631e-12,1.6406225101851855e-12,1.6893947074074073e-12,1.73871404962963e-12,1.788580536851852e-12,1.8389941690740737e-12,1.8899549462962965e-12,1.9414628685185186e-12,1.9935179357407405e-12,2.0461201479629634e-12,2.0992695051851852e-12,2.1529660074074072e-12,2.207209654629629e-12,2.2620004468518513e-12,2.3173383840740746e-12,2.3732234662962964e-12,2.429655693518518e-12,2.4866350657407405e-12,2.544161582962963e-12,2.6022352451851845e-12,2.659103796296397e-12,2.7165596627779784e-12,2.7746028446299285e-12,2.8332333418522475e-12,2.8924511544449375e-12,2.952256282407995e-12,3.0126487257414234e-12,3.0736284844452216e-12,3.1351955585193864e-12,3.197349947963922e-12,3.2600916527788267e-12,3.3234206729641017e-12,3.3873370085197437e-12,3.4518406594457555e-12,3.516931625742137e-12,3.5826099074088865e-12,3.6488755044460065e-12,3.7157284168534954e-12,3.7831686446313506e-12,3.851196187779577e-12,3.9198110462981715e-12,3.989013220187136e-12,4.0588027094464684e-12,4.129179514076169e-12,4.200143634076237e-12,4.2716950694466766e-12,4.343833820187485e-12,4.416559886298659e-12,4.4898732677802044e-12,4.5637739646321165e-12,4.638261976854398e-12,4.713297134076682e-12,4.788879436298963e-12,4.8650088835212466e-12,4.941685475743529e-12,5.0189092129658126e-12,5.096680095188098e-12,5.174998122410381e-12
