model,scenario,region,sector,product_long,flow_category,flow_long,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,lao,Agriculture,Agroforestry,Emissions,CO2,MtCO2e,3.299891053918919e-12,3.3817065345945945e-12,3.463522015270271e-12,3.545337495945946e-12,3.627152976621622e-12,3.708968457297297e-12,3.790783937972973e-12,3.872599418648649e-12,3.9544148993243234e-12,4.036230380000001e-12,4.118045860675677e-12,4.199861341351352e-12,4.281676822027026e-12,4.363492302702702e-12,4.445307783378379e-12,4.5271232640540535e-12,4.60893874472973e-12,4.690754225405405e-12,4.7725697060810824e-12,4.854385186756758e-12,4.936200667432433e-12,5.018016148108107e-12,5.099831628783783e-12,5.18164710945946e-12,5.263462590135136e-12,5.339999652703129e-12,5.416712662541384e-12,5.4936016196499025e-12,5.570666524028682e-12,5.6479073756777194e-12,5.725324174597023e-12,5.8029169207865834e-12,5.880685614246407e-12,5.958630254976489e-12,6.0367508429768345e-12,6.115047378247436e-12,6.193519860788299e-12,6.272168290599421e-12,6.3509926676808076e-12,6.4299929920324476e-12,6.5091692636543485e-12,6.588521482546509e-12,6.668049648708927e-12,6.747753762141605e-12,6.82763382284454e-12,6.907689830817734e-12,6.987921786061185e-12,7.068329688574896e-12,7.1489135383588616e-12,7.229673335413087e-12,7.310609079737567e-12,7.391720771332307e-12,7.473008410197304e-12,7.554471996332555e-12,7.636111529738064e-12,7.71792701041383e-12,7.799742491089593e-12,7.881557971765359e-12,7.963373452441126e-12,8.045188933116889e-12,8.127004413792655e-12
PD22,baseline,lao,Forests & Wetlands,Avoided Coastal Impacts,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,lao,Forests & Wetlands,Avoided Forest Conversion,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,lao,Forests & Wetlands,Avoided Peat Impacts,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,lao,Agriculture,Biochar,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,lao,Forests & Wetlands,Coastal Restoration,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,lao,Agriculture,Cropland Soil Health,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,lao,Forests & Wetlands,Improved Forest Mgmt,Emissions,CO2,MtCO2e,4.4168507266653485,4.526359422367794,4.635868118070242,4.745376813772689,4.854885509475135,4.964394205177582,5.073902900880028,5.183411596582475,5.292920292284922,5.402428987987367,5.511937683689815,5.621446379392261,5.730955075094708,5.840463770797155,5.949972466499601,6.059481162202049,6.168989857904495,6.278498553606942,6.388007249309388,6.497515945011835,6.6070246407142825,6.716533336416729,6.826042032119175,6.935550727821622,7.0450594235240676,7.154568119226514,7.2640768149286705,7.373585510630829,7.4830942063329875,7.592602902035148,7.702111597737314,7.81162029343948,7.901817778286608,7.972876754164387,8.02498562312995,8.058348487411838,8.073185149410032,8.069731111695932,8.04823757701237,8.008971448273607,7.952215328565321,7.878267521144625,7.787442029440059,7.680068557051585,7.556492507750593,7.417074985479907,7.262192794353768,7.092238438657847,6.907620122849247,6.7087617515564855,6.496102929579525,6.270098961889741,6.0312208536299385,5.779955310114351,5.516804736828642,5.242287239429893,4.95693662374662,4.661302395778756,4.355949761697667,4.041459627846144,3.7184286007384113
PD22,baseline,lao,Agriculture,Improved Rice,Emissions,CH4,MtCO2e,2.0338753867341765e-12,2.0843020492151893e-12,2.134728711696202e-12,2.1851553741772147e-12,2.2355820366582274e-12,2.2860086991392405e-12,2.336435361620253e-12,2.386862024101265e-12,2.437288686582278e-12,2.487715349063291e-12,2.5381420115443038e-12,2.588568674025316e-12,2.6389953365063288e-12,2.689421998987342e-12,2.739848661468354e-12,2.790275323949367e-12,2.84070198643038e-12,2.891128648911392e-12,2.9415553113924047e-12,2.9919819738734166e-12,3.0424086363544298e-12,3.0928352988354417e-12,3.143261961316455e-12,3.193688623797468e-12,3.24411528627848e-12,3.294541948759493e-12,3.3449686112405057e-12,3.3953952737215184e-12,3.4458219362025307e-12,3.496248598683543e-12,3.546675261164477e-12,3.5971019236454114e-12,3.647528586126346e-12,3.697955248607283e-12,3.74838191108822e-12,3.798808573569157e-12,3.849235236050096e-12,3.8996618985310365e-12,3.9500885610119786e-12,4.00051522349292e-12,4.0509418859738635e-12,4.101368548454809e-12,4.151795210935755e-12,4.202221873416703e-12,4.252648535897653e-12,4.3030751983786036e-12,4.353501860859557e-12,4.403928523340511e-12,4.454355185821468e-12,4.504781848302426e-12,4.555208510783386e-12,4.605635173264347e-12,4.6560618357453125e-12,4.706488498226278e-12,4.756915160707247e-12,4.807341823188217e-12,4.85776848566919e-12,4.908195148150165e-12,4.9586218106311425e-12,5.0090484731121225e-12,5.0594751355931065e-12
PD22,baseline,lao,Forests & Wetlands,Natural Regeneration,Emissions,CO2,MtCO2e,6.891614420370371e-11,7.10151602314815e-11,7.313430946759258e-11,7.527359191203704e-11,7.743300756481483e-11,7.961255642592592e-11,8.181223849537038e-11,8.403205377314814e-11,8.627200225925926e-11,8.85320839537037e-11,9.081229885648149e-11,9.31126469675926e-11,9.543312828703703e-11,9.777374281481481e-11,1.0013449055092593e-10,1.0251537149537037e-10,1.0491638564814815e-10,1.0733753300925926e-10,1.0977881357870374e-10,1.1224022735648147e-10,1.1472177434259259e-10,1.1722345453703706e-10,1.1974526793981484e-10,1.222872145509224e-10,1.248492943703633e-10,1.274315073981375e-10,1.3003385363424506e-10,1.3265633307868595e-10,1.352989457314602e-10,1.3796169159256772e-10,1.4064457066200865e-10,1.4334758293978284e-10,1.4607072842589048e-10,1.488140071203314e-10,1.5157741902310574e-10,1.543609641342134e-10,1.5716464245365437e-10,1.5998845398142877e-10,1.6283239871753642e-10,1.6569647666197754e-10,1.6858068781475198e-10,1.7148503217585983e-10,1.7440950974530102e-10,1.7735412052307556e-10,1.803188645091835e-10,1.833037417036248e-10,1.863087521063995e-10,1.893338957175076e-10,1.9237917253694907e-10,1.9544458256472393e-10,1.9853012580083222e-10,2.0163580224527382e-10,2.0476161189804893e-10,2.0790755475915724e-10,2.1107363082859906e-10,2.142598401063742e-10,2.1746618259248262e-10,2.2069265828692428e-10,2.2393926718969927e-10,2.2720600930080756e-10,2.304928846202492e-10
