model,scenario,region,sector,product_long,flow_category,flow_long,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,portugal,Agriculture,Agroforestry,Emissions,CO2,MtCO2e,4.969797899099099e-12,5.09301602882883e-12,5.216234158558559e-12,5.339452288288288e-12,5.4626704180180165e-12,5.5858885477477464e-12,5.709106677477477e-12,5.832324807207208e-12,5.955542936936936e-12,6.078761066666667e-12,6.201979196396396e-12,6.325197326126126e-12,6.448415455855855e-12,6.5716335855855846e-12,6.6948517153153145e-12,6.818069845045046e-12,6.941287974774775e-12,7.064506104504505e-12,7.187724234234235e-12,7.310942363963965e-12,7.434160493693694e-12,7.557378623423422e-12,7.680596753153153e-12,7.803814882882885e-12,7.927033012612611e-12,8.042301585585662e-12,8.15783514378393e-12,8.273633687207424e-12,8.389697215856144e-12,8.506025729730084e-12,8.62261922882925e-12,8.739477713153638e-12,8.856601182703251e-12,8.973989637478088e-12,9.091643077478145e-12,9.209561502703428e-12,9.327744913153936e-12,9.446193308829665e-12,9.564906689730618e-12,9.683885055856795e-12,9.803128407208193e-12,9.922636743784815e-12,1.0042410065586663e-11,1.0162448372613735e-11,1.0282751664866025e-11,1.040331994234354e-11,1.052415320504628e-11,1.064525145297424e-11,1.0766614686127428e-11,1.0888242904505835e-11,1.1010136108109466e-11,1.1132294296938318e-11,1.1254717470992397e-11,1.1377405630271698e-11,1.1500358774776219e-11,1.1623576904505966e-11,1.1746795034235708e-11,1.1870013163965451e-11,1.1993231293695197e-11,1.2116449423424945e-11,1.2239667553154689e-11
PD22,baseline,portugal,Forests & Wetlands,Avoided Coastal Impacts,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,portugal,Forests & Wetlands,Avoided Forest Conversion,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,portugal,Forests & Wetlands,Avoided Peat Impacts,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,portugal,Agriculture,Biochar,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,portugal,Forests & Wetlands,Coastal Restoration,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,portugal,Agriculture,Cropland Soil Health,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,portugal,Forests & Wetlands,Improved Forest Mgmt,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,portugal,Agriculture,Improved Rice,Emissions,CH4,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,portugal,Forests & Wetlands,Natural Regeneration,Emissions,CO2,MtCO2e,4.084297789583332e-11,4.240177021833334e-11,4.398873173833333e-11,4.560386245583333e-11,4.724716237083333e-11,4.8918631483333324e-11,5.061826979333332e-11,5.234607730083333e-11,5.410205400583332e-11,5.588619990833334e-11,5.769851500833332e-11,5.953899930583333e-11,6.140765280083335e-11,6.330447549333333e-11,6.522946738333336e-11,6.718262847083334e-11,6.916395875583334e-11,7.117345823833332e-11,7.321112691833332e-11,7.527696479583334e-11,7.737097187083334e-11,7.949314814333332e-11,8.164349361333335e-11,8.382200828083328e-11,8.602869214583322e-11,8.826354520833315e-11,9.052656746833309e-11,9.281775892583301e-11,9.513711958083297e-11,9.74846494333329e-11,9.986034848333285e-11,1.022642167308328e-10,1.0469625417583272e-10,1.0715646081833267e-10,1.0964483665833257e-10,1.1216138169583252e-10,1.1470609593083244e-10,1.172789793633324e-10,1.1988003199333233e-10,1.2250925382083229e-10,1.251666448458322e-10,1.278522050683321e-10,1.3056593448833206e-10,1.33307833105832e-10,1.3607790092083195e-10,1.388761379333319e-10,1.417025441433318e-10,1.4455711955083176e-10,1.4743986415583166e-10,1.5035077795833166e-10,1.532898609583315e-10,1.5625711315583144e-10,1.5925253455083135e-10,1.6227612514333134e-10,1.653278849333313e-10,1.6840781392083115e-10,1.7151591210583113e-10,1.74652179488331e-10,1.7781661606833096e-10,1.8100922184583083e-10,1.8422999682083083e-10
