model,scenario,region,sector,product_long,flow_category,flow_long,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,suriname,Agriculture,Agroforestry,Emissions,CO2,MtCO2e,6.976285522522525e-14,7.14925127927928e-14,7.322217036036036e-14,7.495182792792794e-14,7.66814854954955e-14,7.841114306306307e-14,8.014080063063065e-14,8.187045819819821e-14,8.360011576576579e-14,8.532977333333335e-14,8.705943090090091e-14,8.878908846846849e-14,9.051874603603605e-14,9.224840360360361e-14,9.397806117117119e-14,9.570771873873875e-14,9.743737630630631e-14,9.916703387387389e-14,1.0089669144144146e-13,1.0262634900900901e-13,1.0435600657657659e-13,1.0608566414414415e-13,1.0781532171171173e-13,1.0954497927927929e-13,1.1127463684684685e-13,1.1300429441441342e-13,1.1473395198198e-13,1.1646360954954657e-13,1.1819326711711315e-13,1.1992292468467978e-13,1.2165258225224636e-13,1.2338223981981296e-13,1.2511189738737962e-13,1.2684155495494622e-13,1.2857121252251292e-13,1.303008700900796e-13,1.3203052765764628e-13,1.3376018522521299e-13,1.3548984279277972e-13,1.3721950036034645e-13,1.3894915792791323e-13,1.4067881549548003e-13,1.424084730630468e-13,1.4413813063061367e-13,1.458677881981805e-13,1.4759744576574735e-13,1.4932710333331428e-13,1.5105676090088122e-13,1.5278641846844817e-13,1.545160760360151e-13,1.5624573360358216e-13,1.5797539117114922e-13,1.5970504873871628e-13,1.6143470630628336e-13,1.6316436387385047e-13,1.6489402144141765e-13,1.666236790089848e-13,1.68353336576552e-13,1.7008299414411915e-13,1.7181265171168634e-13,1.7354230927925352e-13
PD22,baseline,suriname,Forests & Wetlands,Avoided Coastal Impacts,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,suriname,Forests & Wetlands,Avoided Forest Conversion,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,suriname,Forests & Wetlands,Avoided Peat Impacts,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,suriname,Agriculture,Biochar,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,suriname,Forests & Wetlands,Coastal Restoration,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,suriname,Agriculture,Cropland Soil Health,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,suriname,Forests & Wetlands,Improved Forest Mgmt,Emissions,CO2,MtCO2e,1.0608632416953998,1.0871656361175999,1.1134680305398,1.139770424962,1.1660728193842,1.1923752138063999,1.2186776082286,1.2449800026508,1.271282397073,1.2975847914952001,1.3238871859174,1.3501895803395993,1.3764919747617999,1.4027943691840001,1.4290967636062,1.4553991580284003,1.4817015524506,1.5080039468728,1.534306341295,1.5606087357171998,1.5869111301394,1.6132135245615997,1.6395159189837996,1.665818313406,1.6921207078281997,1.7184231022504,1.7430285680003552,1.7676905980393882,1.7924091923674974,1.8171843509846828,1.842016073890946,1.8669043610862848,1.8872675051552155,1.9031451011000924,1.9145805148758777,1.9216208833901385,1.9243171145030453,1.9227238870273764,1.916899650728515,1.9069066263244483,1.8928108054857697,1.8746819508356782,1.852593595949978,1.8266230453570773,1.796851374537992,1.763363429926341,1.726247828908351,1.6855969598228524,1.6415069819612809,1.5940778255676777,1.5434131918386902,1.4896205529235695,1.4328111519241733,1.373100002894965,1.3106058908430123,1.2454513717279887,1.1777627724621726,1.1076136266213734,1.0351378030230811,0.9604729414373899,0.8837604525870001
PD22,baseline,suriname,Agriculture,Improved Rice,Emissions,CH4,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,suriname,Forests & Wetlands,Natural Regeneration,Emissions,CO2,MtCO2e,1.6057316203703703e-12,1.656947314814815e-12,1.7087512037037039e-12,1.7611432870370373e-12,1.814123564814815e-12,1.867692037037037e-12,1.921848703703704e-12,1.976593564814815e-12,2.0319266203703706e-12,2.0878478703703705e-12,2.144357314814815e-12,2.2014549537037033e-12,2.2591407870370374e-12,2.3174148148148147e-12,2.3762770370370373e-12,2.4357274537037027e-12,2.4957660648148146e-12,2.5563928703703705e-12,2.6176078703703705e-12,2.6794110648148145e-12,2.7418024537037045e-12,2.8047820370370366e-12,2.8683498148148147e-12,2.9325057870368657e-12,2.997249953703362e-12,3.0625823148143025e-12,3.128502870369685e-12,3.195011620369514e-12,3.2621085648137854e-12,3.3297937037025014e-12,3.398067037035663e-12,3.466928564813269e-12,3.5363782870353185e-12,3.606416203701813e-12,3.677042314812754e-12,3.7482566203681384e-12,3.820059120367969e-12,3.8924498148122436e-12,3.965428703700965e-12,4.038995787034131e-12,4.113151064811742e-12,4.187894537033801e-12,4.263226203700303e-12,4.3391460648112516e-12,4.415654120366648e-12,4.492750370366489e-12,4.570434814810777e-12,4.6487074536995096e-12,4.727568287032691e-12,4.807017314810316e-12,4.887054537032389e-12,4.96767995369891e-12,5.0488935648098756e-12,5.130695370365289e-12,5.213085370365145e-12,5.296063564809447e-12,5.379629953698188e-12,5.4637845370313745e-12,5.548527314809006e-12,5.6338582870310764e-12,5.719777453697592e-12
