model,scenario,region,sector,product_long,flow_category,flow_long,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,togo,Agriculture,Agroforestry,Emissions,CO2,MtCO2e,4.467666735855855e-12,4.578435332612613e-12,4.68920392936937e-12,4.799972526126127e-12,4.910741122882884e-12,5.021509719639639e-12,5.132278316396396e-12,5.243046913153153e-12,5.353815509909911e-12,5.464584106666666e-12,5.5753527034234235e-12,5.686121300180181e-12,5.796889896936936e-12,5.907658493693694e-12,6.01842709045045e-12,6.129195687207207e-12,6.239964283963964e-12,6.3507328807207205e-12,6.461501477477478e-12,6.572270074234234e-12,6.68303867099099e-12,6.793807267747749e-12,6.9045758645045055e-12,7.015344461261262e-12,7.126113058018018e-12,7.2368816547747065e-12,7.347650251531397e-12,7.458418848288088e-12,7.569187445044777e-12,7.679956041801469e-12,7.79072463855816e-12,7.901493235314855e-12,8.012261832071544e-12,8.12303042882824e-12,8.233799025584936e-12,8.344567622341633e-12,8.45533621909833e-12,8.566104815855028e-12,8.676873412611728e-12,8.787642009368427e-12,8.898410606125128e-12,9.009179202881832e-12,9.119947799638539e-12,9.230716396395242e-12,9.34148499315195e-12,9.452253589908662e-12,9.563022186665374e-12,9.673790783422087e-12,9.784559380178797e-12,9.895327976935518e-12,1.0006096573692235e-11,1.0116865170448956e-11,1.0227633767205676e-11,1.0338402363962402e-11,1.044917096071913e-11,1.0559939557475856e-11,1.0670708154232585e-11,1.0781476750989316e-11,1.0892245347746042e-11,1.100301394450277e-11,1.1113782541259501e-11
PD22,baseline,togo,Forests & Wetlands,Avoided Coastal Impacts,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,togo,Forests & Wetlands,Avoided Forest Conversion,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,togo,Forests & Wetlands,Avoided Peat Impacts,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,togo,Agriculture,Biochar,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,togo,Forests & Wetlands,Coastal Restoration,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,togo,Agriculture,Cropland Soil Health,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,togo,Forests & Wetlands,Improved Forest Mgmt,Emissions,CO2,MtCO2e,0.09868028632762667,0.10112690499690667,0.10357352366618665,0.10602014233546668,0.10846676100474667,0.11091337967402669,0.11335999834330665,0.11580661701258664,0.11825323568186667,0.12069985435114668,0.12314647302042667,0.12559309168970667,0.12803971035898665,0.13048632902826665,0.13293294769754668,0.1353795663668267,0.13782618503610664,0.14027280370538667,0.14271942237466667,0.14516604104394668,0.14761265971322665,0.15005927838250668,0.1525058970517867,0.1549525157210667,0.15739913439034667,0.15984575305962667,0.16213452536315584,0.16442855921221014,0.16672785460678965,0.16903241154689425,0.171342230032524,0.1736573100636789,0.17555146645280661,0.17702838228177484,0.178092091402153,0.17874697843521223,0.17899777877192533,0.1788495785729668,0.1783078147687127,0.1773782750592411,0.1760670979143314,0.17438077257346493,0.17232613904582456,0.16991038811029502,0.1671410613154625,0.164026050979615,0.16057360019074232,0.1567923028065358,0.15269110345438844,0.14827929753139513,0.14356653120435214,0.13856280140975774,0.13327845585381173,0.1277241930124156,0.12191106213117264,0.1158504632253876,0.10955414708006717,0.10302895370439455,0.09628733542277973,0.08934209532933435,0.08220638728787173
PD22,baseline,togo,Agriculture,Improved Rice,Emissions,CH4,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,togo,Forests & Wetlands,Natural Regeneration,Emissions,CO2,MtCO2e,6.170538427777777e-13,6.35693971111111e-13,6.545064327777777e-13,6.734912277777778e-13,6.92648356111111e-13,7.119778177777775e-13,7.314796127777776e-13,7.511537411111109e-13,7.710002027777778e-13,7.910189977777778e-13,8.112101261111109e-13,8.315735877777777e-13,8.521093827777775e-13,8.728175111111108e-13,8.936979727777778e-13,9.147507677777774e-13,9.35975896111111e-13,9.573733577777777e-13,9.789431527777776e-13,1.0006852811111108e-12,1.022599742777778e-12,1.0446865377777777e-12,1.066945666111111e-12,1.0893771277773531e-12,1.1119809227769279e-12,1.1347570511098357e-12,1.1577055127760767e-12,1.1808263077756517e-12,1.2041194361085604e-12,1.227584897774803e-12,1.2512226927743808e-12,1.2750328211072926e-12,1.2990152827735406e-12,1.3231700777731238e-12,1.3474972061060424e-12,1.3719966677722979e-12,1.3966684627718888e-12,1.421512591104817e-12,1.4465290527710823e-12,1.4717178477706845e-12,1.4970789761036239e-12,1.5226124377699025e-12,1.5483182327695193e-12,1.5741963611024737e-12,1.6002468227687669e-12,1.6264696177684002e-12,1.652864746101373e-12,1.6794322077676855e-12,1.7061720027673375e-12,1.7330841311003303e-12,1.760168592766664e-12,1.7874253877663384e-12,1.8148545160993535e-12,1.8424559777657114e-12,1.8702297727653995e-12,1.8981759010984195e-12,1.926294362764769e-12,1.9545851577644496e-12,1.9830482860974615e-12,2.0116837477638036e-12,2.040491542763477e-12
