model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
PD22,baseline,azerbaijan,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2,AFOLU,Mt,-0.0892932898821286,-0.100964529906572,-0.1138993347213853,-0.1282383900441403,-0.129050542944656,-0.1296582883322519,-0.1300616262069279,-0.130260556568684,-0.1302550794175202,-0.1300451947534366,-0.1296309025764331,-0.1290122028865098,-0.1281890956836666,-0.1271615809679036,-0.1259296587392207,-0.1244934630525313,-0.1229387355165763,-0.1212756498950426,-0.1195155822734279,-0.1176712490463816,-0.1157568630533649,-0.1137883074562939,-0.1117833292625758,-0.1097617545723753,-0.1077457278128955,-0.1057599774130316,-0.1038321105661785,-0.1019929399233583,-0.1002768452478715,-0.0987221732393007,-0.0973716788897078,-0.0962730118563421,-0.0954792514080363,-0.0950494935077358,-0.0950494935077357,-0.0950494935077357,-0.0950494935077358,-0.0950494935077357,-0.0950494935077358,-0.0950494935077358,-0.0950494935077358,-0.0950494935077358,-0.0950494935077357,-0.0950494935077358,-0.0950494935077357,-0.0950494935077358,-0.0950494935077358,-0.0950494935077358,-0.0950494935077358,-0.0950494935077357,-0.0950494935077358,-0.0950494935077357,-0.0950494935077358,-0.0950494935077358,-0.0950494935077358,-0.0950494935077358,-0.0950494935077357,-0.0950494935077358,-0.0950494935077357,-0.0950494935077358,-0.0950494935077358
PD22,baseline,azerbaijan,Agriculture,Emissions,Biochar,EM,Emissions,CO2,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-3.897609037882416e-07,-3.767688736619669e-07,-3.637768435356922e-07,-3.5078481340941746e-07,-3.377927832831427e-07,-3.24800753156868e-07,-3.1180872303059325e-07,-2.9881669290431857e-07,-2.858246627780439e-07,-2.728326326517691e-07,-2.598406025254944e-07,-2.468485723992196e-07,-2.33856542272945e-07,-2.2086451214667026e-07,-2.0787248202039555e-07,-1.948804518941208e-07,-1.818884217678461e-07,-1.6889639164157136e-07,-1.5590436151529665e-07,-1.4291233138902194e-07,-1.299203012627472e-07,-1.169282711364725e-07,-1.0393624101019773e-07,-9.094421088392301e-08,-7.795218075764834e-08,-6.496015063137363e-08,-5.196812050509889e-08,-3.897609037882416e-08,-2.598406025254945e-08,-1.2992030126274725e-08,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,azerbaijan,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,0.02209959,0.0223060499999999,0.02346669,0.02376243,0.0210896099999999,0.01901385,0.02060136,0.02085804,0.02298123,0.0228221999999999,0.0221315481818181,0.0214408963636363,0.0207502445454545,0.0200595927272727,0.0193689409090909,0.018678289090909,0.0179876372727272,0.0172969854545454,0.0166063336363636,0.0159156818181818,0.0152250299999999,0.0152127539999999,0.015200478,0.015188202,0.015175926,0.01516365,0.015151374,0.015139098,0.015126822,0.015114546,0.01510227,0.0150899939999999,0.0150777179999999,0.015065442,0.015053166,0.01504089,0.015028614,0.015016338,0.015004062,0.014991786,0.01497951,0.01497951,0.01497951,0.01497951,0.01497951,0.01497951,0.01497951,0.01497951,0.01497951,0.01497951,0.01497951,0.01497951,0.01497951,0.01497951,0.01497951,0.01497951,0.01497951,0.01497951,0.01497951,0.01497951,0.01497951
PD22,baseline,azerbaijan,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,0.0055965,0.0056511,0.0059514,0.0060333,0.0053507999999999,0.0048321,0.0052143,0.0052962,0.0058422,0.0057876,0.0056113909090909,0.0054351818181818,0.0052589727272727,0.0050827636363636,0.0049065545454545,0.0047303454545454,0.0045541363636363,0.0043779272727272,0.0042017181818181,0.004025509090909,0.0038493,0.00384657,0.00384384,0.00384111,0.00383838,0.00383565,0.0038329199999999,0.00383019,0.00382746,0.0038247299999999,0.003822,0.00381927,0.00381654,0.00381381,0.00381108,0.00380835,0.0038056199999999,0.0038028899999999,0.0038001599999999,0.0037974299999999,0.0037947,0.0037947,0.0037947,0.0037947,0.0037947,0.0037947,0.0037947,0.0037947,0.0037947,0.0037947,0.0037947,0.0037947,0.0037947,0.0037947,0.0037947,0.0037947,0.0037947,0.0037947,0.0037947,0.0037947,0.0037947
PD22,baseline,azerbaijan,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,0.1473380999999999,0.1734915,0.1947309,0.2041221,0.1675674,0.2016651,0.2076711,0.1981707,0.2212937999999999,0.2348073,0.2273097272727272,0.2198121545454545,0.2123145818181818,0.204817009090909,0.1973194363636363,0.1898218636363636,0.1823242909090909,0.1748267181818182,0.1673291454545454,0.1598315727272727,0.152334,0.152616555,0.15289911,0.153181665,0.15346422,0.153746775,0.15402933,0.154311885,0.15459444,0.154876995,0.15515955,0.155442105,0.15572466,0.156007215,0.15628977,0.156572325,0.15685488,0.157137435,0.15741999,0.157702545,0.1579851,0.1579851,0.1579851,0.1579851,0.1579851,0.1579851,0.1579851,0.1579851,0.1579851,0.1579851,0.1579851,0.1579851,0.1579851,0.1579851,0.1579851,0.1579851,0.1579851,0.1579851,0.1579851,0.1579851,0.1579851
PD22,baseline,azerbaijan,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2,AFOLU,Mt,-0.0,-3.543781241467894e-07,-0.0002273574196009,-0.000336389212989,-0.000324923212989,-0.000313457212989,-0.000301991212989,-0.000290525212989,-0.000279059212989,-0.000267593212989,-0.000256127212989,-0.000244661212989,-0.000233195212989,-0.000221729212989,-0.000210263212989,-0.000198797212989,-0.000187331212989,-0.000175865212989,-0.000164399212989,-0.000152933212989,-0.000141467212989,-0.000130001212989,-0.000118535212989,-0.000107069212989,-9.560321298902586e-05,-8.413721298902587e-05,-7.267121298902587e-05,-6.120521298902585e-05,-4.973921298902586e-05,-3.827321298902586e-05,-2.680721298902587e-05,-1.534121298902585e-05,-3.887025593164075e-06,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,azerbaijan,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,4.18556916,4.19124681,4.23113823,4.27282083,4.3023195,4.30633431,4.27034052,4.21002351,4.15516374,4.11470316,4.160518764545454,4.206334369090909,4.252149973636365,4.2979655781818185,4.343781182727273,4.389596787272727,4.435412391818182,4.481227996363637,4.527043600909091,4.572859205454546,4.618674810000001,4.643521713,4.668368616,4.693215519,4.718062422,4.742909325,4.767756228,4.792603131,4.817450034,4.842296937,4.86714384,4.891990743,4.916837645999999,4.941684549,4.966531452,4.991378354999999,5.016225258,5.041072161,5.065919064,5.090765966999999,5.11561287,5.11561287,5.11561287,5.11561287,5.11561287,5.11561287,5.11561287,5.11561287,5.11561287,5.11561287,5.11561287,5.11561287,5.11561287,5.11561287,5.11561287,5.11561287,5.11561287,5.11561287,5.11561287,5.11561287,5.11561287
PD22,baseline,azerbaijan,Agriculture,Emissions,Improved Rice,EM,Emissions,CH4,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.5422113778649051e-09,-1.490804331936075e-09,-1.4393972860072446e-09,-1.3879902400784146e-09,-1.3365831941495847e-09,-1.285176148220754e-09,-1.233769102291924e-09,-1.1823620563630942e-09,-1.1309550104342635e-09,-1.0795479645054335e-09,-1.0281409185766032e-09,-9.76733872647773e-10,-9.25326826718943e-10,-8.739197807901129e-10,-8.225127348612825e-10,-7.711056889324526e-10,-7.196986430036223e-10,-6.682915970747922e-10,-6.168845511459618e-10,-5.654775052171319e-10,-5.140704592883016e-10,-4.6266341335947145e-10,-4.1125636743064125e-10,-3.59849321501811e-10,-3.084422755729809e-10,-2.5703522964415085e-10,-2.0562818371532055e-10,-1.5422113778649048e-10,-1.0281409185766039e-10,-5.1407045928830066e-11,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,azerbaijan,Agriculture,Emissions,Improved Rice,EM,Emissions,N2O,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.116773756384931e-09,-1.0795479645054335e-09,-1.0423221726259359e-09,-1.0050963807464376e-09,-9.678705888669404e-10,-9.306447969874425e-10,-8.93419005107945e-10,-8.561932132284474e-10,-8.189674213489495e-10,-7.81741629469452e-10,-7.445158375899542e-10,-7.072900457104564e-10,-6.700642538309588e-10,-6.328384619514611e-10,-5.956126700719633e-10,-5.583868781924654e-10,-5.211610863129678e-10,-4.839352944334701e-10,-4.4670950255397235e-10,-4.0948371067447475e-10,-3.722579187949771e-10,-3.350321269154794e-10,-2.9780633503598167e-10,-2.6058054315648376e-10,-2.2335475127698618e-10,-1.8612895939748857e-10,-1.4890316751799078e-10,-1.1167737563849309e-10,-7.445158375899547e-11,-3.722579187949764e-11,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,azerbaijan,Agriculture,Emissions,Manure Management,EM,Emissions,CH4,AFOLU,Mt,0.1640268899999999,0.16392924,0.16506198,0.16657416,0.16844346,0.1675283399999999,0.16481646,0.16261515,0.15957405,0.15794748,0.1606702663636363,0.1633930527272727,0.166115839090909,0.1688386254545454,0.1715614118181818,0.1742841981818181,0.1770069845454545,0.1797297709090909,0.1824525572727272,0.1851753436363636,0.18789813,0.1890675585,0.190236987,0.1914064155,0.192575844,0.1937452725,0.194914701,0.1960841295,0.197253558,0.1984229865,0.199592415,0.2007618435,0.201931272,0.2031007005,0.204270129,0.2054395575,0.206608986,0.2077784145,0.208947843,0.2101172715,0.2112867,0.2112867,0.2112867,0.2112867,0.2112867,0.2112867,0.2112867,0.2112867,0.2112867,0.2112867,0.2112867,0.2112867,0.2112867,0.2112867,0.2112867,0.2112867,0.2112867,0.2112867,0.2112867,0.2112867,0.2112867
