model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
PD22,baseline,brunei,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2,AFOLU,Mt,-0.0029033237392968466,-0.0032323191327675725,-0.0035906509407206432,-0.003980110884792366,-0.004291617277816796,-0.0045870111930103735,-0.004866292630373101,-0.005129461589904978,-0.0053765180716060035,-0.005607462075476177,-0.0058222936015155016,-0.006021012649723974,-0.0062054558348702965,-0.006375837345011812,-0.006532395774634454,-0.006675396763623813,-0.006805135886218634,-0.006921941804648737,-0.00702617970053686,-0.007118254994635963,-0.0071986173618570765,-0.007267765043558506,-0.0073262494524188836,-0.007374680056572448,-0.007413729518684342,-0.007444139051907783,-0.007466723937815008,-0.007482379131080665,-0.0074920848516399855,-0.007496912037089838,-0.007498027496292213,-0.007496698569809196,-0.0074942970646752005,-0.007492302191345639,-0.007492302191345638,-0.007492302191345638,-0.007492302191345638,-0.007492302191345638,-0.007492302191345638,-0.007492302191345638,-0.007492302191345638,-0.007492302191345638,-0.007492302191345638,-0.007492302191345638,-0.007492302191345638,-0.007492302191345638,-0.007492302191345638,-0.007492302191345638,-0.007492302191345638,-0.007492302191345643,-0.007492302191345642,-0.007492302191345642,-0.00749230219134564,-0.007492302191345642,-0.00749230219134564,-0.007492302191345641,-0.00749230219134564,-0.007492302191345641,-0.00749230219134564,-0.007492302191345641,-0.00749230219134564
PD22,baseline,brunei,Agriculture,Emissions,Biochar,EM,Emissions,CO2,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-7.893317169135741e-10,-7.630206596831216e-10,-7.367096024526691e-10,-7.103985452222167e-10,-6.840874879917642e-10,-6.577764307613117e-10,-6.314653735308592e-10,-6.051543163004067e-10,-5.788432590699543e-10,-5.525322018395019e-10,-5.262211446090493e-10,-4.999100873785969e-10,-4.735990301481444e-10,-4.4728797291769196e-10,-4.209769156872394e-10,-3.9466585845678704e-10,-3.6835480122633455e-10,-3.42043743995882e-10,-3.157326867654296e-10,-2.8942162953497715e-10,-2.6311057230452466e-10,-2.367995150740722e-10,-2.104884578436197e-10,-1.8417740061316723e-10,-1.578663433827148e-10,-1.3155528615226233e-10,-1.0524422892180983e-10,-7.89331716913574e-11,-5.262211446090485e-11,-2.6311057230452425e-11,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,brunei,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,7.533000000000001e-05,6.696e-05,7.533000000000001e-05,5.3009999999999996e-05,3.9059999999999995e-05,3.9059999999999995e-05,4.185e-05,3.9059999999999995e-05,3.348e-05,3.069e-05,3.145090909090909e-05,3.221181818181818e-05,3.297272727272727e-05,3.373363636363636e-05,3.449454545454545e-05,3.525545454545454e-05,3.601636363636364e-05,3.677727272727273e-05,3.753818181818181e-05,3.8299090909090904e-05,3.9059999999999995e-05,3.9059999999999995e-05,3.9059999999999995e-05,3.9059999999999995e-05,3.9059999999999995e-05,3.9059999999999995e-05,3.9059999999999995e-05,3.9059999999999995e-05,3.9059999999999995e-05,3.9059999999999995e-05,3.9059999999999995e-05,3.9059999999999995e-05,3.9059999999999995e-05,3.9059999999999995e-05,3.9059999999999995e-05,3.9059999999999995e-05,3.9059999999999995e-05,3.9059999999999995e-05,3.9059999999999995e-05,3.9059999999999995e-05,3.9059999999999995e-05,3.9059999999999995e-05,3.9059999999999995e-05,3.9059999999999995e-05,3.9059999999999995e-05,3.9059999999999995e-05,3.9059999999999995e-05,3.9059999999999995e-05,3.9059999999999995e-05,3.9059999999999995e-05,3.9059999999999995e-05,3.9059999999999995e-05,3.9059999999999995e-05,3.9059999999999995e-05,3.9059999999999995e-05,3.9059999999999995e-05,3.9059999999999995e-05,3.9059999999999995e-05,3.9059999999999995e-05,3.9059999999999995e-05,3.9059999999999995e-05
PD22,baseline,brunei,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,2.7300000000000003e-05,2.7300000000000003e-05,2.7300000000000003e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,brunei,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,0.00021840000000000002,0.00021840000000000002,0.0002457,0.00019109999999999998,0.0001638,0.0001638,0.0001638,0.0001638,0.00013649999999999998,0.00013649999999999998,0.00013649999999999998,0.00013649999999999998,0.00013649999999999998,0.00013649999999999998,0.00013649999999999998,0.00013649999999999998,0.00013649999999999998,0.00013649999999999998,0.00013649999999999998,0.00013649999999999998,0.00013649999999999998,0.00013649999999999998,0.00013649999999999998,0.00013649999999999998,0.00013649999999999998,0.00013649999999999998,0.00013649999999999998,0.00013649999999999998,0.00013649999999999998,0.00013649999999999998,0.00013649999999999998,0.00013649999999999998,0.00013649999999999998,0.00013649999999999998,0.00013649999999999998,0.00013649999999999998,0.00013649999999999998,0.00013649999999999998,0.00013649999999999998,0.00013649999999999998,0.00013649999999999998,0.00013649999999999998,0.00013649999999999998,0.00013649999999999998,0.00013649999999999998,0.00013649999999999998,0.00013649999999999998,0.00013649999999999998,0.00013649999999999998,0.00013649999999999998,0.00013649999999999998,0.00013649999999999998,0.00013649999999999998,0.00013649999999999998,0.00013649999999999998,0.00013649999999999998,0.00013649999999999998,0.00013649999999999998,0.00013649999999999998,0.00013649999999999998,0.00013649999999999998
PD22,baseline,brunei,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.4520939778611982e-09,-1.403690845265825e-09,-1.3552877126704516e-09,-1.3068845800750785e-09,-1.2584814474797052e-09,-1.2100783148843319e-09,-1.1616751822889586e-09,-1.113272049693585e-09,-1.064868917098212e-09,-1.0164657845028389e-09,-9.680626519074655e-10,-9.196595193120921e-10,-8.712563867167187e-10,-8.228532541213457e-10,-7.744501215259723e-10,-7.260469889305991e-10,-6.776438563352258e-10,-6.292407237398525e-10,-5.808375911444793e-10,-5.324344585491059e-10,-4.840313259537328e-10,-4.3562819335835936e-10,-3.872250607629861e-10,-3.388219281676129e-10,-2.904187955722396e-10,-2.4201566297686623e-10,-1.9361253038149305e-10,-1.4520939778611972e-10,-9.680626519074637e-11,-4.840313259537305e-11,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,brunei,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,0.00903402,0.0065955599999999994,0.00641142,0.006274709999999999,0.00644211,0.00722331,0.00722331,0.0067518,0.00604872,0.00587574,0.00637794,0.006880140000000001,0.00738234,0.00788454,0.00838674,0.008888940000000001,0.009391140000000001,0.00989334,0.010395540000000002,0.010897740000000001,0.011399939999999999,0.0114809895,0.011562039,0.0116430885,0.011724138,0.0118051875,0.011886237,0.0119672865,0.012048336,0.0121293855,0.012210435,0.0122914845,0.012372534,0.012453583499999999,0.012534632999999998,0.0126156825,0.012696732,0.0127777815,0.012858831000000001,0.0129398805,0.01302093,0.01302093,0.01302093,0.01302093,0.01302093,0.01302093,0.01302093,0.01302093,0.01302093,0.01302093,0.01302093,0.01302093,0.01302093,0.01302093,0.01302093,0.01302093,0.01302093,0.01302093,0.01302093,0.01302093,0.01302093
PD22,baseline,brunei,Agriculture,Emissions,Improved Rice,EM,Emissions,CH4,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.1099063820563225e-10,-2.0395761693211112e-10,-1.9692459565859006e-10,-1.8989157438506898e-10,-1.8285855311154793e-10,-1.7582553183802682e-10,-1.6879251056450577e-10,-1.617594892909847e-10,-1.5472646801746361e-10,-1.4769344674394253e-10,-1.4066042547042145e-10,-1.3362740419690043e-10,-1.2659438292337932e-10,-1.1956136164985824e-10,-1.1252834037633718e-10,-1.0549531910281612e-10,-9.846229782929503e-11,-9.142927655577397e-11,-8.439625528225289e-11,-7.736323400873181e-11,-7.033021273521073e-11,-6.329719146168966e-11,-5.626417018816859e-11,-4.92311489146475e-11,-4.219812764112643e-11,-3.516510636760536e-11,-2.8132085094084294e-11,-2.1099063820563215e-11,-1.4066042547042136e-11,-7.033021273521053e-12,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,brunei,Agriculture,Emissions,Improved Rice,EM,Emissions,N2O,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.527863242178716e-10,-1.4769344674394253e-10,-1.426005692700135e-10,-1.3750769179608445e-10,-1.3241481432215538e-10,-1.2732193684822635e-10,-1.222290593742973e-10,-1.1713618190036822e-10,-1.1204330442643916e-10,-1.0695042695251011e-10,-1.0185754947858105e-10,-9.676467200465203e-11,-9.167179453072298e-11,-8.657891705679391e-11,-8.148603958286486e-11,-7.63931621089358e-11,-7.130028463500675e-11,-6.620740716107769e-11,-6.111452968714865e-11,-5.602165221321958e-11,-5.092877473929052e-11,-4.583589726536149e-11,-4.074301979143243e-11,-3.565014231750337e-11,-3.055726484357432e-11,-2.5464387369645255e-11,-2.0371509895716215e-11,-1.527863242178716e-11,-1.0185754947858098e-11,-5.092877473929039e-12,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,brunei,Agriculture,Emissions,Manure Management,EM,Emissions,CH4,AFOLU,Mt,0.009098189999999999,0.00872433,0.01017792,0.011268809999999999,0.010186289999999999,0.010242089999999999,0.010504349999999999,0.010228139999999998,0.010945169999999999,0.010063530000000001,0.010602507272727274,0.011141484545454546,0.011680461818181819,0.012219439090909091,0.012758416363636364,0.013297393636363636,0.01383637090909091,0.014375348181818182,0.014914325454545456,0.015453302727272727,0.01599228,0.0166539285,0.017315577000000002,0.0179772255,0.018638874,0.0193005225,0.019962171,0.0206238195,0.021285468000000002,0.0219471165,0.022608765,0.0232704135,0.023932062,0.0245937105,0.025255359,0.0259170075,0.026578656,0.0272403045,0.027901953,0.028563601500000004,0.02922525,0.02922525,0.02922525,0.02922525,0.02922525,0.02922525,0.02922525,0.02922525,0.02922525,0.02922525,0.02922525,0.02922525,0.02922525,0.02922525,0.02922525,0.02922525,0.02922525,0.02922525,0.02922525,0.02922525,0.02922525
