model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
PD22,baseline,china,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2,AFOLU,Mt,-12.253672675329891,-13.74464560087958,-15.39573622948195,-17.2235958688564,-17.927440224138014,-18.5832735124473,-19.191095733784245,-19.75090688814885,-20.26270697554113,-20.72649599596108,-21.14227394940868,-21.51004083588396,-21.83712700872363,-22.12440019165076,-22.372830220716526,-22.58350090912203,-22.757623252575144,-22.89655011703534,-23.001792563251115,-23.075037975499,-23.118170175199765,-23.133291713351444,-23.12274854861846,-23.089157329968195,-23.035435513323733,-22.964834549991014,-22.880976389590025,-22.78789354057907,-22.69007292560223,-22.5925037548406,-22.5007296159194,-22.420904940850605,-22.359855955591215,-22.325146142135715,-22.32514614213572,-22.32514614213572,-22.32514614213572,-22.32514614213573,-22.32514614213572,-22.325146142135715,-22.325146142135736,-22.32514614213571,-22.32514614213572,-22.325146142135715,-22.32514614213572,-22.325146142135697,-22.32514614213572,-22.325146142135715,-22.32514614213572,-22.32514614213572,-22.32514614213572,-22.32514614213572,-22.32514614213573,-22.325146142135715,-22.325146142135708,-22.325146142135715,-22.325146142135715,-22.325146142135715,-22.325146142135715,-22.325146142135736,-22.32514614213573
PD22,baseline,china,Agriculture,Emissions,Biochar,EM,Emissions,CO2,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0001387695664377,-0.0001341439142231,-0.0001295182620085,-0.0001248926097939,-0.0001202669575793,-0.0001156413053647,-0.0001110156531501,-0.0001063900009355,-0.0001017643487209,-9.713869650639597e-05,-9.25130442918057e-05,-8.78873920772154e-05,-8.32617398626251e-05,-7.863608764803482e-05,-7.401043543344455e-05,-6.938478321885425e-05,-6.475913100426398e-05,-6.0133478789673695e-05,-5.550782657508341e-05,-5.088217436049312e-05,-4.625652214590285e-05,-4.163086993131256e-05,-3.700521771672229e-05,-3.2379565502131995e-05,-2.77539132875417e-05,-2.3128261072951417e-05,-1.8502608858361132e-05,-1.387695664377085e-05,-9.251304429180568e-06,-4.625652214590284e-06,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,china,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,4.51137141,4.600006919999999,4.71909249,4.82062338,4.87746684,5.48934732,5.428742939999999,5.2866873,5.238428669999999,5.13792171,5.070410558181818,5.002899406363636,4.935388254545455,4.867877102727273,4.800365950909091,4.732854799090909,4.665343647272727,4.597832495454545,4.530321343636364,4.462810191818181,4.395299039999999,4.390632625499999,4.385966211,4.3812997965000005,4.376633382,4.3719669675,4.367300553,4.3626341385,4.357967724,4.3533013095,4.348634895,4.3439684805,4.339302065999999,4.3346356515,4.329969237,4.3253028225,4.320636408,4.3159699935,4.3113035790000005,4.306637164500001,4.30197075,4.30197075,4.30197075,4.30197075,4.30197075,4.30197075,4.30197075,4.30197075,4.30197075,4.30197075,4.30197075,4.30197075,4.30197075,4.30197075,4.30197075,4.30197075,4.30197075,4.30197075,4.30197075,4.30197075,4.30197075
PD22,baseline,china,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,1.1444706,1.1669385,1.1971596000000002,1.2229035,1.2373452,1.3925457,1.3771757999999998,1.3411398,1.3289094,1.3034112,1.2862841727272727,1.2691571454545454,1.252030118181818,1.2349030909090908,1.2177760636363637,1.2006490363636362,1.183522009090909,1.1663949818181818,1.1492679545454545,1.1321409272727274,1.1150139,1.1138304449999998,1.11264699,1.111463535,1.11028008,1.109096625,1.10791317,1.106729715,1.10554626,1.104362805,1.10317935,1.101995895,1.10081244,1.0996289849999998,1.0984455299999998,1.0972620749999995,1.09607862,1.0948951649999998,1.0937117099999998,1.092528255,1.0913448,1.0913448,1.0913448,1.0913448,1.0913448,1.0913448,1.0913448,1.0913448,1.0913448,1.0913448,1.0913448,1.0913448,1.0913448,1.0913448,1.0913448,1.0913448,1.0913448,1.0913448,1.0913448,1.0913448,1.0913448
PD22,baseline,china,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,28.9602222,29.9143845,30.7385442,31.2476892,31.5634683,34.2651036,34.186506900000005,34.38997380000001,34.1014401,34.2275115,33.72011121818181,33.212710936363635,32.70531065454546,32.19791037272727,31.69051009090909,31.18310980909091,30.675709527272726,30.168309245454548,29.660908963636363,29.15350868181818,28.646108400000003,28.611146655,28.57618491,28.541223165,28.50626142,28.471299675,28.436337930000004,28.401376185,28.36641444,28.331452695000003,28.29649095,28.261529205,28.22656746,28.191605715,28.15664397,28.121682225,28.08672048,28.051758735,28.01679699,27.981835245,27.9468735,27.9468735,27.9468735,27.9468735,27.9468735,27.9468735,27.9468735,27.9468735,27.9468735,27.9468735,27.9468735,27.9468735,27.9468735,27.9468735,27.9468735,27.9468735,27.9468735,27.9468735,27.9468735,27.9468735,27.9468735
PD22,baseline,china,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2,AFOLU,Mt,-2.6593526118029205,-3.4828552918029207,-4.27557821180292,-5.03752137180292,-5.85255097180292,-6.63400527180292,-7.381884271802919,-8.096187971802921,-8.77691637180292,-9.42406947180292,-10.03764727180292,-10.61764977180292,-11.16407697180292,-11.676930498029575,-12.157250486098516,-12.605160354430636,-13.02079810687104,-13.404318006620205,-13.75589247032319,-14.075714177387834,-14.363998417622025,-14.620985702408786,-14.846944666868918,-15.042175292773102,-15.207012484323863,-15.341830031285712,-15.447044996235263,-15.52312256484566,-15.570581399999975,-15.584559099999977,-15.595741259999969,-15.604127879999968,-15.609718959999975,-15.612514499999964,-15.612514499999966,-15.612514499999966,-15.612514499999968,-15.61251449999996,-15.612514499999966,-15.612514499999966,-15.612514499999964,-15.61251449999996,-15.612514499999962,-15.612514499999964,-15.612514499999955,-15.612514499999968,-15.612514499999968,-15.61251449999997,-15.612514499999955,-15.612514499999968,-15.612514499999968,-15.612514499999962,-15.61251449999996,-15.612514499999952,-15.61251449999996,-15.612514499999955,-15.612514499999966,-15.61251449999996,-15.612514499999955,-15.612514499999964,-15.61251449999996
PD22,baseline,china,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,201.04092162,194.78666232,191.0475657,189.18233073,189.41156829,190.86774183,192.53846637,186.78173661,184.80285378,182.7179928,194.3295558218182,205.9411188436364,217.55268186545456,229.1642448872727,240.7758079090909,252.3873709309091,263.99893395272727,275.6104969745454,287.2220599963636,298.8336230181818,310.44518604,313.3598221755,316.274458311,319.18909444649995,322.103730582,325.0183667175,327.933002853,330.8476389885,333.762275124,336.6769112595,339.591547395,342.5061835305,345.420819666,348.3354558015,351.250091937,354.1647280725,357.079364208,359.99400034350003,362.908636479,365.8232726145,368.73790875,368.73790875,368.73790875,368.73790875,368.73790875,368.73790875,368.73790875,368.73790875,368.73790875,368.73790875,368.73790875,368.73790875,368.73790875,368.73790875,368.73790875,368.73790875,368.73790875,368.73790875,368.73790875,368.73790875,368.73790875
PD22,baseline,china,Agriculture,Emissions,Improved Rice,EM,Emissions,CH4,AFOLU,Mt,-7.440966322178947,-7.691375974589965,-7.905387684399821,-8.080756545875909,-8.215750380294596,-8.309160456067954,-8.360293935778493,-8.368950230371563,-8.33538414452777,-8.020885620883874,-7.700777330861864,-7.375059274461744,-7.05398022151493,-6.738378127077224,-6.429119261801673,-6.127091030854869,-5.8331932121746135,-5.548327621624799,-5.273386290163589,-5.009238328187177,-4.756715750192801,-4.5165986321438085,-4.289600065884378,-4.076351449925447,-3.877388704057123,-3.6931400079001055,-3.523915634712558,-3.3699003794831768,-3.2311489673010043,-3.107584681843289,-2.999001286454054,-2.905068136412184,-2.825338216203253,-2.7592586942809234,-2.706183481189559,-2.665387211867551,-2.5056521642941174,-2.3230494601411165,-2.155832454914075,-2.0031065925626304,-1.8559904965892968,-1.7144841669940756,-1.5785876037769666,-1.44830080693797,-1.323623776477085,-1.2045565123943127,-1.0910990146896524,-0.983251283363104,-0.8810133184146683,-0.7843851198443444,-0.6933666876521327,-0.6079580218380332,-0.5281591224020459,-0.4539699893441707,-0.3853906226644077,-0.3224210223627567,-0.265061188439218,-0.2133111208937915,-0.167170819726477,-0.1266402849372748,-0.0917195165261849
PD22,baseline,china,Agriculture,Emissions,Improved Rice,EM,Emissions,N2O,AFOLU,Mt,-5.388285957439928,-5.569617085047906,-5.724591081806769,-5.851582326323935,-5.949336482282294,-6.016978261290586,-6.054005953494771,-6.060274304751823,-6.035967828795973,-5.808227518571082,-5.576424963727557,-5.3405601642654,-5.108054643165983,-4.879515195469715,-4.655569120615004,-4.436859022343182,-4.224036463988513,-4.017754484624855,-3.8186590377046663,-3.6273794790320935,-3.444518301863753,-3.2706403887937925,-3.1062621166748943,-2.9518407051184274,-2.8077642339723994,-2.674342764341456,-2.5518009768608185,-2.440272688591266,-2.339797528045555,-2.25031994202445,-2.171690586742591,-2.10367002981572,-2.04593457035408,-1.998083882065496,-1.9596501070683012,-1.9301079810075368,-1.8144377741440163,-1.6822082297573604,-1.5611200535584686,-1.4505254635798357,-1.3439931182198357,-1.2415230174784686,-1.1431151613557344,-1.0487695498516336,-0.9584861829661652,-0.8722650606993299,-0.7901061830511277,-0.7120095500215582,-0.637975161610622,-0.5680030178183184,-0.5020931186446479,-0.4402454640896102,-0.3824600541532056,-0.3287368888354339,-0.2790759681362953,-0.2334772920557893,-0.1919408605939165,-0.1544666737506766,-0.1210547315260695,-0.0917050339200955,-0.0664175809327545
PD22,baseline,china,Agriculture,Emissions,Manure Management,EM,Emissions,CH4,AFOLU,Mt,35.367499169999995,35.18997425999999,35.68536666,35.484868889999994,35.48231604,34.96335372,34.52955057,33.31340073,31.21668225,24.70433958,26.213332385454542,27.72232519090909,29.23131799636364,30.740310801818183,32.24930360727273,33.75829641272727,35.267289218181816,36.77628202363636,38.28527482909091,39.794267634545456,41.30326044,41.395051998,41.486843556,41.578635114,41.670426672,41.76221823,41.854009788,41.945801346,42.037592904,42.129384462,42.22117602,42.312967578,42.404759136,42.496550694,42.588342252,42.68013381,42.771925368,42.863716926,42.95550848399999,43.047300042,43.13909159999999,43.13909159999999,43.13909159999999,43.13909159999999,43.13909159999999,43.13909159999999,43.13909159999999,43.13909159999999,43.13909159999999,43.13909159999999,43.13909159999999,43.13909159999999,43.13909159999999,43.13909159999999,43.13909159999999,43.13909159999999,43.13909159999999,43.13909159999999,43.13909159999999,43.13909159999999,43.13909159999999
