model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
PD22,baseline,elsalvador,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2,AFOLU,Mt,-0.10244989323565692,-0.11393083792463951,-0.12640404175269004,-0.13992311502693403,-0.1428135436597926,-0.14540591388138976,-0.1477002256917255,-0.14969647909079986,-0.15139467407861276,-0.1527948106551643,-0.15389688882045444,-0.15470090857448318,-0.1552722425383033,-0.1556184962928691,-0.15574813753451702,-0.15567058816498114,-0.15539632481864613,-0.15493698824397226,-0.15430550187607162,-0.1535161998221447,-0.15258496432259797,-0.15152937253873927,-0.15036885224240398,-0.14912484563220132,-0.14782098006321867,-0.1464832439398974,-0.14514016537428362,-0.14382299044501565,-0.14256585700133084,-0.14140595894242228,-0.14038369477625837,-0.13954279304674402,-0.13893040595365713,-0.13859716123655638,-0.1385971612365564,-0.13859716123655638,-0.13859716123655635,-0.13859716123655644,-0.1385971612365564,-0.13859716123655638,-0.13859716123655635,-0.13859716123655644,-0.13859716123655638,-0.13859716123655635,-0.13859716123655644,-0.1385971612365564,-0.13859716123655638,-0.13859716123655635,-0.13859716123655644,-0.1385971612365564,-0.13859716123655635,-0.13859716123655644,-0.13859716123655644,-0.13859716123655638,-0.13859716123655635,-0.13859716123655644,-0.13859716123655638,-0.13859716123655635,-0.13859716123655644,-0.13859716123655644,-0.13859716123655638
PD22,baseline,elsalvador,Agriculture,Emissions,Biochar,EM,Emissions,CO2,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-7.449238289734361e-07,-7.200930346743216e-07,-6.952622403752071e-07,-6.704314460760925e-07,-6.45600651776978e-07,-6.207698574778635e-07,-5.959390631787489e-07,-5.711082688796343e-07,-5.462774745805197e-07,-5.214466802814052e-07,-4.966158859822907e-07,-4.717850916831762e-07,-4.4695429738406166e-07,-4.221235030849471e-07,-3.9729270878583255e-07,-3.7246191448671804e-07,-3.476311201876035e-07,-3.2280032588848893e-07,-2.979695315893744e-07,-2.7313873729025987e-07,-2.483079429911453e-07,-2.2347714869203083e-07,-1.9864635439291627e-07,-1.7381556009380172e-07,-1.489847657946872e-07,-1.2415397149557266e-07,-9.93231771964581e-08,-7.449238289734353e-08,-4.966158859822905e-08,-2.4830794299114485e-08,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,elsalvador,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,0.022414859999999998,0.02374569,0.025176959999999998,0.02618136,0.02788047,0.025550819999999995,0.02690397,0.025402949999999997,0.024451559999999997,0.027992070000000004,0.02862844363636364,0.029264817272727273,0.02990119090909091,0.030537564545454546,0.031173938181818184,0.031810311818181815,0.03244668545454545,0.03308305909090909,0.03371943272727273,0.03435580636363636,0.03499218,0.0352174725,0.035442764999999994,0.035668057499999996,0.035893350000000004,0.0361186425,0.036343935,0.036569227499999996,0.03679452,0.0370198125,0.037245105,0.0374703975,0.03769569,0.0379209825,0.038146275,0.038371567499999995,0.03859686,0.0388221525,0.039047445,0.0392727375,0.039498029999999996,0.039498029999999996,0.039498029999999996,0.039498029999999996,0.039498029999999996,0.039498029999999996,0.039498029999999996,0.039498029999999996,0.039498029999999996,0.039498029999999996,0.039498029999999996,0.039498029999999996,0.039498029999999996,0.039498029999999996,0.039498029999999996,0.039498029999999996,0.039498029999999996,0.039498029999999996,0.039498029999999996,0.039498029999999996,0.039498029999999996
PD22,baseline,elsalvador,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,0.0056784,0.0060333,0.0063882,0.006633899999999999,0.0070707,0.0064701,0.006825,0.0064428,0.0061971000000000005,0.007097999999999999,0.007259318181818181,0.007420636363636364,0.007581954545454545,0.007743272727272727,0.00790459090909091,0.008065909090909092,0.008227227272727273,0.008388545454545456,0.008549863636363637,0.00871118181818182,0.008872500000000002,0.008929830000000001,0.008987160000000001,0.00904449,0.00910182,0.009159150000000001,0.00921648,0.00927381,0.00933114,0.00938847,0.0094458,0.009503130000000002,0.009560460000000002,0.009617790000000001,0.009675120000000002,0.009732450000000002,0.009789780000000001,0.009847110000000001,0.009904440000000002,0.009961770000000002,0.010019100000000001,0.010019100000000001,0.010019100000000001,0.010019100000000001,0.010019100000000001,0.010019100000000001,0.010019100000000001,0.010019100000000001,0.010019100000000001,0.010019100000000001,0.010019100000000001,0.010019100000000001,0.010019100000000001,0.010019100000000001,0.010019100000000001,0.010019100000000001,0.010019100000000001,0.010019100000000001,0.010019100000000001,0.010019100000000001,0.010019100000000001
PD22,baseline,elsalvador,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,0.055282500000000005,0.05356260000000001,0.0626808,0.0606606,0.0595413,0.0522522,0.0620802,0.0573846,0.048785100000000005,0.058531200000000005,0.06308781818181818,0.06764443636363636,0.07220105454545454,0.07675767272727274,0.08131429090909091,0.0858709090909091,0.09042752727272728,0.09498414545454546,0.09954076363636365,0.10409738181818183,0.108654,0.10997532,0.11129664,0.11261796000000002,0.11393928,0.1152606,0.11658192,0.11790323999999999,0.11922456000000001,0.12054588000000001,0.12186720000000001,0.12318852,0.12450984,0.12583116,0.12715248,0.1284738,0.12979511999999999,0.13111644,0.13243776000000002,0.13375908,0.1350804,0.1350804,0.1350804,0.1350804,0.1350804,0.1350804,0.1350804,0.1350804,0.1350804,0.1350804,0.1350804,0.1350804,0.1350804,0.1350804,0.1350804,0.1350804,0.1350804,0.1350804,0.1350804,0.1350804,0.1350804
PD22,baseline,elsalvador,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-7.77089803842079e-08,-7.511868103806765e-08,-7.252838169192739e-08,-6.993808234578713e-08,-6.734778299964686e-08,-6.47574836535066e-08,-6.216718430736632e-08,-5.957688496122606e-08,-5.698658561508581e-08,-5.439628626894553e-08,-5.180598692280528e-08,-4.9215687576665005e-08,-4.662538823052475e-08,-4.403508888438448e-08,-4.1444789538244215e-08,-3.885449019210395e-08,-3.6264190845963695e-08,-3.3673891499823425e-08,-3.108359215368316e-08,-2.8493292807542904e-08,-2.590299346140264e-08,-2.3312694115262374e-08,-2.0722394769122104e-08,-1.813209542298184e-08,-1.5541796076841574e-08,-1.295149673070132e-08,-1.0361197384561052e-08,-7.770898038420787e-09,-5.180598692280522e-09,-2.590299346140255e-09,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,elsalvador,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,2.1226068899999997,1.78728795,1.94770458,1.56101616,1.80747081,1.7616673800000002,1.61830602,1.54596969,1.5036537599999997,1.46462166,1.6176194263636363,1.7706171927272725,1.923614959090909,2.0766127254545452,2.229610491818182,2.3826082581818184,2.5356060245454546,2.6886037909090907,2.8416015572727273,2.994599323636364,3.14759709,3.1917955725,3.235994055,3.2801925375,3.3243910199999998,3.3685895025,3.412787985,3.4569864675,3.50118495,3.5453834324999995,3.5895819149999997,3.6337803975000003,3.67797888,3.7221773624999996,3.766375845,3.8105743275000004,3.85477281,3.8989712924999997,3.9431697749999994,3.9873682575,4.03156674,4.03156674,4.03156674,4.03156674,4.03156674,4.03156674,4.03156674,4.03156674,4.03156674,4.03156674,4.03156674,4.03156674,4.03156674,4.03156674,4.03156674,4.03156674,4.03156674,4.03156674,4.03156674,4.03156674,4.03156674
PD22,baseline,elsalvador,Agriculture,Emissions,Improved Rice,EM,Emissions,CH4,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-4.537163202518642e-09,-4.385924429101354e-09,-4.234685655684065e-09,-4.083446882266778e-09,-3.9322081088494894e-09,-3.7809693354322015e-09,-3.6297305620149136e-09,-3.4784917885976257e-09,-3.3272530151803377e-09,-3.176014241763049e-09,-3.024775468345761e-09,-2.8735366949284735e-09,-2.722297921511185e-09,-2.571059148093897e-09,-2.419820374676609e-09,-2.268581601259321e-09,-2.1173428278420327e-09,-1.9661040544247447e-09,-1.8148652810074568e-09,-1.6636265075901689e-09,-1.5123877341728805e-09,-1.3611489607555926e-09,-1.2099101873383043e-09,-1.0586714139210163e-09,-9.074326405037286e-10,-7.561938670864403e-10,-6.049550936691522e-10,-4.5371632025186404e-10,-3.024775468345761e-10,-1.5123877341728782e-10,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,elsalvador,Agriculture,Emissions,Improved Rice,EM,Emissions,N2O,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-3.285531974237637e-09,-3.1760142417630494e-09,-3.0664965092884614e-09,-2.9569787768138738e-09,-2.8474610443392854e-09,-2.7379433118646974e-09,-2.6284255793901098e-09,-2.5189078469155217e-09,-2.4093901144409346e-09,-2.2998723819663457e-09,-2.1903546494917577e-09,-2.0808369170171705e-09,-1.9713191845425825e-09,-1.8618014520679945e-09,-1.7522837195934065e-09,-1.6427659871188185e-09,-1.5332482546442307e-09,-1.4237305221696429e-09,-1.3142127896950549e-09,-1.2046950572204673e-09,-1.0951773247458789e-09,-9.856595922712913e-10,-8.761418597967031e-10,-7.666241273221153e-10,-6.571063948475276e-10,-5.475886623729394e-10,-4.380709298983516e-10,-3.285531974237636e-10,-2.190354649491758e-10,-1.0951773247458775e-10,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,elsalvador,Agriculture,Emissions,Manure Management,EM,Emissions,CH4,AFOLU,Mt,0.06025563,0.05441616,0.05546241,0.04668228,0.04868550000000001,0.047655989999999995,0.047432789999999996,0.04679946,0.04315293,0.04129758,0.04524695181818182,0.049196323636363636,0.05314569545454545,0.05709506727272727,0.0610444390909091,0.0649938109090909,0.06894318272727272,0.07289255454545454,0.07684192636363638,0.0807912981818182,0.08474067,0.085936464,0.087132258,0.088328052,0.089523846,0.09071964,0.09191543399999999,0.09311122799999999,0.09430702199999999,0.09550281599999999,0.09669860999999999,0.097894404,0.099090198,0.100285992,0.101481786,0.10267757999999999,0.103873374,0.10506916799999999,0.10626496199999999,0.10746075599999999,0.10865654999999999,0.10865654999999999,0.10865654999999999,0.10865654999999999,0.10865654999999999,0.10865654999999999,0.10865654999999999,0.10865654999999999,0.10865654999999999,0.10865654999999999,0.10865654999999999,0.10865654999999999,0.10865654999999999,0.10865654999999999,0.10865654999999999,0.10865654999999999,0.10865654999999999,0.10865654999999999,0.10865654999999999,0.10865654999999999,0.10865654999999999
