model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
PD22,baseline,ethiopia,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2,AFOLU,Mt,-1.541219789185179,-1.7176223519305935,-1.9101942718892004,-2.12002402905163,-2.2595900450063704,-2.391456504926521,-2.515623408812081,-2.6320907566630507,-2.74085854847943,-2.8419267842612186,-2.935295464008418,-3.0209645877210245,-3.0999015292332346,-3.1722193466328767,-3.2380440410925466,-3.297515971441664,-3.3507914066033795,-3.3980442250895684,-3.439467770202653,-3.47527686863861,-3.505710018710104,-3.5310317522812404,-3.551535171573323,-3.567544658089952,-3.5794187458246998,-3.5875531444432864,-3.5923838900516,-3.5943905912486125,-3.594099726213495,-3.5920879324244366,-3.5889852141620584,-3.58547797423815,-3.582311755606342,-3.580293556084628,-3.5802935560846296,-3.5802935560846305,-3.580293556084631,-3.58029355608463,-3.580293556084631,-3.580293556084629,-3.580293556084632,-3.5802935560846305,-3.5802935560846296,-3.5802935560846296,-3.5802935560846305,-3.5802935560846296,-3.580293556084631,-3.5802935560846323,-3.580293556084631,-3.58029355608463,-3.5802935560846305,-3.5802935560846296,-3.580293556084629,-3.5802935560846296,-3.58029355608463,-3.5802935560846314,-3.5802935560846287,-3.5802935560846296,-3.5802935560846305,-3.5802935560846305,-3.580293556084632
PD22,baseline,ethiopia,Agriculture,Emissions,Biochar,EM,Emissions,CO2,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.6448238717782945e-06,-2.5566630760523508e-06,-2.4685022803264083e-06,-2.380341484600465e-06,-2.292180688874522e-06,-2.2040198931485785e-06,-2.115859097422636e-06,-2.0276983016966924e-06,-1.939537505970749e-06,-1.8513767102448065e-06,-1.763215914518863e-06,-1.67505511879292e-06,-1.5868943230669769e-06,-1.4987335273410336e-06,-1.41057273161509e-06,-1.3224119358891472e-06,-1.2342511401632042e-06,-1.146090344437261e-06,-1.0579295487113178e-06,-9.697687529853746e-07,-8.816079572594315e-07,-7.934471615334884e-07,-7.052863658075452e-07,-6.171255700816022e-07,-5.28964774355659e-07,-4.408039786297158e-07,-3.526431829037729e-07,-2.644823871778295e-07,-1.7632159145188618e-07,-8.816079572594334e-08,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,ethiopia,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,0.23750433,0.24004602,0.2465104499999999,0.2465383499999999,0.2509186499999999,0.2762657999999999,0.28079397,0.29323179,0.2385812699999999,0.22919571,0.2345773663636363,0.2399590227272727,0.2453406790909091,0.2507223354545455,0.2561039918181818,0.2614856481818182,0.2668673045454545,0.2722489609090909,0.2776306172727273,0.2830122736363636,0.28839393,0.292063059,0.295732188,0.299401317,0.303070446,0.306739575,0.310408704,0.314077833,0.317746962,0.321416091,0.32508522,0.328754349,0.332423478,0.336092607,0.339761736,0.343430865,0.347099994,0.350769123,0.354438252,0.358107381,0.36177651,0.36177651,0.36177651,0.36177651,0.36177651,0.36177651,0.36177651,0.36177651,0.36177651,0.36177651,0.36177651,0.36177651,0.36177651,0.36177651,0.36177651,0.36177651,0.36177651,0.36177651,0.36177651,0.36177651,0.36177651
PD22,baseline,ethiopia,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,0.0602511,0.0609063,0.0625443,0.0625443,0.0636636,0.0700791,0.0712257,0.0743925,0.0605241,0.058149,0.059514,0.060879,0.062244,0.063609,0.064974,0.066339,0.067704,0.069069,0.070434,0.071799,0.073164,0.07409493,0.07502586,0.07595679,0.0768877199999999,0.07781865,0.07874958,0.07968051,0.0806114399999999,0.08154237,0.0824733,0.08340423,0.0843351599999999,0.08526609,0.08619702,0.08712795,0.08805888,0.0889898099999999,0.08992074,0.09085167,0.0917825999999999,0.0917825999999999,0.0917825999999999,0.0917825999999999,0.0917825999999999,0.0917825999999999,0.0917825999999999,0.0917825999999999,0.0917825999999999,0.0917825999999999,0.0917825999999999,0.0917825999999999,0.0917825999999999,0.0917825999999999,0.0917825999999999,0.0917825999999999,0.0917825999999999,0.0917825999999999,0.0917825999999999,0.0917825999999999,0.0917825999999999
PD22,baseline,ethiopia,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,0.9505587,0.9917817,1.0464363,1.1101272,1.1900342999999998,1.2800697,1.3066599,1.3778856,1.3170066000000002,1.3740636,1.373257009090909,1.372450418181818,1.3716438272727274,1.3708372363636363,1.3700306454545454,1.3692240545454546,1.3684174636363635,1.3676108727272729,1.366804281818182,1.365997690909091,1.3651911,1.39888749,1.43258388,1.46628027,1.49997666,1.5336730500000002,1.56736944,1.60106583,1.63476222,1.66845861,1.702155,1.73585139,1.76954778,1.80324417,1.83694056,1.87063695,1.90433334,1.93802973,1.97172612,2.00542251,2.0391189,2.0391189,2.0391189,2.0391189,2.0391189,2.0391189,2.0391189,2.0391189,2.0391189,2.0391189,2.0391189,2.0391189,2.0391189,2.0391189,2.0391189,2.0391189,2.0391189,2.0391189,2.0391189,2.0391189,2.0391189
PD22,baseline,ethiopia,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-3.590766812388364e-06,-3.4710745853087517e-06,-3.3513823582291397e-06,-3.2316901311495265e-06,-3.1119979040699146e-06,-2.9923056769903026e-06,-2.8726134499106907e-06,-2.752921222831079e-06,-2.6332289957514663e-06,-2.5135367686718544e-06,-2.3938445415922424e-06,-2.27415231451263e-06,-2.1544600874330177e-06,-2.0347678603534057e-06,-1.9150756332737938e-06,-1.7953834061941818e-06,-1.6756911791145697e-06,-1.5559989520349577e-06,-1.4363067249553451e-06,-1.3166144978757334e-06,-1.1969222707961214e-06,-1.0772300437165088e-06,-9.575378166368969e-07,-8.378455895572849e-07,-7.181533624776729e-07,-5.98461135398061e-07,-4.787689083184484e-07,-3.590766812388365e-07,-2.393844541592245e-07,-1.1969222707961245e-07,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,ethiopia,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,61.64969535,60.18885135,62.20503369,64.37581829999999,66.66193592999998,67.86645426,70.00325388,71.74121463,72.07156178999999,72.87465213,71.08400755636363,69.29336298272727,67.50271840909092,65.71207383545456,63.92142926181818,62.13078468818182,60.34014011454546,58.54949554090909,56.758850967272735,54.968206393636365,53.17756182,53.380664055,53.58376628999999,53.786868525,53.98997076,54.193072995,54.39617523,54.599277465,54.8023797,55.005481935,55.20858417,55.411686405000005,55.61478864,55.817890875,56.020993110000006,56.22409534500001,56.427197580000005,56.630299815,56.83340205,57.036504285,57.23960652,57.23960652,57.23960652,57.23960652,57.23960652,57.23960652,57.23960652,57.23960652,57.23960652,57.23960652,57.23960652,57.23960652,57.23960652,57.23960652,57.23960652,57.23960652,57.23960652,57.23960652,57.23960652,57.23960652,57.23960652
PD22,baseline,ethiopia,Agriculture,Emissions,Improved Rice,EM,Emissions,CH4,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.357130800834034e-09,-2.2785597741395667e-09,-2.199988747445099e-09,-2.1214177207506313e-09,-2.042846694056163e-09,-1.964275667361696e-09,-1.8857046406672277e-09,-1.8071336139727602e-09,-1.728562587278292e-09,-1.649991560583824e-09,-1.5714205338893563e-09,-1.4928495071948886e-09,-1.414278480500421e-09,-1.335707453805953e-09,-1.2571364271114854e-09,-1.178565400417017e-09,-1.0999943737225496e-09,-1.021423347028082e-09,-9.428523203336136e-10,-8.64281293639146e-10,-7.857102669446782e-10,-7.071392402502105e-10,-6.285682135557428e-10,-5.499971868612748e-10,-4.71426160166807e-10,-3.9285513347233934e-10,-3.1428410677787145e-10,-2.3571308008340367e-10,-1.571420533889359e-10,-7.857102669446797e-11,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,ethiopia,Agriculture,Emissions,Improved Rice,EM,Emissions,N2O,AFOLU,Mt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.7068878212936111e-09,-1.6499915605838242e-09,-1.593095299874037e-09,-1.5361990391642502e-09,-1.4793027784544627e-09,-1.422406517744676e-09,-1.365510257034889e-09,-1.308613996325102e-09,-1.2517177356153147e-09,-1.1948214749055278e-09,-1.1379252141957407e-09,-1.081028953485954e-09,-1.024132692776167e-09,-9.672364320663802e-10,-9.10340171356593e-10,-8.534439106468056e-10,-7.965476499370188e-10,-7.396513892272319e-10,-6.827551285174444e-10,-6.258588678076574e-10,-5.689626070978703e-10,-5.120663463880834e-10,-4.5517008567829654e-10,-3.982738249685094e-10,-3.413775642587224e-10,-2.844813035489353e-10,-2.2758504283914827e-10,-1.706887821293613e-10,-1.1379252141957429e-10,-5.6896260709787145e-11,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,ethiopia,Agriculture,Emissions,Manure Management,EM,Emissions,CH4,AFOLU,Mt,2.0500083,2.00212353,2.07067383,2.1450468599999994,2.22758343,2.27914263,2.35129761,2.41364853,2.46830463,2.49935733,2.4376366963636364,2.3759160627272724,2.3141954290909093,2.2524747954545457,2.190754161818182,2.129033528181818,2.0673128945454544,2.005592260909091,1.943871627272728,1.882150993636364,1.82043036,1.8282489165000004,1.836067473,1.8438860295,1.8517045860000003,1.8595231425000005,1.867341699,1.8751602555,1.8829788120000004,1.8907973685,1.898615925,1.9064344815000005,1.914253038,1.9220715945,1.929890151,1.9377087075,1.945527264,1.9533458205,1.961164377,1.9689829335,1.97680149,1.97680149,1.97680149,1.97680149,1.97680149,1.97680149,1.97680149,1.97680149,1.97680149,1.97680149,1.97680149,1.97680149,1.97680149,1.97680149,1.97680149,1.97680149,1.97680149,1.97680149,1.97680149,1.97680149,1.97680149
