model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
PD22,baseline,kosovo,Electric Power,Coal,Lignite,LIGNITE,Electricity output,CO2,ELMAINE,Mt,1.63260036,1.84676985,1.887582132,2.048811462,1.68623136,1.8974466000000003,1.8097353720000002,1.8008952124680002,1.751257700352,1.8712281530159998,1.9572791434199999,1.9116959819128627,1.866516012769997,1.821739235991407,1.7773656515770913,1.7333952595270492,1.7377413751020585,1.7419063743186494,1.7458902571768211,1.7496930236765769,1.753314673817912,1.7622023377706182,1.7708403680042812,1.7792287645188978,1.7873675273144691,1.795256656390998,1.8028064807044102,1.8101078358577918,1.8171607218511419,1.8239651386844615,1.8305210863577472,1.8392143003749832,1.847627021936833,1.855759251043296,1.8636109876943727,1.8711822318900648,1.8804558772839934,1.8894214900329045,1.8980790701367931,1.9064286175956635,1.9144701324095124,1.9190715439209147,1.9255693897847872,1.931772973098457,1.9376822938619294,1.9432973520751922,1.9486181477382523,1.9536446808511145,1.958376951413768,1.9628149594262183,1.9669587048884647,1.9708081878005042,1.9743634081623602,1.9776243659739932,1.9805910612354234,1.9832634939466696,1.9856416641076924,1.987725571718513,1.9895152167791306,1.9910105992895624,1.9922117192497735
PD22,baseline,kosovo,Electric Power,Oil products,Fuel oil,RESFUEL,Electricity output,CO2,ELMAINE,Mt,0.0035108639999999994,0.003740742,0.0014879376,0.0014795784,0.0014712192,0.0014628599999999999,0.0014545008000000001,0.0011147341499999999,0.0008454160512,0.0019037534651999998,0.001535696496,0.0014999315916232046,0.0014644830351230554,0.0014293508264995567,0.0013945349657527068,0.001360035452882505,0.0013634454490918811,0.001366713339992504,0.0013698391255843733,0.001372822805867492,0.0013756643808418556,0.0013826377113632996,0.0013894151773199438,0.001395996778711785,0.0014023825155388247,0.001408572387801065,0.0014144960388972822,0.001420224739150792,0.0014257584885615938,0.0014310972871296884,0.0014362411348550737,0.0014430618984391174,0.0014496625854529188,0.0014560431958964774,0.001462203729769793,0.0014681441870728676,0.0014754203616463718,0.0014824548514018483,0.001489247656339293,0.0014957987764587096,0.001502108211760095,0.0015057185151542073,0.0015108167757463382,0.0015156841556443325,0.0015203206548481956,0.0015247262733579176,0.0015289010111735034,0.0015328448682949576,0.001536557844722271,0.001540039940455448,0.0015432911554944895,0.0015463114898393907,0.0015491009434901715,0.0015516595164468008,0.001553987208709294,0.0015560840202776655,0.001557949951151886,0.0015595850013319704,0.001560989170817919,0.0015621624596097454,0.0015631048677074216
PD22,baseline,kosovo,Electric Power,Oil products,Gas/diesel oil excl. biofuels,NONBIODIES,Electricity output,CO2,ELMAINE,Mt,0.001920672,0.0014325012,0.0018993312,0.0021247434,0.0021127392,0.002100735,0.0020887308,0.001739835396,0.0015451005960000002,0.0021466870776,0.001852968312,0.0018098144501109306,0.0017670422929353384,0.0017246518404732292,0.0016826430927245994,0.0016410160496894502,0.0016451305442764157,0.0016490735748828536,0.0016528451415087635,0.0016564452441541482,0.0016598738828190033,0.0016682878894400991,0.0016764655662701443,0.001684406913309134,0.001692111930557071,0.001699580618013957,0.0017067280835458666,0.0017136403217819691,0.001720317332722264,0.0017267591163667522,0.0017329656727154304,0.001741195592375856,0.0017491599680880233,0.0017568587998519336,0.0017642920876675859,0.0017714598315349823,0.0017802392491818946,0.00178872705041211,0.0017969232352256243,0.0018048278036224413,0.001812440755602558,0.0018167969404368795,0.0018229484914420052,0.0018288214622646523,0.0018344158529048275,0.0018397316633625182,0.00184476889363773,0.0018495275437304698,0.0018540076136407252,0.001858209103368503,0.0018621320129138018,0.0018657763422766187,0.0018691420914569757,0.0018722292604548363,0.0018750378492702184,0.0018775678579031406,0.0018798192863535659,0.001881792134621513,0.0018834864027069827,0.0018849020906099906,0.0018860391983305034
PD22,baseline,kosovo,Industrial,Biofuels and Waste,Primary solid biofuels,PRIMSBIO,Final consumption,CO2,AGRICULT,Mt,0.007559982,0.00823406265,0.008366178,0.0010619469000000001,0.0087120968,0.009100008750000001,0.0125280696,0.01180563245,0.011870975600000002,0.01172893275,0.011609453,0.011610134348123392,0.011609999456624123,0.011609048325502087,0.011607280954757193,0.011604697344389632,0.011492457598649775,0.01138072892908907,0.011269511335707335,0.011158804818504656,0.01104860937748113,0.010992048663127819,0.010935330802934714,0.010878455796902007,0.010821423645029603,0.0107642343473175,0.010732389564566236,0.010700056445575354,0.010667234990344766,0.010633925198874386,0.01060012707116439,0.010564684549694841,0.010528769209536278,0.01049238105068861,0.010455520073151751,0.010418186276925876,0.010410803345253895,0.010402525043736656,0.010393351372374161,0.01038328233116641,0.010372317920113396,0.010312402548638074,0.010285415106680415,0.010257743570455655,0.01022938793996371,0.010200348215204585,0.01017062439617828,0.010140216482884792,0.01010912447532405,0.010077348373496199,0.010044888177401172,0.01001174388703896,0.00997791550240957,0.009943403023512995,0.009908206450349169,0.009872325782918237,0.00983576102122012,0.009798512165254828,0.009760579215022349,0.009721962170522692,0.009682661031755782
PD22,baseline,kosovo,Industrial,Biofuels and Waste,Primary solid biofuels,PRIMSBIO,Final consumption,CO2,CHEMICAL,Mt,9.0054e-05,0.00017911635,8.90534e-05,8.85531e-05,8.805279999999999e-05,8.75525e-05,0.0001741131,0.00016840685,0.0001595128,0.00015786720000000003,0.000167977,0.00016798685841569997,0.00016798490667263572,0.00016797114477080572,0.0001679455727102086,0.00016790819049084725,0.00016628419530604878,0.00016466759487476247,0.0001630583891969856,0.00016145657827271943,0.0001598621621019654,0.00015904378598080566,0.0001582231361188649,0.000157400212516146,0.00015657501517264748,0.00015574754408836935,0.00015528678240802065,0.0001548189549980013,0.00015434406185831003,0.00015386210298894558,0.00015337307838991047,0.00015286026108242057,0.0001523406025684652,0.00015181410284804297,0.00015128076192115272,0.0001507405797877969,0.0001506337562610154,0.00015051397764147484,0.00015038124392917525,0.0001502355551241166,0.00015007691122629886,0.00014920999662194068,0.00014881951573212426,0.00014841913669269607,0.00014800885950365494,0.00014758868416500087,0.0001471586106767339,0.00014671863903885392,0.00014626876925136,0.00014580900131425418,0.0001453393352275355,0.00014485977099120385,0.0001443703086052593,0.0001438709480697018,0.00014336168938453034,0.00014284253254974702,0.0001423134775653507,0.0001417745244313416,0.00014122567314771943,0.00014066692371448436,0.00014009827613163534
PD22,baseline,kosovo,Industrial,Biofuels and Waste,Primary solid biofuels,PRIMSBIO,Final consumption,CO2,FOODPRO,Mt,0.017100108000000003,0.0173629642,0.017710875400000003,0.018142349550000002,0.017776043999999998,0.0185498775,0.0239251392,0.0203735699,0.023233545000000005,0.02295562995,0.0218569595,0.02185824226485881,0.021857988306465043,0.0218561976248185,0.021852870219919007,0.02184800609176693,0.021636693846743296,0.021426343797901447,0.021216955945241023,0.021008530288762206,0.020801066828465168,0.020694580739679464,0.020587798794555315,0.02048072099309308,0.020373347335292582,0.02026567782115381,0.020205724081138608,0.02014485095711697,0.02008305844908873,0.020020346557053717,0.01995671528101227,0.019889988127171535,0.019822370804006142,0.01975386331151592,0.01968446564970072,0.01961417781856085,0.019600278073366503,0.01958469262752413,0.019567421481033735,0.01954846463389532,0.01952782208610887,0.019415020229917753,0.019364211339449166,0.019312114513994307,0.01925872975355302,0.01920405705812531,0.019148096427711175,0.019090847862310613,0.019032311361923484,0.01897248692655007,0.018911374556190238,0.01884897425084397,0.018785286010511288,0.018720309835192177,0.018654045724886503,0.018586493679594543,0.018517653699316156,0.018447525784051347,0.018376109933800108,0.01830340614856245,0.018229414428338225
PD22,baseline,kosovo,Industrial,Biofuels and Waste,Primary solid biofuels,PRIMSBIO,Final consumption,CO2,INONSPEC,Mt,0.021870171,0.0222856432,0.0227841691,0.023452438050000003,0.022880026399999996,0.023799965,0.0312331218,0.02613949555,0.027760997800000003,0.027428844600000002,0.025622502000000002,0.025624005761086276,0.025623708050443943,0.025621608868072767,0.02561770821397254,0.025612006088143704,0.025364288722846736,0.02511769932201308,0.02487223788564233,0.024627904413734684,0.024384698906290348,0.024259867269809356,0.024134688806514523,0.024009163516406275,0.0238832913994844,0.023757072455748898,0.023686789815409694,0.02361542939851408,0.02354299120506184,0.023469475235052804,0.02339488148848734,0.023316658502680984,0.02323739198813948,0.023157081944862615,0.023075728372850216,0.022993331272102655,0.022977036862578692,0.022958766337931057,0.022938519698159753,0.022916296943264785,0.02289209807324613,0.022759862581577646,0.02270030027614129,0.022639228148775597,0.022576646199480393,0.022512554428255675,0.022446952835101446,0.022379841420017702,0.02231122018300429,0.022241089124061517,0.022169448243189248,0.022096297540387458,0.02202163701565616,0.02194546666899535,0.021867786500404864,0.021788596509885037,0.021707896697435686,0.02162568706305684,0.021541967606748466,0.021456738328510586,0.02136999922834304
PD22,baseline,kosovo,Industrial,Biofuels and Waste,Primary solid biofuels,PRIMSBIO,Final consumption,CO2,IRONSTL,Mt,0.000180117,0.00017911635,0.00017811570000000003,0.00017711505000000003,0.0001761144,0.00017511375,0.0002611653,0.0001923068,0.0001825522,0.000180063,0.00017153,0.00017154006693800348,0.00017153807391224514,0.00017152402092272334,0.00017149790796943678,0.0001714597350523883,0.0001698013896000437,0.0001681505953128583,0.0001665073521908293,0.00016487166023395797,0.0001632435194422458,0.00016240783327055246,0.0001615698252645832,0.00016072949542434093,0.0001598868437498242,0.00015904187024103295,0.0001585713626654112,0.00015809363990788714,0.00015760870196845946,0.00015711654884712685,0.0001566171805438919,0.00015609351627584485,0.0001555628660981493,0.00015502523001080385,0.00015448060801380735,0.00015392900010716224,0.0001538199170806239,0.00015369760493902243,0.0001535620636823578,0.0001534132933106301,0.00015325129382383917,0.00015236604249725541,0.00015196730227073506,0.0001515584545318594,0.00015113949928062726,0.00015071043651703858,0.00015027126624109346,0.00014982198845279183,0.0001493626031521326,0.00014889311033911795,0.0001484135100137469,0.0001479238021760193,0.00014742398682593525,0.0001469140639634947,0.0001463940335886966,0.0001458638957015431,0.00014532365030203305,0.00014477329739016661,0.00014421283696594358,0.0001436422690293641,0.00014306159358042712
PD22,baseline,kosovo,Industrial,Biofuels and Waste,Primary solid biofuels,PRIMSBIO,Final consumption,CO2,MACHINE,Mt,0.000180117,0.00017911635,0.00017811570000000003,0.00017711505000000003,0.0001761144,0.00017511375,0.0002611653,0.00026148085,0.000333422,0.00032933745,0.000265132,0.00026514756035333033,0.00026514447975573593,0.0002651227582072145,0.00026508239570776374,0.00026502339225738833,0.00026246010626385357,0.0002599084920217382,0.00025736854953103803,0.0002548402787917551,0.00025232367980389155,0.00025103196904732765,0.0002497366694575263,0.0002484377810344917,0.0002471353037782218,0.00024582923768871656,0.0002451019793983898,0.000244363568682201,0.00024361400554014805,0.00024285328997222902,0.00024208142197844782,0.00024127199998395213,0.00024045177994714935,0.00023962076186803745,0.0002387789457466145,0.00023792633158288437,0.00023775772317040744,0.00023756866666293304,0.00023735916206046114,0.00023712920936299183,0.00023687880857052492,0.00023551048550913737,0.00023489415720657925,0.00023426220583536964,0.00023361463139550672,0.00023295143388699048,0.00023227261330982098,0.00023157816966399815,0.00023086810294952034,0.00023014241316639088,0.00022940110031460822,0.00022864416439417217,0.0002278716054050829,0.0002270834233473403,0.00022627961822094272,0.00022546019002589357,0.00022462513876219105,0.00022377446442983534,0.0002229081670288262,0.00022202624655916385,0.00022112870302084655
PD22,baseline,kosovo,Industrial,Biofuels and Waste,Primary solid biofuels,PRIMSBIO,Final consumption,CO2,NONMET,Mt,0.000989883,0.0010739463,0.0010679466000000002,0.0010619469000000001,0.0010559471999999999,0.0011375,0.0012180609,0.00124944925,0.0012713896000000001,0.0012561232500000001,0.0012363165,0.0012363890582787747,0.0012363746933826635,0.0012362734053116547,0.0012360851940657388,0.0012358100596449367,0.0012238573992040022,0.0012119591644033664,0.0012001153552430096,0.0011883259717229418,0.0011765910138431723,0.0011705677374315457,0.0011645277262095329,0.0011584709801771543,0.0011523974993343999,0.001146307283681269,0.0011429160618593361,0.0011394728360238993,0.0011359776061749488,0.001132430372312476,0.0011288311344364987,0.0011250567814076,0.001121232076863713,0.0011173570208048277,0.0011134316132309357,0.0011094558541420545,0.0011086696293092012,0.0011077880545478636,0.0011068111298580413,0.0011057388552397347,0.0011045712306929432,0.0010981907093747924,0.001095316756589502,0.001092369953082479,0.0010893502988537146,0.0010862577939032086,0.0010830924382309616,0.0010798542318369733,0.0010765431747212359,0.0010731592668837646,0.0010697025083245529,0.0010661728990435993,0.0010625704390409049,0.001058895128316469,0.001055146966870284,0.0010513259547023659,0.0010474320918127061,0.0010434653782013055,0.0010394258138681633,0.0010353133988132797,0.0010311281330366473
